cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.358689,431,-0.068646,0.042119,0.000319,0.009161,0.200828
1,2.355680,432,-0.054591,0.042066,0.000333,0.001549,0.605862
2,2.351246,433,-0.051903,0.041987,0.000313,0.001455,0.694952
3,2.349054,434,-0.043788,0.041947,0.000352,0.001164,0.585960
4,2.347815,435,-0.038837,0.041925,0.000308,0.000997,1.503664
5,2.347388,436,-0.036729,0.041918,0.000316,0.001166,0.893533
6,2.346061,437,-0.043524,0.041894,0.000333,0.001817,0.398390
7,2.343947,438,-0.035309,0.041856,0.000352,0.001411,0.026305
8,2.343476,439,-0.036163,0.041848,0.000317,0.001482,0.216049
9,2.343397,440,-0.035219,0.041846,0.000320,0.001064,0.390235
10,2.343322,441,-0.037326,0.041845,0.000330,0.001348,0.545316
11,2.342361,442,-0.036781,0.041828,0.000310,0.001664,0.054355
12,2.340943,443,-0.038707,0.041803,0.000318,0.001151,0.520801
13,2.340423,444,-0.040384,0.041793,0.000354,0.000979,0.000851
14,2.340032,445,-0.039195,0.041786,0.000334,0.001421,0.508269
15,2.339900,446,-0.030464,0.041784,0.000324,0.000866,1.670076
16,2.339880,447,-0.021489,0.041784,0.000309,0.000551,1.458819
17,2.339411,448,-0.027017,0.041775,0.000337,0.000999,0.014681
18,2.339024,449,-0.029771,0.041768,0.000311,0.001387,0.676794
19,2.339024,450,-0.025582,0.041768,0.000306,0.001057,1.293115
20,2.338557,451,-0.031690,0.041760,0.000301,0.001640,0.206092
21,2.338547,452,-0.031595,0.041760,0.000300,0.000903,1.085997
22,2.337832,453,-0.017246,0.041747,0.000292,0.001087,2.204937
23,2.337347,454,-0.014344,0.041738,0.000287,0.000883,2.402953
24,2.336930,455,-0.013687,0.041731,0.000288,0.000767,2.320031
25,2.336831,456,-0.011626,0.041729,0.000293,0.000841,1.966734
26,2.336479,457,-0.013733,0.041723,0.000297,0.000975,0.041157
27,2.336471,458,-0.011314,0.041723,0.000282,0.000653,2.800594
28,2.336062,459,-0.013012,0.041715,0.000283,0.000695,0.053171
29,2.335943,460,-0.010022,0.041713,0.000279,0.000598,2.755130
30,2.335667,461,-0.005140,0.041708,0.000271,0.000719,3.034085
31,2.335612,462,-0.006517,0.041707,0.000271,0.000679,0.298910
32,2.335517,463,-0.003838,0.041706,0.000269,0.000648,3.217304
33,2.335419,464,-0.005045,0.041704,0.000269,0.000492,0.064928
34,2.335231,465,-0.003729,0.041701,0.000267,0.000732,0.291928
35,2.335183,466,-0.005142,0.041700,0.000267,0.000674,1.359326
36,2.335076,467,-0.004357,0.041698,0.000266,0.000672,1.232569
37,2.334991,468,-0.004218,0.041696,0.000265,0.000593,0.017062
38,2.334752,469,-0.003402,0.041692,0.000263,0.000562,0.018031
39,2.334685,470,-0.004727,0.041691,0.000262,0.000547,0.084758
40,2.334532,471,-0.003281,0.041688,0.000261,0.000546,0.032014
41,2.334380,472,0.000000,0.041685,0.000259,0.000588,3.625826
