iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,4,0.072727,0.072678,0.188012,51,205,1
0,1,4,0.072727,0.034890,0.207185,51,146,0
0,2,4,0.072727,0.071682,0.207201,51,187,1
0,3,4,0.072727,0.040824,0.214862,51,142,0
0,4,4,0.072727,0.040824,0.187627,51,186,0
0,5,4,0.072727,0.048978,0.191663,51,163,0
0,6,4,0.072727,0.051055,0.193891,51,190,1
0,7,4,0.072727,0.060330,0.193292,51,158,1
0,8,4,0.072727,0.062120,0.201383,51,178,0
0,9,4,0.072727,0.062407,0.202672,51,157,0
0,10,4,0.072727,0.062120,0.185845,51,152,1
0,11,4,0.072727,0.045897,0.170751,51,193,0
0,12,4,0.072727,0.067259,0.220223,51,144,0
0,13,4,0.072727,0.016928,0.157102,51,173,0
0,14,4,0.072727,0.045039,0.202165,51,149,0
0,15,4,0.072727,0.055463,0.205756,51,173,0
0,16,4,0.072727,0.056074,0.193891,51,156,0
0,17,4,0.072727,0.051998,0.191663,51,179,0
0,18,4,0.072727,0.041434,0.190031,51,153,0
0,19,4,0.072727,0.034885,0.212799,51,167,0
0,20,4,0.072727,0.026433,0.200100,51,156,0
0,21,4,0.072727,0.037498,0.209937,51,153,0
0,22,4,0.072727,0.045396,0.193027,51,181,1
0,23,4,0.072727,0.034545,0.126681,51,154,1
0,24,4,0.072727,0.030467,0.185827,51,184,1
0,25,4,0.072727,0.060492,0.174305,51,157,1
0,26,4,0.072727,0.043267,0.157134,51,172,1
0,27,4,0.072727,0.038689,0.135459,51,162,1
0,28,4,0.072727,0.040688,0.151040,51,175,1
0,29,4,0.072727,0.044111,0.170399,51,166,1
0,30,4,0.072727,0.043820,0.157929,51,178,1
0,31,4,0.072727,0.041589,0.171289,51,162,1
0,32,4,0.072727,0.046237,0.161452,51,158,1
0,33,4,0.072727,0.038520,0.132946,51,133,0
0,34,4,0.072727,0.048469,0.138358,51,137,0
0,35,4,0.072727,0.025336,0.104588,51,138,0
0,36,4,0.072727,0.032260,0.120249,51,135,0
0,37,4,0.072727,0.034425,0.150379,51,136,0
0,38,4,0.072727,0.014025,0.112411,51,140,0
0,39,4,0.072727,0.041197,0.136070,51,141,0
0,40,4,0.072727,0.038400,0.132713,51,140,0
0,41,4,0.072727,0.045626,0.159658,51,137,0
0,42,4,0.072727,0.054508,0.131547,51,136,0
0,43,4,0.072727,0.040596,0.182641,51,136,0
0,44,3,0.054545,0.031587,0.188458,52,209,1
0,45,3,0.054545,0.027168,0.171584,52,224,1
0,46,3,0.054545,0.030908,0.170223,52,216,1
0,47,3,0.054545,0.010741,0.180673,52,224,1
