cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.865589,434,-0.441382,0.010198,0.000338,0.047339,0.043555
1,2.851477,435,-0.529097,0.010148,0.000285,0.029370,5.029125
2,2.842175,436,-0.477179,0.010115,0.000261,0.025706,5.032134
3,2.835897,437,-0.441034,0.010092,0.000248,0.030081,5.035156
4,2.833101,438,-0.422111,0.010082,0.000225,0.029990,3.146123
5,2.823889,439,-0.440153,0.010049,0.000242,0.034442,0.007054
6,2.817973,440,-0.415774,0.010028,0.000253,0.031375,2.172886
7,2.814447,441,-0.420037,0.010016,0.000245,0.019490,5.039662
8,2.812017,442,-0.418709,0.010007,0.000213,0.018150,5.038360
9,2.810384,443,-0.428003,0.010001,0.000223,0.034324,5.037216
10,2.809176,444,-0.459223,0.009997,0.000236,0.022901,5.030998
11,2.807306,445,-0.450435,0.009990,0.000221,0.029640,5.036631
12,2.805936,446,-0.390491,0.009986,0.000218,0.024715,5.050930
13,2.804133,447,-0.422567,0.009979,0.000215,0.024186,5.025832
14,2.802497,448,-0.409301,0.009973,0.000229,0.025539,5.040014
15,2.801663,449,-0.412138,0.009970,0.000248,0.029577,5.035833
16,2.800993,450,-0.403694,0.009968,0.000221,0.025511,5.031471
17,2.800355,451,-0.364485,0.009966,0.000201,0.023740,5.064926
18,2.799871,452,-0.392649,0.009964,0.000221,0.035422,5.050796
19,2.799440,453,-0.424200,0.009962,0.000200,0.024633,5.038597
20,2.799017,454,-0.366711,0.009961,0.000188,0.034365,0.043779
21,2.798532,455,-0.364181,0.009959,0.000193,0.032374,5.063873
22,2.798045,456,-0.394788,0.009957,0.000202,0.034544,5.064296
23,2.797743,457,-0.407790,0.009956,0.000197,0.044992,5.068632
24,2.797416,458,-0.365923,0.009955,0.000187,0.041767,5.073130
25,2.796947,459,-0.429047,0.009954,0.000187,0.032800,5.029591
26,2.796521,460,-0.401052,0.009952,0.000188,0.030528,5.049145
27,2.796029,461,-0.365806,0.009950,0.000196,0.030394,0.210868
28,2.794479,462,-0.368874,0.009945,0.000212,0.052498,5.097028
29,2.792887,463,-0.387832,0.009939,0.000209,0.028977,5.035966
30,2.791787,464,-0.367987,0.009935,0.000195,0.025011,5.069611
31,2.790746,465,-0.360223,0.009931,0.000199,0.035561,4.245877
32,2.789705,466,-0.363192,0.009928,0.000208,0.039983,4.280989
33,2.788443,467,-0.407152,0.009923,0.000196,0.029299,5.029087
34,2.786650,468,-0.383717,0.009917,0.000185,0.025456,5.055543
35,2.785487,469,-0.363161,0.009913,0.000188,0.028243,5.063334
36,2.784271,470,-0.350668,0.009908,0.000184,0.040301,5.104998
37,2.783846,471,-0.371901,0.009907,0.000190,0.029440,5.051953
38,2.783418,472,-0.374676,0.009905,0.000197,0.021872,5.056183
39,2.782922,473,-0.364266,0.009904,0.000178,0.028126,5.073984
40,2.782449,474,-0.379356,0.009902,0.000175,0.025093,5.041088
41,2.782154,475,-0.358696,0.009901,0.000179,0.023265,0.291047
42,2.781815,476,-0.386489,0.009900,0.000196,0.033352,5.033999
43,2.781503,477,-0.352043,0.009899,0.000184,0.027792,0.017837
44,2.781075,478,-0.418636,0.009897,0.000179,0.026161,5.033695
45,2.780502,479,-0.380964,0.009895,0.000182,0.032607,5.044821
46,2.779677,480,-0.363595,0.009892,0.000183,0.032992,3.820231
47,2.777812,481,-0.349229,0.009885,0.000224,0.041985,1.754806
48,2.776560,482,-0.383994,0.009881,0.000213,0.027944,5.046290
49,2.775567,483,-0.347108,0.009877,0.000221,0.030207,0.404863
50,2.770616,484,-0.416808,0.009860,0.000222,0.038527,5.032612
51,2.768187,485,-0.401340,0.009851,0.000213,0.027826,5.032160
52,2.767126,486,-0.386783,0.009847,0.000216,0.019321,5.038086
53,2.766228,487,-0.342170,0.009844,0.000219,0.021342,0.051335
54,2.765360,488,-0.379691,0.009841,0.000219,0.034648,5.043838
