cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.865589,434,-0.530378,0.010198,0.000338,0.059516,0.024132
1,2.851276,435,-0.463962,0.010147,0.000264,0.037019,0.029854
2,2.843720,436,-0.452174,0.010120,0.000248,0.033058,0.022491
3,2.838675,437,-0.450339,0.010102,0.000249,0.030547,0.023159
4,2.837080,438,-0.486244,0.010096,0.000240,0.031687,0.025774
5,2.835093,439,-0.414454,0.010089,0.000225,0.035664,0.035049
6,2.833763,440,-0.402976,0.010085,0.000234,0.028511,0.058823
7,2.831981,441,-0.418843,0.010078,0.000237,0.027975,0.041904
8,2.830450,442,-0.393613,0.010073,0.000202,0.029743,0.059487
9,2.828874,443,-0.385302,0.010067,0.000216,0.030926,0.054219
10,2.827465,444,-0.415441,0.010062,0.000222,0.030912,0.026645
11,2.826598,445,-0.427411,0.010059,0.000210,0.030155,0.022648
12,2.826034,446,-0.395342,0.010057,0.000224,0.034811,0.055512
13,2.825291,447,-0.415139,0.010054,0.000206,0.032680,0.033230
14,2.824928,448,-0.397406,0.010053,0.000220,0.032220,0.073025
15,2.824462,449,-0.369254,0.010051,0.000211,0.036455,0.094860
16,2.823956,450,-0.433647,0.010050,0.000217,0.037449,0.048536
17,2.823695,451,-0.444268,0.010049,0.000222,0.029382,0.022545
18,2.823232,452,-0.385277,0.010047,0.000207,0.035442,0.046888
19,2.822811,453,-0.408380,0.010046,0.000194,0.029580,0.041901
20,2.822496,454,-0.400786,0.010044,0.000212,0.029084,0.062017
21,2.822284,455,-0.405052,0.010044,0.000203,0.033303,0.036241
22,2.822076,456,-0.389241,0.010043,0.000196,0.032562,0.106785
23,2.821637,457,-0.413436,0.010041,0.000202,0.027413,0.033000
24,2.821005,458,-0.399090,0.010039,0.000197,0.031917,0.058343
25,2.820636,459,-0.395581,0.010038,0.000223,0.039022,0.074311
26,2.820297,460,-0.403754,0.010037,0.000204,0.027667,0.051535
27,2.819814,461,-0.385516,0.010035,0.000196,0.036903,0.070266
28,2.819509,462,-0.427087,0.010034,0.000193,0.029912,0.024339
29,2.818898,463,-0.401910,0.010032,0.000202,0.037065,0.033306
30,2.818620,464,-0.412121,0.010031,0.000188,0.035939,0.032935
31,2.818125,465,-0.382674,0.010029,0.000160,0.028413,0.048754
32,2.817363,466,-0.382411,0.010026,0.000205,0.033125,0.087586
33,2.816887,467,-0.398443,0.010025,0.000192,0.036332,0.059846
34,2.816329,468,-0.376008,0.010023,0.000199,0.034224,0.087770
35,2.815763,469,-0.381618,0.010021,0.000189,0.037161,0.072344
36,2.815526,470,-0.408986,0.010020,0.000197,0.022558,0.033760
37,2.815286,471,-0.407941,0.010019,0.000211,0.029940,0.037597
38,2.815143,472,-0.373766,0.010018,0.000210,0.032022,0.108015
39,2.814991,473,-0.380476,0.010018,0.000181,0.046013,0.075183
40,2.814843,474,-0.385427,0.010017,0.000177,0.031650,0.067431
41,2.814716,475,-0.348434,0.010017,0.000162,0.037896,0.180959
42,2.814468,476,-0.377250,0.010016,0.000163,0.037662,0.081547
43,2.814145,477,-0.388902,0.010015,0.000177,0.042534,0.073013
44,2.813602,478,-0.381139,0.010013,0.000168,0.043420,0.069640
45,2.813033,479,-0.386992,0.010011,0.000181,0.035388,0.060602
46,2.812088,480,-0.367171,0.010007,0.000189,0.039472,0.129917
47,2.811771,481,-0.372766,0.010006,0.000186,0.028579,0.083930
48,2.811383,482,-0.358009,0.010005,0.000169,0.036916,0.140075
49,2.810925,483,-0.366830,0.010003,0.000170,0.035210,0.107560
50,2.810407,484,-0.369147,0.010001,0.000184,0.035009,0.125504
51,2.809971,485,-0.362807,0.010000,0.000176,0.038693,0.138018
52,2.809571,486,-0.394119,0.009998,0.000187,0.037525,0.096169
53,2.809160,487,-0.370227,0.009997,0.000166,0.037423,0.067098
54,2.808825,488,-0.371433,0.009996,0.000172,0.044757,0.098282
55,2.808404,489,-0.384615,0.009994,0.000159,0.036432,0.054258
56,2.807918,490,-0.375390,0.009993,0.000172,0.039116,0.099357
57,2.807073,491,-0.382360,0.009990,0.000175,0.039813,0.076297
58,2.806560,492,-0.360463,0.009988,0.000181,0.044050,0.100042
59,2.806064,493,-0.348635,0.009986,0.000169,0.038299,0.158412
60,2.805742,494,-0.352112,0.009985,0.000184,0.042847,0.165203
61,2.805374,495,-0.346220,0.009984,0.000179,0.042379,0.169196
62,2.805106,496,-0.363563,0.009983,0.000170,0.030802,0.073839
63,2.804930,497,-0.381356,0.009982,0.000176,0.032864,0.057029
64,2.804823,498,-0.367637,0.009982,0.000174,0.028848,0.120677
65,2.804580,499,-0.359306,0.009981,0.000163,0.041697,0.082933
66,2.804421,500,-0.376514,0.009980,0.000167,0.034389,0.067932
67,2.804193,501,-0.362028,0.009979,0.000175,0.034688,0.085224
68,2.804031,502,-0.348665,0.009979,0.000175,0.030265,0.182250
69,2.803874,503,-0.373487,0.009978,0.000159,0.042127,0.071945
70,2.803737,504,-0.372289,0.009978,0.000165,0.045915,0.082517
71,2.803515,505,-0.368305,0.009977,0.000175,0.040413,0.074042
72,2.803348,506,-0.357837,0.009976,0.000165,0.029532,0.105181
73,2.803042,507,-0.349597,0.009975,0.000183,0.042002,0.120008
74,2.802847,508,-0.347532,0.009975,0.000162,0.038261,0.208514
75,2.802674,509,-0.330227,0.009974,0.000155,0.043886,0.188943
76,2.802530,510,-0.341214,0.009973,0.000162,0.039353,0.146484
77,2.802424,511,-0.344935,0.009973,0.000169,0.053465,0.250196
78,2.802260,512,-0.343652,0.009972,0.000146,0.042251,0.144841
79,2.802165,513,-0.387059,0.009972,0.000173,0.048578,0.045681
80,2.802071,514,-0.346840,0.009972,0.000148,0.042161,0.161876
81,2.801999,515,-0.366960,0.009972,0.000152,0.047675,0.106565
82,2.801779,516,-0.372790,0.009971,0.000148,0.047706,0.106734
83,2.801603,517,-0.364283,0.009970,0.000170,0.037475,0.173780
