iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,8,0.028571,0.000000,0.052153,272,216,0.000000
0,1,8,0.028571,0.000000,0.010309,272,121,0.000000
0,2,8,0.028571,0.000000,0.067597,272,202,0.000000
0,3,8,0.028571,0.000891,0.039197,272,119,0.004217
0,4,8,0.028571,0.022390,0.104703,272,197,0.656003
0,5,8,0.028571,0.000000,0.010309,272,128,0.000000
0,6,8,0.028571,0.000000,0.091406,272,185,0.000000
0,7,8,0.028571,0.000000,0.097023,272,141,0.000000
0,8,8,0.028571,0.007498,0.111690,272,188,0.035498
0,9,8,0.028571,0.000000,0.042207,272,140,0.000000
0,10,8,0.028571,0.009691,0.098567,272,127,0.595883
0,11,8,0.028571,0.000000,0.190763,272,192,0.000000
0,12,8,0.028571,0.016932,0.086433,272,119,0.630165
0,13,8,0.028571,0.010309,0.153773,272,179,0.048809
0,14,8,0.028571,0.000000,0.061387,272,122,0.000000
0,15,8,0.028571,0.016808,0.114178,272,196,0.629574
0,16,8,0.028571,0.000000,0.086433,272,126,0.000000
0,17,8,0.028571,0.000000,0.102958,272,176,0.000000
0,18,8,0.028571,0.016499,0.106939,272,124,0.078111
0,19,8,0.028571,0.016309,0.068631,272,175,0.077216
0,20,8,0.028571,0.025085,0.062150,272,130,0.118763
0,21,8,0.028571,0.032516,0.077803,272,130,0.703945
0,22,8,0.028571,0.000000,0.081954,272,191,0.000000
0,23,8,0.028571,0.083067,0.160954,272,119,0.393274
0,24,8,0.028571,0.004367,0.097497,272,180,0.020676
0,25,8,0.028571,0.000000,0.126470,272,132,0.000000
0,26,8,0.028571,0.038997,0.090518,272,175,0.734631
0,27,8,0.028571,0.020042,0.186756,272,131,0.094889
0,28,8,0.028571,0.000000,0.102133,272,174,0.000000
0,29,8,0.028571,0.000000,0.096119,272,143,0.000000
0,30,8,0.028571,0.003907,0.101998,272,181,0.018499
0,31,8,0.028571,0.000000,0.127564,272,148,0.000000
0,32,8,0.028571,0.046295,0.104450,272,139,0.769178
0,33,8,0.028571,0.069246,0.190703,272,103,0.877839
0,34,8,0.028571,0.018443,0.090476,272,104,0.637317
0,35,8,0.028571,0.081399,0.209292,272,102,0.935376
0,36,8,0.028571,0.000000,0.038997,272,105,0.000000
0,37,8,0.028571,0.000000,0.078957,272,105,0.000000
0,38,8,0.028571,0.027659,0.090642,272,104,0.680951
0,39,8,0.028571,0.000000,0.124500,272,101,0.000000
0,40,8,0.028571,0.000000,0.086440,272,103,0.000000
0,41,8,0.028571,0.000000,0.058940,272,102,0.000000
0,42,8,0.028571,0.013945,0.052625,272,102,0.066023
0,43,8,0.028571,0.000000,0.080878,272,105,0.000000
0,44,6,0.021429,0.000000,0.100381,274,206,0.000000
0,45,6,0.021429,0.018206,0.186003,274,217,0.086197
0,46,6,0.021429,0.000000,0.115924,274,209,0.000000
0,47,6,0.021429,0.000000,0.145021,274,221,0.000000
0,48,6,0.021429,0.000000,0.056394,274,207,0.000000
0,49,6,0.021429,0.071023,0.211806,274,213,0.336253
0,50,6,0.021429,0.000166,0.112406,274,206,0.000788
0,51,6,0.021429,0.000000,0.075775,274,210,0.000000
0,52,6,0.021429,0.020821,0.035359,274,210,0.098577
0,53,6,0.021429,0.000000,0.130407,274,212,0.000000
0,54,6,0.021429,0.000000,0.075828,274,215,0.000000
0,55,22,0.078571,0.030308,0.148054,258,82,0.693492
0,56,8,0.028571,0.000000,0.070178,272,206,0.000000
0,57,8,0.028571,0.000000,0.091974,272,115,0.000000
0,58,8,0.028571,0.000000,0.118890,272,185,0.000000
0,59,8,0.028571,0.034330,0.127015,272,117,0.162532
0,60,8,0.028571,0.000000,0.101872,272,177,0.000000
0,61,8,0.028571,0.050664,0.112706,272,123,0.789867
0,62,8,0.028571,0.000000,0.100471,272,168,0.000000
0,63,8,0.028571,0.000000,0.115747,272,127,0.000000
0,64,8,0.028571,0.011433,0.165186,272,149,0.054128
0,65,8,0.028571,0.015656,0.144791,272,123,0.074125
0,66,8,0.028571,0.000000,0.049895,272,129,0.000000
0,67,8,0.028571,0.000000,0.083957,272,187,0.000000
0,68,8,0.028571,0.000000,0.097643,272,116,0.000000
0,69,8,0.028571,0.000000,0.163906,272,172,0.000000
0,70,8,0.028571,0.000000,0.171911,272,103,0.000000
0,71,8,0.028571,0.000000,0.026070,272,181,0.000000
0,72,8,0.028571,0.000000,0.061646,272,130,0.000000
0,73,8,0.028571,0.000000,0.081842,272,155,0.000000
0,74,8,0.028571,0.052984,0.148942,272,115,0.250849
0,75,8,0.028571,0.022586,0.120710,272,152,0.106932
0,76,8,0.028571,0.000000,0.115635,272,127,0.000000
0,77,8,0.028571,0.000000,0.034136,272,124,0.000000
0,78,8,0.028571,0.000000,0.102466,272,185,0.000000
0,79,8,0.028571,0.000000,0.217814,272,118,0.000000
0,80,8,0.028571,0.082066,0.118931,272,180,0.388535
0,81,8,0.028571,0.072476,0.148004,272,128,0.343135
0,82,8,0.028571,0.000000,0.125360,272,170,0.000000
0,83,8,0.028571,0.000000,0.148662,272,129,0.000000
0,84,8,0.028571,0.000000,0.080276,272,171,0.000000
0,85,8,0.028571,0.006481,0.059459,272,136,0.030683
0,86,8,0.028571,0.022714,0.190744,272,162,0.107538
0,87,8,0.028571,0.016595,0.125867,272,132,0.078567
0,88,8,0.028571,0.006164,0.055340,272,143,0.579185
0,89,8,0.028571,0.000000,0.101273,272,103,0.000000
0,90,8,0.028571,0.025544,0.037229,272,103,0.120934
0,91,8,0.028571,0.000000,0.192338,272,98,0.000000
0,92,8,0.028571,0.021036,0.061703,272,101,0.099592
0,93,8,0.028571,0.040416,0.000000,272,103,0.741349
0,94,8,0.028571,0.008919,0.052004,272,101,0.042227
0,95,8,0.028571,0.095048,0.091065,272,95,1.000000
0,96,8,0.028571,0.000000,0.087133,272,104,0.000000
0,97,8,0.028571,0.000000,0.046295,272,98,0.000000
0,98,8,0.028571,0.026524,0.082095,272,103,0.125576
0,99,8,0.028571,0.000000,0.046456,272,99,0.000000
0,100,6,0.021429,0.000000,0.063487,274,210,0.000000
0,101,6,0.021429,0.016954,0.216562,274,217,0.080266
