cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.842740,431,-1.500105,0.002733,0.000111,0.385605,0.105701
1,3.776971,432,-1.084100,0.002686,0.000087,0.250677,0.101657
2,3.746026,433,-1.086393,0.002664,0.000086,0.224334,0.121336
3,3.726347,434,-0.906723,0.002650,0.000088,0.305965,0.116464
4,3.714441,435,-1.032428,0.002642,0.000082,0.252876,0.117572
5,3.699205,436,-0.954058,0.002631,0.000076,0.226876,0.116361
6,3.685583,437,-0.928426,0.002621,0.000075,0.194934,0.109061
7,3.671341,438,-0.958408,0.002611,0.000081,0.235623,0.102483
8,3.664047,439,-0.857362,0.002606,0.000080,0.207779,0.107003
9,3.653872,440,-0.956590,0.002599,0.000081,0.212694,0.105150
10,3.642875,441,-0.894586,0.002591,0.000075,0.225555,0.104083
11,3.637532,442,-0.828120,0.002587,0.000073,0.169765,0.103344
12,3.632296,443,-0.845687,0.002583,0.000068,0.241022,0.106636
13,3.625382,444,-0.873705,0.002579,0.000067,0.303369,0.133803
14,3.617802,445,-0.937213,0.002573,0.000066,0.253891,0.117443
15,3.612625,446,-0.905414,0.002569,0.000072,0.248452,5.276355
16,3.607971,447,-0.927552,0.002566,0.000070,0.208905,5.270744
17,3.604844,448,-0.837027,0.002564,0.000064,0.337908,0.131776
18,3.600947,449,-0.819554,0.002561,0.000066,0.265575,0.116556
19,3.598464,450,-0.886839,0.002559,0.000068,0.231055,0.117139
20,3.595378,451,-0.849287,0.002557,0.000070,0.212511,0.118048
21,3.593210,452,-0.888489,0.002556,0.000065,0.247763,5.264649
22,3.591421,453,-0.850498,0.002554,0.000067,0.210766,0.105659
23,3.589921,454,-0.956339,0.002553,0.000063,0.198613,5.295213
24,3.587742,455,-0.833128,0.002552,0.000067,0.228038,0.115857
25,3.585898,456,-0.946053,0.002550,0.000064,0.243662,5.272729
26,3.583667,457,-0.871001,0.002549,0.000064,0.243293,5.308530
27,3.582209,458,-0.874982,0.002548,0.000061,0.258201,5.279878
28,3.580942,459,-0.794724,0.002547,0.000063,0.254291,0.106528
29,3.579368,460,-0.857195,0.002546,0.000061,0.199932,0.105040
30,3.578050,461,-0.829022,0.002545,0.000063,0.265639,0.103905
31,3.576920,462,-0.881624,0.002544,0.000061,0.196893,5.301452
32,3.575065,463,-0.842030,0.002543,0.000061,0.305329,5.281493
33,3.573815,464,-0.937475,0.002542,0.000061,0.225247,5.294858
34,3.571761,465,-0.801894,0.002540,0.000062,0.318449,0.145581
35,3.570287,466,-0.837439,0.002539,0.000063,0.293684,0.112668
36,3.569142,467,-0.800810,0.002539,0.000064,0.308043,0.121639
37,3.567492,468,-0.917838,0.002537,0.000061,0.288508,5.267596
38,3.565308,469,-0.854809,0.002536,0.000062,0.241084,0.099977
39,3.563004,470,-0.878351,0.002534,0.000064,0.226187,5.306811
40,3.561348,471,-0.841694,0.002533,0.000063,0.256513,0.117918
41,3.559377,472,-0.794156,0.002532,0.000068,0.231172,0.624395
42,3.558314,473,-0.935631,0.002531,0.000068,0.215865,5.291973
43,3.556574,474,-0.827182,0.002530,0.000067,0.263029,0.136470
44,3.555162,475,-0.832529,0.002529,0.000067,0.294801,0.119776
45,3.554002,476,-0.925728,0.002528,0.000061,0.255461,5.273122
46,3.552587,477,-0.897125,0.002527,0.000065,0.293250,5.297055
47,3.551628,478,-0.853546,0.002526,0.000061,0.299801,5.308872
48,3.550675,479,-0.896898,0.002525,0.000060,0.233128,5.263921
49,3.549665,480,-0.849387,0.002525,0.000064,0.198788,0.099415
50,3.548508,481,-0.867051,0.002524,0.000062,0.293609,5.313086
51,3.547622,482,-0.830270,0.002523,0.000063,0.366322,5.264124
52,3.546983,483,-0.809593,0.002523,0.000059,0.212892,0.104649
53,3.546350,484,-0.841803,0.002522,0.000059,0.226012,5.291556
54,3.545530,485,-0.864430,0.002522,0.000058,0.326588,5.288447
55,3.544765,486,-0.852564,0.002521,0.000056,0.222525,0.107201
56,3.544021,487,-0.913390,0.002521,0.000060,0.232936,5.301842
57,3.543110,488,-0.877319,0.002520,0.000064,0.291716,5.277471
58,3.542334,489,-0.899267,0.002519,0.000060,0.200733,5.270095
59,3.541741,490,-0.778938,0.002519,0.000060,0.251049,0.905533
60,3.541117,491,-0.792387,0.002519,0.000064,0.235045,0.119829
61,3.540627,492,-0.834486,0.002518,0.000058,0.219267,5.274658
62,3.539852,493,-0.912520,0.002518,0.000055,0.212442,5.302327
63,3.538812,494,-0.857500,0.002517,0.000060,0.307735,5.272592
64,3.537976,495,-0.785196,0.002516,0.000062,0.235423,0.121546
65,3.537582,496,-0.898818,0.002516,0.000056,0.282675,5.313362
66,3.536977,497,-0.772210,0.002516,0.000055,0.277895,0.405902
67,3.536391,498,-0.859699,0.002515,0.000060,0.278629,5.278148
68,3.535719,499,-0.865854,0.002515,0.000062,0.279233,5.308722
69,3.534834,500,-0.792500,0.002514,0.000057,0.281058,0.122178
70,3.534389,501,-0.849578,0.002514,0.000060,0.225842,5.278447
71,3.533839,502,-0.792456,0.002513,0.000057,0.247331,5.326039
72,3.533138,503,-0.820990,0.002513,0.000057,0.331629,5.310605
73,3.532529,504,-0.854178,0.002512,0.000056,0.353794,5.265746
74,3.531779,505,-0.891691,0.002512,0.000056,0.267528,5.296927
75,3.531272,506,-0.831177,0.002512,0.000057,0.280533,5.274489
76,3.530738,507,-0.782608,0.002511,0.000056,0.262096,0.105622
77,3.530017,508,-0.837776,0.002511,0.000053,0.261056,5.309031
78,3.529225,509,-0.821907,0.002510,0.000058,0.300695,5.311112
79,3.528630,510,-0.833935,0.002510,0.000055,0.222219,5.261192
80,3.528074,511,-0.784462,0.002509,0.000057,0.237408,5.352117
81,3.527512,512,-0.831427,0.002509,0.000054,0.321322,5.281748
82,3.527147,513,-0.865721,0.002509,0.000056,0.247542,5.302340
