cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.842740,431,-1.524680,0.002733,0.000111,0.371849,0.190784
1,3.796661,432,-1.157466,0.002700,0.000087,0.252053,0.189919
2,3.775876,433,-1.276277,0.002686,0.000084,0.229649,0.190743
3,3.760431,434,-1.102713,0.002675,0.000077,0.262400,0.188620
4,3.749974,435,-1.188447,0.002667,0.000077,0.208434,0.183031
5,3.742506,436,-1.226470,0.002662,0.000080,0.239203,0.180529
6,3.737788,437,-1.033664,0.002658,0.000071,0.249506,0.184967
7,3.734266,438,-1.116613,0.002656,0.000072,0.226043,0.184688
8,3.730531,439,-1.119252,0.002653,0.000071,0.267282,0.178099
9,3.727875,440,-1.036663,0.002651,0.000071,0.212814,0.184418
10,3.725530,441,-1.046849,0.002650,0.000063,0.283210,0.186275
11,3.723175,442,-1.044149,0.002648,0.000069,0.228605,0.188374
12,3.721723,443,-1.047000,0.002647,0.000068,0.247344,0.186526
13,3.720412,444,-1.008058,0.002646,0.000062,0.273902,0.206685
14,3.719096,445,-1.104241,0.002645,0.000065,0.231097,0.185470
15,3.717785,446,-1.031148,0.002644,0.000059,0.269962,0.183856
16,3.716194,447,-1.053116,0.002643,0.000065,0.285154,0.182965
17,3.715208,448,-1.145373,0.002642,0.000069,0.231217,0.180264
18,3.713910,449,-1.108026,0.002641,0.000065,0.279862,0.202714
19,3.712679,450,-1.054563,0.002641,0.000071,0.311150,0.187595
20,3.711896,451,-1.088272,0.002640,0.000068,0.257120,0.187144
21,3.711209,452,-0.994422,0.002640,0.000063,0.265425,0.187628
22,3.710724,453,-1.087172,0.002639,0.000063,0.240588,0.193662
23,3.710296,454,-1.076511,0.002639,0.000063,0.395531,0.380378
24,3.709881,455,-1.030493,0.002639,0.000065,0.425707,0.336422
25,3.709423,456,-1.076742,0.002638,0.000066,0.473683,0.343427
26,3.708826,457,-1.058285,0.002638,0.000059,0.528506,0.342718
27,3.708130,458,-1.130526,0.002637,0.000065,0.635011,0.391570
28,3.707700,459,-1.024442,0.002637,0.000064,0.462226,0.337416
29,3.707313,460,-1.053492,0.002637,0.000061,0.421778,0.358302
30,3.706958,461,-1.059102,0.002637,0.000060,0.487340,0.371099
31,3.706436,462,-0.984002,0.002636,0.000058,0.501506,0.329513
32,3.706013,463,-1.140817,0.002636,0.000060,0.548351,0.369466
33,3.705455,464,-1.110796,0.002635,0.000063,0.559436,0.350060
34,3.704818,465,-1.062602,0.002635,0.000061,0.494782,0.365063
35,3.704191,466,-1.083032,0.002635,0.000066,0.731822,0.338958
36,3.703471,467,-1.066800,0.002634,0.000059,0.783443,0.390095
37,3.702844,468,-1.005526,0.002634,0.000058,0.608063,0.363463
38,3.702075,469,-1.070446,0.002633,0.000060,0.955423,0.379450
39,3.701390,470,-1.002950,0.002633,0.000062,0.710529,0.417309
40,3.700714,471,-1.045399,0.002632,0.000064,1.016175,0.333032
41,3.700151,472,-1.015900,0.002632,0.000065,0.630204,0.367528
42,3.699620,473,-0.985336,0.002631,0.000059,0.587893,0.327633
43,3.699185,474,-1.004303,0.002631,0.000063,0.590003,0.371289
44,3.698684,475,-1.016768,0.002631,0.000062,0.464432,0.319131
45,3.698008,476,-1.023669,0.002630,0.000059,0.617746,0.339066
46,3.697492,477,-1.033668,0.002630,0.000064,0.489942,0.322200
47,3.697047,478,-0.960955,0.002629,0.000058,0.504674,0.371428
48,3.696762,479,-0.984647,0.002629,0.000058,0.645214,0.332195
49,3.696444,480,-1.021447,0.002629,0.000059,0.539473,0.359317
50,3.696271,481,-0.995851,0.002629,0.000062,0.480628,0.350841
51,3.696009,482,-0.987110,0.002629,0.000057,0.557129,0.335171
52,3.695732,483,-1.056498,0.002629,0.000056,0.548647,0.316960
53,3.695535,484,-1.029337,0.002628,0.000056,0.617510,0.334212
54,3.695262,485,-1.042183,0.002628,0.000058,0.652126,0.321129
55,3.694946,486,-1.045587,0.002628,0.000060,0.531329,0.330090
56,3.694629,487,-1.023086,0.002628,0.000054,0.801917,0.341334
57,3.694276,488,-0.984001,0.002628,0.000057,0.670376,0.379169
58,3.693834,489,-1.034907,0.002627,0.000057,0.664078,0.337918
59,3.693542,490,-0.985112,0.002627,0.000058,0.754267,0.369360
60,3.693117,491,-1.007408,0.002627,0.000057,0.588445,0.411421
61,3.692745,492,-1.052970,0.002626,0.000062,0.700294,0.354986
62,3.692281,493,-1.068480,0.002626,0.000058,0.592835,0.358278
63,3.691810,494,-1.017087,0.002626,0.000062,0.651272,0.338318
64,3.691223,495,-1.118493,0.002625,0.000059,0.624457,0.204007
65,3.690726,496,-1.028562,0.002625,0.000058,0.341642,0.184442
66,3.690251,497,-0.996464,0.002625,0.000058,0.393683,0.188680
67,3.689807,498,-1.005407,0.002624,0.000056,0.352151,0.186038
68,3.689493,499,-1.033427,0.002624,0.000059,0.349747,0.184917
69,3.689051,500,-0.977158,0.002624,0.000055,0.364575,0.184138
70,3.688329,501,-0.995987,0.002623,0.000056,0.461400,0.181810
71,3.687874,502,-1.055651,0.002623,0.000053,0.357597,0.183470
72,3.687568,503,-0.950087,0.002623,0.000053,0.351283,0.175434
73,3.687333,504,-1.041296,0.002623,0.000053,0.342082,0.177848
74,3.686816,505,-0.994393,0.002622,0.000055,0.353957,0.173012
75,3.686439,506,-0.971150,0.002622,0.000057,0.370067,0.190732
76,3.685972,507,-0.986269,0.002622,0.000057,0.368249,0.186426
77,3.685629,508,-1.017634,0.002621,0.000057,0.373666,0.184159
78,3.685310,509,-1.001532,0.002621,0.000055,0.347274,0.185917
79,3.684995,510,-0.927160,0.002621,0.000054,0.338985,0.182999
80,3.684618,511,-0.986891,0.002621,0.000054,0.362907,0.190231
81,3.684267,512,-1.028284,0.002620,0.000058,0.379543,0.184069
82,3.683720,513,-1.015149,0.002620,0.000055,0.338174,0.185287
83,3.683303,514,-1.023370,0.002620,0.000051,0.357404,0.177402
84,3.682965,515,-0.959599,0.002619,0.000050,0.375982,0.182670
85,3.682649,516,-1.021917,0.002619,0.000053,0.328507,0.180681
86,3.682270,517,-0.988877,0.002619,0.000053,0.360504,0.181421
87,3.681991,518,-0.939823,0.002619,0.000053,0.429264,0.183363
88,3.681614,519,-1.009869,0.002619,0.000051,0.352743,0.185035
89,3.681142,520,-0.968721,0.002618,0.000051,0.377091,0.184441
90,3.680743,521,-0.992740,0.002618,0.000055,0.416814,0.184029
91,3.680401,522,-0.978390,0.002618,0.000050,0.388603,0.198702
92,3.680108,523,-1.065117,0.002617,0.000055,0.469287,0.178725
93,3.679710,524,-0.930658,0.002617,0.000052,0.380792,0.183727
94,3.679327,525,-0.998108,0.002617,0.000052,0.336917,0.190670
95,3.678892,526,-1.029216,0.002617,0.000051,0.381407,0.189381
96,3.678582,527,-1.000852,0.002616,0.000050,0.382517,0.179931
97,3.678222,528,-1.064965,0.002616,0.000055,0.394967,0.183617
98,3.677889,529,-1.019170,0.002616,0.000053,0.387761,0.184526
99,3.677472,530,-0.943013,0.002616,0.000050,0.364335,0.191195
100,3.677134,531,-1.001438,0.002615,0.000050,0.368746,0.182903
101,3.676864,532,-0.947659,0.002615,0.000053,0.421197,0.185878
102,3.676511,533,-0.919487,0.002615,0.000050,0.416022,0.194762
103,3.676113,534,-0.957712,0.002615,0.000051,0.366021,0.172431
104,3.675800,535,-1.014969,0.002614,0.000051,0.386833,0.180897
105,3.675404,536,-0.946930,0.002614,0.000050,0.424742,0.238497
106,3.675108,537,-0.935369,0.002614,0.000048,0.418863,0.235346
107,3.674849,538,-0.978644,0.002614,0.000053,0.383219,0.176289
108,3.674574,539,-0.988806,0.002613,0.000051,0.458765,0.181983
109,3.674264,540,-1.009988,0.002613,0.000048,0.399235,0.183966
110,3.674069,541,-0.986206,0.002613,0.000049,0.434612,0.182364
111,3.673867,542,-1.032921,0.002613,0.000050,0.417278,0.182683
112,3.673698,543,-0.988658,0.002613,0.000050,0.391659,0.181553
113,3.673480,544,-0.882721,0.002613,0.000049,0.448174,0.228355
114,3.673221,545,-0.960627,0.002613,0.000050,0.385744,0.181779
115,3.672961,546,-0.939390,0.002612,0.000055,0.371259,0.178665
116,3.672602,547,-0.906668,0.002612,0.000049,0.413426,0.197682
117,3.672279,548,-0.963960,0.002612,0.000050,0.424776,0.178821
118,3.671918,549,-0.946496,0.002612,0.000050,0.407026,0.261152
119,3.671595,550,-0.952016,0.002611,0.000054,0.428611,0.207739
120,3.671359,551,-0.952666,0.002611,0.000056,0.310009,0.187795
121,3.671157,552,-0.876481,0.002611,0.000054,0.334188,0.259382
122,3.670955,553,-0.942526,0.002611,0.000053,0.368625,0.181252
123,3.670749,554,-0.948785,0.002611,0.000051,0.340947,0.172800
124,3.670554,555,-0.986014,0.002611,0.000049,0.456742,0.182416
125,3.670363,556,-0.924188,0.002610,0.000050,0.476357,0.228541
126,3.670216,557,-0.914266,0.002610,0.000050,0.433418,0.233528
127,3.670093,558,-0.969908,0.002610,0.000046,0.435475,0.178952
128,3.669881,559,-0.964767,0.002610,0.000050,0.494399,0.181674
129,3.669730,560,-0.936285,0.002610,0.000048,0.348390,0.178579
130,3.669558,561,-0.932604,0.002610,0.000046,0.400447,0.214958
131,3.669357,562,-0.993588,0.002610,0.000049,0.427827,0.198046
132,3.669105,563,-0.965768,0.002610,0.000051,0.475855,0.198024
133,3.668903,564,-0.935987,0.002609,0.000046,0.438760,0.184040
134,3.668726,565,-0.933358,0.002609,0.000046,0.409344,0.201267
135,3.668540,566,-0.934997,0.002609,0.000047,0.432732,0.191166
136,3.668326,567,-0.932766,0.002609,0.000050,0.473266,0.192572
137,3.668069,568,-0.917100,0.002609,0.000049,0.493611,0.191956
138,3.667837,569,-0.895551,0.002609,0.000049,0.441341,0.184951
139,3.667572,570,-0.912902,0.002609,0.000048,0.498980,0.207174
140,3.667422,571,-0.947267,0.002608,0.000045,0.451165,0.190864
141,3.667268,572,-0.967778,0.002608,0.000051,0.432595,0.182822
142,3.667118,573,-0.938304,0.002608,0.000048,0.467888,0.174888
143,3.666934,574,-0.907718,0.002608,0.000045,0.404523,0.189794
144,3.666806,575,-0.965479,0.002608,0.000051,0.460562,0.181975
145,3.666660,576,-0.928730,0.002608,0.000049,0.453622,0.183335
146,3.666513,577,-0.946133,0.002608,0.000048,0.502138,0.180416
147,3.666383,578,-0.976718,0.002608,0.000051,0.503832,0.183839
148,3.666202,579,-0.960906,0.002608,0.000047,0.500508,0.184431
149,3.666071,580,-0.915234,0.002607,0.000049,0.419608,0.182937
