iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,16,0.011388,0.000000,0.057071,1389,196,0.000000
0,1,16,0.011388,0.000000,0.000000,1389,110,0.000000
0,2,16,0.011388,0.000000,0.084773,1389,181,0.000000
0,3,16,0.011388,0.000000,0.000000,1389,120,0.000000
0,4,16,0.011388,0.000000,0.084068,1389,173,0.000000
0,5,16,0.011388,0.000000,0.000000,1389,122,0.000000
0,6,16,0.011388,0.000000,0.187610,1389,166,0.000000
0,7,16,0.011388,0.000000,0.000000,1389,126,0.000000
0,8,16,0.011388,0.000000,0.181821,1389,162,0.000000
0,9,16,0.011388,0.000000,0.154824,1389,122,0.000000
0,10,16,0.011388,0.064034,0.102837,1389,96,0.281472
0,11,16,0.011388,0.000000,0.000036,1389,182,0.000000
0,12,16,0.011388,0.000000,0.045172,1389,111,0.000000
0,13,16,0.011388,0.000000,0.056626,1389,169,0.000000
0,14,16,0.011388,0.000000,0.018823,1389,102,0.000000
0,15,16,0.011388,0.000000,0.000000,1389,165,0.000000
0,16,16,0.011388,0.000000,0.045172,1389,115,0.000000
0,17,16,0.011388,0.000000,0.161852,1389,162,0.000000
0,18,16,0.011388,0.000000,0.024846,1389,101,0.000000
0,19,16,0.011388,0.000000,0.136589,1389,156,0.000000
0,20,16,0.011388,0.000000,0.136589,1389,114,0.000000
0,21,16,0.011388,0.000000,0.111284,1389,105,0.000000
0,22,16,0.011388,0.000000,0.067858,1389,182,0.000000
0,23,16,0.011388,0.000000,0.054236,1389,123,0.000000
0,24,16,0.011388,0.028740,0.036753,1389,157,0.676331
0,25,16,0.011388,0.000000,0.081830,1389,110,0.000000
0,26,16,0.011388,0.000000,0.086285,1389,170,0.000000
0,27,16,0.011388,0.000000,0.000000,1389,127,0.000000
0,28,16,0.011388,0.000000,0.038955,1389,153,0.000000
0,29,16,0.011388,0.000000,0.030176,1389,123,0.000000
0,30,16,0.011388,0.000000,0.045232,1389,180,0.000000
0,31,16,0.011388,0.000000,0.018235,1389,128,0.000000
0,32,16,0.011388,0.000000,0.013354,1389,114,0.000000
0,33,16,0.011388,0.000000,0.000036,1389,87,0.000000
0,34,16,0.011388,0.000000,0.045172,1389,79,0.000000
0,35,16,0.011388,0.000000,0.048574,1389,84,0.000000
0,36,16,0.011388,0.000000,0.018823,1389,76,0.000000
0,37,16,0.011388,0.000000,0.017864,1389,84,0.000000
0,38,16,0.011388,0.000000,0.045172,1389,80,0.000000
0,39,16,0.011388,0.000000,0.066192,1389,84,0.000000
0,40,16,0.011388,0.000000,0.024846,1389,74,0.000000
0,41,16,0.011388,0.000000,0.017864,1389,77,0.000000
0,42,16,0.011388,0.000000,0.000000,1389,75,0.000000
0,43,16,0.011388,0.000000,0.023676,1389,74,0.000000
0,44,12,0.008541,0.000000,0.033034,1393,196,0.000000
0,45,12,0.008541,0.000000,0.076483,1393,190,0.000000
0,46,12,0.008541,0.000000,0.030817,1393,184,0.000000
0,47,12,0.008541,0.000000,0.104077,1393,182,0.000000
0,48,12,0.008541,0.000000,0.024464,1393,200,0.000000
0,49,12,0.008541,0.000000,0.022247,1393,196,0.000000
0,50,12,0.008541,0.000000,0.022247,1393,192,0.000000
0,51,12,0.008541,0.000000,0.052423,1393,181,0.000000
0,52,12,0.008541,0.000000,0.022247,1393,200,0.000000
0,53,12,0.008541,0.000000,0.022247,1393,199,0.000000
0,54,12,0.008541,0.000000,0.024829,1393,191,0.000000
0,55,44,0.031317,0.000000,0.070859,1361,63,0.000000
0,56,16,0.011388,0.000000,0.105604,1389,186,0.000000
0,57,16,0.011388,0.000000,0.032582,1389,101,0.000000
0,58,16,0.011388,0.000000,0.029278,1389,159,0.000000
0,59,16,0.011388,0.000000,0.002816,1389,102,0.000000
0,60,16,0.011388,0.000000,0.103323,1389,167,0.000000
0,61,16,0.011388,0.000000,0.088670,1389,113,0.000000
0,62,16,0.011388,0.000000,0.034626,1389,158,0.000000
0,63,16,0.011388,0.000000,0.059372,1389,109,0.000000
0,64,16,0.011388,0.000000,0.153581,1389,146,0.000000
0,65,16,0.011388,0.000000,0.185488,1389,107,0.000000
0,66,16,0.011388,0.000000,0.093998,1389,101,0.000000
0,67,16,0.011388,0.000000,0.068098,1389,165,0.000000
0,68,16,0.011388,0.000000,0.058152,1389,100,0.000000
0,69,16,0.011388,0.000000,0.029278,1389,150,0.000000
0,70,16,0.011388,0.000000,0.018823,1389,98,0.000000
0,71,16,0.011388,0.000000,0.038821,1389,149,0.000000
0,72,16,0.011388,0.021457,0.116095,1389,103,0.094318
0,73,16,0.011388,0.000000,0.037336,1389,151,0.000000
0,74,16,0.011388,0.000000,0.078195,1389,100,0.000000
0,75,16,0.011388,0.000000,0.109208,1389,147,0.000000
0,76,16,0.011388,0.000000,0.167151,1389,110,0.000000
0,77,16,0.011388,0.011278,0.096708,1389,99,0.049574
0,78,16,0.011388,0.000000,0.111457,1389,177,0.000000
0,79,16,0.011388,0.000000,0.069418,1389,117,0.000000
0,80,16,0.011388,0.016432,0.089461,1389,155,0.622228
0,81,16,0.011388,0.000000,0.057710,1389,105,0.000000
0,82,16,0.011388,0.000000,0.072793,1389,161,0.000000
0,83,16,0.011388,0.000000,0.050563,1389,114,0.000000
0,84,16,0.011388,0.000000,0.034287,1389,160,0.000000
0,85,16,0.011388,0.000000,0.009996,1389,116,0.000000
0,86,16,0.011388,0.001400,0.044373,1389,158,0.006154
0,87,16,0.011388,0.000000,0.054347,1389,120,0.000000
0,88,16,0.011388,0.000000,0.018599,1389,115,0.000000
0,89,16,0.011388,0.054236,0.006073,1389,76,0.788401
0,90,16,0.011388,0.000000,0.037687,1389,75,0.000000
0,91,16,0.011388,0.000000,0.000000,1389,81,0.000000
0,92,16,0.011388,0.000000,0.018823,1389,77,0.000000
0,93,16,0.011388,0.000000,0.023937,1389,72,0.000000
0,94,16,0.011388,0.000000,0.037687,1389,72,0.000000
0,95,16,0.011388,0.000000,0.013197,1389,74,0.000000
0,96,16,0.011388,0.000000,0.018823,1389,75,0.000000
0,97,16,0.011388,0.000000,0.017864,1389,70,0.000000
0,98,16,0.011388,0.000000,0.000000,1389,76,0.000000
0,99,16,0.011388,0.000000,0.013197,1389,79,0.000000
0,100,12,0.008541,0.000000,0.129673,1393,188,0.000000
0,101,12,0.008541,0.000000,0.119096,1393,191,0.000000
0,102,12,0.008541,0.000000,0.151257,1393,181,0.000000
0,103,12,0.008541,0.000000,0.116689,1393,184,0.000000
0,104,12,0.008541,0.000000,0.064013,1393,184,0.000000
0,105,12,0.008541,0.047533,0.102096,1393,190,0.208937
0,106,12,0.008541,0.000000,0.085596,1393,193,0.000000
0,107,12,0.008541,0.000000,0.071791,1393,179,0.000000
0,108,12,0.008541,0.000000,0.061796,1393,191,0.000000
0,109,12,0.008541,0.001937,0.097806,1393,192,0.008514
0,110,12,0.008541,0.000000,0.069908,1393,182,0.000000
0,111,44,0.031317,0.000000,0.017864,1361,60,0.000000
0,112,16,0.011388,0.000000,0.087545,1389,182,0.000000
0,113,16,0.011388,0.000000,0.040363,1389,109,0.000000
