iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,4,0.035398,0.000000,0.000000,109,260,0.000000
0,1,4,0.035398,0.000000,0.000000,109,108,0.000000
0,2,6,0.053097,0.000000,1.000000,107,196,0.000000
0,3,6,0.053097,0.000000,1.000000,107,92,0.000000
0,4,6,0.053097,0.000000,1.000000,107,207,0.000000
0,5,6,0.053097,0.000000,1.000000,107,134,0.000000
0,6,6,0.053097,0.000000,1.000000,107,187,0.000000
0,7,6,0.053097,0.000000,1.000000,107,127,0.000000
0,8,6,0.053097,0.000000,1.000000,107,194,0.000000
0,9,6,0.053097,0.000000,1.000000,107,151,0.000000
0,10,6,0.053097,0.000000,2.000000,107,144,0.000000
0,11,6,0.053097,0.000000,2.000000,107,135,0.000000
0,12,14,0.123894,0.833333,5.000000,99,60,1.000000
0,13,14,0.123894,0.833333,5.000000,99,56,0.450000
0,14,14,0.123894,0.833333,5.000000,99,55,0.450000
0,15,14,0.123894,0.833333,5.000000,99,54,0.450000
0,16,14,0.123894,0.833333,5.000000,99,51,0.450000
0,17,14,0.123894,0.833333,5.000000,99,58,0.450000
0,18,5,0.044248,0.000000,0.166667,108,226,0.000000
0,19,5,0.044248,0.000000,0.166667,108,104,0.000000
0,20,7,0.061947,0.000000,1.000000,106,175,0.000000
0,21,7,0.061947,0.000000,1.000000,106,100,0.000000
0,22,7,0.061947,0.000000,1.000000,106,182,0.000000
0,23,7,0.061947,0.000000,1.000000,106,133,0.000000
0,24,7,0.061947,0.000000,1.000000,106,165,0.000000
0,25,7,0.061947,0.000000,1.000000,106,129,0.000000
0,26,7,0.061947,0.000000,1.000000,106,187,0.000000
0,27,7,0.061947,0.000000,1.000000,106,150,0.000000
0,28,7,0.061947,0.000000,1.833333,106,154,0.000000
0,29,7,0.061947,0.000000,1.833333,106,146,0.000000
0,30,15,0.132743,0.166667,4.333333,98,92,0.640000
0,31,15,0.132743,0.166667,4.333333,98,84,0.090000
0,32,15,0.132743,0.166667,4.333333,98,82,0.090000
0,33,15,0.132743,0.166667,4.333333,98,86,0.090000
0,34,15,0.132743,0.166667,4.333333,98,85,0.090000
0,35,15,0.132743,0.166667,4.333333,98,94,0.090000
0,36,5,0.044248,0.000000,0.000000,108,225,0.000000
0,37,5,0.044248,0.000000,0.000000,108,142,0.000000
0,38,7,0.061947,0.000000,0.166667,106,185,0.000000
0,39,7,0.061947,0.000000,0.166667,106,122,0.000000
0,40,7,0.061947,0.000000,0.166667,106,184,0.000000
0,41,7,0.061947,0.000000,0.166667,106,149,0.000000
0,42,7,0.061947,0.000000,0.166667,106,186,0.000000
0,43,7,0.061947,0.000000,0.166667,106,153,0.000000
0,44,7,0.061947,0.000000,0.166667,106,192,0.000000
0,45,7,0.061947,0.000000,0.166667,106,150,0.000000
0,46,7,0.061947,0.000000,0.333333,106,194,0.000000
0,47,7,0.061947,0.000000,0.333333,106,172,0.000000
0,48,15,0.132743,-0.000000,0.833333,98,115,0.000000
0,49,15,0.132743,0.000000,0.833333,98,107,0.000000
0,50,15,0.132743,0.000000,0.833333,98,109,0.000000
0,51,15,0.132743,0.000000,0.833333,98,111,0.000000
0,52,15,0.132743,0.000000,0.833333,98,115,0.000000
0,53,15,0.132743,0.000000,0.833333,98,117,0.000000
0,54,5,0.044248,0.000000,0.000000,108,209,0.000000
0,55,5,0.044248,0.000000,0.000000,108,139,0.000000
0,56,7,0.061947,0.000000,0.000000,106,170,0.000000
0,57,7,0.061947,0.000000,0.000000,106,118,0.000000
0,58,7,0.061947,0.000000,0.000000,106,182,0.000000
0,59,7,0.061947,0.000000,0.000000,106,141,0.000000
0,60,7,0.061947,0.000000,0.000000,106,168,0.000000
0,61,7,0.061947,0.000000,0.000000,106,155,0.000000
0,62,7,0.061947,0.000000,0.000000,106,169,0.000000
0,63,7,0.061947,0.000000,0.000000,106,155,0.000000
0,64,7,0.061947,0.000000,0.000000,106,182,0.000000
0,65,7,0.061947,0.000000,0.000000,106,176,0.000000
0,66,15,0.132743,0.000000,0.000000,98,111,0.000000
0,67,15,0.132743,0.000000,0.000000,98,115,0.000000
0,68,15,0.132743,0.000000,0.000000,98,112,0.000000
0,69,15,0.132743,-0.000000,0.000000,98,116,0.000000
0,70,15,0.132743,-0.000000,0.000000,98,122,0.000000
0,71,15,0.132743,0.000000,0.000000,98,111,0.000000
