cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,6.560892,430,-0.198707,0.009509,0.002949,0.061907,0.044612
1,6.526961,431,-0.122701,0.009459,0.003034,0.007802,0.044412
2,6.504393,432,-0.123263,0.009427,0.003080,0.007539,0.045313
3,6.502299,433,-0.108581,0.009424,0.003090,0.006075,0.045248
4,6.500000,434,-0.106936,0.009420,0.003105,0.006611,0.045742
5,6.496857,435,-0.092789,0.009416,0.003271,0.007962,0.043688
6,6.483871,436,-0.098118,0.009397,0.003336,0.008562,0.062228
7,6.470149,437,-0.082090,0.009377,0.003396,0.008584,0.049402
8,6.462788,438,-0.093931,0.009366,0.003492,0.007370,0.051490
9,6.453608,439,-0.087629,0.009353,0.003268,0.006695,0.079106
10,6.447236,440,-0.396985,0.009344,0.003374,0.006754,0.065446
11,6.333333,441,-0.166667,0.009179,0.004344,0.011863,0.048524
12,6.332710,442,-0.057944,0.009178,0.004069,0.008983,0.084086
13,6.332413,443,-0.060773,0.009177,0.004008,0.008025,0.161076
14,6.328868,444,-0.013064,0.009172,0.004431,0.007317,0.202947
15,6.328829,445,0.000000,0.009172,0.004557,0.009572,0.184341
