iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,8,0.011611,0.000000,0.024919,681,277,0
0,1,8,0.011611,0.024919,0.000000,681,78,1
0,2,12,0.017417,0.000000,0.720045,677,199,0
0,3,12,0.017417,0.000000,0.695126,677,62,1
0,4,12,0.017417,0.000000,0.695212,677,210,0
0,5,12,0.017417,0.000000,0.695212,677,99,1
0,6,12,0.017417,0.000000,0.695212,677,181,0
0,7,12,0.017417,0.000000,0.695212,677,101,0
0,8,12,0.017417,0.000000,0.679363,677,187,1
0,9,12,0.017417,0.000000,0.679363,677,141,1
0,10,12,0.017417,0.000000,1.538271,677,141,0
0,11,12,0.017417,0.000000,1.538271,677,130,0
0,12,28,0.040639,0.509613,3.579884,661,46,0
0,13,28,0.040639,0.511764,3.608058,661,47,0
0,14,28,0.040639,0.511868,3.607972,661,51,0
0,15,28,0.040639,0.540991,3.607972,661,42,1
0,16,28,0.040639,0.511764,3.623821,661,48,0
0,17,28,0.040639,0.526595,3.488211,661,42,0
0,18,10,0.014514,0.000000,0.322944,679,209,0
0,19,10,0.014514,0.000000,0.298025,679,76,0
0,20,14,0.020319,0.000000,0.837128,675,164,0
0,21,14,0.020319,0.000000,0.812209,675,59,0
0,22,14,0.020319,0.000000,0.851428,675,175,0
0,23,14,0.020319,0.000000,0.851428,675,103,0
0,24,14,0.020319,0.000000,0.925993,675,145,0
0,25,14,0.020319,0.000000,0.925993,675,92,0
0,26,14,0.020319,0.000000,0.880917,675,166,0
0,27,14,0.020319,0.000000,0.880917,675,124,0
0,28,14,0.020319,0.000000,1.620100,675,130,0
0,29,14,0.020319,0.000000,1.620100,675,125,0
0,30,30,0.043541,0.103199,3.278446,659,59,0
0,31,30,0.043541,0.096471,3.384362,659,66,0
0,32,30,0.043541,0.120059,3.345144,659,66,0
0,33,30,0.043541,0.067244,3.270579,659,72,0
0,34,30,0.043541,0.096471,3.315655,659,64,0
0,35,30,0.043541,0.112997,3.196572,659,60,0
0,36,10,0.014514,0.000000,0.234584,679,239,1
0,37,10,0.014514,0.000000,0.234584,679,115,1
0,38,14,0.020319,0.000000,0.415526,675,186,1
0,39,14,0.020319,0.000000,0.415526,675,97,1
0,40,14,0.020319,0.000000,0.376393,675,193,1
0,41,14,0.020319,0.000000,0.376393,675,128,1
0,42,14,0.020319,0.000000,0.301829,675,183,1
0,43,14,0.020319,0.000000,0.301829,675,129,1
0,44,14,0.020319,0.000000,0.331055,675,185,1
0,45,14,0.020319,0.000000,0.331055,675,148,1
0,46,14,0.020319,0.000000,0.450781,675,192,1
0,47,14,0.020319,0.000000,0.450781,675,158,1
0,48,30,0.043541,0.000000,0.834047,659,103,1
0,49,30,0.043541,0.000000,0.756305,659,98,1
0,50,30,0.043541,0.000000,0.795437,659,104,1
0,51,30,0.043541,0.000000,0.870002,659,92,1
0,52,30,0.043541,0.000000,0.840776,659,103,1
0,53,30,0.043541,0.000000,0.824249,659,108,1
0,54,10,0.014514,0.000000,0.272506,679,193,0
0,55,10,0.014514,0.000000,0.250433,679,116,0
0,56,14,0.020319,0.000000,0.278607,675,167,0
0,57,14,0.020319,0.000000,0.278607,675,107,0
0,58,14,0.020319,0.000000,0.272506,675,171,0
0,59,14,0.020319,0.000000,0.250433,675,121,0
0,60,14,0.020319,0.000000,0.250433,675,158,0
0,61,14,0.020319,0.000000,0.250433,675,129,0
0,62,14,0.020319,0.000000,0.273733,675,163,0
0,63,14,0.020319,0.000000,0.273733,675,134,0
0,64,14,0.020319,0.000000,0.276640,675,165,0
0,65,14,0.020319,0.000000,0.276640,675,145,0
0,66,30,0.043541,0.000000,0.303031,659,97,0
0,67,30,0.043541,0.000000,0.322013,659,104,0
0,68,30,0.043541,0.000000,0.328114,659,105,0
0,69,30,0.043541,0.000000,0.328114,659,114,0
0,70,30,0.043541,0.000000,0.304814,659,108,0
0,71,30,0.043541,0.000000,0.326990,659,102,0
0,72,10,0.014514,0.000000,0.234584,679,112,1
0,73,10,0.014514,0.000000,0.234584,679,68,1
0,74,14,0.020319,0.000000,0.234584,675,91,1
0,75,14,0.020319,0.022073,0.234584,675,60,1
0,76,14,0.020319,0.000000,0.234584,675,94,1
0,77,14,0.020319,0.000000,0.234584,675,74,1
0,78,14,0.020319,0.000000,0.234584,675,102,1
0,79,14,0.020319,0.000000,0.234584,675,77,1
0,80,14,0.020319,0.000000,0.234584,675,98,1
0,81,14,0.020319,0.000000,0.234584,675,77,1
0,82,14,0.020319,0.000000,0.234584,675,115,1
0,83,14,0.020319,0.000000,0.234584,675,93,1
0,84,30,0.043541,0.025083,0.234584,659,63,1
0,85,30,0.043541,0.007476,0.234584,659,62,1
0,86,30,0.043541,0.000000,0.234584,659,63,1
