cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,6.560892,430,-0.482415,0.009509,0.002949,0.058316,0.137453
1,6.491551,431,-0.370991,0.009408,0.002914,0.017559,0.131307
2,6.460313,432,-0.323549,0.009363,0.003466,0.009722,0.154708
3,6.450784,433,-0.307763,0.009349,0.003476,0.016213,0.155184
4,6.432750,434,-0.266895,0.009323,0.003549,0.011309,0.133342
5,6.421075,435,-0.278822,0.009306,0.003516,0.012437,0.150530
6,6.409531,436,-0.248829,0.009289,0.003318,0.011128,0.157731
7,6.404075,437,-0.264616,0.009281,0.003753,0.009502,0.150871
8,6.400841,438,-0.283530,0.009277,0.003217,0.006879,0.146126
9,6.397304,439,-0.226025,0.009271,0.003423,0.008141,0.169025
10,6.392613,440,-0.197285,0.009265,0.003602,0.009830,0.157358
11,6.388329,441,-0.221854,0.009258,0.003764,0.010319,0.152387
12,6.385131,442,-0.213680,0.009254,0.003974,0.007707,0.158496
13,6.382459,443,-0.216775,0.009250,0.003301,0.009613,0.151456
14,6.379156,444,-0.200560,0.009245,0.003581,0.008679,0.158484
15,6.378859,445,-0.207716,0.009245,0.003701,0.007797,0.150494
16,6.374917,446,-0.255367,0.009239,0.003602,0.009555,0.156364
17,6.371946,447,-0.221594,0.009235,0.003614,0.009919,0.151117
18,6.368831,448,-0.192254,0.009230,0.003656,0.013151,0.160412
19,6.365404,449,-0.204462,0.009225,0.003808,0.011146,0.156804
20,6.363423,450,-0.209823,0.009222,0.004080,0.008233,0.146585
21,6.359140,451,-0.217783,0.009216,0.003680,0.010722,0.148722
22,6.353840,452,-0.208796,0.009208,0.003641,0.010633,0.157606
23,6.352642,453,-0.127092,0.009207,0.003876,0.010622,0.170590
24,6.350844,454,-0.178025,0.009204,0.004279,0.010553,0.156548
25,6.348824,455,-0.130963,0.009201,0.004355,0.010337,0.147128
26,6.345959,456,-0.148702,0.009197,0.003999,0.007675,0.160054
27,6.343430,457,-0.159483,0.009193,0.003955,0.009853,0.161324
28,6.340842,458,-0.160719,0.009190,0.003953,0.009741,0.175879
29,6.339118,459,-0.191687,0.009187,0.004049,0.011244,0.176010
30,6.337428,460,-0.182542,0.009185,0.003686,0.011573,0.204703
31,6.335853,461,-0.172567,0.009182,0.004109,0.014923,0.167818
32,6.335565,462,-0.128100,0.009182,0.004037,0.010056,0.185005
33,6.334543,463,-0.139830,0.009180,0.003680,0.010142,0.157250
34,6.333333,464,-0.111111,0.009179,0.003798,0.013461,0.137411
35,6.333333,465,-0.066667,0.009179,0.004032,0.009905,0.149889
36,6.333333,466,-0.166667,0.009179,0.004344,0.012900,0.124959
37,6.333300,467,-0.056777,0.009179,0.004252,0.013586,0.156561
38,6.333283,468,-0.043110,0.009179,0.004257,0.014271,0.160514
39,6.332732,469,-0.049220,0.009178,0.004305,0.015416,0.156178
40,6.332518,470,-0.044867,0.009178,0.004318,0.008828,0.173229
41,6.332203,471,-0.036170,0.009177,0.004281,0.013844,0.162540
42,6.332032,472,-0.043610,0.009177,0.004245,0.011938,0.157911
43,6.331581,473,-0.030593,0.009176,0.004361,0.011666,0.182932
44,6.331240,474,-0.039184,0.009176,0.004317,0.009248,0.165143
45,6.330929,475,-0.033623,0.009175,0.004343,0.011507,0.161663
46,6.330592,476,-0.039372,0.009175,0.004389,0.010895,0.177484
47,6.330245,477,-0.039668,0.009174,0.004345,0.010210,0.150829
48,6.329926,478,-0.036828,0.009174,0.004395,0.008459,0.162195
49,6.329576,479,-0.032336,0.009173,0.004364,0.010794,0.200421
50,6.329197,480,-0.034228,0.009173,0.004333,0.011993,0.167238
51,6.329066,481,-0.030853,0.009173,0.004350,0.010133,0.171514
52,6.328850,482,-0.033920,0.009172,0.004252,0.008894,0.165422
53,6.328829,483,0.000000,0.009172,0.004557,0.013215,0.147526
