cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,7.585678,432,-1.107500,0.001830,0.000464,0.675709,1.396313
1,7.461363,433,-0.959117,0.001800,0.000404,0.155926,1.378365
2,7.415564,434,-0.915737,0.001789,0.000404,0.135269,1.386214
3,7.386703,435,-0.934138,0.001782,0.000413,0.118456,1.409582
4,7.349904,436,-0.906967,0.001773,0.000425,0.134799,1.403214
5,7.340154,437,-0.974722,0.001770,0.000433,0.141319,1.381427
6,7.329500,438,-0.882464,0.001768,0.000457,0.136211,1.390895
7,7.320048,439,-0.890552,0.001766,0.000469,0.115831,1.374583
8,7.310836,440,-0.878930,0.001763,0.000464,0.134246,1.444506
9,7.300161,441,-0.877091,0.001761,0.000446,0.158918,1.397315
10,7.291685,442,-0.931232,0.001759,0.000484,0.132399,1.380089
11,7.284421,443,-0.886789,0.001757,0.000429,0.141457,1.428253
12,7.276737,444,-0.925198,0.001755,0.000421,0.161119,1.402484
13,7.267982,445,-0.844693,0.001753,0.000447,0.135533,1.378745
14,7.263261,446,-0.867831,0.001752,0.000410,0.115213,1.378366
15,7.255192,447,-0.903514,0.001750,0.000369,0.150765,1.369618
16,7.249583,448,-0.941783,0.001749,0.000376,0.132060,1.374580
17,7.244615,449,-0.851056,0.001747,0.000382,0.126598,1.466287
18,7.238207,450,-0.940557,0.001746,0.000377,0.146947,1.374705
19,7.232469,451,-0.904094,0.001744,0.000418,0.157023,1.377119
20,7.227939,452,-0.855038,0.001743,0.000380,0.124425,1.442387
21,7.223213,453,-0.873403,0.001742,0.000373,0.114460,1.432726
22,7.220670,454,-0.858886,0.001742,0.000388,0.126248,1.417691
23,7.215534,455,-0.895702,0.001740,0.000454,0.175729,1.380700
24,7.211023,456,-0.797961,0.001739,0.000400,0.163485,1.486289
25,7.207681,457,-0.815588,0.001738,0.000412,0.119002,1.464897
26,7.204405,458,-0.851655,0.001738,0.000412,0.178457,1.437056
27,7.202030,459,-0.915363,0.001737,0.000407,0.158444,1.377319
28,7.199008,460,-0.850017,0.001736,0.000380,0.139875,1.449925
29,7.195608,461,-0.918997,0.001736,0.000435,0.148157,1.445952
30,7.192742,462,-0.890140,0.001735,0.000435,0.130467,1.395789
31,7.189263,463,-0.864620,0.001734,0.000389,0.146947,1.384986
32,7.185291,464,-0.863350,0.001733,0.000389,0.143199,1.378124
33,7.179942,465,-0.848779,0.001732,0.000403,0.168866,1.372801
34,7.175147,466,-0.882478,0.001731,0.000414,0.172471,1.383482
35,7.171564,467,-0.822272,0.001730,0.000397,0.127956,1.451451
36,7.167917,468,-0.924185,0.001729,0.000410,0.134657,1.394088
