cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,7.585678,432,-0.468113,0.001830,0.000464,0.642073,1.800569
1,7.510017,433,-0.386683,0.001811,0.000448,0.123894,1.581261
2,7.477584,434,-0.392169,0.001804,0.000428,0.090915,1.402138
3,7.427605,435,-0.629023,0.001792,0.000430,0.085997,1.090101
4,7.361353,436,-0.267772,0.001776,0.000439,0.111243,1.637962
5,7.339598,437,-0.303211,0.001770,0.000454,0.058815,1.124000
6,7.319003,438,-0.323773,0.001765,0.000447,0.083690,1.543781
7,7.279046,439,-0.398256,0.001756,0.000437,0.075564,1.318043
8,7.241489,440,-0.210329,0.001747,0.000459,0.071778,1.205118
9,7.225025,441,-0.221607,0.001743,0.000451,0.057150,1.641264
10,7.220455,442,-0.299982,0.001742,0.000465,0.054131,1.826396
11,7.193244,443,-0.202318,0.001735,0.000448,0.068734,1.546802
12,7.187349,444,-0.255244,0.001734,0.000550,0.060470,1.224838
13,7.171784,445,-0.233457,0.001730,0.000498,0.065330,1.706040
14,7.153188,446,-0.259068,0.001725,0.000438,0.073606,1.914533
15,7.131656,447,-0.191776,0.001720,0.000442,0.068073,1.686089
16,7.120685,448,-0.196276,0.001717,0.000452,0.058551,1.864158
17,7.105149,449,-0.212404,0.001714,0.000470,0.045728,2.075886
18,7.087451,450,-0.204182,0.001709,0.000478,0.064378,1.766292
19,7.077909,451,-0.232441,0.001707,0.000539,0.049762,4.532959
20,7.066584,452,-0.179551,0.001704,0.000507,0.076619,2.070746
21,7.063568,453,-0.532284,0.001704,0.000502,0.045143,3.147771
22,6.976366,454,-0.186693,0.001683,0.000499,0.097021,1.369170
23,6.957569,455,-0.228391,0.001678,0.000526,0.053700,3.359317
24,6.930927,456,-0.684767,0.001672,0.000563,0.054225,3.612735
25,6.891264,457,-0.174028,0.001662,0.000476,0.088547,3.548229
26,6.884149,458,-0.164298,0.001660,0.000447,0.048634,3.453383
27,6.876565,459,-0.167060,0.001659,0.000426,0.054437,1.925202
28,6.871586,460,-0.159761,0.001657,0.000420,0.050556,3.680836
29,6.868109,461,-0.165990,0.001657,0.000470,0.053822,4.032927
30,6.861666,462,-0.170243,0.001655,0.000478,0.055280,4.245471
31,6.853257,463,-0.146956,0.001653,0.000476,0.045190,2.476900
32,6.844836,464,-0.153960,0.001651,0.000515,0.053115,1.611145
33,6.842805,465,-0.412705,0.001650,0.000509,0.046226,4.411956
34,6.791234,466,-0.145363,0.001638,0.000483,0.066871,1.255118
35,6.782907,467,-0.442871,0.001636,0.000403,0.042613,7.631553
36,6.766100,468,-0.136530,0.001632,0.000500,0.058975,3.230523
37,6.757621,469,-0.385357,0.001630,0.000550,0.052936,5.012367
38,6.678220,470,-0.119944,0.001611,0.000326,0.088389,1.973106
39,6.672391,471,-0.176421,0.001609,0.000359,0.054646,1.505354
40,6.663756,472,-0.147868,0.001607,0.000339,0.054535,1.793575
41,6.662258,473,-0.168531,0.001607,0.000363,0.068381,1.379186
42,6.658870,474,-0.131148,0.001606,0.000402,0.042748,1.965228
43,6.652100,475,-0.110644,0.001604,0.000383,0.052147,1.451577
44,6.651204,476,-0.199010,0.001604,0.000347,0.041720,1.803858
45,6.632013,477,-0.124207,0.001600,0.000385,0.076874,1.534165
46,6.627606,478,-0.111965,0.001599,0.000377,0.065283,1.211279
47,6.625953,479,-0.105334,0.001598,0.000396,0.048058,2.211451
48,6.621949,480,-0.113554,0.001597,0.000373,0.047828,1.858126
49,6.613277,481,-0.133198,0.001595,0.000371,0.060960,1.737192
50,6.609771,482,-0.118308,0.001594,0.000389,0.047723,1.273294
51,6.603819,483,-0.100819,0.001593,0.000414,0.049769,2.156694
52,6.599260,484,-0.110904,0.001592,0.000419,0.049830,2.693296
53,6.598617,485,-0.101442,0.001592,0.000457,0.053058,1.578743
54,6.597026,486,-0.172756,0.001591,0.000458,0.049774,1.186991
55,6.595401,487,-0.111539,0.001591,0.000455,0.070476,1.747922
56,6.589586,488,-0.138981,0.001589,0.000524,0.041233,1.515731
57,6.583376,489,-0.100555,0.001588,0.000494,0.095044,6.147341
58,6.582901,490,-0.108965,0.001588,0.000508,0.046796,5.368792
59,6.577188,491,-0.416669,0.001586,0.000531,0.053575,5.368975
60,6.538462,492,-0.153846,0.001577,0.000610,0.105013,1.566692
61,6.536876,493,-0.161618,0.001577,0.000540,0.049373,2.606137
62,6.534916,494,-0.270361,0.001576,0.000569,0.043549,1.583025
63,6.525057,495,-0.244415,0.001574,0.000624,0.102322,2.427125
64,6.509503,496,-0.107762,0.001570,0.000419,0.085475,1.468253
65,6.507860,497,-0.095847,0.001570,0.000419,0.064138,1.771842
66,6.505148,498,-0.092144,0.001569,0.000425,0.041281,2.331938
67,6.504908,499,-0.085339,0.001569,0.000416,0.050375,1.755316
68,6.504527,500,-0.088844,0.001569,0.000432,0.038335,1.313132
69,6.503744,501,-0.329945,0.001569,0.000420,0.058991,7.771902
70,6.501207,502,-0.173769,0.001568,0.000482,0.087602,7.844945
71,6.498607,503,-0.144863,0.001567,0.000501,0.066985,7.822044
72,6.497648,504,-0.087762,0.001567,0.000475,0.060720,3.011202
73,6.496366,505,-0.143246,0.001567,0.000489,0.053244,7.917175
74,6.495818,506,-0.071202,0.001567,0.000526,0.068356,7.982185
75,6.494757,507,-0.057713,0.001567,0.000531,0.048969,5.978384
76,6.494007,508,-0.052660,0.001566,0.000526,0.056871,7.741999
77,6.492677,509,-0.064253,0.001566,0.000531,0.064169,5.257645
78,6.491228,510,-0.072224,0.001566,0.000563,0.073664,2.105293
79,6.490745,511,-0.029296,0.001566,0.000576,0.074688,3.183433
80,6.490523,512,-0.028896,0.001565,0.000576,0.082253,3.150462
81,6.488280,513,-0.032549,0.001565,0.000545,0.072291,2.279969
82,6.488241,514,-0.030410,0.001565,0.000540,0.046913,2.698172
83,6.487613,515,-0.031250,0.001565,0.000572,0.060382,1.629906
84,6.487435,516,-0.026316,0.001565,0.000571,0.081211,3.577581
85,6.486895,517,-0.010911,0.001565,0.000551,0.041245,7.342893
86,6.486890,518,-0.006322,0.001565,0.000570,0.042398,3.412797
87,6.486858,519,-0.005098,0.001565,0.000570,0.075411,3.327413
88,6.486836,520,0.000000,0.001565,0.000570,0.079754,3.331610
