iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,16,0.003860,0.000000,0.126698,4129,258,1
0,1,16,0.003860,0.000000,0.000000,4129,71,0
0,2,24,0.005790,0.000000,0.701279,4121,186,0
0,3,24,0.005790,0.000000,0.701279,4121,55,0
0,4,24,0.005790,0.000000,0.780574,4121,178,1
0,5,24,0.005790,0.000000,0.653876,4121,85,1
0,6,24,0.005790,0.000000,0.683350,4121,169,0
0,7,24,0.005790,0.000000,0.683350,4121,97,0
0,8,24,0.005790,0.000000,0.731360,4121,177,1
0,9,24,0.005790,0.000000,0.731360,4121,113,1
0,10,24,0.005790,0.000000,1.704550,4121,139,0
0,11,24,0.005790,0.000000,1.704550,4121,122,0
0,12,56,0.013510,0.361888,3.604267,4089,35,0
0,13,56,0.013510,0.569110,3.899833,4089,37,1
0,14,56,0.013510,0.533550,3.820538,4089,41,0
0,15,56,0.013510,0.517833,3.791064,4089,35,0
0,16,56,0.013510,0.488819,3.743055,4089,39,0
0,17,56,0.013510,0.397731,3.640012,4089,35,0
0,18,20,0.004825,0.000000,0.424073,4125,200,1
0,19,20,0.004825,0.000000,0.350914,4125,68,0
0,20,28,0.006755,0.000000,1.044789,4117,151,0
0,21,28,0.006755,0.020065,1.044789,4117,51,0
0,22,28,0.006755,0.000000,0.957623,4117,153,1
0,23,28,0.006755,0.000000,0.884464,4117,77,1
0,24,28,0.006755,0.000000,0.946382,4117,137,0
0,25,28,0.006755,0.000000,0.946382,4117,84,0
0,26,28,0.006755,0.000000,0.924937,4117,150,1
0,27,28,0.006755,0.000000,0.924937,4117,97,1
0,28,28,0.006755,0.000000,1.579461,4117,114,0
0,29,28,0.006755,0.000000,1.579461,4117,102,0
0,30,60,0.014475,0.211875,3.373196,4085,47,0
0,31,60,0.014475,0.000000,3.355662,4085,52,1
0,32,60,0.014475,0.000000,3.442828,4085,50,0
0,33,60,0.014475,0.052682,3.380910,4085,56,0
0,34,60,0.014475,0.050435,3.402356,4085,45,0
0,35,60,0.014475,0.209038,3.351014,4085,44,0
0,36,20,0.004825,0.000000,0.271843,4125,211,1
0,37,20,0.004825,0.000000,0.218304,4125,92,0
