cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.378231,430,-0.191165,0.030104,0.000618,0.020388,0.017095
1,2.366669,431,-0.194161,0.029958,0.000518,0.023377,0.022984
2,2.360063,432,-0.180741,0.029874,0.000445,0.005785,0.020592
3,2.358047,433,-0.130454,0.029849,0.000394,0.004721,0.106891
4,2.355668,434,-0.152960,0.029819,0.000446,0.005694,0.051543
5,2.354443,435,-0.166633,0.029803,0.000491,0.005342,0.054745
6,2.353654,436,-0.156953,0.029793,0.000435,0.005953,0.015667
7,2.351609,437,-0.167242,0.029767,0.000374,0.006296,0.013131
8,2.350143,438,-0.139661,0.029749,0.000520,0.005993,0.100805
9,2.348578,439,-0.143051,0.029729,0.000427,0.005931,0.051206
10,2.345603,440,-0.145266,0.029691,0.000431,0.006625,0.034508
11,2.344200,441,-0.135369,0.029673,0.000413,0.004903,0.042625
12,2.342023,442,-0.130769,0.029646,0.000404,0.010062,0.169487
13,2.340162,443,-0.121784,0.029622,0.000379,0.014500,0.177325
14,2.339200,444,-0.115092,0.029610,0.000399,0.006411,0.157502
15,2.338927,445,-0.109820,0.029607,0.000422,0.024766,0.181547
16,2.338569,446,-0.106286,0.029602,0.000379,0.005559,0.098163
17,2.337734,447,-0.149191,0.029592,0.000496,0.004324,0.039159
18,2.337239,448,-0.113805,0.029585,0.000365,0.004562,0.092675
19,2.335706,449,-0.130247,0.029566,0.000342,0.005763,0.057059
20,2.334477,450,-0.154353,0.029550,0.000478,0.012816,0.022778
21,2.332771,451,-0.120738,0.029529,0.000414,0.008236,0.075514
22,2.331992,452,-0.117714,0.029519,0.000401,0.003999,0.099624
23,2.330767,453,-0.130415,0.029503,0.000436,0.009222,0.040982
24,2.330136,454,-0.120836,0.029495,0.000390,0.006839,0.078515
25,2.329165,455,-0.116198,0.029483,0.000378,0.008653,0.086037
26,2.328456,456,-0.120076,0.029474,0.000417,0.008937,0.077452
27,2.328179,457,-0.121288,0.029471,0.000433,0.013520,0.083413
28,2.327763,458,-0.100474,0.029465,0.000392,0.002309,0.151818
29,2.327236,459,-0.098209,0.029459,0.000296,0.005842,0.107670
30,2.326546,460,-0.102138,0.029450,0.000337,0.006170,0.118601
31,2.325908,461,-0.096477,0.029442,0.000323,0.004075,0.110016
32,2.325582,462,-0.090687,0.029438,0.000362,0.004550,0.147318
33,2.325502,463,-0.112383,0.029437,0.000302,0.003334,0.082142
34,2.324996,464,-0.113191,0.029430,0.000367,0.005755,0.070862
35,2.324447,465,-0.106976,0.029423,0.000303,0.005324,0.087604
36,2.323835,466,-0.102858,0.029416,0.000336,0.004001,0.104158
37,2.323323,467,-0.108339,0.029409,0.000319,0.002558,0.102531
38,2.322697,468,-0.088004,0.029401,0.000268,0.003129,0.123303
39,2.321926,469,-0.086323,0.029391,0.000249,0.003632,0.111279
40,2.319854,470,-0.099928,0.029365,0.000354,0.006042,0.114401
41,2.318433,471,-0.076896,0.029347,0.000312,0.015346,0.140454
42,2.318113,472,-0.083777,0.029343,0.000258,0.007206,0.216458
43,2.317347,473,-0.110056,0.029334,0.000436,0.005177,0.084256
44,2.316947,474,-0.097449,0.029328,0.000365,0.014475,0.137367
45,2.316234,475,-0.071743,0.029319,0.000273,0.004160,0.144686
46,2.315791,476,-0.105715,0.029314,0.000306,0.012132,0.103844
47,2.314944,477,-0.092604,0.029303,0.000334,0.008196,0.114089
48,2.314325,478,-0.097460,0.029295,0.000272,0.005412,0.134454
49,2.313564,479,-0.095531,0.029286,0.000320,0.006808,0.130045
50,2.313082,480,-0.099488,0.029280,0.000369,0.004300,0.109105
51,2.312854,481,-0.066099,0.029277,0.000294,0.002510,0.196000
52,2.312518,482,-0.070178,0.029272,0.000243,0.004215,0.171193
53,2.310862,483,-0.088321,0.029251,0.000308,0.003548,0.148010
54,2.310646,484,-0.077239,0.029249,0.000293,0.001405,0.154305
55,2.310253,485,-0.063767,0.029244,0.000287,0.003841,0.148118
56,2.309597,486,-0.084914,0.029235,0.000292,0.013327,0.123877
57,2.309194,487,-0.067115,0.029230,0.000252,0.004468,0.140538
58,2.308630,488,-0.068399,0.029223,0.000222,0.008458,0.180001
59,2.307996,489,-0.079108,0.029215,0.000311,0.003344,0.117210
60,2.307849,490,-0.070235,0.029213,0.000283,0.003649,0.132839
61,2.307512,491,-0.092223,0.029209,0.000377,0.003608,0.161198
62,2.307367,492,-0.063322,0.029207,0.000281,0.003527,0.234080
63,2.306973,493,-0.068459,0.029202,0.000242,0.003332,0.163723
64,2.306542,494,-0.057433,0.029197,0.000239,0.006568,0.174882
65,2.306108,495,-0.048158,0.029191,0.000171,0.005109,0.186532
66,2.305940,496,-0.063222,0.029189,0.000238,0.003884,0.151766
67,2.305864,497,-0.053179,0.029188,0.000197,0.001199,0.101995
