iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,4,0.051282,0.034455,0.151768,74,219,0.709650
0,1,4,0.051282,0.040263,0.149440,74,131,0.186557
0,2,4,0.051282,0.027761,0.094146,74,214,0.678630
0,3,4,0.051282,0.048034,0.196148,74,139,0.222568
0,4,4,0.051282,0.000000,0.120477,74,201,0.000000
0,5,4,0.051282,0.003913,0.050411,74,147,0.018132
0,6,4,0.051282,0.000000,0.018142,74,209,0.000000
0,7,4,0.051282,0.039237,0.128763,74,155,0.181806
0,8,4,0.051282,0.021464,0.100270,74,194,0.649454
0,9,4,0.051282,0.009881,0.037310,74,155,0.595785
0,10,4,0.051282,0.022439,0.138884,74,186,0.103969
0,11,4,0.051282,0.037170,0.156299,74,167,0.172228
0,12,4,0.051282,0.045324,0.078639,74,140,0.760009
0,13,4,0.051282,0.064574,0.153868,74,190,0.849202
0,14,4,0.051282,0.049970,0.124538,74,135,0.231537
0,15,4,0.051282,0.022650,0.123865,74,198,0.104949
0,16,4,0.051282,0.013501,0.099825,74,129,0.062558
0,17,4,0.051282,0.097119,0.126990,74,183,1.000000
0,18,4,0.051282,0.000000,0.043426,74,150,0.000000
0,19,4,0.051282,0.000000,0.090942,74,181,0.000000
0,20,4,0.051282,0.019704,0.093991,74,144,0.091300
0,21,4,0.051282,0.010181,0.133771,74,174,0.047172
0,22,4,0.051282,0.004348,0.119950,74,157,0.020146
0,23,4,0.051282,0.014871,0.078516,74,167,0.068905
0,24,4,0.051282,0.004159,0.136267,74,159,0.019270
0,25,4,0.051282,0.079331,0.198818,74,145,0.367579
0,26,4,0.051282,0.062321,0.155430,74,195,0.838767
0,27,4,0.051282,0.025852,0.140832,74,145,0.119785
0,28,4,0.051282,0.000000,0.128891,74,191,0.000000
0,29,4,0.051282,0.039719,0.213945,74,142,0.184037
0,30,4,0.051282,0.003048,0.118346,74,194,0.564123
0,31,4,0.051282,0.053837,0.103206,74,154,0.799455
0,32,4,0.051282,0.015665,0.073879,74,185,0.622585
0,33,4,0.051282,0.000000,0.138732,74,159,0.000000
0,34,4,0.051282,0.069479,0.127471,74,179,0.871932
0,35,4,0.051282,0.023311,0.081387,74,153,0.658009
0,36,4,0.051282,0.081846,0.180976,74,184,0.929233
0,37,4,0.051282,0.057363,0.147198,74,161,0.815794
0,38,4,0.051282,0.000000,0.089140,74,152,0.000000
0,39,4,0.051282,0.025852,0.185469,74,181,0.119785
0,40,4,0.051282,0.054031,0.122402,74,144,0.250355
0,41,4,0.051282,0.027756,0.147803,74,179,0.128610
0,42,4,0.051282,0.037927,0.132452,74,152,0.175734
0,43,4,0.051282,0.026401,0.116827,74,183,0.122329
0,44,4,0.051282,0.024890,0.081962,74,147,0.115326
0,45,4,0.051282,0.052800,0.137259,74,177,0.244647
0,46,4,0.051282,0.047214,0.120602,74,154,0.218766
0,47,4,0.051282,0.005031,0.080626,74,178,0.023313
0,48,4,0.051282,0.044641,0.224852,74,157,0.206847
0,49,4,0.051282,0.013716,0.096203,74,163,0.063555
0,50,4,0.051282,0.056394,0.115817,74,164,0.261300
0,51,4,0.051282,0.052656,0.227306,74,149,0.243981
0,52,4,0.051282,0.041766,0.124500,74,141,0.743524
0,53,4,0.051282,0.057315,0.095814,74,129,0.815571
0,54,4,0.051282,0.018314,0.095371,74,142,0.634860
0,55,4,0.051282,0.062583,0.094459,74,132,0.839979
0,56,4,0.051282,0.025316,0.101233,74,143,0.667303
0,57,4,0.051282,0.010798,0.114765,74,135,0.600034
0,58,4,0.051282,0.047982,0.162854,74,134,0.772327
0,59,4,0.051282,0.014525,0.031432,74,129,0.617301
0,60,4,0.051282,0.022758,0.107209,74,139,0.655450
0,61,4,0.051282,0.049313,0.137259,74,128,0.778490
0,62,4,0.051282,0.079358,0.190621,74,133,0.917708
0,63,4,0.051282,0.008738,0.057687,74,134,0.590488
0,64,4,0.051282,0.023580,0.110246,74,135,0.659258
0,65,3,0.038462,0.042206,0.181266,75,208,0.195560
0,66,3,0.038462,0.016450,0.121449,75,209,0.076221
0,67,3,0.038462,0.000000,0.129482,75,223,0.000000
0,68,3,0.038462,0.016092,0.128451,75,216,0.074562
0,69,3,0.038462,0.000000,0.138476,75,211,0.000000
0,70,3,0.038462,0.000000,0.127665,75,208,0.000000
0,71,3,0.038462,0.034209,0.121479,75,219,0.158507
0,72,3,0.038462,0.000000,0.109442,75,218,0.000000
0,73,3,0.038462,0.000000,0.084631,75,223,0.000000
0,74,3,0.038462,0.093323,0.188709,75,217,0.432414
0,75,3,0.038462,0.036534,0.134261,75,222,0.169281
0,76,3,0.038462,0.003602,0.107706,75,232,0.016690
0,77,3,0.038462,0.000000,0.149465,75,216,0.000000
0,78,13,0.166667,0.061368,0.242416,65,107,0.834349
1,0,4,0.051282,0.062276,0.152468,74,220,0.322727
1,1,4,0.051282,0.019017,0.164431,74,131,0.648548
1,2,4,0.051282,0.017161,0.114386,74,215,0.088932
1,3,4,0.051282,0.046818,0.219056,74,139,0.792620
1,4,4,0.051282,0.024762,0.132664,74,201,0.128319
1,5,4,0.051282,0.037843,0.059985,74,147,0.746110
1,6,4,0.051282,0.000000,0.068481,74,209,0.000000
1,7,4,0.051282,0.042739,0.179354,74,155,0.771481
1,8,4,0.051282,0.000000,0.114004,74,195,0.000000
1,9,4,0.051282,0.000000,0.075831,74,156,0.000000
1,10,4,0.051282,0.067085,0.136208,74,186,0.897646
1,11,4,0.051282,0.054009,0.173327,74,167,0.829882
1,12,4,0.051282,0.055805,0.130084,74,141,0.289191
1,13,4,0.051282,0.045181,0.159843,74,191,0.234138
1,14,4,0.051282,0.057526,0.128394,74,135,0.848109
1,15,4,0.051282,0.039812,0.126557,74,198,0.206312
1,16,4,0.051282,0.029107,0.130007,74,129,0.700839
1,17,4,0.051282,0.086836,0.144143,74,184,0.450000
1,18,4,0.051282,0.000000,0.023148,74,150,0.000000
