cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,2.378231,430,-0.191165,0.030104,0.000618,0.012104,0.076910
1,2.363172,431,-0.189651,0.029914,0.000666,0.002828,0.074467
2,2.352884,432,-0.181837,0.029783,0.000430,0.004130,0.627815
3,2.348554,433,-0.160015,0.029729,0.000645,0.003459,0.361853
4,2.344533,434,-0.152153,0.029678,0.000654,0.003442,0.645467
5,2.341628,435,-0.159382,0.029641,0.000653,0.002123,0.143029
6,2.339653,436,-0.132539,0.029616,0.000551,0.002655,1.592353
7,2.339230,437,-0.139144,0.029611,0.000503,0.002927,0.456187
8,2.338056,438,-0.134321,0.029596,0.000583,0.002904,0.002599
9,2.334197,439,-0.124378,0.029547,0.000581,0.003796,2.136474
10,2.333517,440,-0.136158,0.029538,0.000514,0.003265,0.040466
11,2.333092,441,-0.139640,0.029533,0.000599,0.003390,0.004736
12,2.332302,442,-0.134552,0.029523,0.000601,0.003251,0.223493
13,2.331029,443,-0.129578,0.029507,0.000475,0.003218,0.986012
14,2.329977,444,-0.123050,0.029493,0.000522,0.002995,0.093590
15,2.327209,445,-0.131657,0.029458,0.000549,0.002976,0.005503
16,2.325118,446,-0.113734,0.029432,0.000376,0.003681,3.294067
17,2.322795,447,-0.111528,0.029402,0.000449,0.003031,1.737990
18,2.321458,448,-0.111331,0.029386,0.000545,0.002384,0.055779
19,2.319737,449,-0.111971,0.029364,0.000421,0.002686,0.400963
20,2.318734,450,-0.111585,0.029351,0.000345,0.002541,1.275605
21,2.317996,451,-0.124009,0.029342,0.000361,0.004294,0.004906
22,2.316480,452,-0.120925,0.029323,0.000357,0.003178,0.118585
23,2.314392,453,-0.097178,0.029296,0.000295,0.003899,5.056138
24,2.313401,454,-0.091227,0.029284,0.000310,0.002958,5.064235
25,2.312983,455,-0.089111,0.029278,0.000292,0.002354,5.043779
26,2.312356,456,-0.073126,0.029270,0.000334,0.002119,5.119763
27,2.311611,457,-0.068809,0.029261,0.000367,0.002862,3.251215
28,2.311345,458,-0.068781,0.029258,0.000371,0.001932,1.300391
29,2.310954,459,-0.074608,0.029253,0.000331,0.002508,0.043419
30,2.310755,460,-0.067393,0.029250,0.000307,0.001944,5.064662
31,2.310446,461,-0.074400,0.029246,0.000259,0.001520,0.155413
32,2.309356,462,-0.078168,0.029232,0.000309,0.002027,0.101866
33,2.308816,463,-0.074995,0.029226,0.000376,0.002242,0.963616
34,2.308618,464,-0.072714,0.029223,0.000279,0.001791,1.346848
35,2.307568,465,-0.075499,0.029210,0.000355,0.002811,0.001140
36,2.307317,466,-0.066420,0.029207,0.000367,0.002197,0.016708
37,2.307202,467,-0.069426,0.029205,0.000323,0.001815,1.414519
38,2.306595,468,-0.066704,0.029197,0.000387,0.002341,0.002635
39,2.306428,469,-0.070242,0.029195,0.000307,0.002140,0.001860
40,2.306131,470,-0.066245,0.029192,0.000307,0.001666,0.088535
41,2.305885,471,-0.067476,0.029188,0.000338,0.001624,1.069627
42,2.305622,472,-0.074125,0.029185,0.000299,0.001691,2.162600
43,2.305424,473,-0.065724,0.029183,0.000330,0.001856,0.169107
44,2.304955,474,-0.066874,0.029177,0.000307,0.002791,0.275734
45,2.304020,475,-0.073030,0.029165,0.000274,0.002698,3.698412
46,2.303864,476,-0.066775,0.029163,0.000267,0.002375,2.570950
47,2.303145,477,-0.068690,0.029154,0.000314,0.002496,0.443357
48,2.302781,478,-0.062458,0.029149,0.000274,0.001661,5.062775
49,2.302345,479,-0.063655,0.029144,0.000277,0.001877,3.001955
50,2.302101,480,-0.065754,0.029141,0.000320,0.002018,0.184305
51,2.301279,481,-0.063478,0.029130,0.000313,0.002502,1.105707
52,2.300540,482,-0.111665,0.029121,0.000320,0.002861,1.090161
53,2.299554,483,-0.066860,0.029108,0.000314,0.003370,0.066367
54,2.299371,484,-0.072929,0.029106,0.000304,0.001907,0.842077
55,2.298942,485,-0.072519,0.029101,0.000324,0.003070,1.161165
56,2.298887,486,-0.067255,0.029100,0.000309,0.002630,4.250219
57,2.298165,487,-0.060435,0.029091,0.000250,0.002588,1.374020
58,2.297746,488,-0.077193,0.029085,0.000268,0.002151,5.080751
59,2.297071,489,-0.054114,0.029077,0.000299,0.003040,5.094273
60,2.296842,490,-0.052362,0.029074,0.000289,0.001809,5.097308
61,2.296472,491,-0.052753,0.029069,0.000241,0.001567,1.402031
62,2.296133,492,-0.051873,0.029065,0.000271,0.002514,1.999256
63,2.296054,493,-0.052188,0.029064,0.000254,0.002431,0.001764
64,2.295842,494,-0.045122,0.029061,0.000238,0.002553,5.096029
65,2.295750,495,-0.046842,0.029060,0.000294,0.001590,1.577593
66,2.295498,496,-0.046070,0.029057,0.000295,0.001926,0.001579
67,2.295298,497,-0.044475,0.029054,0.000238,0.003056,5.111830
68,2.294913,498,-0.047413,0.029050,0.000257,0.002824,2.212020
69,2.294615,499,-0.045958,0.029046,0.000250,0.001981,0.567596
70,2.294053,500,-0.057179,0.029039,0.000238,0.003712,5.086027
71,2.293701,501,-0.038463,0.029034,0.000237,0.002732,5.071237
72,2.293658,502,-0.040940,0.029034,0.000227,0.001043,0.233853
73,2.292982,503,-0.054602,0.029025,0.000226,0.001762,4.060075
74,2.292708,504,-0.057577,0.029022,0.000267,0.001556,0.055309
75,2.292232,505,-0.041376,0.029016,0.000232,0.001389,0.779737
76,2.291966,506,-0.064302,0.029012,0.000256,0.001812,0.018146
77,2.291657,507,-0.042107,0.029008,0.000230,0.002246,0.230842
78,2.291324,508,-0.045616,0.029004,0.000227,0.002612,3.408304
79,2.291257,509,-0.033118,0.029003,0.000211,0.002275,5.139498
80,2.291229,510,-0.040238,0.029003,0.000230,0.002732,2.279712
81,2.290449,511,-0.034130,0.028993,0.000237,0.002515,0.046503
82,2.290242,512,-0.048290,0.028990,0.000211,0.002375,5.072249
83,2.290109,513,-0.032704,0.028989,0.000200,0.001825,5.093490
84,2.289917,514,-0.032001,0.028986,0.000221,0.001953,5.096512
85,2.289623,515,-0.042353,0.028983,0.000194,0.001901,5.078696
86,2.289579,516,-0.037743,0.028982,0.000199,0.001468,5.142334
87,2.289466,517,-0.032486,0.028981,0.000199,0.002338,5.113945
88,2.289273,518,-0.034205,0.028978,0.000190,0.002600,5.117782
89,2.288933,519,-0.034550,0.028974,0.000206,0.001836,0.447144
90,2.288570,520,-0.031844,0.028969,0.000197,0.002887,4.801621
