iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,4,0.051282,0.034455,0.151768,74,219,1
0,1,4,0.051282,0.040263,0.149440,74,131,0
0,2,4,0.051282,0.027761,0.094146,74,214,1
0,3,4,0.051282,0.048034,0.196148,74,139,0
0,4,4,0.051282,0.000000,0.120477,74,201,1
0,5,4,0.051282,0.003913,0.050411,74,147,0
0,6,4,0.051282,0.000000,0.018142,74,209,0
0,7,4,0.051282,0.039237,0.128763,74,155,0
0,8,4,0.051282,0.021464,0.100270,74,194,1
0,9,4,0.051282,0.009881,0.037310,74,155,1
0,10,4,0.051282,0.022439,0.138884,74,186,0
0,11,4,0.051282,0.037170,0.156299,74,167,0
0,12,4,0.051282,0.045324,0.078639,74,140,1
0,13,4,0.051282,0.064574,0.153868,74,190,1
0,14,4,0.051282,0.049970,0.124538,74,135,0
0,15,4,0.051282,0.022650,0.123865,74,198,0
0,16,4,0.051282,0.013501,0.099825,74,129,0
0,17,4,0.051282,0.097119,0.126990,74,183,1
0,18,4,0.051282,0.000000,0.043426,74,150,0
0,19,4,0.051282,0.000000,0.090942,74,181,0
0,20,4,0.051282,0.019704,0.093991,74,144,0
0,21,4,0.051282,0.010181,0.133771,74,174,0
0,22,4,0.051282,0.004348,0.119950,74,157,0
0,23,4,0.051282,0.014871,0.078516,74,167,0
0,24,4,0.051282,0.004159,0.136267,74,159,0
0,25,4,0.051282,0.079331,0.198818,74,145,0
0,26,4,0.051282,0.062321,0.155430,74,195,1
0,27,4,0.051282,0.025852,0.140832,74,145,0
0,28,4,0.051282,0.000000,0.128891,74,191,1
0,29,4,0.051282,0.039719,0.213945,74,142,0
0,30,4,0.051282,0.003048,0.118346,74,194,1
0,31,4,0.051282,0.053837,0.103206,74,154,1
0,32,4,0.051282,0.015665,0.073879,74,185,1
0,33,4,0.051282,0.000000,0.138732,74,159,0
0,34,4,0.051282,0.069479,0.127471,74,179,1
0,35,4,0.051282,0.023311,0.081387,74,153,1
0,36,4,0.051282,0.081846,0.180976,74,184,1
0,37,4,0.051282,0.057363,0.147198,74,161,1
0,38,4,0.051282,0.000000,0.089140,74,152,1
0,39,4,0.051282,0.025852,0.185469,74,181,0
0,40,4,0.051282,0.054031,0.122402,74,144,0
0,41,4,0.051282,0.027756,0.147803,74,179,0
0,42,4,0.051282,0.037927,0.132452,74,152,0
0,43,4,0.051282,0.026401,0.116827,74,183,0
0,44,4,0.051282,0.024890,0.081962,74,147,0
0,45,4,0.051282,0.052800,0.137259,74,177,0
0,46,4,0.051282,0.047214,0.120602,74,154,0
0,47,4,0.051282,0.005031,0.080626,74,178,0
0,48,4,0.051282,0.044641,0.224852,74,157,0
0,49,4,0.051282,0.013716,0.096203,74,163,0
0,50,4,0.051282,0.056394,0.115817,74,164,0
0,51,4,0.051282,0.052656,0.227306,74,149,0
0,52,4,0.051282,0.041766,0.124500,74,141,1
0,53,4,0.051282,0.057315,0.095814,74,129,1
0,54,4,0.051282,0.018314,0.095371,74,142,1
0,55,4,0.051282,0.062583,0.094459,74,132,1
0,56,4,0.051282,0.025316,0.101233,74,143,1
0,57,4,0.051282,0.010798,0.114765,74,135,1
0,58,4,0.051282,0.047982,0.162854,74,134,1
0,59,4,0.051282,0.014525,0.031432,74,129,1
0,60,4,0.051282,0.022758,0.107209,74,139,1
0,61,4,0.051282,0.049313,0.137259,74,128,1
0,62,4,0.051282,0.079358,0.190621,74,133,1
0,63,4,0.051282,0.008738,0.057687,74,134,1
0,64,4,0.051282,0.023580,0.110246,74,135,1
0,65,3,0.038462,0.042206,0.181266,75,208,0
0,66,3,0.038462,0.016450,0.121449,75,209,0
0,67,3,0.038462,0.000000,0.129482,75,223,0
0,68,3,0.038462,0.016092,0.128451,75,216,0
0,69,3,0.038462,0.000000,0.138476,75,211,0
0,70,3,0.038462,0.000000,0.127665,75,208,0
0,71,3,0.038462,0.034209,0.121479,75,219,0
0,72,3,0.038462,0.000000,0.109442,75,218,0
0,73,3,0.038462,0.000000,0.084631,75,223,0
0,74,3,0.038462,0.093323,0.188709,75,217,0
0,75,3,0.038462,0.036534,0.134261,75,222,0
0,76,3,0.038462,0.003602,0.107706,75,232,0
0,77,3,0.038462,0.000000,0.149465,75,216,0
0,78,13,0.166667,0.061368,0.242416,65,107,1
1,0,4,0.051282,0.059917,0.148907,74,220,0
1,1,4,0.051282,0.007580,0.150482,74,131,1
1,2,4,0.051282,0.018875,0.109100,74,215,0
1,3,4,0.051282,0.058839,0.211723,74,139,0
1,4,4,0.051282,0.000000,0.147023,74,202,0
1,5,4,0.051282,0.039827,0.049429,74,147,1
1,6,4,0.051282,0.000000,0.083734,74,209,0
1,7,4,0.051282,0.044470,0.186230,74,155,0
1,8,4,0.051282,0.014577,0.143011,74,195,0
1,9,4,0.051282,0.000000,0.098539,74,156,1
1,10,4,0.051282,0.089115,0.181836,74,186,0
1,11,4,0.051282,0.075622,0.222914,74,167,0
1,12,4,0.051282,0.068169,0.164737,74,141,1
1,13,4,0.051282,0.050560,0.169788,74,191,0
1,14,4,0.051282,0.061692,0.128968,74,135,1
1,15,4,0.051282,0.021129,0.117745,74,198,0
1,16,4,0.051282,0.020796,0.122249,74,129,1
1,17,4,0.051282,0.101246,0.162047,74,184,1
1,18,4,0.051282,0.000000,0.018875,74,150,1
1,19,4,0.051282,0.009424,0.050014,74,181,0
1,20,4,0.051282,0.022918,0.079415,74,144,1
1,21,4,0.051282,0.070407,0.182180,74,174,1
1,22,4,0.051282,0.043907,0.153295,74,157,1
1,23,4,0.051282,0.000000,0.072692,74,167,0
1,24,4,0.051282,0.000000,0.135428,74,159,0
1,25,4,0.051282,0.069760,0.270961,74,145,1
1,26,4,0.051282,0.050176,0.180529,74,196,0
1,27,4,0.051282,0.064674,0.129101,74,145,1
1,28,4,0.051282,0.000000,0.138598,74,192,0
1,29,4,0.051282,0.038694,0.247883,74,142,0
1,30,4,0.051282,0.012157,0.110279,74,195,0
1,31,4,0.051282,0.005663,0.096626,74,155,0
1,32,4,0.051282,0.000000,0.087045,74,186,0
1,33,4,0.051282,0.020043,0.216984,74,159,0
1,34,4,0.051282,0.052682,0.085092,74,180,0
