cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.029922,432,-0.827941,0.006379,0.000174,0.215238,0.103171
1,3.007600,433,-0.682821,0.006332,0.000168,0.115575,0.085401
2,2.997867,434,-0.620261,0.006311,0.000154,0.137974,0.084857
3,2.990821,435,-0.619531,0.006296,0.000136,0.130989,0.082617
4,2.986788,436,-0.622380,0.006288,0.000131,0.138877,0.075105
5,2.984153,437,-0.603101,0.006282,0.000130,0.155556,0.079408
6,2.982178,438,-0.596990,0.006278,0.000127,0.128283,0.086680
7,2.980760,439,-0.594459,0.006275,0.000130,0.124423,0.059830
8,2.979824,440,-0.565185,0.006273,0.000134,0.138166,0.088281
9,2.978333,441,-0.569068,0.006270,0.000125,0.129696,0.074150
10,2.976944,442,-0.603342,0.006267,0.000131,0.179692,0.072814
11,2.975999,443,-0.575926,0.006265,0.000116,0.158121,0.064721
12,2.974909,444,-0.572424,0.006263,0.000117,0.144773,0.075125
13,2.973317,445,-0.572144,0.006260,0.000123,0.168088,0.064969
14,2.971891,446,-0.542755,0.006257,0.000111,0.119851,0.064557
15,2.971029,447,-0.637254,0.006255,0.000121,0.156413,0.072839
16,2.970502,448,-0.548462,0.006254,0.000117,0.130583,0.076954
17,2.969805,449,-0.622627,0.006252,0.000114,0.106390,0.069202
18,2.969213,450,-0.581803,0.006251,0.000121,0.123148,0.071614
19,2.968714,451,-0.594659,0.006250,0.000106,0.126402,0.075816
20,2.968311,452,-0.506467,0.006249,0.000111,0.147921,0.074456
21,2.967957,453,-0.564857,0.006248,0.000111,0.135551,0.075010
22,2.967533,454,-0.617178,0.006247,0.000118,0.150800,0.068506
23,2.967050,455,-0.577442,0.006246,0.000114,0.164613,0.073312
24,2.966501,456,-0.566457,0.006245,0.000120,0.148018,0.064150
25,2.965933,457,-0.565768,0.006244,0.000114,0.175251,0.069544
26,2.965465,458,-0.558986,0.006243,0.000107,0.167348,0.065879
27,2.964967,459,-0.580341,0.006242,0.000108,0.120206,0.065897
28,2.964579,460,-0.538794,0.006241,0.000107,0.128070,0.075979
29,2.964080,461,-0.566440,0.006240,0.000107,0.174855,0.066132
30,2.963614,462,-0.524415,0.006239,0.000102,0.171037,0.088967
31,2.963176,463,-0.549074,0.006238,0.000104,0.136679,0.100072
32,2.962583,464,-0.539101,0.006237,0.000104,0.132527,0.079756
33,2.962033,465,-0.520778,0.006236,0.000109,0.142796,0.092891
34,2.961511,466,-0.554466,0.006235,0.000110,0.161992,0.074866
35,2.961032,467,-0.541270,0.006234,0.000097,0.176409,0.123509
36,2.960515,468,-0.560865,0.006233,0.000096,0.176708,0.065703
37,2.959888,469,-0.568401,0.006231,0.000106,0.187668,0.082539
38,2.959347,470,-0.521508,0.006230,0.000102,0.197421,0.079489
39,2.958587,471,-0.542778,0.006229,0.000104,0.175946,0.079093
