iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,8,0.016878,0.000000,0.000000,466,219,0.000000
0,1,8,0.016878,0.000000,0.000000,466,116,0.000000
0,2,8,0.016878,0.000000,0.013247,466,203,0.000000
0,3,8,0.016878,0.000000,0.002997,466,122,0.000000
0,4,8,0.016878,0.000000,0.000000,466,200,0.000000
0,5,8,0.016878,0.000000,0.025322,466,126,0.000000
0,6,8,0.016878,0.000000,0.013247,466,194,0.000000
0,7,8,0.016878,0.000000,0.002997,466,128,0.000000
0,8,8,0.016878,0.000000,0.053590,466,197,0.000000
0,9,8,0.016878,0.000000,0.025322,466,136,0.000000
0,10,8,0.016878,0.000000,0.045603,466,187,0.000000
0,11,8,0.016878,0.000000,0.045603,466,125,0.000000
0,12,8,0.016878,0.008959,0.053590,466,127,0.603587
0,13,8,0.016878,0.000000,0.000000,466,209,0.000000
0,14,8,0.016878,0.000000,0.000000,466,105,0.000000
0,15,8,0.016878,0.000000,0.000000,466,190,0.000000
0,16,8,0.016878,0.000000,0.034241,466,116,0.000000
0,17,8,0.016878,0.000000,0.000000,466,194,0.000000
0,18,8,0.016878,0.013247,0.000000,466,111,0.629235
0,19,8,0.016878,0.025322,0.000000,466,176,0.701463
0,20,8,0.016878,0.000000,0.034241,466,117,0.000000
0,21,8,0.016878,0.000000,0.061425,466,193,0.000000
0,22,8,0.016878,0.000000,0.037177,466,129,0.000000
0,23,8,0.016878,0.000000,0.015971,466,178,0.000000
0,24,8,0.016878,0.000000,0.015971,466,122,0.000000
0,25,8,0.016878,0.002212,0.098602,466,126,0.013234
0,26,8,0.016878,0.000000,0.075232,466,200,0.000000
0,27,8,0.016878,0.000000,0.040162,466,116,0.000000
0,28,8,0.016878,0.000000,0.045791,466,188,0.000000
0,29,8,0.016878,0.000000,0.002997,466,122,0.000000
0,30,8,0.016878,0.014097,0.078019,466,188,0.084321
0,31,8,0.016878,0.000000,0.106386,466,124,0.000000
0,32,8,0.016878,0.000000,0.045791,466,193,0.000000
0,33,8,0.016878,0.000000,0.002997,466,121,0.000000
0,34,8,0.016878,0.000000,0.002787,466,182,0.000000
0,35,8,0.016878,0.000000,0.106935,466,131,0.000000
0,36,8,0.016878,0.037177,0.103207,466,182,0.772376
0,37,8,0.016878,0.007835,0.103207,466,130,0.596868
0,38,8,0.016878,0.007012,0.040711,466,139,0.041941
0,39,8,0.016878,0.000000,0.066552,466,192,0.000000
0,40,8,0.016878,0.000000,0.015053,466,112,0.000000
