cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,3.029922,432,-0.740158,0.006379,0.000174,0.103398,0.016438
1,3.010821,433,-0.621755,0.006339,0.000176,0.060426,0.014506
2,2.997263,434,-0.565619,0.006310,0.000158,0.063963,0.016698
3,2.987601,435,-0.494880,0.006290,0.000140,0.065063,0.015286
4,2.980214,436,-0.566732,0.006274,0.000158,0.067986,5.051106
5,2.972227,437,-0.489338,0.006257,0.000144,0.062497,0.014419
6,2.968417,438,-0.505600,0.006249,0.000131,0.062362,0.015227
7,2.965350,439,-0.635816,0.006243,0.000127,0.057333,5.056566
8,2.962396,440,-0.483365,0.006237,0.000136,0.078386,0.020479
9,2.959895,441,-0.515148,0.006231,0.000122,0.063608,5.057968
10,2.956698,442,-0.543358,0.006225,0.000121,0.064129,5.049046
11,2.953814,443,-0.484123,0.006219,0.000111,0.058043,1.179310
12,2.950937,444,-0.551916,0.006212,0.000127,0.076386,5.065877
13,2.947876,445,-0.476460,0.006206,0.000127,0.065063,0.023274
14,2.946120,446,-0.479718,0.006202,0.000122,0.062679,0.053978
15,2.944204,447,-0.545965,0.006198,0.000120,0.078512,5.063006
16,2.942098,448,-0.481203,0.006194,0.000119,0.064003,0.014901
17,2.940499,449,-0.506517,0.006191,0.000114,0.068871,5.055752
18,2.939578,450,-0.479444,0.006189,0.000120,0.098096,0.375293
19,2.938466,451,-0.476367,0.006186,0.000119,0.080776,0.458790
20,2.935910,452,-0.549650,0.006181,0.000139,0.066948,5.051890
21,2.933543,453,-0.492694,0.006176,0.000131,0.073332,0.015864
22,2.931091,454,-0.523730,0.006171,0.000124,0.062050,5.050996
23,2.929658,455,-0.514907,0.006168,0.000126,0.063029,5.055857
24,2.928659,456,-0.469386,0.006166,0.000118,0.062130,0.077371
25,2.926551,457,-0.468795,0.006161,0.000123,0.065376,0.058356
26,2.925471,458,-0.490040,0.006159,0.000125,0.065623,5.052823
27,2.924464,459,-0.533584,0.006157,0.000124,0.071906,5.052315
28,2.923443,460,-0.509856,0.006155,0.000127,0.058543,5.053327
29,2.922822,461,-0.504131,0.006153,0.000123,0.076778,5.057208
30,2.922079,462,-0.514883,0.006152,0.000116,0.081977,5.054436
31,2.921439,463,-0.499733,0.006150,0.000123,0.066814,5.053157
32,2.920975,464,-0.501049,0.006149,0.000113,0.084360,5.055413
33,2.920423,465,-0.512839,0.006148,0.000110,0.089901,5.049713
34,2.919780,466,-0.498368,0.006147,0.000117,0.072922,5.052245
35,2.919526,467,-0.464229,0.006146,0.000110,0.063045,1.198452
36,2.919138,468,-0.576342,0.006146,0.000120,0.092985,5.059570
37,2.918705,469,-0.460184,0.006145,0.000109,0.082383,0.074201
38,2.918453,470,-0.562038,0.006144,0.000119,0.068887,5.048888
39,2.917900,471,-0.461125,0.006143,0.000112,0.079208,0.022061
40,2.917315,472,-0.524397,0.006142,0.000107,0.062975,5.057954
41,2.916655,473,-0.501292,0.006140,0.000112,0.079859,5.058806
42,2.916099,474,-0.536326,0.006139,0.000113,0.090132,5.050071
43,2.915654,475,-0.498574,0.006138,0.000113,0.076583,5.052813
44,2.915161,476,-0.499630,0.006137,0.000109,0.106350,5.056785
45,2.914789,477,-0.519955,0.006136,0.000114,0.079513,5.054464
46,2.914566,478,-0.532747,0.006136,0.000112,0.062648,5.049809
47,2.914211,479,-0.508035,0.006135,0.000106,0.075847,5.057488
48,2.913686,480,-0.502146,0.006134,0.000107,0.093937,5.065130
49,2.913242,481,-0.477054,0.006133,0.000119,0.092357,5.053124
50,2.912901,482,-0.490037,0.006132,0.000101,0.062766,5.064780
51,2.912687,483,-0.503507,0.006132,0.000108,0.098975,5.055418
52,2.912511,484,-0.513139,0.006132,0.000105,0.082346,5.058594
53,2.912348,485,-0.541886,0.006131,0.000097,0.069693,5.050959
54,2.912064,486,-0.501492,0.006131,0.000102,0.086716,5.058756
55,2.911887,487,-0.504344,0.006130,0.000107,0.100947,5.061189
