cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,7.489487,436,-0.435708,0.006903,0.002249,0.106100,0.196436
1,7.428701,437,-0.364086,0.006847,0.002359,0.020561,0.193311
2,7.400146,438,-0.407216,0.006820,0.002289,0.025578,0.215993
3,7.385967,439,-0.371768,0.006807,0.002494,0.023158,0.204601
4,7.361770,440,-0.254112,0.006785,0.002678,0.028061,0.210808
5,7.354669,441,-0.269156,0.006778,0.002514,0.021749,0.245694
6,7.347958,442,-0.262416,0.006772,0.002312,0.026563,0.267208
7,7.339137,443,-0.238815,0.006764,0.002693,0.018926,0.255789
8,7.335633,444,-0.229176,0.006761,0.002841,0.025799,0.251583
9,7.332607,445,-0.261285,0.006758,0.002671,0.022835,0.272835
10,7.330006,446,-0.282293,0.006756,0.002461,0.021206,0.253352
11,7.323142,447,-0.214644,0.006749,0.002450,0.018899,0.252559
12,7.315403,448,-0.219571,0.006742,0.002708,0.021207,0.261392
13,7.311191,449,-0.220709,0.006738,0.002601,0.021256,0.287746
14,7.308610,450,-0.203449,0.006736,0.002662,0.024208,0.304296
15,7.306748,451,-0.174951,0.006734,0.002844,0.020352,0.660581
16,7.304487,452,-0.180027,0.006732,0.002701,0.043129,0.509985
17,7.302442,453,-0.178630,0.006730,0.002933,0.036441,0.450207
18,7.300699,454,-0.176359,0.006729,0.002727,0.033063,0.449586
19,7.300143,455,-0.179996,0.006728,0.002894,0.045718,0.537610
20,7.296736,456,-0.148820,0.006725,0.002896,0.043879,0.547641
21,7.294888,457,-0.160396,0.006723,0.002853,0.040227,0.482369
22,7.293209,458,-0.162854,0.006722,0.002776,0.036846,0.472946
23,7.291410,459,-0.181069,0.006720,0.002766,0.042077,0.510707
24,7.290116,460,-0.200184,0.006719,0.002677,0.045674,0.470044
25,7.289486,461,-0.192739,0.006718,0.002864,0.040897,0.453088
26,7.289340,462,-0.154891,0.006718,0.003173,0.047698,0.499631
27,7.288192,463,-0.198611,0.006717,0.003256,0.040983,0.433082
28,7.286753,464,-0.193275,0.006716,0.002929,0.036139,0.470944
29,7.285894,465,-0.169956,0.006715,0.002816,0.030044,0.258597
30,7.285714,466,-0.142857,0.006715,0.003736,0.021872,0.213125
31,7.285606,467,-0.106111,0.006715,0.003106,0.022945,0.286370
32,7.285362,468,-0.052307,0.006715,0.003402,0.017559,0.313623
33,7.284671,469,-0.066382,0.006714,0.003218,0.021592,0.268014
34,7.284024,470,-0.050386,0.006713,0.003360,0.016872,0.263882
35,7.283517,471,-0.055230,0.006713,0.003376,0.019783,0.266258
36,7.283004,472,-0.028284,0.006712,0.003495,0.021133,0.351840
37,7.282857,473,0.000000,0.006712,0.003686,0.024511,0.339374
