iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,8,0.007380,0.000000,0.035384,1076,289,0.000000
0,1,8,0.007380,0.000000,0.000000,1076,75,0.000000
0,2,12,0.011070,0.000000,0.615817,1072,215,0.000000
0,3,12,0.011070,0.007738,0.615817,1072,60,0.556357
0,4,12,0.011070,0.000000,0.615817,1072,226,0.000000
0,5,12,0.011070,0.000000,0.580433,1072,104,0.000000
0,6,12,0.011070,0.000000,0.583774,1072,192,0.000000
0,7,12,0.011070,0.000000,0.583774,1072,100,0.000000
0,8,12,0.011070,0.000000,0.615817,1072,211,0.000000
0,9,12,0.011070,0.000000,0.615817,1072,129,0.000000
0,10,12,0.011070,0.000000,0.614636,1072,180,0.000000
0,11,12,0.011070,0.000000,0.614636,1072,123,0.000000
0,12,12,0.011070,0.000000,1.489735,1072,163,0.000000
0,13,12,0.011070,0.000000,1.489735,1072,148,0.000000
0,14,32,0.029520,0.468568,3.746350,1052,43,0.934953
0,15,32,0.029520,0.512359,3.919778,1052,42,0.420930
0,16,32,0.029520,0.547743,3.919778,1052,46,0.450000
0,17,32,0.029520,0.533818,3.916438,1052,43,0.438560
0,18,32,0.029520,0.512359,3.884395,1052,41,0.420930
0,19,32,0.029520,0.522376,3.885576,1052,41,0.429160
0,20,32,0.029520,0.517956,3.764339,1052,38,0.425528
0,21,10,0.009225,0.000000,0.349623,1074,238,0.000000
0,22,10,0.009225,0.000000,0.341886,1074,75,0.000000
0,23,14,0.012915,0.000000,0.896496,1070,186,0.000000
0,24,14,0.012915,0.027646,0.896496,1070,57,0.572713
0,25,14,0.012915,0.000000,0.904234,1070,194,0.000000
0,26,14,0.012915,0.000000,0.896496,1070,100,0.000000
0,27,14,0.012915,0.000000,0.896496,1070,167,0.000000
0,28,14,0.012915,0.000000,0.896496,1070,92,0.000000
0,29,14,0.012915,0.000000,0.896496,1070,181,0.000000
0,30,14,0.012915,0.000000,0.896496,1070,119,0.000000
0,31,14,0.012915,0.000000,0.912700,1070,161,0.000000
0,32,14,0.012915,0.000000,0.912700,1070,118,0.000000
0,33,14,0.012915,0.000000,1.528876,1070,152,0.000000
0,34,14,0.012915,0.000000,1.528876,1070,138,0.000000
0,35,34,0.031365,0.151043,3.771135,1050,57,0.674090
0,36,34,0.031365,0.061207,3.771260,1050,53,0.050284
0,37,34,0.031365,0.025823,3.763522,1050,63,0.021215
0,38,34,0.031365,0.029163,3.763522,1050,60,0.023959
0,39,34,0.031365,0.061207,3.763522,1050,57,0.050284
0,40,34,0.031365,0.043821,3.747318,1050,67,0.036001
0,41,34,0.031365,0.048554,3.678139,1050,55,0.039890
0,42,10,0.009225,0.000000,0.238232,1074,237,0.000000
0,43,10,0.009225,0.000000,0.210586,1074,120,0.000000
0,44,14,0.012915,0.000000,0.271793,1070,191,0.000000
0,45,14,0.012915,0.000000,0.271793,1070,100,0.000000
0,46,14,0.012915,0.000000,0.264055,1070,198,0.000000
0,47,14,0.012915,0.000000,0.236409,1070,130,0.000000
0,48,14,0.012915,0.000000,0.239750,1070,185,0.000000
0,49,14,0.012915,0.000000,0.239750,1070,125,0.000000
0,50,14,0.012915,0.000000,0.271793,1070,185,0.000000
0,51,14,0.012915,0.000000,0.271793,1070,140,0.000000
0,52,14,0.012915,0.000000,0.254407,1070,165,0.000000
0,53,14,0.012915,0.000000,0.254407,1070,139,0.000000
0,54,14,0.012915,0.000000,0.529535,1070,197,0.000000
0,55,14,0.012915,0.000000,0.529535,1070,175,0.000000
0,56,34,0.031365,0.000000,0.543890,1050,96,0.000000
0,57,34,0.031365,0.000000,0.717194,1050,92,0.000000
0,58,34,0.031365,0.000000,0.724932,1050,93,0.000000
0,59,34,0.031365,0.000000,0.721592,1050,96,0.000000
0,60,34,0.031365,0.000000,0.689548,1050,89,0.000000
0,61,34,0.031365,0.000000,0.706934,1050,109,0.000000
0,62,34,0.031365,0.000000,0.638672,1050,94,0.000000
0,63,10,0.009225,0.000000,0.296883,1074,221,0.000000
0,64,10,0.009225,0.000000,0.296883,1074,113,0.000000
0,65,14,0.012915,0.000000,0.296883,1070,179,0.000000
0,66,14,0.012915,0.000000,0.296883,1070,100,0.000000
0,67,14,0.012915,0.000000,0.296883,1070,189,0.000000
0,68,14,0.012915,0.000000,0.296883,1070,127,0.000000
0,69,14,0.012915,0.000000,0.296883,1070,174,0.000000
0,70,14,0.012915,0.000000,0.296883,1070,126,0.000000
0,71,14,0.012915,0.000000,0.296883,1070,175,0.000000
0,72,14,0.012915,0.000000,0.296883,1070,149,0.000000
0,73,14,0.012915,0.000000,0.296883,1070,168,0.000000
0,74,14,0.012915,0.000000,0.296883,1070,140,0.000000
0,75,14,0.012915,0.000000,0.313087,1070,199,0.000000
0,76,14,0.012915,0.000000,0.313087,1070,173,0.000000
0,77,34,0.031365,0.000000,0.313087,1050,96,0.000000
0,78,34,0.031365,0.000000,0.313087,1050,101,0.000000
0,79,34,0.031365,0.000000,0.313087,1050,103,0.000000
0,80,34,0.031365,0.000000,0.313087,1050,110,0.000000
