cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,7.489487,436,-0.199861,0.006903,0.002249,0.129493,0.101764
1,7.483047,437,-0.150057,0.006897,0.002139,0.012078,0.081178
2,7.473171,438,-0.142439,0.006888,0.002295,0.020084,0.083673
3,7.466371,439,-0.146636,0.006881,0.002179,0.017264,0.084746
4,7.459463,440,-0.076132,0.006875,0.002180,0.016555,0.080966
5,7.457166,441,-0.228307,0.006873,0.002212,0.012655,0.078878
6,7.442157,442,-0.133069,0.006859,0.002280,0.020973,0.081098
7,7.433050,443,-0.106471,0.006851,0.002412,0.013613,0.081346
8,7.430909,444,-0.111124,0.006849,0.002274,0.017549,0.084337
9,7.428347,445,-0.070168,0.006846,0.002378,0.012239,0.077773
10,7.426438,446,-0.068373,0.006845,0.002560,0.009899,0.081752
11,7.424945,447,-0.062320,0.006843,0.002294,0.012355,0.078583
12,7.424325,448,-0.157451,0.006843,0.002409,0.009594,0.078982
13,7.415792,449,-0.086110,0.006835,0.002677,0.018470,0.080101
14,7.414781,450,-0.074520,0.006834,0.002444,0.013682,0.080532
15,7.414554,451,-0.070886,0.006834,0.002470,0.012169,0.090684
16,7.414108,452,-0.140003,0.006833,0.002406,0.012065,0.101844
17,7.408978,453,-0.089851,0.006829,0.002624,0.021000,0.098791
18,7.407900,454,-0.064166,0.006828,0.002479,0.014894,0.106267
19,7.406918,455,-0.117143,0.006827,0.002420,0.014119,0.098015
20,7.402463,456,-0.059799,0.006823,0.002451,0.018438,0.096694
21,7.401169,457,-0.064316,0.006821,0.002339,0.013432,0.095192
22,7.400461,458,-0.059251,0.006821,0.002233,0.011576,0.094700
23,7.399893,459,-0.081996,0.006820,0.002246,0.012721,0.098701
24,7.399240,460,-0.100666,0.006820,0.002338,0.014378,0.093926
25,7.396559,461,-0.060908,0.006817,0.002403,0.017218,0.094737
26,7.395517,462,-0.066051,0.006816,0.002373,0.013321,0.089904
27,7.394727,463,-0.074911,0.006815,0.002441,0.015398,0.095110
28,7.392784,464,-0.062633,0.006814,0.002225,0.012799,0.092554
29,7.391754,465,-0.064362,0.006813,0.002267,0.012469,0.094179
30,7.389438,466,-0.066756,0.006811,0.002115,0.014472,0.092071
31,7.386248,467,-0.131032,0.006808,0.002135,0.014432,0.091496
32,7.381485,468,-0.057016,0.006803,0.002351,0.015392,0.093974
33,7.375286,469,-0.092296,0.006797,0.002435,0.014000,0.118333
34,7.370725,470,-0.055407,0.006793,0.002561,0.013855,0.084342
35,7.369478,471,-0.054483,0.006792,0.002442,0.013639,0.088701
36,7.368725,472,-0.082321,0.006791,0.002366,0.010494,0.100667
37,7.367037,473,-0.065925,0.006790,0.002683,0.012856,0.092900
38,7.361582,474,-0.114746,0.006785,0.002620,0.018036,0.096679
39,7.348813,475,-0.227808,0.006773,0.002731,0.017590,0.088402
40,7.293233,476,-0.105263,0.006722,0.003839,0.023389,0.115153
41,7.293103,477,-0.068966,0.006722,0.003084,0.016814,0.098354
42,7.283013,478,-0.054622,0.006712,0.003386,0.014525,0.329348
43,7.282857,479,0.000000,0.006712,0.003686,0.020755,0.406548
