iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,8,0.007380,0.000000,0.035384,1076,289,0
0,1,8,0.007380,0.000000,0.000000,1076,75,1
0,2,12,0.011070,0.000000,0.615817,1072,215,0
0,3,12,0.011070,0.007738,0.615817,1072,60,1
0,4,12,0.011070,0.000000,0.615817,1072,226,0
0,5,12,0.011070,0.000000,0.580433,1072,104,0
0,6,12,0.011070,0.000000,0.583774,1072,192,1
0,7,12,0.011070,0.000000,0.583774,1072,100,1
0,8,12,0.011070,0.000000,0.615817,1072,211,0
0,9,12,0.011070,0.000000,0.615817,1072,129,0
0,10,12,0.011070,0.000000,0.614636,1072,180,1
0,11,12,0.011070,0.000000,0.614636,1072,123,1
0,12,12,0.011070,0.000000,1.489735,1072,163,0
0,13,12,0.011070,0.000000,1.489735,1072,148,0
0,14,32,0.029520,0.468568,3.746350,1052,43,0
0,15,32,0.029520,0.512359,3.919778,1052,42,0
0,16,32,0.029520,0.547743,3.919778,1052,46,1
0,17,32,0.029520,0.533818,3.916438,1052,43,0
0,18,32,0.029520,0.512359,3.884395,1052,41,0
0,19,32,0.029520,0.522376,3.885576,1052,41,0
0,20,32,0.029520,0.517956,3.764339,1052,38,0
0,21,10,0.009225,0.000000,0.349623,1074,238,0
0,22,10,0.009225,0.000000,0.341886,1074,75,0
0,23,14,0.012915,0.000000,0.896496,1070,186,0
0,24,14,0.012915,0.027646,0.896496,1070,57,0
0,25,14,0.012915,0.000000,0.904234,1070,194,0
0,26,14,0.012915,0.000000,0.896496,1070,100,0
0,27,14,0.012915,0.000000,0.896496,1070,167,0
0,28,14,0.012915,0.000000,0.896496,1070,92,0
0,29,14,0.012915,0.000000,0.896496,1070,181,0
0,30,14,0.012915,0.000000,0.896496,1070,119,0
0,31,14,0.012915,0.000000,0.912700,1070,161,0
0,32,14,0.012915,0.000000,0.912700,1070,118,0
0,33,14,0.012915,0.000000,1.528876,1070,152,0
0,34,14,0.012915,0.000000,1.528876,1070,138,0
0,35,34,0.031365,0.151043,3.771135,1050,57,0
0,36,34,0.031365,0.061207,3.771260,1050,53,0
0,37,34,0.031365,0.025823,3.763522,1050,63,0
0,38,34,0.031365,0.029163,3.763522,1050,60,0
0,39,34,0.031365,0.061207,3.763522,1050,57,0
0,40,34,0.031365,0.043821,3.747318,1050,67,0
0,41,34,0.031365,0.048554,3.678139,1050,55,0
0,42,10,0.009225,0.000000,0.238232,1074,237,1
0,43,10,0.009225,0.000000,0.210586,1074,120,1
0,44,14,0.012915,0.000000,0.271793,1070,191,1
0,45,14,0.012915,0.000000,0.271793,1070,100,1
0,46,14,0.012915,0.000000,0.264055,1070,198,1
0,47,14,0.012915,0.000000,0.236409,1070,130,1
0,48,14,0.012915,0.000000,0.239750,1070,185,1
0,49,14,0.012915,0.000000,0.239750,1070,125,1
0,50,14,0.012915,0.000000,0.271793,1070,185,1
0,51,14,0.012915,0.000000,0.271793,1070,140,1
0,52,14,0.012915,0.000000,0.254407,1070,165,1
0,53,14,0.012915,0.000000,0.254407,1070,139,1
0,54,14,0.012915,0.000000,0.529535,1070,197,1
0,55,14,0.012915,0.000000,0.529535,1070,175,1
0,56,34,0.031365,0.000000,0.543890,1050,96,1
0,57,34,0.031365,0.000000,0.717194,1050,92,1
0,58,34,0.031365,0.000000,0.724932,1050,93,1
0,59,34,0.031365,0.000000,0.721592,1050,96,1
0,60,34,0.031365,0.000000,0.689548,1050,89,1
0,61,34,0.031365,0.000000,0.706934,1050,109,1
0,62,34,0.031365,0.000000,0.638672,1050,94,1
0,63,10,0.009225,0.000000,0.296883,1074,221,0
0,64,10,0.009225,0.000000,0.296883,1074,113,0
0,65,14,0.012915,0.000000,0.296883,1070,179,0
0,66,14,0.012915,0.000000,0.296883,1070,100,0
0,67,14,0.012915,0.000000,0.296883,1070,189,0
0,68,14,0.012915,0.000000,0.296883,1070,127,0
0,69,14,0.012915,0.000000,0.296883,1070,174,0
0,70,14,0.012915,0.000000,0.296883,1070,126,0
0,71,14,0.012915,0.000000,0.296883,1070,175,0
0,72,14,0.012915,0.000000,0.296883,1070,149,0
0,73,14,0.012915,0.000000,0.296883,1070,168,0
0,74,14,0.012915,0.000000,0.296883,1070,140,0
0,75,14,0.012915,0.000000,0.313087,1070,199,0
0,76,14,0.012915,0.000000,0.313087,1070,173,0
0,77,34,0.031365,0.000000,0.313087,1050,96,0
0,78,34,0.031365,0.000000,0.313087,1050,101,0
0,79,34,0.031365,0.000000,0.313087,1050,103,0
0,80,34,0.031365,0.000000,0.313087,1050,110,0
0,81,34,0.031365,0.000000,0.313087,1050,102,0
0,82,34,0.031365,0.000000,0.313087,1050,109,0
0,83,34,0.031365,0.000000,0.296883,1050,96,0
0,84,10,0.009225,0.000000,0.338370,1074,215,1
0,85,10,0.009225,0.000000,0.328926,1074,138,1
0,86,14,0.012915,0.000000,0.328926,1070,178,1
0,87,14,0.012915,0.000000,0.328926,1070,126,1
0,88,14,0.012915,0.000000,0.338370,1070,193,1
0,89,14,0.012915,0.000000,0.328926,1070,155,1
0,90,14,0.012915,0.000000,0.328926,1070,181,1
0,91,14,0.012915,0.000000,0.328926,1070,146,1
0,92,14,0.012915,0.000000,0.332267,1070,183,0
0,93,14,0.012915,0.000000,0.332267,1070,159,0
0,94,14,0.012915,0.000000,0.328926,1070,167,1
0,95,14,0.012915,0.000000,0.328926,1070,153,1
0,96,14,0.012915,0.000000,0.346915,1070,202,0
0,97,14,0.012915,0.000000,0.346915,1070,181,0
0,98,34,0.031365,0.000000,0.350256,1050,120,0
0,99,34,0.031365,0.000000,0.359699,1050,118,0
0,100,34,0.031365,0.000000,0.350256,1050,121,0
0,101,34,0.031365,0.000000,0.350256,1050,130,0
0,102,34,0.031365,0.000000,0.346915,1050,121,0
0,103,34,0.031365,0.000000,0.350256,1050,125,0
0,104,34,0.031365,0.000000,0.332267,1050,120,0
0,105,10,0.009225,0.000000,0.296883,1074,97,0
0,106,10,0.009225,0.000000,0.296883,1074,66,0
0,107,14,0.012915,0.000000,0.296883,1070,83,0
0,108,14,0.012915,0.000000,0.296883,1070,59,0
0,109,14,0.012915,0.000000,0.296883,1070,93,0
0,110,14,0.012915,0.000000,0.296883,1070,74,0
0,111,14,0.012915,0.000000,0.296883,1070,82,0
0,112,14,0.012915,0.000000,0.296883,1070,71,0
0,113,14,0.012915,0.000000,0.296883,1070,90,0
0,114,14,0.012915,0.000000,0.296883,1070,76,0
0,115,14,0.012915,0.000000,0.296883,1070,83,1
0,116,14,0.012915,0.000000,0.296883,1070,79,1
0,117,14,0.012915,0.000000,0.296883,1070,101,0
0,118,14,0.012915,0.000000,0.296883,1070,93,0
0,119,34,0.031365,0.000000,0.296883,1050,58,1
0,120,34,0.031365,0.000000,0.296883,1050,59,0
0,121,34,0.031365,0.000000,0.296883,1050,56,0
0,122,34,0.031365,0.000000,0.296883,1050,61,0
0,123,34,0.031365,0.003340,0.296883,1050,59,1
0,124,34,0.031365,0.000000,0.296883,1050,65,0
