cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,25.236047,654,-2.871636,0.025236,0.001475,0.980509,36.081127
1,25.045922,655,-2.335130,0.025046,0.001347,0.733895,36.165150
2,24.896324,656,-2.692561,0.024896,0.001390,0.662897,36.162803
3,24.763226,657,-2.437993,0.024763,0.001355,0.664217,36.067995
4,24.675772,658,-2.535824,0.024676,0.001240,0.586244,36.068906
5,24.557581,659,-2.339910,0.024558,0.001227,0.560110,36.156796
6,24.470728,660,-2.560796,0.024471,0.001293,0.530586,36.155472
7,24.390667,661,-2.432110,0.024391,0.001300,0.524188,36.201402
8,24.314938,662,-2.377991,0.024315,0.001199,0.587965,36.104262
9,24.261619,663,-2.217387,0.024262,0.001192,0.542304,36.081375
10,24.208222,664,-2.619026,0.024208,0.001234,0.571640,36.098202
11,24.153523,665,-2.341682,0.024154,0.001190,0.655827,36.219073
12,24.083824,666,-2.316404,0.024084,0.001218,0.568620,22381.696999
