iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,112,0.112112,0.034484,2.610625,887,23,0
0,1,82,0.082082,0.000000,2.584229,917,64,0
0,2,107,0.107107,0.000000,3.068959,892,23,0
0,3,94,0.094094,0.000000,2.382333,905,29,0
0,4,104,0.104104,0.000000,2.802310,895,27,0
0,5,113,0.113113,0.036466,3.043530,886,21,0
0,6,95,0.095095,0.000000,2.524929,904,32,0
0,7,106,0.106106,0.000000,2.521438,893,25,0
0,8,102,0.102102,0.000000,2.825533,897,26,0
0,9,96,0.096096,0.000000,2.646506,903,27,0
0,10,100,0.100100,0.000000,2.469040,899,35,0
0,11,97,0.097097,0.000000,2.029068,902,25,0
0,12,110,0.110110,0.037584,2.777993,889,21,0
0,13,111,0.111111,0.041819,2.392861,888,23,1
0,14,86,0.086086,0.000000,2.043470,913,42,0
0,15,92,0.092092,0.048956,2.771816,907,29,0
0,16,102,0.102102,0.000000,2.388053,897,24,0
0,17,86,0.086086,0.000000,2.157342,913,48,0
0,18,106,0.106106,0.000000,2.538531,893,24,0
0,19,99,0.099099,0.000000,1.640505,900,26,0
0,20,105,0.105105,0.000000,3.562938,894,24,0
0,21,116,0.116116,0.068387,3.067954,883,21,0
0,22,120,0.120120,0.009402,3.318229,879,24,0
0,23,104,0.104104,0.004776,3.096551,895,29,0
0,24,91,0.091091,0.000000,2.371026,908,27,0
0,25,104,0.104104,0.000000,2.779316,895,25,0
0,26,104,0.104104,0.135726,3.328558,895,21,0
0,27,99,0.099099,0.090894,2.648118,900,26,0
0,28,89,0.089089,0.000000,2.460449,910,36,0
0,29,87,0.087087,0.000000,2.023326,912,35,0
0,30,106,0.106106,0.084214,2.341239,893,25,0
0,31,88,0.088088,0.000000,2.581107,911,31,0
0,32,87,0.087087,0.000000,1.312301,912,28,0
0,33,85,0.085085,0.000000,2.401107,914,56,0
0,34,101,0.101101,0.000000,2.779428,898,24,0
0,35,95,0.095095,0.032455,2.044485,904,26,0
0,36,125,0.125125,0.044990,3.757223,874,21,0
0,37,112,0.112112,0.041536,2.955901,887,22,0
0,38,98,0.098098,0.000000,2.456587,901,28,0
0,39,105,0.105105,0.000000,2.590695,894,24,0
0,40,84,0.084084,0.000000,2.531733,915,64,0
0,41,92,0.092092,0.000000,2.568098,907,33,0
0,42,105,0.105105,0.000000,2.058814,894,25,0
0,43,92,0.092092,0.000000,1.956352,907,42,0
0,44,90,0.090090,0.000000,2.404695,909,38,0
0,45,98,0.098098,0.036941,2.097383,901,25,0
0,46,105,0.105105,0.057076,2.878689,894,22,0
0,47,103,0.103103,0.000000,2.697091,896,24,0
0,48,121,0.121121,0.000000,2.781889,878,23,0
0,49,109,0.109109,0.047263,2.759120,890,21,0
0,50,81,0.081081,0.000000,2.105607,918,69,0
0,51,98,0.098098,0.000000,3.036139,901,33,0
0,52,98,0.098098,0.041279,2.977745,901,25,0
0,53,108,0.108108,0.040045,3.616931,891,23,0
0,54,99,0.099099,0.000000,2.510940,900,33,0
0,55,89,0.089089,0.010097,2.224306,910,40,0
0,56,101,0.101101,0.000000,2.239923,898,25,0
0,57,90,0.090090,0.000000,2.643943,909,45,0
0,58,97,0.097097,0.000000,2.781345,902,27,0
0,59,92,0.092092,0.039437,2.610219,907,30,0
0,60,106,0.106106,0.000000,3.230918,893,23,0
0,61,95,0.095095,0.000000,2.411095,904,25,0
0,62,97,0.097097,0.000000,2.408638,902,28,0
0,63,91,0.091091,0.000000,2.274862,908,43,0
0,64,111,0.111111,0.000000,2.908927,888,21,0
0,65,92,0.092092,0.000000,1.854877,907,32,0
0,66,113,0.113113,0.029518,2.984759,886,23,0
0,67,91,0.091091,0.000000,2.089422,908,30,0
0,68,97,0.097097,0.000000,1.880424,902,27,0
0,69,85,0.085085,0.000000,2.175503,914,46,0
0,70,116,0.116116,0.132915,3.438421,883,21,0
0,71,103,0.103103,0.039706,3.151120,896,23,0
0,72,89,0.089089,0.000000,1.963152,910,32,0
0,73,103,0.103103,0.018449,2.660441,896,26,0
0,74,110,0.110110,0.022253,3.360700,889,26,0
0,75,94,0.094094,0.000000,2.581447,905,29,0
0,76,104,0.104104,0.000000,2.637807,895,24,0
0,77,100,0.100100,0.000000,2.024105,899,24,0
0,78,102,0.102102,0.018332,2.356099,897,22,0
0,79,106,0.106106,0.000000,2.628747,893,24,0
0,80,104,0.104104,0.000000,3.236194,895,26,0
0,81,94,0.094094,0.000000,2.703911,905,28,0
0,82,81,0.081081,0.000000,2.629700,918,85,0
0,83,93,0.093093,0.000000,2.440791,906,30,0
0,84,98,0.098098,0.057976,3.140490,901,24,0
0,85,80,0.080080,0.000000,2.583576,919,66,0
0,86,111,0.111111,0.000000,3.017255,888,24,0
0,87,94,0.094094,0.000000,2.303129,905,36,0
0,88,109,0.109109,0.000000,3.622693,890,26,0
0,89,100,0.100100,0.087680,2.817586,899,27,0
0,90,99,0.099099,0.007729,2.703926,900,27,0
0,91,91,0.091091,0.000000,3.003176,908,32,0
0,92,92,0.092092,0.000000,2.674899,907,48,0
0,93,95,0.095095,0.000000,2.651070,904,25,0
0,94,88,0.088088,0.000000,2.720125,911,28,0
0,95,87,0.087087,0.000000,1.869840,912,43,0
0,96,105,0.105105,0.011309,2.562361,894,21,0
0,97,100,0.100100,0.000000,3.204652,899,21,0
0,98,121,0.121121,0.045187,3.766251,878,22,0
0,99,102,0.102102,0.051052,2.578270,897,22,0
0,100,91,0.091091,0.000000,2.742236,908,37,0
0,101,93,0.093093,0.000000,2.621188,906,33,0
0,102,91,0.091091,0.032187,2.530236,908,25,0
0,103,99,0.099099,0.041656,2.108947,900,24,0
0,104,109,0.109109,0.056022,2.697824,890,24,0
0,105,100,0.100100,0.131005,2.424167,899,27,1
0,106,95,0.095095,0.000000,2.654376,904,34,0
0,107,94,0.094094,0.000000,2.496015,905,26,0
0,108,101,0.101101,0.008904,2.805601,898,26,0
0,109,93,0.093093,0.000000,2.554825,906,29,0
0,110,88,0.088088,0.000000,2.511481,911,37,0
0,111,104,0.104104,0.000000,2.703512,895,21,0
0,112,96,0.096096,0.000000,1.900022,903,26,0
0,113,109,0.109109,0.000000,2.792099,890,25,0
0,114,112,0.112112,0.000000,3.250975,887,22,0
0,115,94,0.094094,0.000000,2.567124,905,26,0
0,116,94,0.094094,0.000000,2.205860,905,29,0
0,117,112,0.112112,0.036440,2.835134,887,23,0
0,118,109,0.109109,0.000000,2.677305,890,23,0
0,119,117,0.117117,0.000000,2.748972,882,21,0
0,120,103,0.103103,0.149749,2.861702,896,23,0
0,121,106,0.106106,0.065901,3.010002,893,21,0
0,122,117,0.117117,0.000000,2.799838,882,24,0
0,123,91,0.091091,0.000000,2.061834,908,28,0
0,124,111,0.111111,0.116944,3.625873,888,21,0
0,125,82,0.082082,0.000000,2.507030,917,55,0
0,126,88,0.088088,0.000000,2.243515,911,31,0
0,127,116,0.116116,0.000000,3.493245,883,22,0
0,128,94,0.094094,0.026437,2.251289,905,30,0
0,129,100,0.100100,0.000000,2.686141,899,23,0
0,130,103,0.103103,0.000000,2.777731,896,21,0
0,131,90,0.090090,0.000000,2.219993,909,44,0
0,132,92,0.092092,0.000000,2.567036,907,29,0
0,133,104,0.104104,0.060776,2.945354,895,26,0
0,134,107,0.107107,0.031558,3.479004,892,22,0
0,135,88,0.088088,0.000000,2.224198,911,35,0
0,136,104,0.104104,0.038995,2.469264,895,24,0
0,137,89,0.089089,0.000000,2.091469,910,34,0
0,138,109,0.109109,0.066336,2.981964,890,21,0
0,139,102,0.102102,0.069953,2.937921,897,23,0
0,140,108,0.108108,0.052237,2.828287,891,23,0
0,141,99,0.099099,0.000000,2.528117,900,25,0
0,142,114,0.114114,0.002761,3.204132,885,21,0
0,143,94,0.094094,0.068969,2.617157,905,25,0
0,144,116,0.116116,0.000000,2.829703,883,24,0
0,145,88,0.088088,0.000000,1.768643,911,28,0
0,146,104,0.104104,0.095555,2.560444,895,24,1
0,147,99,0.099099,0.000000,2.704781,900,25,0
0,148,85,0.085085,0.000000,2.536068,914,64,0
0,149,85,0.085085,0.000000,2.346550,914,52,0
0,150,90,0.090090,0.000000,2.824222,909,36,0
0,151,92,0.092092,0.000000,2.240828,907,34,0
0,152,96,0.096096,0.000000,2.890993,903,28,0
0,153,107,0.107107,0.005314,3.504890,892,22,0
0,154,82,0.082082,0.000000,2.303809,917,72,0
0,155,85,0.085085,0.000000,2.306556,914,47,0
0,156,111,0.111111,0.065669,2.824656,888,28,0
0,157,94,0.094094,0.000000,2.580418,905,33,0
0,158,115,0.115115,0.028332,2.784317,884,22,0
0,159,116,0.116116,0.000000,3.239345,883,24,0
0,160,101,0.101101,0.000000,2.726138,898,29,0
0,161,85,0.085085,0.000000,2.653653,914,50,0
0,162,90,0.090090,0.000000,2.068150,909,51,0
0,163,92,0.092092,0.000000,2.889975,907,45,0
0,164,91,0.091091,0.051846,2.797072,908,31,0
0,165,107,0.107107,0.158212,2.643674,892,22,1
0,166,91,0.091091,0.000000,2.768057,908,30,0
0,167,106,0.106106,0.000000,2.811638,893,25,0
0,168,108,0.108108,0.079502,2.970890,891,22,1
0,169,108,0.108108,0.000000,2.852054,891,22,0
0,170,104,0.104104,0.051356,3.036129,895,21,0
0,171,97,0.097097,0.034446,2.350002,902,21,0
0,172,94,0.094094,0.000000,2.405666,905,27,0
0,173,116,0.116116,0.114677,3.244085,883,22,0
0,174,97,0.097097,0.128504,2.740334,902,23,0
0,175,111,0.111111,0.000000,2.617097,888,24,0
0,176,109,0.109109,0.158929,3.191400,890,23,0
0,177,104,0.104104,0.004776,2.814857,895,21,0
0,178,94,0.094094,0.031948,2.220614,905,26,0
0,179,82,0.082082,0.000000,2.523786,917,68,0
0,180,105,0.105105,0.146572,3.130107,894,28,0
0,181,99,0.099099,0.000000,2.695320,900,28,0
0,182,104,0.104104,0.021926,2.340393,895,25,0
0,183,113,0.113113,0.120796,3.256988,886,21,0
0,184,93,0.093093,0.000928,2.007326,906,31,0
0,185,86,0.086086,0.000000,2.124562,913,41,0
0,186,115,0.115115,0.024700,3.287538,884,22,0
0,187,93,0.093093,0.007983,2.077780,906,25,0
0,188,98,0.098098,0.000000,2.224377,901,27,0
0,189,100,0.100100,0.000000,2.893319,899,29,0
0,190,94,0.094094,0.050330,2.704854,905,27,0
0,191,106,0.106106,0.045058,2.218154,893,23,0
0,192,101,0.101101,0.000000,2.114545,898,25,0
0,193,96,0.096096,0.031678,2.536955,903,25,0
0,194,94,0.094094,0.004161,2.802733,905,26,0
0,195,111,0.111111,0.000000,4.233881,888,21,0
0,196,84,0.084084,0.000000,2.527225,915,75,0
0,197,94,0.094094,0.039026,2.513700,905,25,0
0,198,98,0.098098,0.217348,2.962521,901,25,0
0,199,95,0.095095,0.000000,2.974143,904,30,0
0,200,89,0.089089,0.000000,2.867900,910,34,0
0,201,93,0.093093,0.018974,2.787327,906,32,0
0,202,107,0.107107,0.000000,2.903239,892,21,0
0,203,93,0.093093,0.020733,2.532439,906,30,0
0,204,108,0.108108,0.040512,3.224007,891,22,0
0,205,104,0.104104,0.041539,2.721462,895,23,0
0,206,97,0.097097,0.000000,2.456633,902,27,0
0,207,90,0.090090,0.000000,2.172521,909,33,0
0,208,114,0.114114,0.070633,3.745730,885,22,0
0,209,105,0.105105,0.055069,3.383611,894,25,0
0,210,105,0.105105,0.000000,2.634540,894,24,0
0,211,107,0.107107,0.000000,2.590844,892,26,0
0,212,86,0.086086,0.000000,1.959386,913,34,0
0,213,105,0.105105,0.000000,2.229171,894,24,0
0,214,93,0.093093,0.040729,2.318415,906,37,0
0,215,100,0.100100,0.000000,2.895987,899,26,0
0,216,102,0.102102,0.074409,2.753172,897,26,0
