cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,25.236047,654,-2.871636,0.025236,0.001475,0.992147,31.027470
1,25.045922,655,-2.335130,0.025046,0.001347,1.183099,31.558394
2,24.896324,656,-2.692561,0.024896,0.001390,1.165850,31.760005
3,24.763226,657,-2.437993,0.024763,0.001355,1.072011,31.582717
4,24.675772,658,-2.535824,0.024676,0.001240,1.012912,31.659063
5,24.557581,659,-2.339910,0.024558,0.001227,1.347185,31.800144
6,24.470728,660,-2.560796,0.024471,0.001293,1.281524,31.850119
7,24.390667,661,-2.432110,0.024391,0.001300,0.583943,30.938990
8,24.314938,662,-2.377991,0.024315,0.001199,0.587950,30.988083
9,24.261619,663,-2.217387,0.024262,0.001192,0.933006,31.636646
10,24.208222,664,-2.619026,0.024208,0.001234,1.024406,31.716900
11,24.153523,665,-2.341682,0.024154,0.001190,1.302972,31.667556
12,24.083824,666,-2.316404,0.024084,0.001218,1.114867,31.671548
13,24.051194,667,-2.481877,0.024051,0.001237,1.143489,31.667501
14,24.004233,668,-2.148736,0.024004,0.001187,1.313948,31.667907
15,23.954556,669,-2.181824,0.023955,0.001198,1.073778,31.653339
16,23.911577,670,-2.048259,0.023912,0.001137,1.057657,31.631448
17,23.879843,671,-2.412815,0.023880,0.001145,1.102110,31.617974
18,23.838326,672,-2.729549,0.023838,0.001258,1.168145,31.568215
19,23.784997,673,-2.412118,0.023785,0.001119,1.333322,31.725386
20,23.737341,674,-2.148195,0.023737,0.001147,1.324093,31.711001
21,23.706348,675,-2.147299,0.023706,0.001071,1.204635,31.673415
22,23.685310,676,-2.238284,0.023685,0.001103,1.167085,31.649242
23,23.660372,677,-2.282910,0.023660,0.001118,1.107387,31.673824
24,23.636946,678,-2.105473,0.023637,0.001090,1.336836,31.682075
25,23.609656,679,-2.190049,0.023610,0.001119,1.113569,31.686141
26,23.587512,680,-2.084897,0.023588,0.001086,0.902683,31.691875
27,23.569632,681,-2.201525,0.023570,0.001013,0.544507,30.918649
28,23.547456,682,-2.252268,0.023547,0.001091,0.698608,30.898550
29,23.529152,683,-2.137020,0.023529,0.001051,0.628270,30.904546
30,23.508710,684,-2.131415,0.023509,0.001025,0.632248,30.885473
31,23.489298,685,-2.370490,0.023489,0.001118,0.555798,30.937139
32,23.471559,686,-2.211490,0.023472,0.001023,0.659114,30.916426
33,23.450241,687,-2.020814,0.023450,0.001048,0.651588,30.890864
34,23.435474,688,-2.193585,0.023435,0.001084,0.584088,30.896388
35,23.414664,689,-2.127126,0.023415,0.001043,0.682058,30.896387
36,23.394801,690,-1.996942,0.023395,0.001002,1.230473,31.623954
37,23.373628,691,-2.318823,0.023374,0.001033,1.261731,31.680248
38,23.357782,692,-2.253209,0.023358,0.001013,1.417807,31.670702
39,23.339250,693,-2.344562,0.023339,0.001009,1.213520,31.683106
40,23.321835,694,-1.976670,0.023322,0.000968,1.228222,31.673235
41,23.310377,695,-2.141292,0.023310,0.000961,1.107075,31.703413
42,23.297427,696,-1.995334,0.023297,0.000916,1.307578,31.686380
43,23.285883,697,-1.881827,0.023286,0.000982,1.131576,31.671806
44,23.274403,698,-2.051014,0.023274,0.000952,1.154790,31.676616
45,23.259136,699,-1.885397,0.023259,0.001011,1.451239,31.668883
46,23.242604,700,-2.085481,0.023243,0.000964,1.414121,31.615853
47,23.224825,701,-1.966135,0.023225,0.000936,1.571095,31.675113
48,23.210607,702,-1.975096,0.023211,0.000947,1.458585,31.631919
49,23.195033,703,-1.945179,0.023195,0.000925,1.525632,31.667121
50,23.184421,704,-2.015534,0.023184,0.000955,1.132558,31.583020
51,23.169434,705,-2.006687,0.023169,0.000902,1.606102,31.619209
52,23.157083,706,-1.937803,0.023157,0.000965,1.385599,31.598477
53,23.147238,707,-1.864620,0.023147,0.000927,1.448964,31.711076
54,23.138733,708,-2.015118,0.023139,0.000949,1.265561,31.655209
55,23.123875,709,-2.009862,0.023124,0.000879,1.424442,31.589859
56,23.115863,710,-2.027787,0.023116,0.000892,1.274514,31.642890
57,23.107337,711,-2.070960,0.023107,0.000985,1.367147,31.700024
58,23.098109,712,-1.993236,0.023098,0.000856,1.433466,31.588717
59,23.086063,713,-2.099447,0.023086,0.000989,1.505027,31.767445
60,23.073674,714,-2.100224,0.023074,0.000949,1.250005,31.600181
61,23.064895,715,-2.064924,0.023065,0.000935,1.206888,31.604851
62,23.052424,716,-2.051946,0.023052,0.000918,1.515044,31.525935
63,23.041361,717,-2.093827,0.023041,0.000913,1.555673,31.609256
64,23.027067,718,-2.163091,0.023027,0.000934,1.521418,31.596287
65,23.017476,719,-1.918128,0.023017,0.000872,1.531822,31.517175
66,23.009805,720,-1.932436,0.023010,0.000857,1.431388,31.764536
67,23.001008,721,-1.942230,0.023001,0.000870,1.217833,31.612792
68,22.993432,722,-2.028899,0.022993,0.000884,1.548411,31.621644
69,22.983793,723,-1.776981,0.022984,0.000862,1.594185,31.536556
70,22.974919,724,-1.834315,0.022975,0.000909,1.498662,31.575808
71,22.967912,725,-1.969515,0.022968,0.000858,1.637620,31.514336
72,22.959244,726,-1.941506,0.022959,0.000861,1.369878,31.577929
73,22.953775,727,-1.704509,0.022954,0.000920,1.290799,31.580737
74,22.946863,728,-1.721709,0.022947,0.000835,1.744369,31.558188
75,22.939398,729,-1.859351,0.022939,0.000869,1.455836,31.615101
76,22.932697,730,-2.011784,0.022933,0.000887,1.342691,31.571093
