iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,112,0.112112,0.034484,2.610625,887,23,0.071395
0,1,82,0.082082,0.000000,2.584229,917,64,0.000000
0,2,107,0.107107,0.000000,3.068959,892,23,0.000000
0,3,94,0.094094,0.000000,2.382333,905,29,0.000000
0,4,104,0.104104,0.000000,2.802310,895,27,0.000000
0,5,113,0.113113,0.036466,3.043530,886,21,0.075499
0,6,95,0.095095,0.000000,2.524929,904,32,0.000000
0,7,106,0.106106,0.000000,2.521438,893,25,0.000000
0,8,102,0.102102,0.000000,2.825533,897,26,0.000000
0,9,96,0.096096,0.000000,2.646506,903,27,0.000000
0,10,100,0.100100,0.000000,2.469040,899,35,0.000000
0,11,97,0.097097,0.000000,2.029068,902,25,0.000000
0,12,110,0.110110,0.037584,2.777993,889,21,0.077815
0,13,111,0.111111,0.041819,2.392861,888,23,0.636583
0,14,86,0.086086,0.000000,2.043470,913,42,0.000000
0,15,92,0.092092,0.048956,2.771816,907,29,0.101359
0,16,102,0.102102,0.000000,2.388053,897,24,0.000000
0,17,86,0.086086,0.000000,2.157342,913,48,0.000000
0,18,106,0.106106,0.000000,2.538531,893,24,0.000000
0,19,99,0.099099,0.000000,1.640505,900,26,0.000000
0,20,105,0.105105,0.000000,3.562938,894,24,0.000000
0,21,116,0.116116,0.068387,3.067954,883,21,0.141590
0,22,120,0.120120,0.009402,3.318229,879,24,0.019466
0,23,104,0.104104,0.004776,3.096551,895,29,0.009888
0,24,91,0.091091,0.000000,2.371026,908,27,0.000000
0,25,104,0.104104,0.000000,2.779316,895,25,0.000000
0,26,104,0.104104,0.135726,3.328558,895,21,0.281009
0,27,99,0.099099,0.090894,2.648118,900,26,0.188188
0,28,89,0.089089,0.000000,2.460449,910,36,0.000000
0,29,87,0.087087,0.000000,2.023326,912,35,0.000000
0,30,106,0.106106,0.084214,2.341239,893,25,0.174358
0,31,88,0.088088,0.000000,2.581107,911,31,0.000000
0,32,87,0.087087,0.000000,1.312301,912,28,0.000000
0,33,85,0.085085,0.000000,2.401107,914,56,0.000000
0,34,101,0.101101,0.000000,2.779428,898,24,0.000000
0,35,95,0.095095,0.032455,2.044485,904,26,0.067196
0,36,125,0.125125,0.044990,3.757223,874,21,0.093148
0,37,112,0.112112,0.041536,2.955901,887,22,0.085996
0,38,98,0.098098,0.000000,2.456587,901,28,0.000000
0,39,105,0.105105,0.000000,2.590695,894,24,0.000000
0,40,84,0.084084,0.000000,2.531733,915,64,0.000000
0,41,92,0.092092,0.000000,2.568098,907,33,0.000000
0,42,105,0.105105,0.000000,2.058814,894,25,0.000000
0,43,92,0.092092,0.000000,1.956352,907,42,0.000000
0,44,90,0.090090,0.000000,2.404695,909,38,0.000000
0,45,98,0.098098,0.036941,2.097383,901,25,0.076484
0,46,105,0.105105,0.057076,2.878689,894,22,0.118171
0,47,103,0.103103,0.000000,2.697091,896,24,0.000000
0,48,121,0.121121,0.000000,2.781889,878,23,0.000000
0,49,109,0.109109,0.047263,2.759120,890,21,0.097854
0,50,81,0.081081,0.000000,2.105607,918,69,0.000000
0,51,98,0.098098,0.000000,3.036139,901,33,0.000000
0,52,98,0.098098,0.041279,2.977745,901,25,0.085465
0,53,108,0.108108,0.040045,3.616931,891,23,0.082909
0,54,99,0.099099,0.000000,2.510940,900,33,0.000000
0,55,89,0.089089,0.010097,2.224306,910,40,0.020905
0,56,101,0.101101,0.000000,2.239923,898,25,0.000000
0,57,90,0.090090,0.000000,2.643943,909,45,0.000000
