iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences
0,0,504,0.504505,0.203992,52.090104,495,23
0,1,496,0.496496,0.068362,47.635362,503,26
0,2,517,0.517518,0.068769,48.904956,482,23
0,3,505,0.505506,0.093609,48.360171,494,21
0,4,490,0.490490,0.126700,47.618327,509,24
0,5,506,0.506507,0.155009,49.639554,493,21
0,6,491,0.491491,0.082104,48.311409,508,25
0,7,488,0.488488,0.102551,48.629809,511,31
0,8,510,0.510511,0.087587,50.333716,489,24
0,9,481,0.481481,0.130810,48.138716,518,25
0,10,510,0.510511,0.091101,50.447720,489,22
0,11,475,0.475475,0.030861,45.658086,524,40
0,12,487,0.487487,0.100309,47.311189,512,26
0,13,511,0.511512,0.140802,49.110647,488,25
0,14,499,0.499499,0.156700,48.357539,500,22
0,15,490,0.490490,0.093712,48.003426,509,27
0,16,479,0.479479,0.123615,47.362546,520,31
0,17,489,0.489489,0.073947,47.202746,510,25
0,18,506,0.506507,0.159863,50.162171,493,24
0,19,509,0.509510,0.113643,50.513871,490,22
0,20,509,0.509510,0.094785,49.726141,490,22
0,21,499,0.499499,0.147069,49.121093,500,25
0,22,498,0.498498,0.100653,48.942094,501,26
0,23,514,0.514515,0.078763,51.225672,485,22
0,24,493,0.493493,0.042022,47.848815,506,25
0,25,486,0.486486,0.000000,47.536091,513,33
0,26,489,0.489489,0.142291,48.047479,510,25
0,27,517,0.517518,0.126783,49.060062,482,23
0,28,514,0.514515,0.109890,51.667219,485,24
0,29,480,0.480480,0.022161,47.352987,519,28
0,30,488,0.488488,0.000000,47.181047,511,26
0,31,479,0.479479,0.121973,47.224474,520,27
0,32,505,0.505506,0.045502,49.653575,494,23
0,33,502,0.502503,0.085888,49.953954,497,23
0,34,488,0.488488,0.040507,47.950518,511,28
0,35,492,0.492492,0.131739,48.034748,507,27
0,36,502,0.502503,0.132244,48.928029,497,21
0,37,483,0.483483,0.035203,47.296550,516,26
0,38,520,0.520521,0.106151,51.648902,479,23
0,39,531,0.531532,0.083018,50.899825,468,22
0,40,486,0.486486,0.074096,47.652864,513,32
0,41,486,0.486486,0.045087,47.413121,513,30
0,42,473,0.473473,0.085288,47.320789,526,38
0,43,515,0.515516,0.084779,51.071966,484,23
0,44,511,0.511512,0.071969,50.293976,488,22
0,45,520,0.520521,0.111358,52.946953,479,21
0,46,488,0.488488,0.085178,47.578054,511,32
0,47,490,0.490490,0.133679,48.552643,509,26
0,48,484,0.484484,0.091507,46.745577,515,29
0,49,521,0.521522,0.072884,50.881047,478,22
0,50,512,0.512513,0.096442,49.745781,487,22
0,51,473,0.473473,0.063588,46.933402,526,41
