iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,504,0.504505,0.203992,52.090104,495,23,0
0,1,496,0.496496,0.068362,47.635362,503,26,0
0,2,517,0.517518,0.068769,48.904956,482,23,0
0,3,505,0.505506,0.093609,48.360171,494,21,0
0,4,490,0.490490,0.126700,47.618327,509,24,0
0,5,506,0.506507,0.155009,49.639554,493,21,0
0,6,491,0.491491,0.082104,48.311409,508,25,0
0,7,488,0.488488,0.102551,48.629809,511,31,0
0,8,510,0.510511,0.087587,50.333716,489,24,0
0,9,481,0.481481,0.130810,48.138716,518,25,0
0,10,510,0.510511,0.091101,50.447720,489,22,0
0,11,475,0.475475,0.030861,45.658086,524,40,0
0,12,487,0.487487,0.100309,47.311189,512,26,0
0,13,511,0.511512,0.140802,49.110647,488,25,0
0,14,499,0.499499,0.156700,48.357539,500,22,0
0,15,490,0.490490,0.093712,48.003426,509,27,0
0,16,479,0.479479,0.123615,47.362546,520,31,0
0,17,489,0.489489,0.073947,47.202746,510,25,0
0,18,506,0.506507,0.159863,50.162171,493,24,0
0,19,509,0.509510,0.113643,50.513871,490,22,0
0,20,509,0.509510,0.094785,49.726141,490,22,0
0,21,499,0.499499,0.147069,49.121093,500,25,0
0,22,498,0.498498,0.100653,48.942094,501,26,0
0,23,514,0.514515,0.078763,51.225672,485,22,0
0,24,493,0.493493,0.042022,47.848815,506,25,0
0,25,486,0.486486,0.000000,47.536091,513,33,0
0,26,489,0.489489,0.142291,48.047479,510,25,0
0,27,517,0.517518,0.126783,49.060062,482,23,0
0,28,514,0.514515,0.109890,51.667219,485,24,0
0,29,480,0.480480,0.022161,47.352987,519,28,0
0,30,488,0.488488,0.000000,47.181047,511,26,0
0,31,479,0.479479,0.121973,47.224474,520,27,0
0,32,505,0.505506,0.045502,49.653575,494,23,0
0,33,502,0.502503,0.085888,49.953954,497,23,0
0,34,488,0.488488,0.040507,47.950518,511,28,0
0,35,492,0.492492,0.131739,48.034748,507,27,0
0,36,502,0.502503,0.132244,48.928029,497,21,0
0,37,483,0.483483,0.035203,47.296550,516,26,0
0,38,520,0.520521,0.106151,51.648902,479,23,0
0,39,531,0.531532,0.083018,50.899825,468,22,0
0,40,486,0.486486,0.074096,47.652864,513,32,0
0,41,486,0.486486,0.045087,47.413121,513,30,0
0,42,473,0.473473,0.085288,47.320789,526,38,0
0,43,515,0.515516,0.084779,51.071966,484,23,0
0,44,511,0.511512,0.071969,50.293976,488,22,0
0,45,520,0.520521,0.111358,52.946953,479,21,0
0,46,488,0.488488,0.085178,47.578054,511,32,0
0,47,490,0.490490,0.133679,48.552643,509,26,0
0,48,484,0.484484,0.091507,46.745577,515,29,0
0,49,521,0.521522,0.072884,50.881047,478,22,0
0,50,512,0.512513,0.096442,49.745781,487,22,0
0,51,473,0.473473,0.063588,46.933402,526,41,0
0,52,501,0.501502,0.159726,47.960949,498,22,0
0,53,501,0.501502,0.131528,48.960273,498,25,0
0,54,505,0.505506,0.100436,49.578073,494,23,0
0,55,497,0.497497,0.070926,48.256084,502,24,0
0,56,518,0.518519,0.127655,51.436589,481,22,0
0,57,507,0.507508,0.077022,50.654996,492,24,0
0,58,480,0.480480,0.065377,46.941977,519,29,0
0,59,484,0.484484,0.040572,46.596030,515,27,0
0,60,512,0.512513,0.128381,51.829958,487,24,0
0,61,478,0.478478,0.055751,46.665730,521,30,0
0,62,497,0.497497,0.114100,48.536469,502,24,0
0,63,496,0.496496,0.058933,48.867644,503,25,0
0,64,511,0.511512,0.165712,50.721470,488,22,0
0,65,501,0.501502,0.072008,49.103858,498,22,0
0,66,513,0.513514,0.083198,51.638753,486,22,0
0,67,518,0.518519,0.049131,49.158292,481,22,0
0,68,519,0.519520,0.139036,51.215971,480,23,0
0,69,489,0.489489,0.138386,47.415940,510,25,0
0,70,498,0.498498,0.067316,48.909578,501,22,0
0,71,500,0.500501,0.007327,48.249742,499,22,0
0,72,479,0.479479,0.035549,46.094220,520,33,0
0,73,497,0.497497,0.132195,49.737480,502,24,0
0,74,503,0.503504,0.078934,50.174934,496,31,0
0,75,489,0.489489,0.084141,48.744665,510,27,0
0,76,492,0.492492,0.052664,48.431645,507,25,0
0,77,497,0.497497,0.104906,49.417857,502,25,0
0,78,492,0.492492,0.027674,49.136249,507,27,0
0,79,545,0.545546,0.096943,53.051531,454,21,0
0,80,502,0.502503,0.040619,48.460784,497,29,0
0,81,497,0.497497,0.075317,48.618082,502,27,0
0,82,497,0.497497,0.102552,49.090630,502,23,0
0,83,490,0.490490,0.112041,48.218858,509,26,0
0,84,523,0.523524,0.121295,51.745891,476,22,0
0,85,465,0.465465,0.089652,45.981208,534,47,0
0,86,494,0.494494,0.110510,48.383511,505,25,0
0,87,500,0.500501,0.127713,49.362046,499,21,0
0,88,492,0.492492,0.032532,48.154394,507,29,0
0,89,496,0.496496,0.123828,48.347894,503,24,0
0,90,505,0.505506,0.127081,48.479350,494,24,0
0,91,514,0.514515,0.091659,50.235400,485,21,0
0,92,485,0.485485,0.105671,47.885554,514,23,0
0,93,511,0.511512,0.163398,49.618881,488,24,0
0,94,499,0.499499,0.078012,49.332804,500,25,0
0,95,503,0.503504,0.046302,49.616813,496,29,0
0,96,480,0.480480,0.000000,45.635957,519,32,0
0,97,487,0.487487,0.099674,46.903597,512,27,0
0,98,487,0.487487,0.024089,47.150090,512,26,0
0,99,525,0.525526,0.181907,51.905005,474,22,0
0,100,483,0.483483,0.082971,47.885140,516,35,0
0,101,500,0.500501,0.067924,49.524566,499,23,0
0,102,488,0.488488,0.115395,47.884055,511,25,0
0,103,503,0.503504,0.127272,48.058787,496,22,0
0,104,503,0.503504,0.087973,49.847212,496,26,0
0,105,505,0.505506,0.075467,50.096248,494,24,0
0,106,501,0.501502,0.011518,48.844050,498,24,0
0,107,522,0.522523,0.070514,52.149698,477,22,0
0,108,472,0.472472,0.046396,47.984117,527,42,0
0,109,518,0.518519,0.065708,50.492631,481,25,0
0,110,518,0.518519,0.137591,51.414799,481,21,0
0,111,504,0.504505,0.071120,49.401052,495,23,0
0,112,534,0.534535,0.108491,52.526355,465,23,0
0,113,496,0.496496,0.117440,49.756055,503,25,0
0,114,499,0.499499,0.185194,48.866602,500,22,0
0,115,478,0.478478,0.046480,45.877625,521,33,0
0,116,491,0.491491,0.096427,49.096300,508,28,0
0,117,500,0.500501,0.127204,49.080557,499,24,0
0,118,502,0.502503,0.161061,49.180507,497,24,0
0,119,493,0.493493,0.090820,48.583641,506,25,0
0,120,497,0.497497,0.000000,47.851348,502,26,0
0,121,535,0.535536,0.125808,52.050542,464,22,0
0,122,520,0.520521,0.102575,49.433339,479,23,0
0,123,500,0.500501,0.093460,48.864033,499,24,0
0,124,505,0.505506,0.138464,48.705929,494,24,0
0,125,494,0.494494,0.000000,48.056965,505,22,0
0,126,489,0.489489,0.062082,47.971940,510,26,0
0,127,502,0.502503,0.073150,50.174208,497,25,0
0,128,483,0.483483,0.123787,47.470104,516,28,0
0,129,500,0.500501,0.069441,48.994520,499,25,0
0,130,486,0.486486,0.018629,48.048757,513,28,0
0,131,500,0.500501,0.081355,49.037595,499,22,0
0,132,504,0.504505,0.040063,50.518250,495,22,0
0,133,509,0.509510,0.080856,49.956009,490,22,0
0,134,463,0.463463,0.080362,45.314734,536,43,0
0,135,518,0.518519,0.153993,50.140945,481,21,0
0,136,495,0.495495,0.165702,49.707153,504,27,0
0,137,502,0.502503,0.061334,48.405601,497,23,0
0,138,525,0.525526,0.067881,50.899042,474,22,0
0,139,485,0.485485,0.131377,47.869869,514,31,0
0,140,489,0.489489,0.116273,46.888483,510,27,0
0,141,494,0.494494,0.000000,47.136978,505,25,0
0,142,534,0.534535,0.159986,52.404199,465,23,0
0,143,485,0.485485,0.058703,47.762917,514,29,0
0,144,513,0.513514,0.164871,49.251377,486,23,0
0,145,497,0.497497,0.143858,49.483383,502,23,0
0,146,492,0.492492,0.044827,47.839701,507,26,0
0,147,515,0.515516,0.090912,50.475638,484,24,0
0,148,510,0.510511,0.186890,50.832849,489,24,0
0,149,511,0.511512,0.000000,50.177824,488,23,0
0,150,523,0.523524,0.085583,52.262572,476,22,0
0,151,497,0.497497,0.079910,48.963537,502,24,0
0,152,498,0.498498,0.128546,49.265723,501,24,0
0,153,505,0.505506,0.103680,50.007915,494,25,0
0,154,492,0.492492,0.178724,48.811858,507,22,1
0,155,521,0.521522,0.135801,50.775027,478,22,0
0,156,486,0.486486,0.082056,47.406079,513,25,0
0,157,491,0.491491,0.066593,48.610093,508,24,0
0,158,518,0.518519,0.123564,51.052211,481,21,0
0,159,483,0.483483,0.073452,46.928043,516,25,0
0,160,510,0.510511,0.060172,50.524592,489,22,0
0,161,498,0.498498,0.142249,49.888937,501,23,0
0,162,484,0.484484,0.116035,49.533694,515,30,0
0,163,483,0.483483,0.115602,48.027222,516,29,0
0,164,491,0.491491,0.097957,47.532679,508,23,0
0,165,526,0.526527,0.169918,51.911582,473,21,0
0,166,527,0.527528,0.135457,52.921913,472,23,0
0,167,508,0.508509,0.126660,50.580638,491,22,0
0,168,517,0.517518,0.078395,50.421525,482,23,0
0,169,500,0.500501,0.068692,48.047361,499,26,0
0,170,506,0.506507,0.102773,49.349959,493,21,0
0,171,493,0.493493,0.097015,48.864045,506,31,0
0,172,493,0.493493,0.150218,48.956411,506,22,0
0,173,485,0.485485,0.097083,47.877491,514,29,0
0,174,456,0.456456,0.060082,45.064295,543,59,0
