cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,234.196095,6430,-0.162239,0.234196,0.002742,2.347418,43.012111
1,234.152078,6431,-0.106516,0.234152,0.002758,0.319858,44.373422
2,234.137122,6432,-0.118693,0.234137,0.002740,0.174629,44.135016
3,234.115503,6433,-0.142997,0.234116,0.002757,0.236475,44.335324
4,234.079579,6434,-0.258580,0.234080,0.002711,0.250767,44.134691
5,234.002085,6435,-0.321498,0.234002,0.002719,0.314287,44.292566
6,233.856912,6436,-0.254147,0.233857,0.002756,0.400227,45.086884
7,233.774214,6437,-0.236361,0.233774,0.002727,0.400952,45.306164
8,233.669660,6438,-0.089191,0.233670,0.002719,0.348140,44.292490
9,233.661733,6439,-0.194192,0.233662,0.002690,0.191105,42.799198
10,233.611046,6440,-0.329955,0.233611,0.002676,0.353160,43.052585
11,233.477088,6441,-0.190431,0.233477,0.002586,0.381016,44.149912
12,233.450922,6442,-0.225691,0.233451,0.002565,0.349321,44.177200
13,233.366281,6443,-0.383867,0.233366,0.002525,0.400194,45.104577
14,233.223835,6444,-0.130398,0.233224,0.002642,0.470947,44.012611
15,233.193150,6445,-0.163233,0.233193,0.002580,0.247679,43.668638
16,233.166722,6446,-0.120594,0.233167,0.002591,0.236012,44.104431
17,233.160876,6447,-0.242470,0.233161,0.002609,0.198123,44.399470
18,233.074993,6448,-0.137293,0.233075,0.002608,0.341127,44.671500
19,233.057047,6449,-0.256004,0.233057,0.002628,0.238757,44.105766
20,232.977833,6450,-0.209742,0.232978,0.002617,0.257830,38.186947
21,232.906663,6451,-0.240750,0.232907,0.002606,0.402311,44.342042
22,232.857974,6452,-0.293039,0.232858,0.002614,0.379724,44.404983
23,232.784718,6453,-0.369463,0.232785,0.002607,0.412429,44.807547
24,232.654748,6454,-0.100216,0.232655,0.002676,0.420181,45.000484
25,232.641759,6455,-0.304711,0.232642,0.002666,0.205668,44.938305
26,232.558093,6456,-0.364054,0.232558,0.002637,0.390448,41.557479
27,232.433092,6457,-0.152925,0.232433,0.002636,0.225841,38.747034
28,232.408841,6458,-0.092443,0.232409,0.002632,0.159913,38.867874
29,232.398388,6459,-0.119591,0.232398,0.002634,0.118615,38.603914
30,232.372946,6460,-0.164126,0.232373,0.002577,0.168719,38.841474
31,232.329862,6461,-0.101678,0.232330,0.002586,0.361749,41.249119
32,232.297365,6462,-0.154883,0.232297,0.002637,0.245603,45.145889
33,232.265342,6463,-0.120745,0.232265,0.002589,0.315207,45.095228
34,232.242784,6464,-0.268329,0.232243,0.002544,0.233238,45.141498
35,232.120521,6465,-0.158785,0.232121,0.002599,0.276665,45.369066
36,232.090814,6466,-0.098283,0.232091,0.002575,0.299349,44.786602
37,232.072270,6467,-0.133458,0.232072,0.002551,0.212625,44.841414
38,232.048176,6468,-0.151047,0.232048,0.002527,0.246877,44.964847
39,231.993605,6469,-0.071655,0.231994,0.002528,0.262152,45.268432
40,231.981083,6470,-0.155254,0.231981,0.002508,0.154872,44.630473
41,231.952887,6471,-0.109948,0.231953,0.002563,0.323249,45.005066
42,231.929334,6472,-0.156167,0.231929,0.002528,0.276906,44.589849
43,231.896162,6473,-0.078214,0.231896,0.002569,0.236121,44.661321
44,231.884081,6474,-0.114693,0.231884,0.002616,0.186900,44.971355
45,231.853973,6475,-0.079136,0.231854,0.002605,0.205939,44.604998
46,231.845894,6476,-0.237116,0.231846,0.002568,0.088524,40.627158
47,231.769863,6477,-0.124292,0.231770,0.002528,0.226237,39.728893
48,231.743457,6478,-0.193420,0.231743,0.002526,0.141235,39.202500
49,231.708763,6479,-0.043950,0.231709,0.002549,0.235108,39.947361
50,231.704559,6480,-0.156972,0.231705,0.002580,0.123201,43.048666
51,231.682161,6481,-0.089623,0.231682,0.002581,0.164632,39.280377
52,231.661399,6482,-0.157228,0.231661,0.002577,0.254743,44.461147
53,231.628922,6483,-0.244404,0.231629,0.002569,0.249619,44.666723
54,231.594008,6484,-0.068357,0.231594,0.002533,0.353138,44.856494
55,231.590264,6485,-0.083178,0.231590,0.002561,0.162711,44.607755
56,231.584001,6486,-0.276421,0.231584,0.002571,0.144034,44.905781
57,231.502540,6487,-0.089995,0.231503,0.002588,0.400270,44.329950
58,231.491141,6488,-0.061235,0.231491,0.002589,0.195516,44.034328
59,231.481688,6489,-0.060137,0.231482,0.002571,0.089779,40.972208
60,231.476382,6490,-0.229764,0.231476,0.002536,0.079335,41.616446
61,231.409330,6491,-0.119579,0.231409,0.002631,0.221832,39.131592
62,231.387582,6492,-0.041294,0.231388,0.002695,0.153817,42.714952
63,231.384166,6493,-0.081007,0.231384,0.002687,0.119250,45.169008
64,231.370813,6494,-0.054376,0.231371,0.002653,0.184354,41.073132
65,231.366805,6495,-0.122678,0.231367,0.002614,0.087312,40.370365
66,231.344520,6496,-0.088044,0.231345,0.002588,0.154063,39.341666
67,231.335860,6497,-0.131881,0.231336,0.002606,0.237781,45.455646
68,231.314801,6498,-0.090171,0.231315,0.002642,0.172142,40.382875
69,231.303805,6499,-0.104524,0.231304,0.002595,0.186636,44.526520
70,231.288433,6500,-0.268150,0.231288,0.002647,0.141965,43.912796
71,231.181237,6501,-0.208815,0.231181,0.002646,0.306237,39.499560
72,231.130451,6502,-0.082900,0.231130,0.002646,0.406440,44.672575
73,231.119828,6503,-0.221849,0.231120,0.002642,0.098743,38.841004
74,231.044743,6504,-0.119080,0.231045,0.002644,0.226268,38.902250
75,231.023868,6505,-0.070850,0.231024,0.002638,0.366410,40.393633
76,231.015858,6506,-0.092436,0.231016,0.002649,0.172373,44.504906
77,231.003780,6507,-0.124104,0.231004,0.002692,0.190737,44.971687
78,230.994485,6508,-0.130602,0.230994,0.002676,0.201107,45.011483
79,230.977269,6509,-0.242926,0.230977,0.002650,0.251119,45.077919
80,230.875774,6510,-0.142679,0.230876,0.002693,0.304200,46.427201
81,230.861608,6511,-0.204414,0.230862,0.002724,0.249011,44.240271
82,230.812018,6512,-0.195717,0.230812,0.002738,0.280026,44.679221
