iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,891,0.891892,0.207719,209.183561,108,28,0.235573
0,1,886,0.886887,0.247463,207.160247,113,33,0.281401
0,2,923,0.923924,0.250915,216.173597,76,21,0.285380
0,3,904,0.904905,0.067073,211.053476,95,23,0.073399
0,4,910,0.910911,0.286485,213.433089,89,21,0.326395
0,5,893,0.893894,0.161248,209.891522,106,25,0.181990
0,6,875,0.875876,0.161385,204.862694,124,36,0.182147
0,7,900,0.900901,0.210342,210.363421,99,22,0.238597
0,8,897,0.897898,0.257163,210.174510,102,19,0.292585
0,9,900,0.900901,0.258371,210.564907,99,20,0.293978
0,10,888,0.888889,0.243364,208.171505,111,26,0.276674
0,11,889,0.889890,0.188905,207.453636,110,24,0.213879
0,12,897,0.897898,0.242678,210.097753,102,25,0.275883
0,13,906,0.906907,0.305733,212.286360,93,21,0.348589
0,14,910,0.910911,0.329473,213.575746,89,21,0.375963
0,15,903,0.903904,0.281982,211.875112,96,21,0.321203
0,16,900,0.900901,0.180184,210.802279,99,22,0.203824
0,17,892,0.892893,0.211679,209.017457,107,27,0.240140
0,18,895,0.895896,0.225092,210.587346,104,26,0.255605
0,19,885,0.885886,0.272690,207.043729,114,32,0.310489
0,20,883,0.883884,0.236642,206.610451,116,26,0.268923
0,21,905,0.905906,0.210860,212.578829,94,18,0.239194
0,22,907,0.907908,0.286852,213.517320,92,21,0.326818
0,23,908,0.908909,0.291796,212.991456,91,23,0.332519
0,24,910,0.910911,0.155530,213.715959,89,21,0.175396
0,25,888,0.888889,0.170221,208.419127,111,26,0.192335
0,26,901,0.901902,0.227249,210.607112,98,20,0.258092
0,27,910,0.910911,0.278878,212.573503,89,18,0.317624
0,28,913,0.913914,0.244704,214.060704,86,20,0.278219
0,29,913,0.913914,0.339571,214.504922,86,21,0.387606
0,30,898,0.898899,0.290045,209.926244,101,22,0.330500
0,31,911,0.911912,0.219096,213.347931,88,21,0.248692
0,32,916,0.916917,0.342427,215.050656,83,21,0.940900
0,33,887,0.887888,0.134171,206.940891,112,28,0.150767
0,34,900,0.900901,0.250479,210.976553,99,22,0.284878
0,35,909,0.909910,0.276216,213.529096,90,23,0.314554
0,36,912,0.912913,0.291303,212.621319,87,19,0.331950
0,37,897,0.897898,0.262944,210.437494,102,22,0.299251
0,38,903,0.903904,0.226040,211.575934,96,22,0.256698
0,39,882,0.882883,0.218623,207.426618,117,29,0.248146
0,40,891,0.891892,0.192846,209.018657,108,22,0.218424
0,41,886,0.886887,0.175142,207.700584,113,29,0.198010
0,42,893,0.893894,0.233008,209.208773,106,26,0.264732
0,43,884,0.884885,0.237184,206.991026,115,32,0.269548
0,44,882,0.882883,0.236419,206.476466,117,30,0.268666
0,45,888,0.888889,0.206451,208.143569,111,25,0.234112
0,46,896,0.896897,0.269422,209.609069,103,22,0.306721
0,47,889,0.889890,0.307676,209.576973,110,25,0.350829
0,48,896,0.896897,0.237676,210.634014,103,21,0.270115
0,49,918,0.918919,0.298946,214.956546,81,20,0.340763
0,50,899,0.899900,0.263444,210.514487,100,25,0.299828
0,51,881,0.881882,0.188070,206.705755,118,31,0.212916
0,52,913,0.913914,0.180747,213.236380,86,22,0.204473
0,53,882,0.882883,0.253086,206.472688,117,25,0.287884
0,54,884,0.884885,0.251873,206.915405,115,31,0.286485
0,55,892,0.892893,0.348264,209.438177,107,22,0.397630
0,56,896,0.896897,0.154113,210.079048,103,24,0.173762
0,57,895,0.895896,0.317033,209.618032,104,19,0.361619
0,58,906,0.906907,0.257057,212.794700,93,20,0.292463
0,59,902,0.902903,0.288701,210.883943,97,21,0.328950
0,60,900,0.900901,0.298340,211.445874,99,24,0.340065
0,61,907,0.907908,0.177698,212.064559,92,21,0.200957
0,62,903,0.903904,0.269254,212.805659,96,23,0.306527
0,63,883,0.883884,0.247489,206.999335,116,29,0.281430
0,64,895,0.895896,0.260463,209.746757,104,22,0.296390
0,65,920,0.920921,0.238837,215.867153,79,20,0.271454
0,66,894,0.894895,0.210515,210.097191,105,27,0.238797
0,67,886,0.886887,0.174425,208.292366,113,25,0.197183
0,68,878,0.878879,0.200751,205.415688,121,35,0.227539
0,69,907,0.907908,0.155884,213.749188,92,21,0.175804
0,70,893,0.893894,0.264501,208.832246,106,25,0.301046
0,71,898,0.898899,0.245197,210.951374,101,22,0.278787
0,72,896,0.896897,0.235429,210.154602,103,21,0.267524
0,73,903,0.903904,0.197634,211.696564,96,22,0.223945
0,74,888,0.888889,0.263064,208.678238,111,25,0.299389
0,75,891,0.891892,0.223922,209.006764,108,26,0.254256
0,76,903,0.903904,0.235249,210.960088,96,20,0.267317
0,77,904,0.904905,0.303978,212.017503,95,21,0.346566
0,78,909,0.909910,0.267372,214.040254,90,23,0.304357
0,79,902,0.902903,0.233595,211.438986,97,21,0.265409
0,80,899,0.899900,0.196709,210.181050,100,22,0.222878
0,81,894,0.894895,0.233490,209.554120,105,23,0.265289
0,82,896,0.896897,0.240390,210.038492,103,25,0.273244
0,83,906,0.906907,0.313042,212.222694,93,19,0.357017
0,84,908,0.908909,0.277643,212.656779,91,21,0.316199
0,85,908,0.908909,0.219311,213.127604,91,24,0.248940
0,86,894,0.894895,0.164328,209.255039,105,24,0.185540
0,87,906,0.906907,0.279512,212.243506,93,22,0.318355
0,88,893,0.893894,0.221194,209.736482,106,27,0.251111
0,89,897,0.897898,0.242064,210.748414,102,18,0.275175
0,90,895,0.895896,0.214261,209.103881,104,21,0.243116
0,91,892,0.892893,0.175000,209.364352,107,29,0.197846
0,92,900,0.900901,0.196685,210.728445,99,22,0.222850
0,93,891,0.891892,0.225459,209.115703,108,25,0.256028
0,94,905,0.905906,0.239962,210.832090,94,18,0.272751
0,95,906,0.906907,0.272518,212.043242,93,20,0.310290
0,96,904,0.904905,0.275972,211.784432,95,21,0.314272
0,97,880,0.880881,0.199127,206.797942,119,35,0.225666
0,98,898,0.898899,0.207040,209.924560,101,23,0.234790
0,99,889,0.889890,0.219810,209.190480,110,23,0.249514
0,100,910,0.910911,0.288397,213.349565,89,24,0.328599
0,101,920,0.920921,0.179375,215.265156,79,20,0.202890
0,102,909,0.909910,0.213229,213.251666,90,21,0.241926
0,103,900,0.900901,0.229537,210.217269,99,22,0.260730
0,104,899,0.899900,0.253035,210.451000,100,21,0.287825
0,105,891,0.891892,0.340914,208.556291,108,24,0.389155
0,106,909,0.909910,0.271960,212.829298,90,21,0.309647
0,107,895,0.895896,0.286791,209.302835,104,23,0.326748
0,108,899,0.899900,0.196996,210.438679,100,24,0.223209
0,109,913,0.913914,0.253367,215.017258,86,21,0.288208
0,110,901,0.901902,0.196352,210.848080,98,21,0.222466
0,111,903,0.903904,0.268588,211.195997,96,21,0.305759
0,112,898,0.898899,0.219217,209.128512,101,23,0.248831
0,113,913,0.913914,0.282051,214.998037,86,22,0.321282
0,114,907,0.907908,0.270391,212.774295,92,21,0.307838
0,115,900,0.900901,0.281554,211.708263,99,22,0.320709
0,116,899,0.899900,0.247377,210.052433,100,19,0.281301
0,117,895,0.895896,0.259300,209.925584,104,23,0.295050
0,118,905,0.905906,0.273318,212.640036,94,22,0.311212
0,119,911,0.911912,0.222365,213.348355,88,22,0.252460
0,120,894,0.894895,0.188467,210.186123,105,23,0.213374
0,121,887,0.887888,0.258587,207.959937,112,29,0.294227
0,122,893,0.893894,0.148594,208.141427,106,25,0.167398
0,123,905,0.905906,0.289727,212.057347,94,22,0.330133
0,124,894,0.894895,0.263586,208.659819,105,21,0.299991
0,125,897,0.897898,0.289068,210.784953,102,23,0.329374
0,126,903,0.903904,0.278126,211.770885,96,21,0.316757
0,127,892,0.892893,0.321053,209.212979,107,23,0.366254
0,128,893,0.893894,0.218123,209.940270,106,24,0.247569
0,129,897,0.897898,0.167681,209.976794,102,23,0.189407
0,130,900,0.900901,0.173615,210.417894,99,22,0.196249
0,131,893,0.893894,0.282863,209.374581,106,25,0.322219
0,132,918,0.918919,0.240864,215.185287,81,19,0.273791
0,133,903,0.903904,0.205938,211.851704,96,21,0.233519
0,134,902,0.902903,0.256421,211.718847,97,21,0.291730
0,135,898,0.898899,0.181979,210.163228,101,19,0.205894
0,136,906,0.906907,0.183850,212.023622,93,22,0.208051
0,137,912,0.912913,0.213204,214.311557,87,21,0.241897
0,138,886,0.886887,0.194463,207.593180,113,24,0.220289
0,139,890,0.890891,0.178567,208.089252,109,28,0.201959
0,140,900,0.900901,0.232369,210.659766,99,19,0.263996
0,141,906,0.906907,0.274195,212.314422,93,22,0.312224
0,142,889,0.889890,0.123072,208.636083,110,23,0.137970
0,143,886,0.886887,0.216588,207.957899,113,26,0.245800
0,144,897,0.897898,0.237126,209.869245,102,23,0.269481
0,145,900,0.900901,0.215334,211.185521,99,22,0.244354
0,146,885,0.885886,0.004799,208.017305,114,30,0.001594
0,147,900,0.900901,0.260877,211.505788,99,24,0.296867
0,148,897,0.897898,0.212261,210.093074,102,20,0.240810
0,149,890,0.890891,0.174676,208.078530,109,27,0.197473
0,150,906,0.906907,0.330873,212.258900,93,21,0.377576
0,151,885,0.885886,0.260403,207.621509,114,23,0.296321
0,152,902,0.902903,0.209251,211.249719,97,21,0.237340
0,153,899,0.899900,0.278881,210.903545,100,20,0.317628
0,154,884,0.884885,0.203991,207.784052,115,24,0.231274
0,155,910,0.910911,0.217373,213.290658,89,22,0.246705
0,156,900,0.900901,0.235268,210.549820,99,21,0.267339
0,157,900,0.900901,0.184873,210.580984,99,21,0.209230
0,158,908,0.908909,0.273417,213.071089,91,22,0.311327
0,159,910,0.910911,0.256495,213.433943,89,20,0.291814
0,160,901,0.901902,0.209773,210.484974,98,24,0.237942
0,161,907,0.907908,0.180860,212.006315,92,25,0.204602
0,162,908,0.908909,0.227658,212.281699,91,21,0.258564
0,163,913,0.913914,0.260877,213.504954,86,21,0.296867
0,164,884,0.884885,0.220357,206.441394,115,28,0.250146
0,165,901,0.901902,0.281598,211.685939,98,20,0.320759
0,166,907,0.907908,0.096714,211.354031,92,21,0.107578
0,167,900,0.900901,0.187764,211.298048,99,22,0.212564
0,168,892,0.892893,0.187342,209.001532,107,25,0.212078
0,169,911,0.911912,0.249078,213.982929,88,20,0.283263
0,170,904,0.904905,0.275198,211.775883,95,22,0.313380
0,171,889,0.889890,0.292431,208.479240,110,24,0.333251
0,172,918,0.918919,0.311957,215.989786,81,21,0.355766
0,173,895,0.895896,0.162638,209.074525,104,25,0.183592
0,174,878,0.878879,0.200173,205.548906,121,32,0.226872
0,175,898,0.898899,0.278418,210.426670,101,23,0.317093
0,176,911,0.911912,0.288774,213.833708,88,19,0.329035
0,177,894,0.894895,0.245780,209.444935,105,23,0.279459
0,178,901,0.901902,0.205167,211.547640,98,25,0.232630
0,179,900,0.900901,0.259097,210.535164,99,22,0.294814
0,180,876,0.876877,0.231008,205.546719,123,37,0.262426
0,181,896,0.896897,0.212909,208.933643,103,26,0.241557
0,182,904,0.904905,0.213594,212.159724,95,24,0.242347
0,183,897,0.897898,0.189000,210.292934,102,25,0.213988
0,184,886,0.886887,0.167307,207.324319,113,22,0.188976
0,185,897,0.897898,0.272804,210.939240,102,24,0.310620
0,186,895,0.895896,0.253260,209.137308,104,25,0.288084
0,187,900,0.900901,0.184513,211.766265,99,22,0.208815
0,188,886,0.886887,0.240215,207.028828,113,30,0.273043
0,189,910,0.910911,0.222576,212.736293,89,22,0.252704
0,190,902,0.902903,0.123423,210.580263,97,22,0.138375
0,191,913,0.913914,0.269424,213.960021,86,20,0.306723
0,192,894,0.894895,0.276361,209.608527,105,22,0.314722
0,193,906,0.906907,0.252472,212.147199,93,20,0.287176
0,194,898,0.898899,0.169725,211.036796,101,21,0.191764
0,195,907,0.907908,0.281619,213.325915,92,21,0.320785
0,196,904,0.904905,0.198763,211.652830,95,22,0.225247
0,197,911,0.911912,0.376518,213.470232,88,20,0.430208
0,198,910,0.910911,0.196485,213.222700,89,21,0.222620
0,199,910,0.910911,0.303803,213.604091,89,21,0.346364
0,200,889,0.889890,0.216845,208.289047,110,22,0.246096
0,201,900,0.900901,0.003416,210.684469,99,23,0.000000
0,202,894,0.894895,0.244189,208.801188,105,22,0.277625
0,203,908,0.908909,0.249708,212.295235,91,18,0.283989
0,204,898,0.898899,0.236977,210.583093,101,22,0.269309
0,205,902,0.902903,0.219115,210.837344,97,20,0.248713
0,206,895,0.895896,0.284392,209.724558,104,24,0.323982
0,207,899,0.899900,0.264501,210.772431,100,21,0.301046
0,208,895,0.895896,0.301173,209.944213,104,21,0.343331
0,209,915,0.915916,0.373720,215.192526,84,22,0.426982
0,210,883,0.883884,0.112295,207.535766,116,25,0.125544
0,211,885,0.885886,0.136140,207.527584,114,32,0.153038
0,212,913,0.913914,0.304789,213.584044,86,21,0.347500
0,213,888,0.888889,0.226587,208.327290,111,29,0.257329
0,214,895,0.895896,0.237098,210.824965,104,22,0.269449
0,215,897,0.897898,0.195009,210.995482,102,20,0.220917
0,216,895,0.895896,0.286254,209.255014,104,23,0.326129
0,217,899,0.899900,0.211636,210.240682,100,21,0.240090
0,218,893,0.893894,0.302372,209.160388,106,22,0.344714
0,219,902,0.902903,0.271901,211.412174,97,22,0.309579
0,220,908,0.908909,0.190651,212.901991,91,20,0.215893
0,221,895,0.895896,0.275328,209.659832,104,19,0.313530
0,222,906,0.906907,0.150150,212.722883,93,21,0.169192
0,223,902,0.902903,0.335420,212.114336,97,21,0.382820
0,224,895,0.895896,0.299545,210.795486,104,23,0.341454
0,225,903,0.903904,0.203009,211.731946,96,21,0.230142
0,226,888,0.888889,0.209888,207.785032,111,24,0.238074
0,227,883,0.883884,0.207937,206.713420,116,30,0.235824
0,228,892,0.892893,0.212903,208.901419,107,23,0.241551
0,229,885,0.885886,0.236653,206.839141,114,27,0.268936
0,230,905,0.905906,0.208529,212.034010,94,23,0.236506
0,231,902,0.902903,0.292414,211.612315,97,21,0.333231
0,232,889,0.889890,0.240721,208.360328,110,25,0.273626
0,233,899,0.899900,0.288018,210.578154,100,24,0.328162
0,234,895,0.895896,0.192861,210.073196,104,23,0.218440
0,235,888,0.888889,0.152023,208.644127,111,22,0.171352
0,236,907,0.907908,0.220862,212.611522,92,22,0.250728
0,237,910,0.910911,0.249524,212.733798,89,22,0.283777
0,238,912,0.912913,0.207829,213.582525,87,20,0.235699
0,239,882,0.882883,0.227599,206.646344,117,41,0.258496
0,240,916,0.916917,0.289216,214.613478,83,21,0.329544
0,241,904,0.904905,0.242738,212.172494,95,19,0.275951
0,242,909,0.909910,0.266923,213.044641,90,20,0.303839
0,243,887,0.887888,0.267312,208.219458,112,25,0.304288
0,244,888,0.888889,0.252264,207.939360,111,21,0.286936
0,245,910,0.910911,0.238428,212.394284,89,21,0.270982
0,246,894,0.894895,0.233672,208.719699,105,23,0.265498
0,247,905,0.905906,0.178767,211.346651,94,21,0.202190
0,248,910,0.910911,0.269630,213.772613,89,22,0.306960
0,249,901,0.901902,0.233453,210.609621,98,20,0.265246
0,250,903,0.903904,0.237712,210.568251,96,22,0.270156
0,251,900,0.900901,0.220523,210.835653,99,26,0.800337
0,252,902,0.902903,0.306376,211.636674,97,21,0.349330
0,253,890,0.890891,0.196351,208.472589,109,25,0.222465
0,254,882,0.882883,0.155461,205.848819,117,33,0.175317
0,255,910,0.910911,0.193155,213.294242,89,21,0.218780
0,256,910,0.910911,0.277063,212.770291,89,20,0.315530
0,257,892,0.892893,0.250125,208.977626,107,23,0.284469
0,258,886,0.886887,0.252788,207.859843,113,23,0.287540
0,259,901,0.901902,0.283173,210.779511,98,20,0.322576
0,260,897,0.897898,0.251932,210.397394,102,26,0.286554
0,261,914,0.914915,0.240218,214.710422,85,20,0.273046
0,262,873,0.873874,0.163267,203.570870,126,53,0.184317
0,263,909,0.909910,0.305089,212.867750,90,20,0.347846
0,264,905,0.905906,0.291540,212.097877,94,20,0.332224
0,265,907,0.907908,0.119597,212.924691,92,23,0.133963
0,266,913,0.913914,0.262297,213.923802,86,20,0.298504
0,267,912,0.912913,0.156008,213.903553,87,21,0.175947
0,268,892,0.892893,0.224022,208.564376,107,21,0.254372
0,269,884,0.884885,0.211690,206.802888,115,28,0.240152
0,270,904,0.904905,0.163388,210.555066,95,21,0.184457
0,271,915,0.915916,0.280414,213.690526,84,19,0.319395
0,272,905,0.905906,0.271013,212.366839,94,23,0.308555
0,273,870,0.870871,0.180220,204.294789,129,56,0.203865
0,274,897,0.897898,0.248553,209.120607,102,27,0.282657
0,275,894,0.894895,0.237483,208.765255,105,22,0.269893
0,276,887,0.887888,0.118178,208.447121,112,28,0.132327
0,277,904,0.904905,0.260650,212.159228,95,22,0.296605
0,278,897,0.897898,0.180377,210.069611,102,22,0.204046
0,279,906,0.906907,0.328996,212.598678,93,20,0.375412
0,280,910,0.910911,0.279008,212.293092,89,21,0.317773
0,281,895,0.895896,0.276516,210.171355,104,22,0.314900
0,282,886,0.886887,0.237156,207.396112,113,26,0.269516
0,283,888,0.888889,0.297739,207.167693,111,27,0.339372
0,284,908,0.908909,0.261632,212.276092,91,21,0.297738
0,285,912,0.912913,0.271577,213.695913,87,18,0.309205
0,286,900,0.900901,0.221846,210.093548,99,21,0.251862
0,287,895,0.895896,0.285637,209.062897,104,22,0.325417
0,288,910,0.910911,0.178034,213.550618,89,18,0.201344
0,289,903,0.903904,0.301242,211.887318,96,21,0.343411
0,290,901,0.901902,0.232797,210.442585,98,23,0.264490
0,291,884,0.884885,0.256770,207.864598,115,30,0.292132
0,292,902,0.902903,0.261016,211.668817,97,23,0.297028
0,293,887,0.887888,0.179436,207.000084,112,24,0.202961
0,294,906,0.906907,0.359661,213.165543,93,22,0.410772
0,295,913,0.913914,0.290787,213.852595,86,17,0.331356
0,296,884,0.884885,0.168423,207.936689,115,24,0.190262
0,297,919,0.919920,0.250756,215.044655,80,20,0.285197
0,298,889,0.889890,0.261165,208.026432,110,23,0.297199
0,299,895,0.895896,0.286945,209.587909,104,23,0.326925
0,300,905,0.905906,0.172397,212.162082,94,22,0.194844
0,301,884,0.884885,0.304774,207.772053,115,27,0.347483
0,302,894,0.894895,0.228850,210.037794,105,24,0.259938
0,303,901,0.901902,0.187995,211.210867,98,20,0.212830
0,304,890,0.890891,0.237793,209.185877,109,23,0.270250
0,305,901,0.901902,0.318333,211.686881,98,19,0.363117
0,306,900,0.900901,0.296195,210.928654,99,23,0.337591
0,307,912,0.912913,0.249680,214.084976,87,20,0.283957
0,308,894,0.894895,0.257872,209.069672,105,25,0.293402
0,309,898,0.898899,0.255772,210.049785,101,17,0.290981
0,310,896,0.896897,0.206133,209.718415,103,25,0.233744
0,311,898,0.898899,0.141045,209.663822,101,24,0.158694
0,312,893,0.893894,0.269295,209.645098,106,24,0.306574
0,313,882,0.882883,0.196791,206.405807,117,32,0.222973
0,314,895,0.895896,0.257145,210.670262,104,24,0.292564
0,315,915,0.915916,0.248774,214.943016,84,20,0.282912
0,316,908,0.908909,0.224282,212.892262,91,24,0.254671
0,317,909,0.909910,0.259183,211.794204,90,20,0.294915
0,318,901,0.901902,0.239776,211.368326,98,24,0.272536
0,319,897,0.897898,0.231630,210.202535,102,23,0.263144
0,320,915,0.915916,0.135180,215.211739,84,24,0.151931
0,321,891,0.891892,0.186306,209.380911,108,23,0.210882
0,322,890,0.890891,0.223454,208.465456,109,24,0.253717
0,323,881,0.881882,0.145079,206.740589,118,29,0.163345
0,324,879,0.879880,0.235493,206.868754,120,30,0.267598
0,325,918,0.918919,0.274113,214.806961,81,21,0.312129
0,326,890,0.890891,0.172268,207.539943,109,25,0.194696
0,327,912,0.912913,0.254865,214.352656,87,21,0.289935
0,328,890,0.890891,0.255863,207.880910,109,23,0.291086
0,329,900,0.900901,0.236235,210.569512,99,20,0.268454
0,330,894,0.894895,0.235123,209.251790,105,21,0.267172
0,331,908,0.908909,0.218663,212.672605,91,21,0.248192
0,332,904,0.904905,0.279902,212.379954,95,21,0.318805
0,333,917,0.917918,0.364038,214.802332,82,19,0.415818
0,334,909,0.909910,0.230223,212.669509,90,20,0.261521
0,335,872,0.872873,0.191672,203.416791,127,51,0.217069
0,336,894,0.894895,0.232794,208.862444,105,24,0.264486
0,337,898,0.898899,0.185157,210.353458,101,22,0.209558
0,338,911,0.911912,0.305867,213.133102,88,23,0.348744
0,339,911,0.911912,0.182714,212.922749,88,22,0.206741
0,340,905,0.905906,0.200932,212.153036,94,22,0.227747
0,341,881,0.881882,0.242490,207.293738,118,29,0.275666
0,342,899,0.899900,0.172656,209.439691,100,23,0.195143
0,343,902,0.902903,0.250557,211.068105,97,19,0.284968
0,344,888,0.888889,0.298675,208.652113,111,23,0.340450
0,345,896,0.896897,0.219907,210.158593,103,21,0.249626
0,346,891,0.891892,0.165877,208.730367,108,26,0.187327
0,347,910,0.910911,0.247435,213.827568,89,20,0.281368
0,348,889,0.889890,0.207833,208.094517,110,26,0.235705
0,349,898,0.898899,0.271771,210.941377,101,21,0.309428
0,350,896,0.896897,0.135256,209.105764,103,24,0.152019
0,351,897,0.897898,0.223522,210.354724,102,25,0.253794
0,352,887,0.887888,0.234624,207.948840,112,27,0.266596
0,353,894,0.894895,0.249553,209.091322,105,22,0.283810
0,354,892,0.892893,0.146487,209.455232,107,24,0.164969
0,355,899,0.899900,0.283391,210.777966,100,21,0.322828
0,356,914,0.914915,0.350949,214.561962,85,23,0.400725
0,357,900,0.900901,0.223078,210.934479,99,24,0.253283
0,358,888,0.888889,0.156794,208.485354,111,26,0.176854
0,359,903,0.903904,0.250935,212.324594,96,19,0.285403
0,360,892,0.892893,0.202914,209.644705,107,21,0.230033
0,361,904,0.904905,0.236939,212.137598,95,23,0.269266
0,362,892,0.892893,0.210876,208.836450,107,25,0.239213
0,363,902,0.902903,0.296885,211.733868,97,22,0.338386
0,364,897,0.897898,0.160596,209.993070,102,22,0.181237
0,365,892,0.892893,0.234800,209.757527,107,25,0.266799
0,366,897,0.897898,0.284529,210.920978,102,21,0.324140
0,367,885,0.885886,0.188179,207.688900,114,29,0.213042
0,368,907,0.907908,0.151057,212.590624,92,22,0.170239
0,369,899,0.899900,0.212861,211.131772,100,22,0.241502
0,370,888,0.888889,0.221720,207.596003,111,24,0.251717
0,371,895,0.895896,0.242881,209.387766,104,22,0.276117
0,372,888,0.888889,0.208114,207.883647,111,27,0.236028
0,373,895,0.895896,0.266378,210.215531,104,22,0.303210
0,374,897,0.897898,0.188467,209.171833,102,23,0.213374
0,375,895,0.895896,0.249182,209.091838,104,21,0.283382
0,376,890,0.890891,0.249154,210.061754,109,25,0.283350
0,377,902,0.902903,0.246425,212.228048,97,21,0.280203
0,378,907,0.907908,0.281388,212.398961,92,18,0.320518
0,379,896,0.896897,0.232313,210.509693,103,26,0.263932
0,380,901,0.901902,0.202361,210.871560,98,21,0.229395
0,381,899,0.899900,0.185771,211.484990,100,25,0.210266
0,382,903,0.903904,0.264005,211.889016,96,23,0.300475
0,383,904,0.904905,0.242276,212.585456,95,21,0.275420
0,384,916,0.916917,0.222042,214.564221,83,21,0.252089
0,385,887,0.887888,0.195773,207.254468,112,24,0.221798
0,386,889,0.889890,0.221445,208.433899,110,23,0.251401
0,387,907,0.907908,0.137320,212.898718,92,20,0.154398
0,388,898,0.898899,0.152740,210.444550,101,23,0.172179
0,389,888,0.888889,0.206324,208.473759,111,27,0.233965
0,390,894,0.894895,0.260167,209.981191,105,24,0.296049
0,391,890,0.890891,0.281841,208.765832,109,21,0.321040
0,392,900,0.900901,0.258100,210.248594,99,23,0.293666
0,393,892,0.892893,0.146123,208.406914,107,23,0.164549
0,394,902,0.902903,0.169763,211.144281,97,21,0.191807
0,395,898,0.898899,0.231230,210.653330,101,24,0.262683
0,396,909,0.909910,0.320166,213.432121,90,20,0.365231
0,397,885,0.885886,0.255684,207.871483,114,27,0.290880
0,398,913,0.913914,0.255346,213.881549,86,24,0.290490
0,399,899,0.899900,0.230111,209.960516,100,23,0.261392
0,400,896,0.896897,0.259319,210.667002,103,22,0.295071
0,401,904,0.904905,0.233318,211.152194,95,21,0.265090
0,402,904,0.904905,0.260650,211.673290,95,19,0.296606
0,403,873,0.873874,0.182099,205.887009,126,46,0.206031
0,404,895,0.895896,0.284202,210.289218,104,22,0.323763
0,405,908,0.908909,0.249001,212.075790,91,23,0.283173
0,406,912,0.912913,0.289442,212.899894,87,19,0.329805
0,407,891,0.891892,0.270041,209.166753,108,25,0.307434
0,408,906,0.906907,0.277554,213.581762,93,23,0.316097
0,409,887,0.887888,0.246113,208.383688,112,26,0.279843
0,410,897,0.897898,0.193170,210.197288,102,24,0.218798
0,411,905,0.905906,0.291325,212.196857,94,21,0.331976
0,412,915,0.915916,0.224224,214.359006,84,18,0.254605
0,413,909,0.909910,0.212853,212.555917,90,22,0.241493
0,414,896,0.896897,0.305302,210.949894,103,22,0.348092
0,415,892,0.892893,0.194366,209.300438,107,26,0.220176
0,416,900,0.900901,0.267267,210.764711,99,23,0.304236
0,417,911,0.911912,0.284197,213.910903,88,21,0.323756
0,418,892,0.892893,0.186792,209.408372,107,25,0.211443
0,419,910,0.910911,0.202105,213.695182,89,21,0.229100
0,420,878,0.878879,0.230657,205.944259,121,41,0.262022
0,421,880,0.880881,0.129596,205.919540,119,42,0.145492
0,422,918,0.918919,0.165580,215.016088,81,22,0.186984
0,423,908,0.908909,0.229560,212.655081,91,22,0.260757
0,424,887,0.887888,0.223236,207.633171,112,27,0.253465
0,425,904,0.904905,0.243179,211.611935,95,21,0.276461
0,426,901,0.901902,0.158427,210.520574,98,22,0.178736
