iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,891,0.891892,0.207719,209.183561,108,28,0
0,1,886,0.886887,0.247463,207.160247,113,33,0
0,2,923,0.923924,0.250915,216.173597,76,21,0
0,3,904,0.904905,0.067073,211.053476,95,23,0
0,4,910,0.910911,0.286485,213.433089,89,21,0
0,5,893,0.893894,0.161248,209.891522,106,25,0
0,6,875,0.875876,0.161385,204.862694,124,36,0
0,7,900,0.900901,0.210342,210.363421,99,22,0
0,8,897,0.897898,0.257163,210.174510,102,19,0
0,9,900,0.900901,0.258371,210.564907,99,20,0
0,10,888,0.888889,0.243364,208.171505,111,26,0
0,11,889,0.889890,0.188905,207.453636,110,24,0
0,12,897,0.897898,0.242678,210.097753,102,25,0
0,13,906,0.906907,0.305733,212.286360,93,21,0
0,14,910,0.910911,0.329473,213.575746,89,21,0
0,15,903,0.903904,0.281982,211.875112,96,21,0
0,16,900,0.900901,0.180184,210.802279,99,22,0
0,17,892,0.892893,0.211679,209.017457,107,27,0
0,18,895,0.895896,0.225092,210.587346,104,26,0
0,19,885,0.885886,0.272690,207.043729,114,32,0
0,20,883,0.883884,0.236642,206.610451,116,26,0
0,21,905,0.905906,0.210860,212.578829,94,18,0
0,22,907,0.907908,0.286852,213.517320,92,21,0
0,23,908,0.908909,0.291796,212.991456,91,23,0
0,24,910,0.910911,0.155530,213.715959,89,21,0
0,25,888,0.888889,0.170221,208.419127,111,26,0
0,26,901,0.901902,0.227249,210.607112,98,20,0
0,27,910,0.910911,0.278878,212.573503,89,18,0
0,28,913,0.913914,0.244704,214.060704,86,20,0
0,29,913,0.913914,0.339571,214.504922,86,21,0
0,30,898,0.898899,0.290045,209.926244,101,22,0
0,31,911,0.911912,0.219096,213.347931,88,21,0
0,32,916,0.916917,0.342427,215.050656,83,21,1
0,33,887,0.887888,0.134171,206.940891,112,28,0
0,34,900,0.900901,0.250479,210.976553,99,22,0
0,35,909,0.909910,0.276216,213.529096,90,23,0
0,36,912,0.912913,0.291303,212.621319,87,19,0
0,37,897,0.897898,0.262944,210.437494,102,22,0
0,38,903,0.903904,0.226040,211.575934,96,22,0
0,39,882,0.882883,0.218623,207.426618,117,29,0
0,40,891,0.891892,0.192846,209.018657,108,22,0
0,41,886,0.886887,0.175142,207.700584,113,29,0
0,42,893,0.893894,0.233008,209.208773,106,26,0
0,43,884,0.884885,0.237184,206.991026,115,32,0
0,44,882,0.882883,0.236419,206.476466,117,30,0
0,45,888,0.888889,0.206451,208.143569,111,25,0
0,46,896,0.896897,0.269422,209.609069,103,22,0
0,47,889,0.889890,0.307676,209.576973,110,25,0
0,48,896,0.896897,0.237676,210.634014,103,21,0
0,49,918,0.918919,0.298946,214.956546,81,20,0
0,50,899,0.899900,0.263444,210.514487,100,25,0
0,51,881,0.881882,0.188070,206.705755,118,31,0
0,52,913,0.913914,0.180747,213.236380,86,22,0
0,53,882,0.882883,0.253086,206.472688,117,25,0
0,54,884,0.884885,0.251873,206.915405,115,31,0
0,55,892,0.892893,0.348264,209.438177,107,22,0
0,56,896,0.896897,0.154113,210.079048,103,24,0
0,57,895,0.895896,0.317033,209.618032,104,19,0
0,58,906,0.906907,0.257057,212.794700,93,20,0
0,59,902,0.902903,0.288701,210.883943,97,21,0
0,60,900,0.900901,0.298340,211.445874,99,24,0
0,61,907,0.907908,0.177698,212.064559,92,21,0
0,62,903,0.903904,0.269254,212.805659,96,23,0
0,63,883,0.883884,0.247489,206.999335,116,29,0
0,64,895,0.895896,0.260463,209.746757,104,22,0
0,65,920,0.920921,0.238837,215.867153,79,20,0
0,66,894,0.894895,0.210515,210.097191,105,27,0
0,67,886,0.886887,0.174425,208.292366,113,25,0
0,68,878,0.878879,0.200751,205.415688,121,35,0
0,69,907,0.907908,0.155884,213.749188,92,21,0
0,70,893,0.893894,0.264501,208.832246,106,25,0
0,71,898,0.898899,0.245197,210.951374,101,22,0
0,72,896,0.896897,0.235429,210.154602,103,21,0
0,73,903,0.903904,0.197634,211.696564,96,22,0
0,74,888,0.888889,0.263064,208.678238,111,25,0
0,75,891,0.891892,0.223922,209.006764,108,26,0
0,76,903,0.903904,0.235249,210.960088,96,20,0
0,77,904,0.904905,0.303978,212.017503,95,21,0
0,78,909,0.909910,0.267372,214.040254,90,23,0
0,79,902,0.902903,0.233595,211.438986,97,21,0
0,80,899,0.899900,0.196709,210.181050,100,22,0
0,81,894,0.894895,0.233490,209.554120,105,23,0
0,82,896,0.896897,0.240390,210.038492,103,25,0
0,83,906,0.906907,0.313042,212.222694,93,19,0
0,84,908,0.908909,0.277643,212.656779,91,21,0
0,85,908,0.908909,0.219311,213.127604,91,24,0
0,86,894,0.894895,0.164328,209.255039,105,24,0
0,87,906,0.906907,0.279512,212.243506,93,22,0
0,88,893,0.893894,0.221194,209.736482,106,27,0
0,89,897,0.897898,0.242064,210.748414,102,18,0
0,90,895,0.895896,0.214261,209.103881,104,21,0
0,91,892,0.892893,0.175000,209.364352,107,29,0
0,92,900,0.900901,0.196685,210.728445,99,22,0
0,93,891,0.891892,0.225459,209.115703,108,25,0
0,94,905,0.905906,0.239962,210.832090,94,18,0
0,95,906,0.906907,0.272518,212.043242,93,20,0
0,96,904,0.904905,0.275972,211.784432,95,21,0
0,97,880,0.880881,0.199127,206.797942,119,35,0
0,98,898,0.898899,0.207040,209.924560,101,23,0
0,99,889,0.889890,0.219810,209.190480,110,23,0
0,100,910,0.910911,0.288397,213.349565,89,24,0
0,101,920,0.920921,0.179375,215.265156,79,20,0
