cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,5.376218,434,-0.601579,0.043010,0.002816,0.027490,0.248271
1,5.320730,435,-0.549042,0.042566,0.002428,0.024662,0.293343
2,5.278679,436,-0.473399,0.042229,0.002248,0.017848,0.371723
3,5.247007,437,-0.419772,0.041976,0.002604,0.031891,0.336862
4,5.219327,438,-0.467115,0.041755,0.002184,0.018089,0.390612
5,5.190425,439,-0.565278,0.041523,0.002393,0.018274,0.253217
6,5.161911,440,-0.498125,0.041295,0.001830,0.020121,0.292390
7,5.142843,441,-0.462048,0.041143,0.002017,0.038005,0.295575
8,5.134852,442,-0.441954,0.041079,0.002153,0.019759,0.301453
9,5.119088,443,-0.435069,0.040953,0.002192,0.017232,0.339047
10,5.105470,444,-0.345792,0.040844,0.001893,0.022593,0.422218
11,5.098126,445,-0.370828,0.040785,0.002103,0.017454,0.464106
12,5.085369,446,-0.390120,0.040683,0.001931,0.035929,0.384496
13,5.073707,447,-0.446357,0.040590,0.001849,0.013120,0.311780
14,5.062071,448,-0.362656,0.040497,0.001799,0.019975,0.352457
15,5.052240,449,-0.401095,0.040418,0.001444,0.045598,0.549294
16,5.043655,450,-0.456815,0.040349,0.001603,0.041438,0.377480
17,5.030923,451,-0.397650,0.040247,0.001658,0.038174,0.401176
18,5.018424,452,-0.348524,0.040147,0.001206,0.042490,0.651086
19,5.013492,453,-0.360020,0.040108,0.001210,0.032544,0.594066
20,5.006829,454,-0.403330,0.040055,0.001206,0.026448,0.489698
21,5.000038,455,-0.434006,0.040000,0.001232,0.030029,0.397871
22,4.992496,456,-0.366799,0.039940,0.001065,0.044602,0.574977
23,4.988803,457,-0.330772,0.039910,0.001255,0.035003,0.536066
24,4.984698,458,-0.325168,0.039878,0.000927,0.032335,0.862606
25,4.982627,459,-0.357127,0.039861,0.001115,0.032187,0.645499
26,4.976447,460,-0.350097,0.039812,0.001041,0.032722,0.676935
27,4.972907,461,-0.344716,0.039783,0.001308,0.024719,0.688038
28,4.969954,462,-0.346237,0.039760,0.001304,0.021614,0.647424
29,4.966850,463,-0.370802,0.039735,0.001445,0.013515,0.459658
30,4.962137,464,-0.316443,0.039697,0.001121,0.032177,0.827358
31,4.957467,465,-0.365937,0.039660,0.000930,0.028243,0.572361
32,4.954659,466,-0.388856,0.039637,0.001143,0.026317,0.505231
33,4.947659,467,-0.344577,0.039581,0.001164,0.038682,0.656210
34,4.943744,468,-0.353347,0.039550,0.001225,0.029829,0.600126
35,4.937964,469,-0.404907,0.039504,0.001358,0.034351,0.411951
36,4.935464,470,-0.388874,0.039484,0.001175,0.030914,0.461276
37,4.932096,471,-0.367715,0.039457,0.001164,0.023174,0.599828
38,4.929094,472,-0.374923,0.039433,0.001110,0.037607,0.510346
39,4.926789,473,-0.358572,0.039414,0.000976,0.018035,0.529944
40,4.924531,474,-0.324524,0.039396,0.000915,0.021382,0.712451
41,4.922534,475,-0.370581,0.039380,0.001110,0.049092,0.584312
42,4.919387,476,-0.342123,0.039355,0.001208,0.032179,0.592288
43,4.917687,477,-0.353767,0.039341,0.001243,0.032705,0.533025
44,4.915315,478,-0.297227,0.039323,0.000797,0.020833,1.140409
45,4.914032,479,-0.322010,0.039312,0.001158,0.018334,0.709857
46,4.912801,480,-0.348140,0.039302,0.001203,0.018797,0.636711
47,4.909693,481,-0.308558,0.039278,0.001072,0.033796,0.861823
48,4.907144,482,-0.341473,0.039257,0.001080,0.018872,0.695857
49,4.905649,483,-0.278326,0.039245,0.000930,0.034744,1.135506
50,4.903055,484,-0.382079,0.039224,0.001312,0.017927,0.504734
51,4.900066,485,-0.306018,0.039201,0.000984,0.034781,0.661825
52,4.898099,486,-0.371001,0.039185,0.001206,0.027331,0.530725
53,4.893998,487,-0.292739,0.039152,0.001251,0.039993,0.698780
54,4.892167,488,-0.353984,0.039137,0.001674,0.018603,0.349945
55,4.888563,489,-0.357337,0.039109,0.001770,0.016362,0.444796
56,4.886087,490,-0.322619,0.039089,0.001631,0.030686,0.432931
