iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,9,0.072581,0.000000,0.219925,115,104,0.000000
0,1,9,0.072581,0.025169,0.430637,115,160,0.047785
0,2,11,0.088710,0.021759,0.387541,113,73,0.041311
0,3,8,0.064516,0.000000,0.448772,116,173,0.000000
0,4,12,0.096774,0.000000,0.598011,112,65,0.000000
0,5,13,0.104839,0.036723,0.602332,111,57,0.069720
0,6,8,0.064516,0.000000,0.575496,116,109,0.000000
0,7,12,0.096774,0.075239,0.706834,112,58,0.692844
0,8,16,0.129032,0.132277,1.298763,108,57,0.251134
0,9,11,0.088710,0.063897,0.238851,113,56,0.671311
0,10,13,0.104839,0.025418,0.801472,111,67,0.048257
0,11,12,0.096774,0.061509,0.650405,112,60,0.666777
0,12,12,0.096774,0.090134,0.575913,112,84,0.721123
0,13,14,0.112903,0.045102,1.007045,110,57,0.085628
0,14,9,0.072581,0.012768,0.426584,115,96,0.024241
0,15,14,0.112903,0.000000,0.621511,110,60,0.000000
0,16,16,0.129032,0.160438,1.530598,108,60,0.304599
0,17,8,0.064516,0.000000,0.476571,116,178,0.000000
0,18,10,0.080645,0.000000,0.611936,114,153,0.000000
0,19,7,0.056452,0.000000,0.328499,117,191,0.000000
0,20,7,0.056452,0.000000,0.444444,117,182,0.000000
0,21,13,0.104839,0.024761,0.468323,111,62,0.047010
0,22,8,0.064516,0.000000,0.353071,116,172,0.000000
0,23,15,0.120968,0.117071,0.768006,109,56,0.222264
0,24,9,0.072581,0.000000,0.421116,115,159,0.000000
0,25,10,0.080645,0.000000,0.176486,114,87,0.000000
0,26,14,0.112903,0.036995,0.659277,110,60,0.070237
0,27,10,0.080645,0.096273,0.684099,114,64,0.732779
0,28,8,0.064516,0.000000,0.369555,116,169,0.000000
0,29,8,0.064516,0.000000,0.332323,116,191,0.000000
0,30,10,0.080645,0.000000,0.366620,114,164,0.000000
0,31,15,0.120968,0.071799,0.597684,109,55,0.686314
0,32,7,0.056452,0.000000,0.315102,117,198,0.000000
0,33,6,0.048387,0.000000,0.291985,118,212,0.000000
0,34,17,0.137097,0.095935,0.665123,107,59,0.182137
0,35,11,0.088710,0.021643,0.618215,113,73,0.041089
0,36,12,0.096774,0.000000,0.607237,112,84,0.000000
0,37,10,0.080645,0.000000,0.450082,114,98,0.000000
0,38,7,0.056452,0.000000,0.178229,117,191,0.000000
0,39,11,0.088710,0.000000,0.193242,113,85,0.000000
0,40,12,0.096774,0.043352,0.982494,112,67,0.082305
0,41,16,0.129032,0.161768,1.184617,108,57,0.307124
0,42,8,0.064516,0.000000,0.298029,116,82,0.000000
0,43,9,0.072581,0.000000,0.455004,115,62,0.000000
0,44,10,0.080645,0.000000,0.623200,114,130,0.000000
0,45,11,0.088710,0.009083,0.416261,113,65,0.017244
0,46,14,0.112903,0.080737,0.662553,110,59,0.153282
0,47,11,0.088710,0.077003,0.660023,113,72,0.696194
0,48,15,0.120968,0.089951,1.177047,109,60,0.170775
0,49,13,0.104839,0.007712,0.619367,111,65,0.014642
0,50,18,0.145161,0.175090,1.232673,106,55,0.332415
0,51,16,0.129032,0.219694,1.271416,108,78,0.417099
0,52,13,0.104839,0.036756,0.639289,111,58,0.069782
0,53,9,0.072581,0.000000,0.377893,115,90,0.000000
0,54,13,0.104839,0.010397,0.567480,111,67,0.019739
0,55,12,0.096774,0.000000,0.578829,112,78,0.000000
0,56,12,0.096774,0.000000,0.451782,112,65,0.000000
0,57,16,0.129032,0.132187,1.274486,108,58,0.250963
0,58,10,0.080645,0.036589,0.793686,114,137,0.069465
0,59,6,0.048387,0.000000,0.318062,118,215,0.000000
0,60,13,0.104839,0.175777,1.012940,111,67,0.883720
0,61,19,0.153226,0.031299,0.651169,105,60,0.059422
0,62,15,0.120968,0.081951,1.025815,109,56,0.705587
0,63,14,0.112903,0.037436,0.694180,110,59,0.621073
0,64,12,0.096774,0.026321,0.502764,112,69,0.049971
0,65,16,0.129032,0.105499,0.928907,108,56,0.200295
0,66,11,0.088710,0.000052,0.431274,113,71,0.000099
0,67,10,0.080645,0.009127,0.465966,114,136,0.017328
0,68,18,0.145161,0.103803,0.755934,106,55,0.197074
0,69,10,0.080645,0.023338,0.296474,114,69,0.044307
0,70,10,0.080645,0.015642,0.262471,114,71,0.579697
0,71,12,0.096774,0.000000,0.279184,112,60,0.000000
0,72,11,0.088710,0.000000,0.758315,113,113,0.000000
