cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,17.842421,521,-0.546209,0.142739,0.005690,0.027440,2.664254
1,17.712432,522,-0.588154,0.141699,0.006750,0.036459,1.737918
2,17.582408,523,-0.481983,0.140659,0.007503,0.013714,2.160970
3,17.497946,524,-0.430692,0.139984,0.005519,0.013194,2.567653
4,17.452019,525,-0.449832,0.139616,0.006084,0.027116,2.773053
5,17.368264,526,-0.348909,0.138946,0.005225,0.007711,2.891206
6,17.324681,527,-0.383318,0.138597,0.004370,0.013267,2.837834
7,17.264568,528,-0.395114,0.138117,0.004187,0.011156,3.135129
8,17.207239,529,-0.312133,0.137658,0.004271,0.023407,3.068564
9,17.164184,530,-0.366952,0.137313,0.004782,0.007434,2.900675
10,17.131376,531,-0.368762,0.137051,0.004912,0.009766,3.018135
11,17.101530,532,-0.412349,0.136812,0.004991,0.008774,2.951587
12,17.069927,533,-0.324117,0.136559,0.004551,0.007217,3.247766
13,17.030929,534,-0.355293,0.136247,0.005441,0.006940,2.952379
14,16.995159,535,-0.410004,0.135961,0.004426,0.013713,2.797036
15,16.965381,536,-0.404229,0.135723,0.005023,0.009948,2.477423
16,16.919361,537,-0.356456,0.135355,0.004637,0.008403,3.099997
17,16.880296,538,-0.419670,0.135042,0.005259,0.007894,2.305907
18,16.846118,539,-0.423506,0.134769,0.005713,0.007878,2.045263
19,16.812114,540,-0.440381,0.134497,0.004422,0.009826,2.388491
20,16.762325,541,-0.387496,0.134099,0.004099,0.017198,2.756265
21,16.745986,542,-0.373942,0.133968,0.004379,0.009075,3.041051
22,16.728605,543,-0.350552,0.133829,0.005224,0.014676,2.636363
23,16.695487,544,-0.470422,0.133564,0.005486,0.009778,1.966775
24,16.655960,545,-0.389912,0.133248,0.005824,0.019782,2.774205
25,16.623582,546,-0.351720,0.132989,0.005454,0.007436,2.583205
26,16.612949,547,-0.311121,0.132904,0.005583,0.022617,3.153173
27,16.603720,548,-0.344140,0.132830,0.005634,0.005638,2.620529
28,16.592966,549,-0.304127,0.132744,0.005754,0.007113,3.007210
29,16.566071,550,-0.326331,0.132529,0.005502,0.010039,2.886148
30,16.546269,551,-0.298374,0.132370,0.004789,0.018112,2.986915
31,16.538417,552,-0.325788,0.132307,0.004731,0.014298,3.021239
32,16.519335,553,-0.358419,0.132155,0.004591,0.004445,3.136758
33,16.508471,554,-0.332175,0.132068,0.004381,0.006824,3.124606
34,16.488413,555,-0.304596,0.131907,0.004717,0.009604,3.300383
35,16.473422,556,-0.280452,0.131787,0.004015,0.008828,3.382620
36,16.460155,557,-0.347424,0.131681,0.004802,0.007500,3.038489
37,16.449006,558,-0.325393,0.131592,0.004477,0.011689,2.899227
38,16.429093,559,-0.314928,0.131433,0.004984,0.009746,3.002088
39,16.416314,560,-0.267102,0.131331,0.003745,0.006755,3.493915
40,16.408723,561,-0.311764,0.131270,0.004403,0.005071,3.324824
41,16.402685,562,-0.337817,0.131221,0.004132,0.010091,3.440796
42,16.390383,563,-0.309408,0.131123,0.003365,0.013988,3.417538
43,16.384611,564,-0.277133,0.131077,0.003246,0.005776,3.532074
44,16.377900,565,-0.331983,0.131023,0.003103,0.010287,3.337451
45,16.370810,566,-0.328546,0.130966,0.004400,0.009487,3.183565
46,16.357196,567,-0.255261,0.130858,0.003876,0.007624,3.248750
47,16.352703,568,-0.262145,0.130822,0.003702,0.004801,3.091905
48,16.347515,569,-0.304239,0.130780,0.002990,0.011696,3.193374
49,16.340202,570,-0.254753,0.130722,0.003713,0.011288,2.820227
50,16.337622,571,-0.267189,0.130701,0.003237,0.003095,3.006081
51,16.333130,572,-0.269097,0.130665,0.003436,0.013848,3.697896
52,16.326637,573,-0.259773,0.130613,0.003124,0.006216,3.233496
53,16.316893,574,-0.292868,0.130535,0.003873,0.005407,2.971090
54,16.309910,575,-0.383235,0.130479,0.004317,0.008322,2.623472
55,16.293461,576,-0.271568,0.130348,0.004304,0.033555,2.995910
56,16.286683,577,-0.336784,0.130293,0.003628,0.013999,3.081032
57,16.272820,578,-0.282835,0.130183,0.003411,0.008598,3.152862
58,16.258796,579,-0.298906,0.130070,0.004148,0.014805,2.845779
59,16.253329,580,-0.207482,0.130027,0.003647,0.006370,3.581522
60,16.249743,581,-0.181966,0.129998,0.003392,0.002985,3.760389
61,16.247836,582,-0.220148,0.129983,0.002911,0.005430,4.013789
62,16.244712,583,-0.222299,0.129958,0.003416,0.003022,3.342707
63,16.235554,584,-0.261502,0.129884,0.003709,0.004943,3.184954
64,16.221150,585,-0.276170,0.129769,0.003999,0.008089,2.611397
65,16.209704,586,-0.263137,0.129678,0.004107,0.009669,3.348889
66,16.190358,587,-0.237293,0.129523,0.003449,0.013838,3.727704
67,16.171014,588,-0.282551,0.129368,0.004296,0.005716,3.623902
68,16.167193,589,-0.230703,0.129338,0.003437,0.007347,3.506101
69,16.163415,590,-0.260848,0.129307,0.003554,0.010225,3.032007
70,16.158394,591,-0.334657,0.129267,0.003470,0.005833,2.652297
71,16.152458,592,-0.281374,0.129220,0.003137,0.006383,3.359765
72,16.145275,593,-0.190301,0.129162,0.002834,0.010960,3.135936
73,16.141912,594,-0.218023,0.129135,0.003281,0.005691,3.599882
74,16.137322,595,-0.225882,0.129099,0.003267,0.008111,3.355776
75,16.133735,596,-0.259126,0.129070,0.003080,0.006808,3.412930
76,16.128569,597,-0.230502,0.129029,0.002910,0.008560,3.574032
77,16.124981,598,-0.193830,0.129000,0.002918,0.011081,4.249533
78,16.121544,599,-0.190419,0.128972,0.002825,0.019231,3.497781
79,16.115250,600,-0.321265,0.128922,0.003862,0.008034,2.870258
80,16.108901,601,-0.224689,0.128871,0.003038,0.006222,3.762180
81,16.104225,602,-0.200757,0.128834,0.003049,0.005193,3.785846
82,16.101543,603,-0.225252,0.128812,0.003712,0.007418,3.268169
83,16.096914,604,-0.189055,0.128775,0.003165,0.016691,3.937826
84,16.095690,605,-0.183900,0.128766,0.003295,0.005721,3.854828
85,16.093429,606,-0.175490,0.128747,0.002950,0.003064,3.864369
86,16.084913,607,-0.198465,0.128679,0.003044,0.009148,3.826384
87,16.079804,608,-0.203395,0.128638,0.003065,0.006229,3.651742
88,16.076522,609,-0.208861,0.128612,0.003093,0.002902,3.850954
89,16.070163,610,-0.226726,0.128561,0.003158,0.020698,3.419978
90,16.055240,611,-0.178657,0.128442,0.002653,0.006993,3.671183
91,16.050271,612,-0.189411,0.128402,0.002675,0.009689,3.924427
92,16.035489,613,-0.190236,0.128284,0.002599,0.009324,3.438089
