iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,72,0.580645,0.153738,10.457289,52,21,0.208433
0,1,68,0.548387,0.190514,10.688554,56,25,0.258293
0,2,68,0.548387,0.066069,9.859094,56,23,0.089574
0,3,65,0.524194,0.208335,9.032764,59,21,0.832455
0,4,55,0.443548,0.164109,8.311079,69,29,0.222494
0,5,67,0.540323,0.155294,10.377017,57,24,0.210543
0,6,61,0.491935,0.202155,9.078485,63,24,0.824075
0,7,59,0.475806,0.228934,8.402369,65,23,0.860381
0,8,61,0.491935,0.137401,8.622976,63,23,0.736285
0,9,67,0.540323,0.096318,9.907643,57,20,0.130585
0,10,61,0.491935,0.129333,8.469668,63,27,0.175346
0,11,63,0.508065,0.139152,9.458482,61,23,0.188658
0,12,64,0.516129,0.105287,9.094897,60,21,0.142745
0,13,60,0.483871,0.184228,9.006540,64,26,0.249771
0,14,60,0.483871,0.211311,8.908434,64,26,0.286489
0,15,62,0.500000,0.122285,8.851468,62,28,0.165791
0,16,71,0.572581,0.114249,10.173825,53,21,0.154896
0,17,73,0.588710,0.196891,10.241578,51,21,0.266939
0,18,65,0.524194,0.133911,9.277788,59,23,0.181552
0,19,58,0.467742,0.000000,8.182427,66,27,0.000000
0,20,65,0.524194,0.075037,10.177172,59,23,0.101732
0,21,60,0.483871,0.172088,8.888105,64,26,0.233312
0,22,66,0.532258,0.021025,9.718466,58,23,0.028505
0,23,75,0.604839,0.331915,10.993653,49,18,0.450000
0,24,61,0.491935,0.092573,8.719085,63,27,0.125508
0,25,74,0.596774,0.284812,11.141579,50,21,0.386139
0,26,56,0.451613,0.136124,6.865793,68,34,0.184553
0,27,68,0.548387,0.135517,9.547345,56,21,0.183730
0,28,57,0.459677,0.000000,7.654793,67,29,0.000000
0,29,64,0.516129,0.079481,8.738968,60,25,0.107758
0,30,57,0.459677,0.057834,8.154542,67,37,0.078409
0,31,56,0.451613,0.021054,7.696161,68,42,0.028544
0,32,73,0.588710,0.119627,10.518685,51,21,0.162186
0,33,62,0.500000,0.181818,9.835450,62,24,0.246504
0,34,62,0.500000,0.243740,9.192326,62,23,0.330456
0,35,65,0.524194,0.197236,9.584034,59,22,0.267407
0,36,60,0.483871,0.154267,8.333393,64,30,0.209151
0,37,64,0.516129,0.158787,9.256197,60,21,0.215279
0,38,54,0.435484,0.026858,7.910304,70,46,0.036413
0,39,68,0.548387,0.197807,9.396905,56,21,0.268181
0,40,54,0.435484,0.139989,8.261830,70,45,0.189793
0,41,56,0.451613,0.140236,8.218677,68,29,0.190128
0,42,57,0.459677,0.053390,7.886617,67,31,0.072384
0,43,63,0.508065,0.272599,9.155580,61,22,0.369582
0,44,64,0.516129,0.000000,9.119564,60,24,0.000000
0,45,65,0.524194,0.194182,10.038104,59,23,0.263266
0,46,67,0.540323,0.223104,10.600913,57,23,0.302477
0,47,70,0.564516,0.141038,9.960786,54,21,0.191215
0,48,61,0.491935,0.082707,9.578618,63,25,0.112131
0,49,60,0.483871,0.143130,9.024504,64,23,0.194051
0,50,66,0.532258,0.150595,9.385232,58,22,0.204172
0,51,60,0.483871,0.060493,8.264276,64,25,0.082015
0,52,58,0.467742,0.230127,8.471222,66,31,0.861999
0,53,73,0.588710,0.223376,10.702885,51,21,0.302846
0,54,59,0.475806,0.134910,9.360656,65,29,0.182907
0,55,67,0.540323,0.169994,9.828474,57,21,0.230473
0,56,67,0.540323,0.297780,9.971548,57,21,0.403721
0,57,69,0.556452,0.240038,10.873321,55,21,0.325436
0,58,69,0.556452,0.140129,9.807924,55,21,0.189983
0,59,64,0.516129,0.212848,9.310643,60,22,0.288573
0,60,61,0.491935,0.204893,9.104206,63,24,0.277788
0,61,60,0.483871,0.061775,8.605551,64,28,0.083753
0,62,57,0.459677,0.066099,8.331232,67,38,0.089614
0,63,61,0.491935,0.146231,9.062035,63,25,0.198256
0,64,67,0.540323,0.057007,9.451913,57,25,0.077288
0,65,68,0.548387,0.090607,9.092899,56,21,0.122843
0,66,59,0.475806,0.158429,8.748542,65,26,0.214794
0,67,62,0.500000,0.222553,8.441141,62,22,0.301730
0,68,55,0.443548,0.023055,8.231123,69,37,0.031257
0,69,54,0.435484,0.179962,8.222150,70,42,0.243988
0,70,56,0.451613,0.000000,8.340533,68,29,0.000000
0,71,59,0.475806,0.145789,8.399034,65,25,0.197657
0,72,58,0.467742,0.159757,8.040366,66,28,0.216593
0,73,58,0.467742,0.182330,8.736751,66,40,0.247198
0,74,55,0.443548,0.000000,7.299623,69,40,0.000000
0,75,51,0.411290,0.056386,7.924065,73,62,0.076447
0,76,56,0.451613,0.160657,8.053768,68,24,0.217814
0,77,64,0.516129,0.147513,9.589897,60,20,0.199993
0,78,69,0.556452,0.188643,9.602797,55,21,0.255757
0,79,63,0.508065,0.140106,9.767889,61,24,0.189952
0,80,59,0.475806,0.112094,8.678343,65,32,0.151973
0,81,61,0.491935,0.216613,8.700965,63,24,0.293678
0,82,62,0.500000,0.109490,8.710568,62,23,0.148443
0,83,67,0.540323,0.072332,9.236423,57,23,0.098066
0,84,67,0.540323,0.251918,9.765823,57,22,0.341542
0,85,57,0.459677,0.137055,8.819792,67,40,0.185816
0,86,64,0.516129,0.211404,9.892465,60,26,0.286615
0,87,53,0.427419,0.041535,7.346229,71,59,0.056312
0,88,55,0.443548,0.144385,8.459268,69,33,0.195753
0,89,56,0.451613,0.071302,8.358370,68,31,0.096669
0,90,66,0.532258,0.077309,9.265855,58,25,0.654813
0,91,60,0.483871,0.125639,8.914591,64,28,0.170338
0,92,69,0.556452,0.124644,10.504119,55,24,0.168989
0,93,63,0.508065,0.185026,8.929015,61,21,0.250853
0,94,60,0.483871,0.088679,8.793533,64,27,0.120229
