iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences
0,0,115,0.927419,0.361569,39.302241,9,7
0,1,108,0.870968,0.197100,37.229730,16,12
0,2,115,0.927419,0.444298,39.414305,9,5
0,3,112,0.903226,0.148978,38.299604,12,10
0,4,103,0.830645,0.214403,35.094100,21,16
0,5,112,0.903226,0.444298,39.225115,12,8
0,6,110,0.887097,0.350857,37.704680,14,10
0,7,108,0.870968,0.214403,37.129862,16,11
0,8,117,0.943548,0.504779,40.560152,7,5
0,9,116,0.935484,0.341463,39.879202,8,6
0,10,112,0.903226,0.371127,39.191661,12,8
0,11,112,0.903226,0.371127,39.769281,12,8
0,12,112,0.903226,0.416282,38.616678,12,10
0,13,111,0.895161,0.305702,38.167436,13,7
0,14,109,0.879032,0.323006,37.590475,15,13
0,15,112,0.903226,0.416282,38.673204,12,10
0,16,108,0.870968,0.321523,37.572512,16,14
0,17,111,0.895161,0.148978,37.671061,13,8
0,18,107,0.862903,0.376895,36.783454,17,15
0,19,106,0.854839,0.102999,35.770600,18,11
0,20,109,0.879032,0.386454,37.827291,15,11
0,21,112,0.903226,0.209130,38.796803,12,9
0,22,108,0.870968,0.216381,37.186882,16,12
0,23,107,0.862903,0.321688,37.168425,17,13
0,24,108,0.870968,0.337014,37.059822,16,16
0,25,110,0.887097,0.341299,38.245715,14,11
0,26,113,0.911290,0.399143,38.774225,11,8
0,27,108,0.870968,0.349539,37.632663,16,11
0,28,111,0.895161,0.220666,38.447429,13,11
0,29,107,0.862903,0.214403,35.963909,17,12
0,30,110,0.887097,0.334707,38.140903,14,9
0,31,116,0.935484,0.435069,39.783454,8,6
0,32,110,0.887097,0.230224,38.236816,14,11
0,33,115,0.927419,0.397165,39.480554,9,6
0,34,112,0.903226,0.350692,38.998022,12,8
0,35,114,0.919355,0.435069,39.109097,10,7
0,36,115,0.927419,0.520105,39.946770,9,7
0,37,115,0.927419,0.408207,39.979071,9,6
0,38,112,0.903226,0.528016,38.820699,12,9
0,39,114,0.919355,0.465887,39.449077,10,8
0,40,110,0.887097,0.444298,38.019446,14,10
0,41,107,0.862903,0.118326,36.747858,17,12
0,42,114,0.919355,0.444298,39.690013,10,8
0,43,110,0.887097,0.444298,38.411668,14,10
0,44,106,0.854839,0.341299,36.690508,18,18
0,45,109,0.879032,0.158207,37.651450,15,10
0,46,107,0.862903,0.214403,36.615030,17,14
0,47,110,0.887097,0.334707,37.536091,14,10
0,48,116,0.935484,0.442156,40.174192,8,7
0,49,116,0.935484,0.434740,39.990606,8,6
0,50,114,0.919355,0.568886,40.095583,10,7
0,51,110,0.887097,0.343606,37.035432,14,9
0,52,113,0.911290,0.088003,39.147330,11,7
0,53,109,0.879032,0.254285,37.558174,15,8
0,54,110,0.887097,0.158207,37.338167,14,13
0,55,115,0.927419,0.435069,38.828279,9,8
0,56,115,0.927419,0.444298,39.405900,9,7
0,57,111,0.895161,0.361569,38.947594,13,7
0,58,115,0.927419,0.339321,39.283619,9,7
0,59,108,0.870968,0.176994,36.895023,16,12
0,60,111,0.895161,0.220666,37.945781,13,8
0,61,108,0.870968,0.406724,37.358438,16,12
0,62,106,0.854839,0.216381,36.926335,18,10
0,63,104,0.838710,0.216381,36.553560,20,12
0,64,115,0.927419,0.444298,39.254120,9,7
0,65,117,0.943548,0.555702,39.837014,7,7
0,66,111,0.895161,0.540870,37.932103,13,7
0,67,112,0.903226,0.239288,38.182268,12,9
0,68,113,0.911290,0.265491,38.883652,11,7
0,69,113,0.911290,0.649143,38.771424,11,7
0,70,110,0.887097,0.162821,38.214568,14,10
0,71,107,0.862903,0.145188,37.195287,17,14
0,72,113,0.911290,0.204845,39.189354,11,6
0,73,114,0.919355,0.214403,39.210119,10,6
0,74,105,0.846774,0.406724,36.809492,19,15
0,75,110,0.887097,0.321688,37.996539,14,8
0,76,111,0.895161,0.392881,38.669908,13,9
0,77,117,0.943548,0.520105,40.336684,7,6
0,78,115,0.927419,0.555702,39.419249,9,7
0,79,107,0.862903,0.204845,36.657548,17,13
0,80,112,0.903226,0.246704,38.676005,12,9
0,81,116,0.935484,0.564931,39.402439,8,6
0,82,114,0.919355,0.385135,39.158207,10,8
0,83,111,0.895161,0.446111,38.924852,13,11
0,84,107,0.862903,0.099868,36.468688,17,12
0,85,108,0.870968,0.251978,36.681938,16,14
0,86,111,0.895161,0.356131,38.352835,13,8
0,87,112,0.903226,0.448583,38.449242,12,8
0,88,117,0.943548,0.418589,39.917601,7,4
0,89,109,0.879032,0.107119,37.701549,15,9
0,90,111,0.895161,0.321688,38.087343,13,12
0,91,112,0.903226,0.271589,38.579598,12,8
0,92,112,0.903226,0.234015,38.542848,12,8
0,93,113,0.911290,0.346572,38.967205,11,8
0,94,120,0.967742,0.656394,41.141397,4,3
0,95,111,0.895161,0.291859,37.652769,13,6
0,96,108,0.870968,0.309163,37.501648,16,10
0,97,111,0.895161,0.079268,38.632004,13,7
0,98,110,0.887097,0.424028,38.391068,14,9
0,99,113,0.911290,0.444298,38.943309,11,8
0,100,118,0.951613,0.785597,40.816414,6,6
0,101,113,0.911290,0.335036,38.322017,11,7
0,102,110,0.887097,0.338991,38.406394,14,11
0,103,113,0.911290,0.388431,39.184410,11,7
0,104,109,0.879032,0.214239,36.462096,15,10
0,105,115,0.927419,0.378873,39.275709,9,7
0,106,112,0.903226,0.259723,38.954845,12,8
0,107,115,0.927419,0.444298,39.366513,9,6
0,108,116,0.935484,0.665293,40.499506,8,5
0,109,110,0.887097,0.341463,37.247693,14,9
0,110,112,0.903226,0.479895,39.040705,12,9
0,111,116,0.935484,0.309163,39.287739,8,6
0,112,110,0.887097,0.218688,37.386783,14,8
0,113,111,0.895161,0.337014,38.264832,13,7
0,114,110,0.887097,0.148978,37.999341,14,10
0,115,113,0.911290,0.406724,38.715557,11,9
0,116,109,0.879032,0.243738,38.442320,15,9
0,117,113,0.911290,0.406724,38.896671,11,9
0,118,109,0.879032,0.461931,37.908372,15,11
0,119,114,0.919355,0.444298,39.624258,10,6
0,120,114,0.919355,0.216381,39.115030,10,7
0,121,112,0.903226,0.555702,37.070864,12,9
0,122,112,0.903226,0.337014,38.660185,12,8
0,123,109,0.879032,0.337014,38.091958,15,13
0,124,103,0.830645,0.109591,35.813448,21,19
1,0,115,0.927419,0.361569,39.302241,9,7
1,1,108,0.870968,0.197100,37.024885,16,12
1,2,115,0.927419,0.444298,39.414305,9,5
1,3,112,0.903226,0.148978,38.504450,12,10
1,4,103,0.830645,0.214403,35.094100,21,16
1,5,112,0.903226,0.444298,39.225115,12,8
1,6,110,0.887097,0.350857,37.909525,14,10
1,7,108,0.870968,0.214403,37.129862,16,11
1,8,117,0.943548,0.504779,40.560152,7,5
1,9,116,0.935484,0.341463,39.879202,8,6
1,10,112,0.903226,0.371127,39.191661,12,8
1,11,112,0.903226,0.371127,39.564436,12,8
1,12,112,0.903226,0.416282,38.616678,12,10
1,13,111,0.895161,0.305702,38.167436,13,7
1,14,109,0.879032,0.323006,37.590475,15,13
1,15,112,0.903226,0.416282,38.673204,12,10
1,16,108,0.870968,0.321523,37.572512,16,14
1,17,111,0.895161,0.148978,37.671061,13,8
1,18,107,0.862903,0.376895,36.783454,17,15
1,19,106,0.854839,0.102999,35.565755,18,11
1,20,109,0.879032,0.386454,37.827291,15,11
1,21,112,0.903226,0.209130,38.796803,12,9
1,22,108,0.870968,0.216381,37.186882,16,12
1,23,107,0.862903,0.321688,37.168425,17,13
1,24,108,0.870968,0.337014,37.264667,16,16
1,25,110,0.887097,0.341299,38.245715,14,11
1,26,113,0.911290,0.399143,38.774225,11,8
1,27,108,0.870968,0.349539,37.632663,16,11
1,28,111,0.895161,0.220666,38.447429,13,11
1,29,107,0.862903,0.214403,35.963909,17,12
1,30,110,0.887097,0.334707,37.936058,14,9
1,31,116,0.935484,0.435069,39.783454,8,6
1,32,110,0.887097,0.230224,38.236816,14,11
1,33,115,0.927419,0.397165,39.480554,9,6
1,34,112,0.903226,0.350692,38.998022,12,8
1,35,114,0.919355,0.435069,39.109097,10,7
1,36,115,0.927419,0.520105,39.946770,9,7
1,37,115,0.927419,0.408207,39.979071,9,6
1,38,112,0.903226,0.528016,38.820699,12,9
1,39,114,0.919355,0.465887,39.449077,10,8
1,40,110,0.887097,0.444298,38.019446,14,10
1,41,107,0.862903,0.118326,36.747858,17,12
1,42,114,0.919355,0.444298,39.485168,10,8
1,43,110,0.887097,0.444298,38.411668,14,10
1,44,106,0.854839,0.341299,36.690508,18,18
1,45,109,0.879032,0.158207,37.651450,15,10
1,46,107,0.862903,0.214403,36.615030,17,14
1,47,110,0.887097,0.334707,37.536091,14,10
1,48,116,0.935484,0.442156,40.174192,8,7
1,49,116,0.935484,0.434740,39.990606,8,6
1,50,114,0.919355,0.568886,40.095583,10,7
1,51,110,0.887097,0.343606,37.240277,14,9
1,52,113,0.911290,0.088003,39.147330,11,7
1,53,109,0.879032,0.254285,37.558174,15,8
1,54,110,0.887097,0.158207,37.338167,14,13
1,55,115,0.927419,0.435069,38.828279,9,8
1,56,115,0.927419,0.444298,39.405900,9,7
1,57,111,0.895161,0.361569,38.742749,13,7
1,58,115,0.927419,0.339321,39.283619,9,7
1,59,108,0.870968,0.176994,36.895023,16,12
1,60,111,0.895161,0.220666,37.945781,13,8
1,61,108,0.870968,0.406724,37.358438,16,12
1,62,106,0.854839,0.216381,36.721490,18,10
1,63,104,0.838710,0.216381,36.553560,20,12
1,64,115,0.927419,0.444298,39.254120,9,7
1,65,117,0.943548,0.555702,39.837014,7,7
1,66,111,0.895161,0.540870,38.136948,13,7
1,67,112,0.903226,0.239288,38.182268,12,9
1,68,113,0.911290,0.265491,38.883652,11,7
1,69,113,0.911290,0.444298,38.771424,11,8
1,70,110,0.887097,0.162821,38.214568,14,10
1,71,107,0.862903,0.145188,37.195287,17,14
1,72,113,0.911290,0.204845,39.394199,11,6
1,73,114,0.919355,0.214403,39.210119,10,6
1,74,105,0.846774,0.406724,36.809492,19,15
1,75,110,0.887097,0.321688,37.996539,14,8
1,76,111,0.895161,0.392881,38.669908,13,9
1,77,117,0.943548,0.520105,40.336684,7,6
1,78,115,0.927419,0.555702,39.419249,9,7
1,79,107,0.862903,0.204845,36.657548,17,13
1,80,112,0.903226,0.246704,38.676005,12,9
1,81,116,0.935484,0.564931,39.402439,8,6
1,82,114,0.919355,0.385135,39.158207,10,8
1,83,111,0.895161,0.446111,38.924852,13,11
1,84,107,0.862903,0.099868,36.468688,17,12
1,85,108,0.870968,0.251978,36.681938,16,14
1,86,111,0.895161,0.356131,38.352835,13,8
1,87,112,0.903226,0.448583,38.449242,12,8
1,88,117,0.943548,0.418589,39.917601,7,4
1,89,109,0.879032,0.107119,37.701549,15,9
1,90,111,0.895161,0.321688,38.087343,13,12
1,91,112,0.903226,0.271589,38.579598,12,8
1,92,112,0.903226,0.234015,38.542848,12,8
1,93,113,0.911290,0.346572,38.967205,11,8
1,94,120,0.967742,0.656394,41.141397,4,3
1,95,111,0.895161,0.291859,37.652769,13,6
1,96,108,0.870968,0.309163,37.501648,16,10
1,97,111,0.895161,0.284113,38.632004,13,7
1,98,110,0.887097,0.424028,38.391068,14,9
1,99,113,0.911290,0.444298,38.738464,11,8
1,100,118,0.951613,0.785597,40.816414,6,6
1,101,113,0.911290,0.335036,38.322017,11,7
1,102,110,0.887097,0.338991,38.406394,14,11
1,103,113,0.911290,0.388431,39.184410,11,7
1,104,109,0.879032,0.214239,36.257251,15,10
1,105,115,0.927419,0.378873,39.275709,9,7
