cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,9.111162,433,-1.149620,0.036445,0.001785,0.105244,4.350860
1,9.001446,434,-1.037095,0.036006,0.001483,0.098967,6.873474
2,8.939681,435,-1.087987,0.035759,0.001626,0.087260,3.832590
3,8.859075,436,-1.037055,0.035436,0.001524,0.071188,5.590224
4,8.797430,437,-0.964585,0.035190,0.001475,0.087516,7.619229
5,8.752969,438,-0.995992,0.035012,0.001549,0.082269,6.341121
6,8.733781,439,-0.907983,0.034935,0.001379,0.082884,22.936171
7,8.694596,440,-0.925743,0.034778,0.001394,0.095445,20.768202
8,8.657706,441,-0.873820,0.034631,0.001302,0.083947,22.948198
9,8.638337,442,-0.831890,0.034553,0.001222,0.083785,30.113523
10,8.621516,443,-0.986266,0.034486,0.001369,0.088833,6.821963
11,8.589293,444,-0.925376,0.034357,0.001342,0.100936,14.363193
12,8.575921,445,-0.878965,0.034304,0.001208,0.070157,26.799145
13,8.555852,446,-0.953678,0.034223,0.001409,0.075791,4.854527
14,8.532008,447,-0.943658,0.034128,0.001242,0.112535,10.517773
15,8.509926,448,-0.813591,0.034040,0.001093,0.098386,30.138138
16,8.492254,449,-0.946976,0.033969,0.001156,0.088965,10.553851
17,8.473680,450,-0.947846,0.033895,0.001122,0.102212,11.203589
18,8.464244,451,-0.869488,0.033857,0.001177,0.111787,30.132492
19,8.449215,452,-0.809732,0.033797,0.001018,0.072491,30.121541
20,8.437788,453,-0.803900,0.033751,0.000978,0.096747,30.128710
21,8.428949,454,-0.815589,0.033716,0.001044,0.069471,30.114760
22,8.417728,455,-0.822499,0.033671,0.001001,0.078655,30.119039
23,8.406712,456,-0.830008,0.033627,0.001071,0.091557,30.110055
24,8.398819,457,-0.793425,0.033595,0.001046,0.110417,30.119316
25,8.388581,458,-0.776489,0.033554,0.000924,0.100320,30.116532
26,8.381394,459,-0.768787,0.033526,0.001062,0.084433,30.113596
27,8.368977,460,-0.843681,0.033476,0.001002,0.079865,30.127453
28,8.357833,461,-0.739025,0.033431,0.000874,0.079256,30.123496
29,8.347549,462,-0.751130,0.033390,0.000925,0.088548,30.109669
30,8.333364,463,-0.815230,0.033333,0.001054,0.098651,30.133561
31,8.325046,464,-0.826950,0.033300,0.000829,0.096692,30.135496
32,8.315302,465,-0.702505,0.033261,0.000870,0.100702,30.130156
33,8.306835,466,-0.689060,0.033227,0.000878,0.098632,30.107287
34,8.300057,467,-0.682243,0.033200,0.000837,0.096575,30.144537
35,8.295481,468,-0.770648,0.033182,0.000878,0.099626,30.121734
36,8.289500,469,-0.726258,0.033158,0.000759,0.089261,30.133288
37,8.283636,470,-0.677233,0.033135,0.000726,0.083978,30.124350
38,8.277752,471,-0.735772,0.033111,0.000752,0.086381,30.120527
39,8.274949,472,-0.709020,0.033100,0.000831,0.110092,30.145048
40,8.269883,473,-0.699506,0.033080,0.000791,0.112738,30.127361
41,8.264989,474,-0.665476,0.033060,0.000740,0.084437,30.116040
42,8.259913,475,-0.677125,0.033040,0.000927,0.110107,30.108741
43,8.256776,476,-0.686534,0.033027,0.000791,0.075394,30.113711
44,8.252249,477,-0.765420,0.033009,0.000965,0.083263,30.124595
45,8.247956,478,-0.784398,0.032992,0.000843,0.090255,30.124309
