iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,37,0.148594,0.000000,1.343195,212,39,0.000000
0,1,22,0.088353,0.000000,0.992145,227,44,0.000000
0,2,24,0.096386,0.066433,0.809283,225,46,0.192502
0,3,24,0.096386,0.000000,1.190804,225,58,0.000000
0,4,35,0.140562,0.035539,1.629366,214,38,0.102982
0,5,23,0.092369,0.000000,0.640367,226,48,0.000000
0,6,26,0.104418,0.119941,1.147638,223,37,0.347551
0,7,25,0.100402,0.051245,1.262000,224,58,0.148493
0,8,23,0.092369,0.000000,0.723330,226,49,0.000000
0,9,23,0.092369,0.072774,1.167877,226,45,0.210878
0,10,21,0.084337,0.000000,0.992710,228,108,0.000000
0,11,20,0.080321,0.000000,0.975851,229,121,0.000000
0,12,31,0.124498,0.006627,1.535824,218,35,0.019203
0,13,26,0.104418,0.046060,1.273673,223,43,0.133469
0,14,24,0.096386,0.000000,0.994987,225,51,0.000000
0,15,24,0.096386,0.128247,1.165761,225,44,0.921620
0,16,25,0.100402,0.000000,0.982560,224,45,0.000000
0,17,31,0.124498,0.062189,1.524467,218,34,0.180204
0,18,34,0.136546,0.078301,1.380758,215,34,0.226891
0,19,30,0.120482,0.052869,1.445259,219,43,0.153199
0,20,23,0.092369,0.028365,1.134889,226,44,0.082194
0,21,23,0.092369,0.000000,0.520649,226,60,0.000000
0,22,28,0.112450,0.122680,1.665956,221,39,0.355489
0,23,22,0.088353,0.000000,1.130974,227,46,0.000000
0,24,18,0.072289,0.000000,0.742910,231,124,0.000000
0,25,19,0.076305,0.020481,0.528004,230,77,0.059347
0,26,24,0.096386,0.080780,0.811634,225,37,0.784076
0,27,32,0.128514,0.019811,0.944243,217,38,0.057407
0,28,34,0.136546,0.105827,1.970990,215,35,0.306654
0,29,27,0.108434,0.086116,0.922817,222,36,0.249537
0,30,21,0.084337,0.000000,0.906562,228,68,0.000000
0,31,32,0.128514,0.069125,1.304061,217,34,0.750304
0,32,29,0.116466,0.059184,1.163395,220,36,0.171497
0,33,22,0.088353,0.024936,1.289891,227,64,0.072257
0,34,35,0.140562,0.132393,1.305322,214,36,0.383635
0,35,24,0.096386,0.090691,1.238986,225,49,0.262794
0,36,28,0.112450,0.019034,0.916731,221,39,0.055154
0,37,22,0.088353,0.105110,1.183496,227,92,0.304576
0,38,29,0.116466,0.020722,1.403369,220,35,0.060047
0,39,27,0.108434,0.070111,1.397561,222,38,0.203160
0,40,24,0.096386,0.009938,0.640411,225,41,0.578796
0,41,22,0.088353,0.033194,0.658747,227,44,0.096185
0,42,22,0.088353,0.034799,0.883538,227,55,0.100837
0,43,32,0.128514,0.076013,1.625186,217,40,0.220261
0,44,23,0.092369,0.019371,0.983389,226,65,0.056130
0,45,28,0.112450,0.000000,0.950022,221,45,0.000000
0,46,17,0.068273,0.000000,0.349155,232,148,0.000000
0,47,31,0.124498,0.040191,1.111533,218,35,0.116460
0,48,27,0.108434,0.003875,0.945379,222,38,0.011229
0,49,22,0.088353,0.035590,0.823135,227,71,0.103127
0,50,22,0.088353,0.000000,0.614190,227,43,0.000000
0,51,24,0.096386,0.000000,1.100763,225,45,0.000000
0,52,22,0.088353,0.000000,0.739288,227,52,0.000000
0,53,26,0.104418,0.072510,1.210732,223,47,0.210112
0,54,24,0.096386,0.062109,1.071585,225,91,0.179973
0,55,30,0.120482,0.066169,0.990343,219,35,0.191737
0,56,31,0.124498,0.000000,0.894547,218,36,0.000000
0,57,28,0.112450,0.045465,1.436051,221,42,0.131743
0,58,24,0.096386,0.000000,1.019465,225,62,0.000000
0,59,22,0.088353,0.000000,1.190207,227,64,0.000000
0,60,29,0.116466,0.032237,0.797811,220,36,0.093412
0,61,34,0.136546,0.113096,1.510190,215,34,0.877717
0,62,28,0.112450,0.000000,0.976416,221,41,0.000000
0,63,25,0.100402,0.065149,1.148047,224,42,0.188781
0,64,35,0.140562,0.081869,1.554464,214,34,0.237231
0,65,25,0.100402,0.045518,0.836448,224,41,0.681898
0,66,17,0.068273,0.000000,0.440478,232,65,0.000000
0,67,20,0.080321,0.000000,0.920053,229,75,0.000000
0,68,36,0.144578,0.101357,1.632179,213,37,0.293702
0,69,28,0.112450,0.079082,1.108846,221,35,0.229155
0,70,34,0.136546,0.015873,1.405867,215,40,0.045995
0,71,29,0.116466,0.025818,1.272399,220,36,0.074813
0,72,21,0.084337,0.000000,0.486785,228,50,0.000000
0,73,23,0.092369,0.000000,0.910759,226,43,0.000000
0,74,28,0.112450,0.000000,1.133169,221,38,0.000000
0,75,28,0.112450,0.088022,1.200733,221,35,0.805060
0,76,19,0.076305,0.000000,1.014327,230,79,0.000000
0,77,15,0.060241,0.000000,0.349457,234,157,0.000000
0,78,20,0.080321,0.000000,0.964213,229,70,0.000000
0,79,24,0.096386,0.000000,0.848061,225,42,0.000000
0,80,28,0.112450,0.000000,0.717398,221,40,0.000000
0,81,21,0.084337,0.039532,0.732617,228,45,0.114551
0,82,21,0.084337,0.000000,0.834280,228,67,0.000000
0,83,25,0.100402,0.025793,0.879874,224,43,0.074739
0,84,29,0.116466,0.043367,1.189547,220,35,0.125664
0,85,20,0.080321,0.000000,0.714965,229,61,0.000000
0,86,35,0.140562,0.043336,1.531575,214,35,0.125573
0,87,25,0.100402,0.000000,0.763718,224,41,0.000000
0,88,21,0.084337,0.000000,0.562769,228,52,0.000000
0,89,32,0.128514,0.090510,1.195355,217,37,0.812269
0,90,28,0.112450,0.060542,1.353368,221,41,0.175433
0,91,25,0.100402,0.000000,0.836356,224,43,0.000000
0,92,29,0.116466,0.009166,1.052770,220,34,0.026559
0,93,28,0.112450,0.103714,1.216633,221,38,0.850532
0,94,24,0.096386,0.047340,0.876678,225,44,0.137178
0,95,19,0.076305,0.000000,0.449001,230,120,0.000000
0,96,22,0.088353,0.008852,1.005989,227,39,0.025651
0,97,29,0.116466,0.042473,1.156908,220,35,0.123073
0,98,21,0.084337,0.000000,1.171148,228,61,0.000000
0,99,29,0.116466,0.000000,1.052918,220,39,0.000000
0,100,32,0.128514,0.105783,1.543293,217,35,0.306525
0,101,24,0.096386,0.009895,1.226640,225,38,0.028671
0,102,28,0.112450,0.109235,1.541373,221,39,0.316530
0,103,26,0.104418,0.080623,0.812430,223,38,0.783621
0,104,24,0.096386,0.000000,0.699791,225,38,0.000000
0,105,33,0.132530,0.024119,1.684380,216,36,0.069889
0,106,24,0.096386,0.013420,1.126597,225,40,0.038888
0,107,27,0.108434,0.012738,1.054724,222,38,0.036911
0,108,22,0.088353,0.000000,0.571195,227,111,0.000000
0,109,24,0.096386,0.000000,0.817272,225,41,0.000000
0,110,20,0.080321,0.000000,0.717680,229,122,0.000000
0,111,25,0.100402,0.015988,0.477138,224,37,0.596328
0,112,20,0.080321,0.000000,0.513066,229,117,0.000000
0,113,26,0.104418,0.000000,0.875858,223,45,0.000000
0,114,35,0.140562,0.106466,1.411876,214,34,0.308505
