cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,30.605597,885,-0.470867,0.122422,0.003534,0.121867,30.693632
1,30.526078,886,-0.576345,0.122104,0.003311,0.058273,30.534193
2,30.386204,887,-0.543929,0.121545,0.003243,0.062808,30.530709
3,30.308300,888,-0.497642,0.121233,0.002873,0.081597,30.508097
4,30.239085,889,-0.555693,0.120956,0.003837,0.046684,30.492764
5,30.153757,890,-0.469411,0.120615,0.003442,0.057566,30.488260
6,30.058316,891,-0.561844,0.120233,0.003932,0.073037,30.524346
7,29.981332,892,-0.629482,0.119925,0.003671,0.051862,30.494607
8,29.921554,893,-0.467996,0.119686,0.003623,0.066460,30.531198
9,29.864863,894,-0.542841,0.119459,0.003662,0.046801,30.498562
10,29.781114,895,-0.496929,0.119124,0.003808,0.050208,30.619093
11,29.656648,896,-0.560127,0.118627,0.003231,0.063310,30.501354
12,29.594311,897,-0.504792,0.118377,0.003361,0.058653,30.505330
13,29.522338,898,-0.477745,0.118089,0.003072,0.058653,30.475387
14,29.471829,899,-0.501807,0.117887,0.003078,0.049837,30.523304
15,29.435443,900,-0.547372,0.117742,0.003275,0.058307,30.486280
16,29.355147,901,-0.461983,0.117421,0.002720,0.053204,30.461442
17,29.323048,902,-0.483734,0.117292,0.003013,0.062527,30.482044
18,29.284490,903,-0.500992,0.117138,0.003235,0.052681,30.487436
19,29.254109,904,-0.615025,0.117016,0.003201,0.059646,30.498504
20,29.199200,905,-0.656148,0.116797,0.002868,0.057945,30.525012
21,29.124923,906,-0.388751,0.116500,0.003290,0.070301,30.500254
22,29.100228,907,-0.530484,0.116401,0.003078,0.069965,30.518955
23,29.061828,908,-0.459021,0.116247,0.002761,0.064538,30.500128
24,29.020395,909,-0.515473,0.116082,0.003636,0.048285,30.529340
25,28.984973,910,-0.544379,0.115940,0.003505,0.061785,30.500107
26,28.938275,911,-0.522860,0.115753,0.003559,0.065194,30.524883
27,28.905014,912,-0.529846,0.115620,0.003292,0.054437,30.480675
28,28.877476,913,-0.605770,0.115510,0.003449,0.025888,30.501321
29,28.829419,914,-0.429933,0.115318,0.003852,0.063005,30.494715
30,28.796766,915,-0.489688,0.115187,0.003500,0.045286,30.496045
31,28.751484,916,-0.546870,0.115006,0.003206,0.040605,30.473877
32,28.697779,917,-0.472421,0.114791,0.003164,0.037876,30.480288
33,28.678274,918,-0.382318,0.114713,0.003077,0.046717,30.502018
34,28.655307,919,-0.531858,0.114621,0.003027,0.038838,30.693907
35,28.598001,920,-0.498628,0.114392,0.003176,0.069200,30.523505
36,28.562403,921,-0.373181,0.114250,0.002948,0.036324,30.513513
37,28.547154,922,-0.506776,0.114189,0.002883,0.052746,30.556888
38,28.498802,923,-0.443089,0.113995,0.003226,0.034176,30.492197
39,28.471568,924,-0.464387,0.113886,0.003425,0.040323,30.501933
40,28.437377,925,-0.425080,0.113750,0.003248,0.050704,30.513512
41,28.412648,926,-0.483966,0.113651,0.003157,0.068599,30.480373
42,28.373138,927,-0.524451,0.113493,0.003048,0.052986,30.480049
43,28.332030,928,-0.486090,0.113328,0.002764,0.034351,30.492660
44,28.302531,929,-0.538689,0.113210,0.003012,0.067594,30.785576
45,28.287256,930,-0.500115,0.113149,0.002849,0.054160,30.527249
46,28.254563,931,-0.533352,0.113018,0.003249,0.060437,30.496421
47,28.238368,932,-0.549503,0.112953,0.003279,0.061345,30.486801
48,28.223624,933,-0.520715,0.112894,0.003349,0.056650,30.499680
49,28.197788,934,-0.431261,0.112791,0.003388,0.052415,30.594413
50,28.169988,935,-0.487012,0.112680,0.003252,0.053643,30.551377
51,28.143618,936,-0.516707,0.112574,0.003007,0.052706,30.524961
52,28.120685,937,-0.453346,0.112483,0.003596,0.055178,30.476357
53,28.099393,938,-0.366940,0.112398,0.003088,0.045735,30.528851
54,28.088483,939,-0.451889,0.112354,0.003392,0.043285,30.491220
55,28.077499,940,-0.491709,0.112310,0.003307,0.041118,30.574874
56,28.061201,941,-0.555671,0.112245,0.003268,0.055645,30.586952
57,28.050237,942,-0.547000,0.112201,0.003085,0.051222,30.488547
58,28.020846,943,-0.446175,0.112083,0.003483,0.063061,30.535879
59,28.000192,944,-0.525678,0.112001,0.003219,0.041032,30.506648
60,27.972096,945,-0.415700,0.111888,0.003245,0.057736,30.526300
61,27.956646,946,-0.472380,0.111827,0.003130,0.050864,30.524471
62,27.932426,947,-0.481003,0.111730,0.002985,0.053607,30.514926
63,27.908030,948,-0.506774,0.111632,0.003115,0.055094,30.517702
64,27.884722,949,-0.606730,0.111539,0.003307,0.047834,30.481246
65,27.851007,950,-0.454761,0.111404,0.003062,0.047454,30.401626
66,27.838864,951,-0.434940,0.111355,0.003380,0.034022,30.525693
67,27.833632,952,-0.490819,0.111335,0.003366,0.060098,30.513744
68,27.819151,953,-0.470647,0.111277,0.003202,0.041622,30.521660
69,27.800554,954,-0.432805,0.111202,0.003497,0.058253,30.491494
70,27.775243,955,-0.395179,0.111101,0.002949,0.031851,30.479621
71,27.751313,956,-0.535970,0.111005,0.003298,0.033224,30.477072
72,27.731238,957,-0.449671,0.110925,0.003200,0.047639,30.502983
73,27.714899,958,-0.458482,0.110860,0.003099,0.028991,30.503084
74,27.701627,959,-0.491441,0.110807,0.003352,0.046738,30.494151
75,27.674431,960,-0.425558,0.110698,0.003213,0.053010,30.581224
76,27.631325,961,-0.483452,0.110525,0.003779,0.054983,30.489059
77,27.607935,962,-0.460435,0.110432,0.003494,0.041786,30.471034
