iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,127,0.510040,0.161084,15.581856,122,25,0.263899
0,1,136,0.546185,0.133029,16.295489,113,22,0.217937
0,2,138,0.554217,0.170806,17.209080,111,22,0.279827
0,3,123,0.493976,0.134352,14.994671,126,26,0.220105
0,4,135,0.542169,0.153184,16.629817,114,21,0.250957
0,5,116,0.465863,0.068087,15.079138,133,34,0.111546
0,6,128,0.514056,0.074478,16.405219,121,26,0.122015
0,7,125,0.502008,0.247472,15.883210,124,30,0.955427
0,8,114,0.457831,0.000000,13.710809,135,38,0.000000
0,9,122,0.489960,0.000000,13.980367,127,28,0.000000
0,10,124,0.497992,0.174082,15.651072,125,23,0.285194
0,11,119,0.477912,0.039976,14.487779,130,30,0.065492
0,12,135,0.542169,0.077990,16.117548,114,20,0.127769
0,13,130,0.522088,0.145399,16.428816,119,25,0.238204
0,14,125,0.502008,0.100311,15.063072,124,25,0.164336
0,15,145,0.582329,0.117653,18.671621,104,21,0.192747
0,16,120,0.481928,0.091390,15.276237,129,28,0.149721
0,17,127,0.510040,0.152675,15.752711,122,21,0.250124
0,18,129,0.518072,0.176710,15.886405,120,22,0.289499
0,19,127,0.510040,0.149940,14.979651,122,23,0.245642
0,20,129,0.518072,0.231224,16.394243,120,21,0.928807
0,21,114,0.457831,0.035070,14.618959,135,36,0.057454
0,22,129,0.518072,0.189427,16.234551,120,22,0.310333
0,23,123,0.493976,0.101079,15.727960,126,30,0.165595
0,24,121,0.485944,0.060870,15.647204,128,36,0.099721
0,25,122,0.489960,0.071825,15.459051,127,24,0.117670
0,26,109,0.437751,0.034253,14.380505,140,69,0.056115
0,27,129,0.518072,0.093686,15.063135,120,22,0.153483
0,28,127,0.510040,0.130756,14.429242,122,22,0.214214
0,29,116,0.465863,0.105559,14.361628,133,35,0.172934
0,30,126,0.506024,0.178335,15.326937,123,25,0.292162
0,31,120,0.481928,0.033321,15.204896,129,29,0.054589
0,32,125,0.502008,0.052928,15.183463,124,28,0.086711
0,33,123,0.493976,0.153716,16.854306,126,29,0.251829
0,34,122,0.489960,0.096218,14.710691,127,21,0.157632
0,35,124,0.497992,0.137810,16.074361,125,27,0.225770
0,36,131,0.526104,0.098754,15.652127,118,22,0.161787
0,37,118,0.473896,0.114804,14.473293,131,25,0.188080
0,38,125,0.502008,0.127315,15.735010,124,26,0.208576
0,39,133,0.534137,0.124784,16.586617,116,23,0.204430
0,40,128,0.514056,0.189415,16.205309,121,23,0.310313
0,41,126,0.506024,0.101854,16.272465,123,27,0.166865
0,42,124,0.497992,0.159634,15.322175,125,21,0.261525
0,43,137,0.550201,0.186708,16.892537,112,22,0.305879
0,44,121,0.485944,0.058042,15.244455,128,28,0.095089
0,45,131,0.526104,0.166267,15.781391,118,22,0.272391
0,46,128,0.514056,0.139649,16.128030,121,23,0.228784
0,47,130,0.522088,0.183042,16.397453,119,24,0.299873
0,48,132,0.530120,0.186683,16.766957,117,22,0.305837
0,49,124,0.497992,0.075740,15.286735,125,27,0.124083
0,50,130,0.522088,0.231668,16.863098,119,21,0.379535
0,51,119,0.477912,0.073525,14.231276,130,25,0.120454
0,52,136,0.546185,0.102503,16.812037,113,21,0.167927
0,53,116,0.465863,0.148089,14.734140,133,26,0.242610
0,54,115,0.461847,0.135404,13.979301,134,35,0.221828
0,55,126,0.506024,0.091457,15.411966,123,25,0.149832
0,56,127,0.510040,0.160105,15.184181,122,23,0.262295
0,57,124,0.497992,0.158280,16.002971,125,27,0.259305
0,58,122,0.489960,0.168241,14.908655,127,25,0.275624
0,59,115,0.461847,0.037475,14.578710,134,33,0.061395
0,60,115,0.461847,0.116678,14.686813,134,49,0.191151
0,61,142,0.570281,0.256713,18.296255,107,21,0.420566
0,62,122,0.489960,0.164334,15.735093,127,22,0.269224
0,63,110,0.441767,0.015019,13.151166,139,50,0.024606
0,64,113,0.453815,0.060376,14.369661,136,36,0.098912
0,65,115,0.461847,0.000000,14.088179,134,34,0.000000
0,66,126,0.506024,0.085486,15.491534,123,26,0.140049
0,67,126,0.506024,0.124773,15.084264,123,21,0.204413
0,68,128,0.514056,0.145277,16.606739,121,22,0.238004
0,69,125,0.502008,0.024627,15.407178,124,24,0.040345
0,70,129,0.518072,0.171982,15.804277,120,21,0.281753
0,71,125,0.502008,0.152668,15.088182,124,26,0.250112
0,72,121,0.485944,0.079451,15.047306,128,33,0.130162
0,73,128,0.514056,0.088159,14.782331,121,25,0.144428
0,74,130,0.522088,0.196324,16.401129,119,26,0.321632
0,75,143,0.574297,0.146467,18.052799,106,22,0.239953
0,76,127,0.510040,0.105590,16.224038,122,26,0.172985
0,77,140,0.562249,0.229741,17.590231,109,22,0.376379
0,78,131,0.526104,0.168305,16.234664,118,22,0.275729
0,79,128,0.514056,0.148335,16.065210,121,22,0.243013
0,80,117,0.469880,0.082979,13.444112,132,28,0.135943
0,81,131,0.526104,0.140215,16.273688,118,21,0.229711
0,82,121,0.485944,0.121107,14.926909,128,24,0.198407
0,83,133,0.534137,0.104575,16.234434,116,21,0.171322
0,84,118,0.473896,0.125133,14.983679,131,31,0.205002
0,85,144,0.578313,0.176723,17.773087,105,21,0.289521
0,86,112,0.449799,0.063850,13.871231,137,43,0.104604
