cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,71.445077,1350,-0.565021,0.285780,0.008123,0.057233,14.266658
1,71.196712,1351,-0.491317,0.284803,0.008554,0.011245,13.196046
2,71.150175,1352,-0.225579,0.284601,0.008566,0.019307,13.813916
3,71.132738,1353,-0.239425,0.284531,0.008366,0.007725,13.694046
4,71.077081,1354,-0.195481,0.284308,0.008244,0.014193,13.864927
5,71.066327,1355,-0.212809,0.284265,0.008391,0.012819,14.432726
6,71.018276,1356,-0.248073,0.284073,0.008445,0.013434,13.850807
7,70.950096,1357,-0.195274,0.283800,0.007733,0.012168,14.843866
8,70.909243,1358,-0.202700,0.283699,0.008664,0.009966,12.680654
9,70.896799,1359,-0.147514,0.283587,0.008374,0.012671,13.667128
10,70.891557,1360,-0.178379,0.283566,0.008174,0.024104,13.696641
11,70.843562,1361,-0.179393,0.283448,0.008396,0.016656,14.596154
12,70.805905,1362,-0.180537,0.283264,0.008225,0.015886,15.732063
13,70.793912,1363,-0.176966,0.283176,0.008782,0.008369,17.367949
14,70.790854,1364,-0.258797,0.283163,0.008575,0.004936,13.831973
15,70.732831,1365,-0.106724,0.282931,0.008006,0.008696,16.879399
16,70.705990,1366,-0.111652,0.282824,0.007985,0.007374,15.335225
17,70.687786,1367,-0.122003,0.282751,0.007686,0.018369,17.188136
18,70.652309,1368,-0.118828,0.282756,0.007749,0.006997,15.099398
19,70.614695,1369,-0.119526,0.282620,0.008069,0.006646,13.648369
20,70.579363,1370,-0.110453,0.282317,0.008118,0.005969,15.413605
21,70.572004,1371,-0.123344,0.282288,0.007881,0.010002,14.957586
22,70.571503,1372,-0.114518,0.282286,0.008060,0.004875,14.696182
23,70.562113,1373,-0.099779,0.282248,0.007722,0.010606,13.953696
24,70.561965,1374,-0.129600,0.282248,0.007660,0.002233,16.761707
25,70.548114,1375,-0.098972,0.282192,0.007336,0.024395,20.959669
26,70.541207,1376,-0.095773,0.282165,0.007328,0.002684,13.623727
27,70.531817,1377,-0.086963,0.282127,0.006798,0.017982,16.554788
28,70.520578,1378,-0.076232,0.282082,0.006776,0.005451,30.840873
29,70.509193,1379,-0.099576,0.282037,0.006985,0.009958,30.852007
30,70.503381,1380,-0.093130,0.282014,0.007148,0.006794,16.944877
31,70.500947,1381,-0.076151,0.282004,0.007194,0.006173,30.855322
32,70.496777,1382,-0.090938,0.281987,0.007481,0.005109,17.497640
33,70.466566,1383,-0.081456,0.281866,0.006695,0.009921,16.846266
34,70.466030,1384,-0.083152,0.281864,0.006749,0.003438,30.841561
35,70.460008,1385,-0.060806,0.281840,0.007046,0.004365,30.797367
36,70.457244,1386,-0.062959,0.281829,0.006821,0.023917,30.844485
37,70.456306,1387,-0.066945,0.281825,0.006892,0.002729,30.778476
38,70.449205,1388,-0.049131,0.281797,0.007027,0.004605,30.823354
39,70.446439,1389,-0.066613,0.281786,0.007038,0.008106,30.815788
40,70.442746,1390,-0.065596,0.281771,0.006890,0.010718,30.867519
41,70.434808,1391,-0.049036,0.281739,0.006742,0.005452,30.926861
42,70.431501,1392,-0.038414,0.281726,0.006911,0.006450,30.924522
43,70.428780,1393,-0.076905,0.281715,0.006828,0.004592,30.967309
44,70.424127,1394,-0.073251,0.281697,0.006653,0.005537,31.031624
45,70.420280,1395,-0.047671,0.281681,0.006950,0.004274,30.998667
46,70.418118,1396,-0.051014,0.281672,0.006545,0.004880,30.822374
47,70.416815,1397,-0.044013,0.281667,0.006729,0.012297,30.826801
48,70.413988,1398,-0.033620,0.281656,0.006842,0.007834,30.823700
49,70.413111,1399,-0.062358,0.281652,0.006914,0.003815,30.843571
50,70.412677,1400,-0.031303,0.281651,0.006793,0.004061,31.019190
51,70.408124,1401,-0.046486,0.281632,0.006774,0.004669,30.816709
52,70.407247,1402,-0.038324,0.281629,0.006672,0.006717,30.986940
53,70.406759,1403,-0.026119,0.281627,0.006634,0.004203,30.822253
54,70.406629,1404,-0.026674,0.281627,0.006719,0.001460,30.855718
55,70.405675,1405,-0.037773,0.281623,0.006575,0.004286,30.867346
56,70.404673,1406,-0.038793,0.281619,0.006550,0.003961,30.854235
57,70.403702,1407,-0.045998,0.281615,0.006821,0.010979,30.858513
58,70.400686,1408,-0.025883,0.281667,0.006709,0.003795,30.839634
59,70.400106,1409,-0.018975,0.281703,0.006707,0.004277,30.819571
60,70.399683,1410,-0.026120,0.281669,0.006653,0.004729,30.878203
61,70.397984,1411,-0.020114,0.281604,0.006601,0.003425,30.838449
62,70.397845,1412,-0.021594,0.281678,0.006541,0.005205,30.851383
