iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,226,0.907631,0.401974,64.979864,23,12,0.318784
0,1,221,0.887550,0.304931,63.029706,28,17,0.239005
0,2,207,0.831325,0.225851,59.810045,42,41,0.173994
0,3,222,0.891566,0.272903,62.974797,27,15,0.762675
0,4,218,0.875502,0.318478,62.535246,31,16,0.250142
0,5,216,0.867470,0.311799,62.210270,33,24,0.244652
0,6,216,0.867470,0.203101,61.871086,33,25,0.155291
0,7,224,0.899598,0.376591,63.842459,25,18,0.297917
0,8,215,0.863454,0.197314,60.501162,34,25,0.150534
0,9,229,0.919679,0.347294,65.975306,20,16,0.273832
0,10,222,0.891566,0.084612,62.878214,27,15,0.057882
0,11,224,0.899598,0.221343,64.476956,25,17,0.170288
0,12,220,0.883534,0.304931,62.764370,29,14,0.239005
0,13,228,0.915663,0.346608,65.382434,21,18,0.273268
0,14,226,0.907631,0.309686,64.718055,23,15,0.242914
0,15,223,0.895582,0.306884,64.435597,26,16,0.240610
0,16,226,0.907631,0.179449,64.249436,23,15,0.135847
0,17,226,0.907631,0.341618,64.648351,23,15,0.269166
0,18,220,0.883534,0.309686,63.248924,29,18,0.242914
0,19,221,0.887550,0.287363,63.469013,28,15,0.224563
0,20,224,0.899598,0.365930,64.505511,25,14,0.289152
0,21,222,0.891566,0.341469,63.351680,27,18,0.269043
0,22,231,0.927711,0.099026,65.962133,18,13,0.069732
0,23,231,0.927711,0.444122,66.763541,18,10,0.353434
0,24,219,0.879518,0.291340,62.330454,30,16,0.227832
0,25,229,0.919679,0.435818,65.777906,20,15,0.346607
0,26,221,0.887550,0.288682,63.788336,28,21,0.225647
0,27,226,0.907631,0.210109,64.032047,23,14,0.161052
0,28,224,0.899598,0.156732,63.975685,25,15,0.117171
0,29,225,0.903614,0.330055,65.490553,24,13,0.259659
0,30,223,0.895582,0.365979,63.748153,26,18,0.289193
0,31,229,0.919679,0.304931,65.549420,20,14,0.239005
0,32,222,0.891566,0.239796,63.417444,27,17,0.185458
0,33,221,0.887550,0.240795,63.147621,28,18,0.186279
0,34,223,0.895582,0.332532,64.281844,26,17,0.261696
0,35,230,0.923695,0.245149,65.883491,19,14,0.189859
0,36,226,0.907631,0.393754,64.743833,23,16,0.312026
0,37,228,0.915663,0.374639,65.000448,21,13,0.296312
0,38,217,0.871486,0.252395,63.034926,32,22,0.195816
0,39,219,0.879518,0.147369,63.094217,30,23,0.109474
0,40,216,0.867470,0.346316,62.285640,33,28,0.273028
0,41,223,0.895582,0.181503,63.772315,26,15,0.137536
0,42,227,0.911647,0.290337,64.569188,22,13,0.227008
0,43,217,0.871486,0.127180,62.708607,32,23,0.092877
0,44,223,0.895582,0.249881,63.686644,26,15,0.193749
0,45,228,0.915663,0.229637,66.058532,21,15,0.177106
0,46,222,0.891566,0.308380,64.503673,27,14,0.241841
0,47,217,0.871486,0.218013,62.144801,32,17,0.167550
0,48,221,0.887550,0.342730,63.854097,28,19,0.270080
0,49,222,0.891566,0.328016,63.867207,27,20,0.257984
0,50,216,0.867470,0.249674,61.918955,33,18,0.743578
0,51,226,0.907631,0.240316,63.964743,23,14,0.185886
0,52,228,0.915663,0.352454,65.968183,21,14,0.278074
0,53,232,0.931727,0.311842,66.621944,17,10,0.244686
0,54,227,0.911647,0.256408,65.062406,22,12,0.199115
0,55,228,0.915663,0.373260,65.365044,21,8,0.295178
0,56,224,0.899598,0.275211,64.267977,25,14,0.214573
0,57,218,0.875502,0.360708,62.177710,31,17,0.284860
0,58,229,0.919679,0.165929,64.934214,20,10,0.124732
0,59,214,0.859438,0.292601,60.567063,35,27,0.228869
0,60,227,0.911647,0.347991,65.077183,22,16,0.274405
0,61,230,0.923695,0.331894,65.112806,19,10,0.261171
0,62,220,0.883534,0.265671,63.865067,29,18,0.206730
0,63,218,0.875502,0.264263,62.581357,31,17,0.205572
0,64,228,0.915663,0.283413,65.807481,21,14,0.221316
0,65,227,0.911647,0.344940,64.991993,22,11,0.271897
0,66,218,0.875502,0.014205,62.105619,31,14,0.000000
0,67,226,0.907631,0.402610,65.329428,23,15,0.319307
0,68,220,0.883534,0.383142,64.264042,29,19,0.303302
0,69,220,0.883534,0.235404,63.002097,29,19,0.181847
0,70,219,0.879518,0.335752,62.618560,30,19,0.264343
0,71,224,0.899598,0.275797,64.389485,25,15,0.215055
0,72,226,0.907631,0.333599,64.596644,23,13,0.262573
0,73,220,0.883534,0.237819,62.814741,29,14,0.183833
0,74,219,0.879518,0.292074,62.632217,30,17,0.228436
0,75,230,0.923695,0.108912,66.290701,19,12,0.077858
0,76,229,0.919679,0.321790,65.077127,20,11,0.252865
0,77,217,0.871486,0.272903,61.973873,32,23,0.212675
0,78,221,0.887550,0.374639,63.372204,28,14,0.296312
0,79,231,0.927711,0.323854,66.059298,18,13,0.254562
0,80,216,0.867470,0.119165,62.037538,33,26,0.086287
0,81,227,0.911647,0.376064,64.521979,22,15,0.297483
0,82,216,0.867470,0.116186,61.527119,33,24,0.083838
0,83,217,0.871486,0.250824,62.369402,32,19,0.194524
0,84,226,0.907631,0.273536,63.911153,23,13,0.213195
0,85,224,0.899598,0.294692,64.509758,25,15,0.230588
0,86,213,0.855422,0.248190,61.314553,36,26,0.192359
0,87,214,0.859438,0.246853,62.275582,35,27,0.191259
0,88,231,0.927711,0.384806,65.567010,18,12,0.304670
0,89,231,0.927711,0.400935,65.794334,18,11,0.317930
0,90,226,0.907631,0.116186,63.965503,23,12,0.083838
0,91,224,0.899598,0.292022,64.198661,25,16,0.228393
0,92,224,0.899598,0.372429,64.037483,25,19,0.294495
0,93,213,0.855422,0.145871,61.120779,36,30,0.108242
0,94,221,0.887550,0.311842,62.815372,28,17,0.244686
0,95,221,0.887550,0.203101,62.946579,28,18,0.155291
0,96,226,0.907631,0.165986,64.984253,23,15,0.124779
0,97,221,0.887550,0.361167,63.171958,28,15,0.285237
0,98,223,0.895582,0.346608,64.107259,26,15,0.273268
0,99,234,0.939759,0.561585,67.070913,15,11,0.450000
0,100,224,0.899598,0.292965,64.124956,25,12,0.229168
0,101,222,0.891566,0.299555,63.846377,27,17,0.234585
0,102,228,0.915663,0.292601,65.526796,21,12,0.228869
0,103,220,0.883534,0.292516,62.958293,29,17,0.228799
0,104,218,0.875502,0.058974,62.160179,31,23,0.036805
0,105,216,0.867470,0.127180,62.078161,33,19,0.092877
0,106,229,0.919679,0.378473,65.398201,20,10,0.299464
0,107,227,0.911647,0.322229,65.781786,22,15,0.253226
0,108,227,0.911647,0.268867,64.809831,22,12,0.209357
0,109,223,0.895582,0.292965,64.006703,26,18,0.229168
0,110,224,0.899598,0.343065,64.309352,25,16,0.270355
0,111,223,0.895582,0.282389,64.169607,26,13,0.220473
0,112,227,0.911647,0.346608,65.194447,22,14,0.273268
0,113,216,0.867470,0.208700,62.450378,33,20,0.159894
0,114,228,0.915663,0.225851,65.088923,21,13,0.173994
0,115,221,0.887550,0.347991,63.733213,28,18,0.274405
0,116,221,0.887550,0.329453,63.189235,28,16,0.259165
0,117,220,0.883534,0.306783,63.561213,29,15,0.240528
0,118,225,0.903614,0.089780,64.380592,24,15,0.062130
0,119,223,0.895582,0.347493,64.635600,26,16,0.273995
0,120,223,0.895582,0.371168,64.397502,26,16,0.843458
0,121,228,0.915663,0.365930,65.057575,21,15,0.289152
0,122,227,0.911647,0.523037,65.408854,22,11,0.418309
0,123,228,0.915663,0.192831,65.796552,21,13,0.146848
0,124,228,0.915663,0.393276,64.995359,21,10,0.311633
0,125,226,0.907631,0.029570,64.355027,23,19,0.012632
0,126,223,0.895582,0.287768,63.506635,26,15,0.224896
0,127,228,0.915663,0.252225,65.054489,21,14,0.195676
0,128,222,0.891566,0.396251,63.696961,27,18,0.314079
0,129,217,0.871486,0.113383,61.920670,32,21,0.081534
0,130,217,0.871486,0.292224,62.655666,32,23,0.228559
0,131,226,0.907631,0.361167,64.123527,23,16,0.285237
0,132,223,0.895582,0.292601,63.209443,26,16,0.228869
0,133,225,0.903614,0.270003,64.341314,24,17,0.210291
0,134,227,0.911647,0.432188,65.448325,22,12,0.343623
0,135,218,0.875502,0.271885,62.567989,31,25,0.211838
0,136,233,0.935743,0.470188,67.235643,16,12,0.374862
0,137,223,0.895582,0.316596,63.864891,26,16,0.248595
0,138,224,0.899598,0.157395,63.716448,25,19,0.117717
0,139,229,0.919679,0.326011,65.147356,20,12,0.256335
0,140,224,0.899598,0.378473,64.081892,25,15,0.299464
0,141,214,0.859438,0.183496,60.876318,35,29,0.139174
0,142,221,0.887550,0.288753,63.756353,28,21,0.225705
0,143,227,0.911647,0.344940,64.543634,22,16,0.271897
0,144,217,0.871486,0.402104,62.804365,32,22,0.318891
0,145,223,0.895582,0.388921,63.786270,26,16,0.308053
0,146,218,0.875502,0.275211,61.589512,31,20,0.214573
0,147,220,0.883534,0.255626,62.914999,29,14,0.198472
0,148,223,0.895582,0.351524,64.042287,26,15,0.277309
0,149,222,0.891566,0.390576,63.175876,27,15,0.309413
0,150,227,0.911647,0.476675,65.649450,22,16,0.380195
0,151,215,0.863454,0.137832,61.200270,34,20,0.101634
0,152,224,0.899598,0.365930,64.251290,25,15,0.289152
0,153,222,0.891566,0.178385,63.274823,27,16,0.134972
0,154,225,0.903614,0.323854,64.157713,24,16,0.254562
0,155,223,0.895582,0.167505,63.347325,26,16,0.126028
