cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,14.890705,446,-2.089182,0.029781,0.001980,0.349588,30.517602
1,14.679828,447,-2.024333,0.029360,0.001815,0.218434,30.392791
2,14.521185,448,-1.813900,0.029042,0.001595,0.270592,30.426921
3,14.427660,449,-1.759229,0.028855,0.001482,0.277581,30.451845
4,14.355047,450,-1.638963,0.028710,0.001462,0.234454,30.419226
5,14.289190,451,-1.580249,0.028578,0.001374,0.233888,30.418946
6,14.242821,452,-1.752818,0.028486,0.001465,0.239873,30.418173
7,14.198503,453,-1.641676,0.028397,0.001322,0.184428,30.418413
8,14.154372,454,-1.583141,0.028309,0.001355,0.203398,30.423603
9,14.103799,455,-1.492320,0.028208,0.001248,0.288031,30.485529
10,14.070226,456,-1.508367,0.028140,0.001305,0.258068,30.408363
11,14.041764,457,-1.646549,0.028084,0.001249,0.262884,30.445366
12,14.003637,458,-1.377906,0.028007,0.001236,0.302716,30.458971
13,13.969853,459,-1.521350,0.027940,0.001170,0.293143,30.472166
14,13.945177,460,-1.591052,0.027890,0.001255,0.350880,30.429293
15,13.920089,461,-1.715730,0.027840,0.001205,0.261800,30.433828
16,13.896681,462,-1.509325,0.027793,0.001067,0.330838,30.481494
17,13.876211,463,-1.571991,0.027752,0.001173,0.293743,30.444814
18,13.853104,464,-1.524174,0.027706,0.001066,0.337187,30.463671
19,13.842705,465,-1.628450,0.027685,0.001201,0.273192,30.451228
20,13.813967,466,-1.475899,0.027628,0.001145,0.334376,30.425661
21,13.800137,467,-1.355022,0.027600,0.001155,0.335193,30.437627
22,13.779152,468,-1.456948,0.027558,0.001069,0.328169,30.447248
23,13.762802,469,-1.457387,0.027526,0.001202,0.366367,30.436077
24,13.744007,470,-1.545176,0.027488,0.001041,0.353638,30.449761
25,13.728786,471,-1.423660,0.027458,0.001010,0.362001,30.411909
26,13.716914,472,-1.498660,0.027434,0.001057,0.340922,30.472122
27,13.705589,473,-1.491703,0.027411,0.001055,0.382718,30.496762
28,13.695906,474,-1.531260,0.027392,0.001000,0.353602,30.478853
29,13.681933,475,-1.457464,0.027364,0.001045,0.332847,30.451552
30,13.671008,476,-1.433456,0.027342,0.001125,0.298558,30.478220
31,13.659355,477,-1.419024,0.027319,0.001048,0.356889,30.439429
32,13.645688,478,-1.426764,0.027291,0.001028,0.415803,30.469466
33,13.631264,479,-1.490464,0.027263,0.000993,0.401078,30.429768
34,13.615352,480,-1.389331,0.027231,0.001006,0.270096,30.249254
35,13.599410,481,-1.428138,0.027199,0.001033,0.263281,30.242331
36,13.586276,482,-1.262003,0.027173,0.000933,0.183014,30.242889
37,13.579102,483,-1.263996,0.027158,0.000891,0.214511,30.280845
38,13.573821,484,-1.219784,0.027148,0.000949,0.735932,30.471581
39,13.569008,485,-1.621554,0.027138,0.001162,0.231589,30.403742
