iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,52,0.104208,0.000000,1.555895,447,25,0.000000
0,1,52,0.104208,0.001678,1.611620,447,24,0.003569
0,2,53,0.106212,0.020813,1.476722,446,24,0.044272
0,3,53,0.106212,0.040858,2.212217,446,28,0.086910
0,4,47,0.094188,0.000000,1.497171,452,26,0.000000
0,5,41,0.082164,0.000000,0.765933,458,70,0.000000
0,6,46,0.092184,0.000000,1.145826,453,32,0.000000
0,7,49,0.098196,0.000000,1.498212,450,43,0.000000
0,8,49,0.098196,0.067487,1.738731,450,33,0.143555
0,9,47,0.094188,0.030158,1.257175,452,28,0.064150
0,10,65,0.130261,0.076430,2.082609,434,27,0.162578
0,11,45,0.090180,0.000000,1.073592,454,29,0.000000
0,12,56,0.112224,0.074528,1.708260,443,24,0.158531
0,13,54,0.108216,0.062063,2.030378,445,24,0.132017
0,14,35,0.070140,0.000000,1.067410,464,120,0.000000
0,15,55,0.110220,0.012015,1.673391,444,25,0.025558
0,16,52,0.104208,0.039164,1.477218,447,24,0.083307
0,17,47,0.094188,0.009574,1.533384,452,29,0.020365
0,18,41,0.082164,0.000000,1.084729,458,41,0.000000
0,19,44,0.088176,0.000000,1.973115,455,48,0.000000
0,20,57,0.114228,0.054443,2.001239,442,25,0.115808
0,21,49,0.098196,0.007518,1.499985,450,29,0.015991
0,22,56,0.112224,0.000000,1.840749,443,23,0.000000
0,23,46,0.092184,0.000000,1.522751,453,36,0.000000
0,24,44,0.088176,0.000000,1.238958,455,33,0.000000
0,25,43,0.086172,0.000000,1.639279,456,43,0.000000
0,26,51,0.102204,0.000000,1.400735,448,24,0.000000
0,27,48,0.096192,0.120013,1.924098,451,36,0.255284
0,28,41,0.082164,0.000000,1.004721,458,62,0.000000
0,29,49,0.098196,0.106599,2.085711,450,34,0.226752
0,30,49,0.098196,0.001842,1.944379,450,34,0.003918
0,31,68,0.136273,0.098080,2.904396,431,24,0.208629
0,32,49,0.098196,0.091990,1.586259,450,25,0.195675
0,33,40,0.080160,0.000000,1.362856,459,35,0.000000
0,34,42,0.084168,0.000000,1.467535,457,47,0.000000
0,35,37,0.074148,0.000000,1.005924,462,115,0.000000
0,36,56,0.112224,0.020062,1.369225,443,23,0.042675
0,37,52,0.104208,0.069920,1.973905,447,26,0.148729
0,38,59,0.118236,0.119552,2.291910,440,25,0.254303
0,39,59,0.118236,0.051763,2.488226,440,25,0.110106
0,40,41,0.082164,0.000000,1.444699,458,37,0.000000
0,41,61,0.122244,0.070942,1.879228,438,27,0.150903
0,42,49,0.098196,0.066195,2.196265,450,29,0.140805
0,43,50,0.100200,0.036192,1.566793,449,26,0.626986
0,44,45,0.090180,0.000000,0.667332,454,40,0.000000
0,45,47,0.094188,0.014420,1.065691,452,30,0.030673
0,46,59,0.118236,0.065918,1.865562,440,23,0.690217
0,47,45,0.090180,0.000000,1.624861,454,27,0.000000
0,48,43,0.086172,0.000000,1.950327,456,46,0.000000
0,49,52,0.104208,0.028115,1.882879,447,23,0.059805
0,50,58,0.116232,0.015390,2.013641,441,27,0.032736
0,51,53,0.106212,0.000000,1.875104,446,24,0.000000
0,52,47,0.094188,0.018678,1.922164,452,29,0.039730
0,53,51,0.102204,0.000000,1.828771,448,27,0.000000
0,54,55,0.110220,0.078547,1.561793,444,29,0.167080
0,55,56,0.112224,0.000000,1.476073,443,26,0.000000
0,56,57,0.114228,0.052555,2.093203,442,24,0.111792
0,57,55,0.110220,0.113974,2.167117,444,27,0.242439
0,58,50,0.100200,0.000000,1.446952,449,29,0.000000
0,59,45,0.090180,0.008375,1.558459,454,36,0.017815
0,60,57,0.114228,0.073173,2.288133,442,30,0.155649
0,61,49,0.098196,0.004042,1.502890,450,26,0.008598
0,62,59,0.118236,0.000000,1.798025,440,26,0.000000
0,63,47,0.094188,0.120889,1.467161,452,41,0.257148
0,64,59,0.118236,0.096857,2.625661,440,24,0.206027
0,65,40,0.080160,0.000000,1.465309,459,46,0.000000
0,66,56,0.112224,0.000000,2.112811,443,24,0.000000
0,67,56,0.112224,0.105347,2.103088,443,23,0.224087
0,68,54,0.108216,0.000000,1.557547,445,25,0.000000
0,69,62,0.124248,0.179043,2.762729,437,24,0.380850
0,70,52,0.104208,0.000000,1.293960,447,25,0.000000
0,71,45,0.090180,0.000000,1.611338,454,33,0.000000
0,72,52,0.104208,0.050572,1.768113,447,24,0.107574
0,73,52,0.104208,0.000000,1.741407,447,28,0.000000
0,74,57,0.114228,0.150378,2.243608,442,23,0.319875
0,75,50,0.100200,0.000000,1.277243,449,27,0.000000
0,76,40,0.080160,0.062004,1.595832,459,48,0.681892
0,77,47,0.094188,0.000000,2.102913,452,35,0.000000
0,78,43,0.086172,0.000000,1.140134,456,37,0.000000
0,79,56,0.112224,0.021892,1.441733,443,28,0.046568
0,80,60,0.120240,0.156969,1.940079,439,23,0.333894
0,81,51,0.102204,0.084459,1.769300,448,27,0.179655
0,82,44,0.088176,0.000000,1.195483,455,36,0.000000
0,83,46,0.092184,0.000000,1.634593,453,36,0.000000
0,84,39,0.078156,0.000000,0.701555,460,78,0.000000
0,85,56,0.112224,0.000000,2.501378,443,26,0.000000
0,86,61,0.122244,0.041848,1.744335,438,25,0.089017
0,87,44,0.088176,0.000000,1.309641,455,43,0.000000
0,88,58,0.116232,0.000000,1.803067,441,27,0.000000
0,89,63,0.126253,0.068017,1.682110,436,24,0.144683
0,90,42,0.084168,0.000000,1.538181,457,42,0.000000
0,91,48,0.096192,0.088900,1.531740,451,27,0.739102
0,92,47,0.094188,0.048638,1.797427,452,27,0.103460
0,93,52,0.104208,0.007218,1.422853,447,27,0.015353
0,94,44,0.088176,0.000000,1.718303,455,42,0.000000
0,95,53,0.106212,0.000000,1.578540,446,28,0.000000
0,96,51,0.102204,0.000000,1.507052,448,29,0.000000
0,97,56,0.112224,0.077232,2.041717,443,23,0.164283
0,98,42,0.084168,0.000000,1.426603,457,60,0.000000
0,99,39,0.078156,0.000000,0.870140,460,101,0.000000
0,100,56,0.112224,0.047241,2.029977,443,27,0.100489
0,101,54,0.108216,0.000000,1.345642,445,26,0.000000
0,102,44,0.088176,0.000000,1.708419,455,43,0.000000
0,103,47,0.094188,0.044456,1.055208,452,28,0.644563
0,104,55,0.110220,0.088286,2.127301,444,27,0.187796
0,105,42,0.084168,0.000000,1.993654,457,39,0.000000
0,106,43,0.086172,0.004712,1.326088,456,55,0.010022
