cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,12.304245,436,-0.855616,0.024608,0.005543,0.161898,0.138659
1,12.221476,437,-0.691876,0.024443,0.005496,0.080922,0.123692
2,12.175898,438,-0.639855,0.024352,0.005482,0.069296,0.129002
3,12.135788,439,-0.524208,0.024272,0.005339,0.068022,0.134082
4,12.109332,440,-0.591635,0.024219,0.004439,0.065647,0.127667
5,12.080264,441,-0.590878,0.024161,0.004493,0.053841,0.128901
6,12.051750,442,-0.527373,0.024104,0.004206,0.035525,0.130491
7,12.034529,443,-0.394627,0.024069,0.005352,0.062282,0.126695
8,12.019869,444,-0.405493,0.024040,0.005093,0.044528,0.131475
9,12.004841,445,-0.374483,0.024010,0.005562,0.057343,0.138778
10,12.000000,446,-0.000000,0.024000,0.019424,0.045360,0.112094
