iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,19,0.038076,0.000000,0.888469,480,37,0.000000
0,1,19,0.038076,0.000000,0.394967,480,30,0.000000
0,2,13,0.026052,0.000000,0.066056,486,31,0.000000
0,3,22,0.044088,0.050031,0.528192,477,30,0.043526
0,4,24,0.048096,0.162074,5.046594,475,30,0.141002
0,5,11,0.022044,0.000000,0.000000,488,182,0.000000
0,6,11,0.022044,0.044006,0.037679,488,30,0.588285
0,7,13,0.026052,0.000000,0.037679,486,30,0.000000
0,8,17,0.034068,0.013395,0.059466,482,30,0.011653
0,9,10,0.020040,0.010462,0.024055,489,30,0.009102
0,10,16,0.032064,0.048123,1.500340,483,33,0.041866
0,11,13,0.026052,0.000000,0.040077,486,38,0.000000
0,12,8,0.016032,0.000000,0.000000,491,258,0.000000
0,13,17,0.034068,0.006030,1.177415,482,30,0.005246
0,14,10,0.020040,0.000000,0.528468,489,204,0.000000
0,15,18,0.036072,0.095334,1.183471,481,30,0.082939
0,16,18,0.036072,0.000000,0.369445,481,33,0.000000
0,17,12,0.024048,0.000000,0.151254,487,43,0.000000
0,18,9,0.018036,0.000000,0.099297,490,202,0.000000
0,19,9,0.018036,0.000000,0.028623,490,248,0.000000
0,20,14,0.028056,0.000000,0.029032,485,36,0.000000
0,21,13,0.026052,0.000000,0.031584,486,177,0.000000
0,22,8,0.016032,0.000000,0.034516,491,30,0.000000
0,23,19,0.038076,0.000000,0.347622,480,30,0.000000
0,24,16,0.032064,0.000000,0.075149,483,30,0.000000
0,25,6,0.012024,0.000000,0.000000,493,256,0.000000
0,26,20,0.040080,0.043957,0.982930,479,31,0.038242
0,27,23,0.046092,0.159443,1.660597,476,30,0.688713
0,28,11,0.022044,0.000000,0.032302,488,176,0.000000
0,29,14,0.028056,0.000000,0.000000,485,30,0.000000
0,30,12,0.024048,0.000000,0.059568,487,56,0.000000
0,31,13,0.026052,0.000000,0.197196,486,30,0.000000
0,32,15,0.030060,0.006662,0.384138,484,32,0.005796
0,33,14,0.028056,0.000000,0.126222,485,31,0.000000
0,34,16,0.032064,0.000000,0.097047,483,30,0.000000
0,35,8,0.016032,0.000000,0.044006,491,196,0.000000
0,36,18,0.036072,0.014399,1.924704,481,31,0.012527
0,37,16,0.032064,0.000000,0.176150,483,37,0.000000
0,38,12,0.024048,0.021805,0.056407,487,32,0.018970
0,39,19,0.038076,0.087100,0.544052,480,30,0.625776
0,40,20,0.040080,0.412974,5.417493,479,29,0.359281
0,41,12,0.024048,0.038699,1.265238,487,33,0.033668
0,42,17,0.034068,0.000000,0.465039,482,30,0.000000
0,43,12,0.024048,0.000000,0.083623,487,154,0.000000
0,44,11,0.022044,0.000000,0.073288,488,32,0.000000
0,45,15,0.030060,0.000000,0.062550,484,31,0.000000
0,46,12,0.024048,0.000000,0.821533,487,30,0.000000
0,47,22,0.044088,0.103083,0.939820,477,30,0.089681
0,48,15,0.030060,0.000000,0.021389,484,30,0.000000
0,49,14,0.028056,0.000000,0.054037,485,33,0.000000
0,50,11,0.022044,0.000000,0.014219,488,31,0.000000
0,51,8,0.016032,0.000000,0.050812,491,218,0.000000
0,52,17,0.034068,0.000000,0.072861,482,32,0.000000
0,53,24,0.048096,0.464538,5.448785,475,30,0.404141
0,54,18,0.036072,0.000000,0.212980,481,30,0.000000
0,55,11,0.022044,0.000000,0.081685,488,30,0.000000
0,56,13,0.026052,0.000000,0.029048,486,30,0.000000
0,57,11,0.022044,0.000000,0.085707,488,30,0.000000
0,58,16,0.032064,0.030431,1.559641,483,32,0.026474
0,59,18,0.036072,0.004938,0.070211,481,30,0.004296
0,60,21,0.042084,0.062578,4.224521,478,47,0.054442
0,61,19,0.038076,0.015870,2.365776,480,30,0.013807
0,62,10,0.020040,0.000000,0.008789,489,35,0.000000
0,63,16,0.032064,0.017818,0.416895,483,39,0.015501
0,64,11,0.022044,0.000000,0.015686,488,31,0.000000
0,65,15,0.030060,0.000000,0.072861,484,32,0.000000
0,66,13,0.026052,0.000000,0.019919,486,30,0.000000
0,67,11,0.022044,0.000000,0.000000,488,31,0.000000
0,68,19,0.038076,0.019695,0.107283,480,31,0.017135
0,69,10,0.020040,0.000000,0.016999,489,30,0.000000
0,70,10,0.020040,0.000000,0.017352,489,30,0.000000
0,71,11,0.022044,0.000000,0.000000,488,38,0.000000
0,72,7,0.014028,0.000000,0.101790,492,244,0.000000
0,73,9,0.018036,0.000000,0.014219,490,47,0.000000
0,74,10,0.020040,0.000000,0.017274,489,46,0.000000
0,75,18,0.036072,0.000000,0.431126,481,32,0.000000
0,76,16,0.032064,0.031367,0.799995,483,30,0.027289
0,77,16,0.032064,0.025450,1.162538,483,30,0.022141
0,78,15,0.030060,0.000000,0.065893,484,30,0.000000
0,79,11,0.022044,0.000000,0.000000,488,30,0.000000
0,80,10,0.020040,0.000000,0.000000,489,37,0.000000
0,81,19,0.038076,0.443380,5.428554,480,30,0.385733
0,82,19,0.038076,0.018972,0.108006,480,30,0.016506
0,83,9,0.018036,0.000000,0.017441,490,32,0.000000
0,84,15,0.030060,0.000000,1.275051,484,36,0.000000
0,85,11,0.022044,0.000000,0.021389,488,32,0.000000
0,86,19,0.038076,0.030637,0.674819,480,32,0.026654
0,87,16,0.032064,0.000000,0.287379,483,42,0.000000
0,88,20,0.040080,0.041230,0.384374,479,30,0.035869
0,89,16,0.032064,0.000000,0.093860,483,30,0.000000
0,90,20,0.040080,0.000000,0.215470,479,30,0.000000
0,91,11,0.022044,0.000000,0.081685,488,181,0.000000
0,92,9,0.018036,0.000000,0.072212,490,30,0.000000
0,93,14,0.028056,0.000000,0.184074,485,30,0.000000
0,94,19,0.038076,0.000000,0.434713,480,30,0.000000
0,95,16,0.032064,0.000000,0.212269,483,31,0.000000
0,96,8,0.016032,0.000000,0.000000,491,30,0.000000
0,97,9,0.018036,0.000000,0.000000,490,30,0.000000
0,98,5,0.010020,0.000000,0.000000,494,292,0.000000
0,99,13,0.026052,0.000000,0.085707,486,30,0.000000
0,100,16,0.032064,0.000000,0.089524,483,30,0.000000
0,101,17,0.034068,0.000000,0.069592,482,30,0.000000
0,102,10,0.020040,0.000000,0.003691,489,32,0.000000
0,103,13,0.026052,0.000000,0.035960,486,37,0.000000
0,104,18,0.036072,0.000000,0.069592,481,30,0.000000
0,105,7,0.014028,0.000000,0.048600,492,30,0.000000
0,106,15,0.030060,0.000000,0.194404,484,30,0.000000
0,107,17,0.034068,0.016803,0.734406,482,30,0.014619
0,108,11,0.022044,0.000000,0.005711,488,209,0.000000
0,109,15,0.030060,0.000000,0.077219,484,33,0.000000
0,110,12,0.024048,0.000000,0.860296,487,49,0.000000
0,111,14,0.028056,0.000000,0.081685,485,30,0.000000
0,112,9,0.018036,0.000000,0.021389,490,194,0.000000
0,113,11,0.022044,0.021389,0.000000,488,30,0.568608
0,114,16,0.032064,0.000000,0.837781,483,36,0.000000
0,115,25,0.050100,0.095934,1.251363,474,30,0.083461
0,116,15,0.030060,0.005292,0.131691,484,30,0.554604
0,117,11,0.022044,0.010424,0.015786,488,30,0.559069
0,118,9,0.018036,0.000000,0.052971,490,41,0.000000
0,119,6,0.012024,0.000000,0.048600,493,293,0.000000
0,120,6,0.012024,0.000000,0.002625,493,256,0.000000
0,121,6,0.012024,0.000000,0.002625,493,30,0.000000
0,122,11,0.022044,0.003232,0.082476,488,30,0.002811
0,123,11,0.022044,0.000000,0.021389,488,30,0.000000
0,124,20,0.040080,0.049256,0.800552,479,30,0.592852
0,125,18,0.036072,0.085359,0.531610,481,29,0.074261
0,126,17,0.034068,0.000000,0.513937,482,30,0.000000
0,127,18,0.036072,0.000000,1.704652,481,39,0.000000
0,128,13,0.026052,0.000000,0.021849,486,37,0.000000
0,129,9,0.018036,0.000000,0.014219,490,34,0.000000
0,130,20,0.040080,0.023161,2.364299,479,30,0.020150
0,131,8,0.016032,0.000000,0.043354,491,214,0.000000
0,132,11,0.022044,0.000000,0.037679,488,30,0.000000
0,133,15,0.030060,0.011680,0.023332,484,30,0.010161
0,134,14,0.028056,0.000000,0.065893,485,31,0.000000
0,135,20,0.040080,0.011774,0.220971,479,30,0.560243
0,136,13,0.026052,0.000000,0.201892,486,138,0.000000
0,137,16,0.032064,0.000000,1.009875,483,36,0.000000
0,138,16,0.032064,0.022821,0.052328,483,30,0.019854
0,139,13,0.026052,0.005464,0.037891,486,30,0.004753
0,140,19,0.038076,0.041470,0.743263,480,32,0.036078
0,141,17,0.034068,0.000000,0.162329,482,36,0.000000
0,142,21,0.042084,0.000505,0.135297,478,30,0.000439
0,143,19,0.038076,0.334233,5.110512,480,31,0.290777
0,144,9,0.018036,0.000000,0.149725,490,49,0.000000
0,145,9,0.018036,0.006377,0.022246,490,34,0.005547
0,146,17,0.034068,0.029878,0.539290,482,31,0.025993
0,147,8,0.016032,0.000000,0.014219,491,264,0.000000
0,148,21,0.042084,0.000000,0.802476,478,30,0.000000
0,149,13,0.026052,0.000000,0.000000,486,49,0.000000
0,150,17,0.034068,0.147006,1.754736,482,30,0.127893
0,151,18,0.036072,0.000000,0.109319,481,35,0.000000
0,152,17,0.034068,0.000000,0.162329,482,33,0.000000
0,153,17,0.034068,0.000000,0.021389,482,30,0.000000
0,154,7,0.014028,0.000000,0.081997,492,39,0.000000
0,155,21,0.042084,0.000000,0.126979,478,30,0.000000
0,156,20,0.040080,0.168031,1.745510,479,30,0.146184
0,157,17,0.034068,0.000000,0.097047,482,31,0.000000
0,158,6,0.012024,0.000000,0.033877,493,46,0.000000
0,159,10,0.020040,0.000000,0.061577,489,215,0.000000
0,160,9,0.018036,0.007447,0.000000,490,32,0.556479
0,161,22,0.044088,0.014184,0.565258,477,30,0.012340
0,162,20,0.040080,0.001342,0.863384,479,74,0.001168
0,163,12,0.024048,0.000000,0.030420,487,31,0.000000
0,164,12,0.024048,0.000000,0.039175,487,191,0.000000
0,165,16,0.032064,0.000420,0.048291,483,30,0.000365
0,166,9,0.018036,0.000000,0.003691,490,206,0.000000
0,167,18,0.036072,0.016330,0.630011,481,30,0.014207
0,168,10,0.020040,0.000000,0.082476,489,42,0.000000
0,169,19,0.038076,0.415089,5.029656,480,30,0.911121
0,170,8,0.016032,0.015626,0.017441,491,32,0.013594
0,171,16,0.032064,0.163202,1.738540,483,72,0.141983
0,172,19,0.038076,0.000275,0.074874,480,30,0.000239
0,173,6,0.012024,0.000000,0.014374,493,280,0.000000
0,174,9,0.018036,0.000000,0.090874,490,241,0.000000
0,175,9,0.018036,0.014374,0.015167,490,30,0.562506
0,176,18,0.036072,0.000000,2.414699,481,36,0.000000
0,177,21,0.042084,0.000000,0.309915,478,32,0.000000
0,178,8,0.016032,0.000000,0.000000,491,30,0.000000
0,179,13,0.026052,0.000000,0.004733,486,39,0.000000
0,180,17,0.034068,0.019437,0.034600,482,30,0.566910
0,181,13,0.026052,0.000000,0.057940,486,30,0.000000
0,182,19,0.038076,0.012272,2.614352,480,32,0.010677
0,183,11,0.022044,0.000000,0.003691,488,30,0.000000
0,184,14,0.028056,0.000000,0.165557,485,128,0.000000
0,185,16,0.032064,0.000000,0.031954,483,32,0.000000
0,186,8,0.016032,0.000000,0.008239,491,35,0.000000
0,187,19,0.038076,0.030420,0.055189,480,30,0.576465
0,188,15,0.030060,0.030801,0.149153,484,30,0.576797
0,189,8,0.016032,0.040844,0.041153,491,30,0.035534
