cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,84.189448,533,-0.565947,0.168379,0.084384,0.014744,3.858863
1,84.189448,534,-0.270983,0.168379,0.075816,0.007103,4.255569
2,84.189448,535,-0.249400,0.168379,0.075622,0.003855,4.285513
3,84.173077,536,-0.182051,0.168346,0.076106,0.001515,4.856853
4,84.173077,537,-0.146154,0.168346,0.074031,0.000982,5.454178
5,84.137255,538,-0.049020,0.168275,0.073285,0.003414,6.253875
6,84.137255,539,-0.049020,0.168275,0.073377,0.001212,6.658766
7,84.137255,540,-0.049020,0.168275,0.073187,0.001068,6.399784
8,84.137255,541,-0.049020,0.168275,0.073241,0.001478,6.078330
9,84.137255,542,-0.019608,0.168275,0.073195,0.001348,6.026474
10,84.137255,543,-0.019608,0.168275,0.073184,0.001079,6.316979
11,84.136364,544,-0.045455,0.168273,0.072416,0.003241,5.861284
12,84.136364,545,0.000000,0.168273,0.072432,0.001902,6.684586
