iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,475,0.951904,0.000000,81.201439,24,11,0.000000
0,1,483,0.967936,0.294964,82.755396,16,7,0.132734
0,2,473,0.947896,0.000000,81.189448,26,14,0.000000
0,3,491,0.983968,-0.000000,82.189448,8,3,0.000000
0,4,487,0.975952,-0.000000,82.189448,12,2,0.000000
0,5,482,0.965932,0.000000,81.189448,17,5,0.000000
0,6,490,0.981964,0.000000,82.189448,9,3,0.000000
0,7,475,0.951904,0.000000,81.201439,24,12,0.000000
0,8,487,0.975952,0.333333,82.522782,12,6,0.150000
0,9,477,0.955912,0.333333,81.956835,22,13,0.150000
0,10,484,0.969940,0.316547,81.954436,15,8,0.142446
0,11,481,0.963928,0.000000,81.589928,18,5,0.000000
0,12,490,0.981964,-0.000000,82.189448,9,7,0.000000
0,13,488,0.977956,0.434053,82.623501,11,4,0.195324
0,14,481,0.963928,0.000000,81.623501,18,8,0.000000
0,15,480,0.961924,0.000000,81.472422,19,9,0.000000
0,16,486,0.973948,0.448441,82.086331,13,8,0.201799
0,17,488,0.977956,0.434053,82.623501,11,3,0.195324
0,18,493,0.987976,-0.000000,81.189448,6,5,0.000000
0,19,488,0.977956,0.985612,83.175060,11,4,0.443525
0,20,487,0.975952,0.000000,82.189448,12,9,0.000000
0,21,485,0.971944,0.565947,81.755396,14,7,0.804676
0,22,486,0.973948,-0.000000,82.189448,13,8,0.000000
0,23,485,0.971944,-0.000000,81.755396,14,7,0.000000
0,24,491,0.983968,-0.000000,82.189448,8,2,0.000000
0,25,487,0.975952,0.165468,82.354916,12,4,0.074460
0,26,484,0.969940,-0.000000,81.213429,15,8,0.000000
0,27,478,0.957916,0.011990,81.767386,21,8,0.005396
0,28,480,0.961924,0.011990,81.410072,19,14,0.005396
0,29,486,0.973948,0.000000,81.522782,13,7,0.000000
0,30,483,0.967936,0.000000,82.189448,16,3,0.000000
0,31,475,0.951904,0.011990,81.731415,24,13,0.005396
0,32,478,0.957916,-0.000000,81.820144,21,13,0.000000
0,33,486,0.973948,0.482014,82.486811,13,8,0.216906
0,34,475,0.951904,0.000000,81.755396,24,14,0.000000
0,35,484,0.969940,0.000000,81.880096,15,8,0.000000
0,36,488,0.977956,0.309353,82.498801,11,4,0.139209
0,37,476,0.953908,0.000000,81.314149,23,11,0.000000
0,38,487,0.975952,0.000000,82.189448,12,6,0.000000
0,39,488,0.977956,-0.000000,81.374101,11,4,0.000000
0,40,494,0.989980,1.000000,83.189448,5,2,0.450000
0,41,483,0.967936,0.282974,81.505995,16,8,0.127338
0,42,485,0.971944,0.000000,81.755396,14,7,0.000000
0,43,483,0.967936,0.000000,82.189448,16,4,0.000000
0,44,490,0.981964,0.000000,81.189448,9,3,0.000000
0,45,492,0.985972,0.000000,82.522782,7,3,0.000000
0,46,484,0.969940,0.282974,82.023981,15,9,0.127338
0,47,484,0.969940,0.282974,82.472422,15,7,0.127338
0,48,486,0.973948,0.434053,82.623501,13,4,0.195324
0,49,491,0.983968,1.000000,83.189448,8,3,0.450000
0,50,493,0.987976,0.000000,83.189448,6,3,0.000000
0,51,481,0.963928,0.000000,81.671463,18,8,0.000000
0,52,486,0.973948,0.000000,82.741007,13,9,0.000000
0,53,487,0.975952,0.000000,81.057554,12,7,0.000000
0,54,488,0.977956,-0.000000,82.189448,11,8,0.000000
0,55,487,0.975952,0.434053,82.189448,12,8,0.195324
0,56,483,0.967936,0.000000,80.189448,16,9,0.000000
0,57,485,0.971944,0.345324,82.028777,14,5,0.155396
0,58,486,0.973948,0.000000,81.671463,13,6,0.000000
0,59,487,0.975952,0.148681,82.052758,12,8,0.066906
0,60,474,0.949900,0.270983,81.894484,25,11,0.121942
0,61,485,0.971944,0.434053,82.306954,14,9,0.195324
0,62,489,0.979960,0.000000,82.189448,10,2,0.000000
0,63,485,0.971944,0.000000,81.906475,14,8,0.000000
0,64,484,0.969940,0.000000,81.954436,15,9,0.000000
0,65,494,0.989980,1.000000,83.189448,5,2,0.450000
0,66,480,0.961924,1.000000,83.189448,19,9,0.450000
0,67,478,0.957916,0.434053,82.093525,21,10,0.195324
0,68,487,0.975952,-0.000000,81.189448,12,6,0.000000
0,69,489,0.979960,0.666667,82.856115,10,5,0.300000
0,70,482,0.965932,0.000000,81.731415,17,9,0.000000
0,71,481,0.963928,0.000000,81.671463,18,10,0.000000
0,72,483,0.967936,0.000000,81.189448,16,12,0.000000
0,73,489,0.979960,-0.000000,82.189448,10,7,0.000000
0,74,493,0.987976,0.000000,82.189448,6,3,0.000000
0,75,488,0.977956,0.565947,82.321343,11,4,0.254676
0,76,484,0.969940,0.000000,81.189448,15,6,0.000000
0,77,490,0.981964,0.434053,82.623501,9,3,0.195324
0,78,480,0.961924,0.529976,82.273381,19,10,0.238489
0,79,490,0.981964,0.282974,82.306954,9,3,0.127338
0,80,485,0.971944,0.434053,82.069544,14,9,0.195324
0,81,488,0.977956,-0.000000,81.189448,11,7,0.000000
0,82,477,0.955912,-0.000000,81.460432,22,11,0.000000
0,83,477,0.955912,0.000000,81.755396,22,14,0.000000
0,84,481,0.963928,0.000000,81.906475,18,13,0.000000
0,85,489,0.979960,0.434053,82.189448,10,4,0.195324
0,86,493,0.987976,1.000000,83.189448,6,1,0.450000
0,87,484,0.969940,0.000000,82.189448,15,8,0.000000
0,88,485,0.971944,0.000000,80.189448,14,6,0.000000
0,89,480,0.961924,0.000000,81.788969,19,6,0.000000
0,90,484,0.969940,-0.000000,82.189448,15,7,0.000000
0,91,483,0.967936,0.000000,81.472422,16,8,0.000000
0,92,478,0.957916,0.000000,81.956835,21,13,0.000000
0,93,493,0.987976,0.000000,81.189448,6,3,0.000000
0,94,482,0.965932,0.666667,82.237410,17,7,0.300000
0,95,486,0.973948,-0.000000,81.189448,13,5,0.000000
0,96,483,0.967936,0.551559,82.458034,16,8,0.248201
0,97,485,0.971944,0.309353,81.832134,14,5,0.139209
0,98,485,0.971944,0.000000,82.189448,14,4,0.000000
0,99,485,0.971944,0.000000,81.189448,14,9,0.000000
0,100,485,0.971944,-0.000000,81.637890,14,6,0.000000
0,101,488,0.977956,0.357314,81.959233,11,7,0.160791
0,102,489,0.979960,1.000000,83.189448,10,3,0.450000
0,103,491,0.983968,0.014388,82.623501,8,3,0.006475
0,104,485,0.971944,0.309353,82.314149,14,11,0.139209
0,105,489,0.979960,0.000000,83.189448,10,3,0.000000
0,106,477,0.955912,-0.000000,80.472422,22,9,0.000000
0,107,477,0.955912,0.124700,81.944844,22,12,0.056115
0,108,478,0.957916,0.729017,82.376499,21,8,0.328058
0,109,480,0.961924,0.000000,80.769784,19,10,0.000000
0,110,486,0.973948,0.565947,82.321343,13,7,0.254676
0,111,483,0.967936,0.000000,81.189448,16,8,0.000000
0,112,490,0.981964,0.000000,82.623501,9,3,0.000000
0,113,492,0.985972,1.000000,83.189448,7,4,0.450000
0,114,485,0.971944,0.000000,81.743405,14,6,0.000000
0,115,491,0.983968,0.000000,82.189448,8,4,0.000000
0,116,487,0.975952,0.000000,81.755396,12,4,0.000000
0,117,482,0.965932,0.282974,82.038369,17,9,0.127338
0,118,486,0.973948,0.000000,81.189448,13,7,0.000000
0,119,482,0.965932,0.000000,81.647482,17,10,0.000000
0,120,489,0.979960,0.000000,83.189448,10,5,0.000000
0,121,484,0.969940,0.000000,81.788969,15,7,0.000000
0,122,486,0.973948,-0.000000,80.189448,13,8,0.000000
0,123,487,0.975952,0.000000,81.637890,12,5,0.000000
0,124,489,0.979960,-0.000000,81.189448,10,7,0.000000
0,125,488,0.977956,0.282974,82.023981,11,5,0.127338
0,126,491,0.983968,1.000000,83.189448,8,4,0.450000
0,127,482,0.965932,0.000000,81.695444,17,12,0.000000
0,128,485,0.971944,0.000000,81.522782,14,8,0.000000
0,129,483,0.967936,0.434053,82.057554,16,9,0.195324
0,130,483,0.967936,0.333333,81.671463,16,11,0.150000
0,131,486,0.973948,0.000000,82.189448,13,3,0.000000
0,132,486,0.973948,0.000000,81.189448,13,8,0.000000
0,133,480,0.961924,0.541966,82.707434,19,9,0.243885
0,134,481,0.963928,0.000000,81.788969,18,7,0.000000
0,135,489,0.979960,0.666667,82.832134,10,4,0.300000
0,136,488,0.977956,0.448441,82.086331,11,6,0.201799
0,137,484,0.969940,1.000000,82.623501,15,5,1.000000
0,138,484,0.969940,0.000000,82.189448,15,5,0.000000
0,139,487,0.975952,-0.000000,81.623501,12,6,0.000000
0,140,494,0.989980,0.000000,83.189448,5,2,0.000000
0,141,486,0.973948,0.000000,81.189448,13,7,0.000000
0,142,487,0.975952,-0.000000,81.755396,12,6,0.000000
0,143,486,0.973948,0.000000,81.424460,13,7,0.000000
0,144,483,0.967936,0.000000,81.623501,16,9,0.000000
0,145,486,0.973948,0.000000,82.189448,13,9,0.000000
0,146,485,0.971944,0.000000,81.189448,14,9,0.000000
0,147,476,0.953908,0.000000,81.755396,23,12,0.000000
0,148,488,0.977956,1.000000,83.189448,11,7,0.450000
0,149,482,0.965932,1.000000,83.189448,17,7,0.450000
0,150,478,0.957916,0.599520,82.388489,21,9,0.269784
0,151,483,0.967936,-0.000000,83.026379,16,6,0.000000
0,152,484,0.969940,0.117506,82.741007,15,7,0.052878
0,153,484,0.969940,0.000000,81.731415,15,6,0.000000
0,154,483,0.967936,0.434053,82.069544,16,8,0.195324
0,155,484,0.969940,0.268585,81.726619,15,8,0.120863
0,156,488,0.977956,0.014388,81.486811,11,8,0.006475
0,157,479,0.959920,0.000000,81.340528,20,13,0.000000
0,158,487,0.975952,-0.000000,80.920863,12,6,0.000000
0,159,488,0.977956,-0.000000,81.856115,11,4,0.000000
0,160,484,0.969940,0.270983,81.731415,15,6,0.121942
0,161,486,0.973948,0.000000,82.340528,13,5,0.000000
0,162,487,0.975952,1.000000,83.189448,12,6,0.450000
0,163,484,0.969940,0.000000,81.086331,15,9,0.000000
0,164,482,0.965932,0.000000,82.189448,17,6,0.000000
0,165,482,0.965932,0.000000,81.314149,17,8,0.000000
0,166,483,0.967936,0.000000,82.189448,16,9,0.000000
0,167,483,0.967936,0.011990,81.671463,16,9,0.005396
0,168,485,0.971944,-0.000000,82.189448,14,5,0.000000
0,169,483,0.967936,0.270983,81.460432,16,6,0.121942
0,170,490,0.981964,0.976019,83.165468,9,2,0.439209
0,171,488,0.977956,0.000000,82.189448,11,7,0.000000
0,172,488,0.977956,0.000000,81.189448,11,4,0.000000
0,173,480,0.961924,0.184652,81.558753,19,12,0.083094
0,174,490,0.981964,-0.000000,82.189448,9,3,0.000000
0,175,485,0.971944,0.434053,82.057554,14,8,0.195324
0,176,490,0.981964,1.000000,83.189448,9,4,0.450000
0,177,484,0.969940,0.165468,82.354916,15,7,0.074460
0,178,487,0.975952,-0.000000,81.755396,12,5,0.000000
0,179,484,0.969940,0.000000,81.189448,15,10,0.000000
0,180,487,0.975952,0.282974,81.832134,12,6,0.127338
0,181,484,0.969940,-0.000000,81.177458,15,7,0.000000
0,182,489,0.979960,0.011990,81.930456,10,6,0.005396
0,183,487,0.975952,-0.000000,81.561151,12,6,0.000000
0,184,485,0.971944,0.023981,81.671463,14,4,0.010791
0,185,483,0.967936,-0.000000,81.189448,16,6,0.000000
0,186,481,0.963928,-0.000000,81.671463,18,10,0.000000
0,187,482,0.965932,0.565947,82.321343,17,7,0.254676
0,188,486,0.973948,0.000000,81.189448,13,6,0.000000
0,189,485,0.971944,0.000000,82.623501,14,8,0.000000
0,190,482,0.965932,0.000000,81.906475,17,11,0.000000
0,191,476,0.953908,0.345324,82.088729,23,13,0.155396
0,192,489,0.979960,0.000000,82.623501,10,6,0.000000
0,193,484,0.969940,0.000000,81.189448,15,5,0.000000
0,194,477,0.955912,0.023981,81.338129,22,9,0.010791
0,195,486,0.973948,0.000000,81.623501,13,8,0.000000
0,196,488,0.977956,0.000000,82.213429,11,5,0.000000
0,197,486,0.973948,-0.000000,81.362110,13,10,0.000000
0,198,493,0.987976,0.717026,82.623501,6,4,0.322662
0,199,491,0.983968,-0.000000,81.623501,8,3,0.000000
0,200,475,0.951904,-0.000000,81.894484,24,12,0.000000
0,201,486,0.973948,-0.000000,81.623501,13,6,0.000000
0,202,490,0.981964,1.000000,83.189448,9,1,0.450000
0,203,479,0.959920,-0.000000,81.623501,20,11,0.000000
0,204,493,0.987976,1.000000,83.189448,6,4,0.450000
0,205,486,0.973948,0.434053,82.081535,13,7,0.195324
0,206,481,0.963928,0.000000,81.755396,18,10,0.000000
0,207,485,0.971944,0.000000,80.755396,14,8,0.000000
0,208,482,0.965932,0.000000,81.189448,17,10,0.000000
0,209,481,0.963928,0.000000,80.930456,18,9,0.000000
0,210,489,0.979960,0.434053,82.755396,10,4,0.195324
0,211,478,0.957916,0.000000,81.498801,21,10,0.000000
0,212,486,0.973948,0.131894,82.321343,13,6,0.059353
0,213,483,0.967936,0.148681,82.016787,16,9,0.066906
0,214,484,0.969940,0.000000,81.880096,15,8,0.000000
0,215,492,0.985972,1.000000,83.189448,7,4,0.450000
0,216,481,0.963928,0.717026,82.635492,18,6,0.322662
0,217,484,0.969940,1.000000,83.189448,15,10,0.450000
0,218,481,0.963928,0.000000,81.906475,18,13,0.000000
0,219,476,0.953908,-0.000000,80.992806,23,13,0.000000
0,220,482,0.965932,0.000000,81.755396,17,8,0.000000
0,221,486,0.973948,0.023981,82.213429,13,4,0.010791
0,222,492,0.985972,0.599520,83.189448,7,2,0.269784
0,223,485,0.971944,0.000000,82.189448,14,4,0.000000
0,224,488,0.977956,0.000000,82.203837,11,6,0.000000
0,225,490,0.981964,0.565947,82.755396,9,3,0.254676
0,226,488,0.977956,0.434053,82.623501,11,5,0.195324
0,227,484,0.969940,0.033573,81.407674,15,8,0.015108
0,228,482,0.965932,0.000000,81.637890,17,11,0.000000
0,229,489,0.979960,-0.000000,82.189448,10,4,0.000000
0,230,487,0.975952,0.000000,81.189448,12,9,0.000000
0,231,484,0.969940,0.000000,81.189448,15,8,0.000000
0,232,484,0.969940,0.551559,82.292566,15,7,0.248201
0,233,473,0.947896,0.000000,81.755396,26,16,0.000000
0,234,480,0.961924,0.000000,81.189448,19,7,0.000000
0,235,489,0.979960,1.000000,83.189448,10,5,0.450000
0,236,485,0.971944,0.000000,82.004796,14,8,0.000000
0,237,481,0.963928,0.000000,81.026379,18,9,0.000000
0,238,481,0.963928,0.000000,81.189448,18,11,0.000000
0,239,480,0.961924,0.000000,81.486811,19,14,0.000000
0,240,481,0.963928,0.000000,81.189448,18,7,0.000000
0,241,487,0.975952,0.717026,82.894484,12,4,0.322662
0,242,486,0.973948,0.000000,81.189448,13,11,0.000000
0,243,492,0.985972,0.000000,82.189448,7,3,0.000000
0,244,489,0.979960,0.282974,81.906475,10,4,0.127338
0,245,491,0.983968,1.000000,83.189448,8,2,0.450000
0,246,488,0.977956,0.297362,82.203837,11,6,0.133813
