cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,123.484623,2942,-0.404920,0.246969,0.047415,0.349247,2.447251
1,123.222521,2943,-0.329752,0.246621,0.045726,0.058919,2.423888
2,123.108070,2944,-0.296259,0.246216,0.048207,0.069540,2.533544
3,123.018408,2945,-0.356891,0.246037,0.047384,0.071611,2.293167
4,123.006364,2946,-0.268662,0.246013,0.048620,0.052832,3.043778
5,122.895430,2947,-0.259205,0.245791,0.048791,0.061876,3.008797
6,122.760974,2948,-0.277696,0.245522,0.044239,0.058103,3.307102
7,122.714335,2949,-0.280412,0.245429,0.046159,0.059966,2.788840
8,122.603301,2950,-0.281286,0.245207,0.044336,0.050864,3.011012
9,122.550126,2951,-0.260356,0.245100,0.044291,0.055640,3.585609
10,122.500212,2952,-0.274474,0.245005,0.043934,0.060497,3.329074
11,122.465429,2953,-0.232459,0.244931,0.044900,0.058768,4.592953
12,122.446908,2954,-0.239611,0.244894,0.046028,0.041128,3.423539
13,122.400737,2955,-0.254932,0.244801,0.045437,0.059000,3.880068
14,122.331184,2956,-0.232575,0.244734,0.046722,0.061490,4.672163
15,122.259895,2957,-0.237992,0.244589,0.046303,0.069418,3.696017
16,122.181871,2958,-0.254360,0.244364,0.047415,0.046574,3.227113
17,122.139516,2959,-0.238191,0.244279,0.049223,0.050963,3.371957
18,122.104277,2960,-0.226515,0.244277,0.048169,0.067333,5.539693
19,122.096158,2961,-0.197628,0.244192,0.048429,0.028737,3.464174
20,122.042531,2962,-0.214980,0.244143,0.049188,0.047055,6.779555
21,122.003399,2963,-0.229663,0.244016,0.053929,0.222033,3.028977
22,122.000000,2964,0.000000,0.244000,0.184464,0.060499,1.831082
