iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,is_selected
0,0,489,0.489489,0.062781,47.388197,510,24,0
0,1,493,0.493493,0.022214,47.850034,506,26,0
0,2,490,0.490490,0.100737,47.121659,509,26,0
0,3,495,0.495495,0.111407,47.835841,504,27,0
0,4,491,0.491491,0.131412,48.069317,508,22,0
0,5,499,0.499499,0.030810,47.728755,500,21,0
0,6,483,0.483483,0.090590,46.460350,516,25,0
0,7,476,0.476476,0.117253,46.262546,523,34,0
0,8,480,0.480480,0.028134,45.283537,519,30,0
0,9,518,0.518519,0.113992,48.633150,481,23,0
0,10,491,0.491491,0.170440,47.201610,508,22,0
0,11,487,0.487487,0.106694,46.859629,512,22,0
0,12,489,0.489489,0.102929,47.449519,510,27,0
0,13,475,0.475475,0.044992,45.556522,524,33,0
0,14,493,0.493493,0.104954,48.116094,506,24,0
0,15,513,0.513514,0.114134,50.179389,486,22,0
0,16,531,0.531532,0.139697,50.903362,468,22,0
0,17,508,0.508509,0.092592,48.985153,491,23,0
0,18,501,0.501502,0.119446,48.887992,498,23,0
0,19,508,0.508509,0.089642,49.373538,491,22,0
0,20,491,0.491491,0.014414,47.152040,508,27,0
0,21,489,0.489489,0.149423,48.623897,510,25,0
0,22,503,0.503504,0.112164,48.625884,496,25,0
0,23,500,0.500501,0.024689,47.467934,499,23,0
0,24,489,0.489489,0.095648,47.171684,510,23,0
0,25,487,0.487487,0.090890,47.030611,512,28,0
0,26,488,0.488488,0.101182,47.221906,511,25,0
0,27,513,0.513514,0.143528,49.497316,486,21,0
0,28,486,0.486486,0.094287,46.204011,513,25,0
0,29,499,0.499499,0.112923,48.664041,500,25,0
0,30,497,0.497497,0.079894,49.074405,502,25,0
0,31,492,0.492492,0.048488,47.337779,507,29,0
0,32,498,0.498498,0.152305,48.838060,501,23,0
0,33,479,0.479479,0.057637,46.275967,520,30,0
0,34,521,0.521522,0.079810,50.834814,478,23,0
0,35,493,0.493493,0.112585,48.007577,506,26,0
0,36,488,0.488488,0.022659,46.527545,511,27,0
0,37,485,0.485485,0.092343,46.653634,514,23,0
0,38,487,0.487487,0.147007,46.438251,512,24,1
0,39,471,0.471471,0.083769,45.872955,528,40,0
0,40,495,0.495495,0.052120,47.147774,504,23,0
0,41,481,0.481481,0.087469,46.233864,518,28,0
0,42,511,0.511512,0.086578,49.162330,488,23,0
0,43,494,0.494494,0.127854,48.269630,505,26,0
0,44,492,0.492492,0.056743,46.872745,507,24,0
0,45,495,0.495495,0.118106,46.558634,504,23,0
0,46,503,0.503504,0.117135,50.029897,496,23,0
0,47,507,0.507508,0.196030,49.511266,492,22,0
0,48,493,0.493493,0.144127,47.975676,506,25,0
0,49,487,0.487487,0.187226,46.365577,512,23,0
0,50,499,0.499499,0.056881,47.838816,500,23,0
0,51,505,0.505506,0.074629,49.610150,494,23,0
0,52,470,0.470470,0.040429,45.993252,529,41,0
0,53,481,0.481481,0.056359,46.718258,518,29,0
0,54,491,0.491491,0.037013,48.371484,508,23,0
0,55,488,0.488488,0.076497,47.738160,511,31,0
0,56,495,0.495495,0.079655,49.190675,504,25,0
0,57,501,0.501502,0.076823,48.281741,498,26,0
0,58,495,0.495495,0.091906,48.498915,504,22,0
0,59,484,0.484484,0.099591,46.493871,515,30,0
