iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,489,0.489489,0.062781,47.388197,510,24,0.664165
0,1,493,0.493493,0.022214,47.850034,506,26,0.590396
0,2,490,0.490490,0.100737,47.121659,509,26,0.183186
0,3,495,0.495495,0.111407,47.835841,504,27,0.752590
0,4,491,0.491491,0.131412,48.069317,508,22,0.238968
0,5,499,0.499499,0.030810,47.728755,500,21,0.056027
0,6,483,0.483483,0.090590,46.460350,516,25,0.164734
0,7,476,0.476476,0.117253,46.262546,523,34,0.763221
0,8,480,0.480480,0.028134,45.283537,519,30,0.051161
0,9,518,0.518519,0.113992,48.633150,481,23,0.207291
0,10,491,0.491491,0.170440,47.201610,508,22,0.309940
0,11,487,0.487487,0.106694,46.859629,512,22,0.194020
0,12,489,0.489489,0.102929,47.449519,510,27,0.187173
0,13,475,0.475475,0.044992,45.556522,524,33,0.081817
0,14,493,0.493493,0.104954,48.116094,506,24,0.190855
0,15,513,0.513514,0.114134,50.179389,486,22,0.207550
0,16,531,0.531532,0.139697,50.903362,468,22,0.254034
0,17,508,0.508509,0.092592,48.985153,491,23,0.168375
0,18,501,0.501502,0.119446,48.887992,498,23,0.767208
0,19,508,0.508509,0.089642,49.373538,491,22,0.163011
0,20,491,0.491491,0.014414,47.152040,508,27,0.026211
0,21,489,0.489489,0.149423,48.623897,510,25,0.271722
0,22,503,0.503504,0.112164,48.625884,496,25,0.203966
0,23,500,0.500501,0.024689,47.467934,499,23,0.044896
0,24,489,0.489489,0.095648,47.171684,510,23,0.173933
0,25,487,0.487487,0.090890,47.030611,512,28,0.165280
0,26,488,0.488488,0.101182,47.221906,511,25,0.183996
0,27,513,0.513514,0.143528,49.497316,486,21,0.261001
0,28,486,0.486486,0.094287,46.204011,513,25,0.171457
0,29,499,0.499499,0.112923,48.664041,500,25,0.205346
0,30,497,0.497497,0.079894,49.074405,502,25,0.145284
0,31,492,0.492492,0.048488,47.337779,507,29,0.088175
0,32,498,0.498498,0.152305,48.838060,501,23,0.276962
0,33,479,0.479479,0.057637,46.275967,520,30,0.104811
0,34,521,0.521522,0.079810,50.834814,478,23,0.145131
0,35,493,0.493493,0.112585,48.007577,506,26,0.204732
0,36,488,0.488488,0.022659,46.527545,511,27,0.041204
0,37,485,0.485485,0.092343,46.653634,514,23,0.167923
0,38,487,0.487487,0.147007,46.438251,512,24,0.267328
0,39,471,0.471471,0.083769,45.872955,528,40,0.152332
0,40,495,0.495495,0.052120,47.147774,504,23,0.094778
0,41,481,0.481481,0.087469,46.233864,518,28,0.159059
0,42,511,0.511512,0.086578,49.162330,488,23,0.157439
0,43,494,0.494494,0.127854,48.269630,505,26,0.232498
0,44,492,0.492492,0.056743,46.872745,507,24,0.103185
0,45,495,0.495495,0.118106,46.558634,504,23,0.214773
0,46,503,0.503504,0.117135,50.029897,496,23,0.213007
0,47,507,0.507508,0.196030,49.511266,492,22,0.356474
0,48,493,0.493493,0.144127,47.975676,506,25,0.262091
0,49,487,0.487487,0.187226,46.365577,512,23,0.340464
0,50,499,0.499499,0.056881,47.838816,500,23,0.103436
0,51,505,0.505506,0.074629,49.610150,494,23,0.135711
0,52,470,0.470470,0.040429,45.993252,529,41,0.073519
0,53,481,0.481481,0.056359,46.718258,518,29,0.102486
0,54,491,0.491491,0.037013,48.371484,508,23,0.067308
0,55,488,0.488488,0.076497,47.738160,511,31,0.139107
0,56,495,0.495495,0.079655,49.190675,504,25,0.144849
0,57,501,0.501502,0.076823,48.281741,498,26,0.139700
0,58,495,0.495495,0.091906,48.498915,504,22,0.167128
0,59,484,0.484484,0.099591,46.493871,515,30,0.181103
0,60,468,0.468468,0.020095,45.081430,531,50,0.036543
0,61,501,0.501502,0.185003,48.669452,498,21,0.336423
0,62,490,0.490490,0.148328,47.070178,509,25,0.269729
0,63,485,0.485485,0.055814,46.142398,514,24,0.101497
0,64,499,0.499499,0.122552,47.492939,500,23,0.222857
0,65,485,0.485485,0.145197,47.151798,514,22,0.264035
0,66,511,0.511512,0.138034,49.779185,488,22,0.251010
0,67,493,0.493493,0.149937,48.224886,506,21,0.272655
0,68,486,0.486486,0.157002,46.862368,513,25,0.285503
0,69,491,0.491491,0.179523,47.452209,508,24,0.326457
0,70,501,0.501502,0.136222,49.900869,498,21,0.247715
0,71,496,0.496496,0.120666,48.003530,503,22,0.769427
0,72,509,0.509510,0.034500,47.769326,490,22,0.062737
0,73,499,0.499499,0.107134,47.704264,500,23,0.194820
0,74,507,0.507508,0.135984,48.864638,492,21,0.247283
0,75,489,0.489489,0.059587,46.398195,510,28,0.108358
0,76,476,0.476476,0.100365,46.525326,523,30,0.182511
0,77,490,0.490490,0.147557,47.860995,509,22,0.268327
0,78,508,0.508509,0.082456,48.045254,491,26,0.149944
0,79,484,0.484484,0.099172,47.442729,515,27,0.180341
0,80,486,0.486486,0.012006,47.789680,513,31,0.021832
0,81,473,0.473473,0.072037,45.924562,526,33,0.130996
0,82,490,0.490490,0.117308,47.510477,509,23,0.213322
0,83,500,0.500501,0.068520,48.915716,499,22,0.124601
0,84,464,0.464464,0.059837,44.349442,535,49,0.108811
0,85,519,0.519520,0.160102,50.411140,480,21,0.291140
0,86,501,0.501502,0.076168,48.083918,498,23,0.138510
0,87,499,0.499499,0.106679,48.360394,500,22,0.193992
0,88,490,0.490490,0.045877,47.174572,509,26,0.083425
0,89,490,0.490490,0.070887,47.251756,509,23,0.128906
0,90,492,0.492492,0.208160,48.667457,507,24,0.378532
0,91,508,0.508509,0.091889,49.314499,491,21,0.167097
0,92,508,0.508509,0.083682,48.677619,491,24,0.152174
0,93,470,0.470470,0.052289,46.439700,529,46,0.095086
0,94,493,0.493493,0.075291,46.979181,506,26,0.136914
0,95,486,0.486486,0.057876,46.542176,513,25,0.105246
0,96,476,0.476476,0.081008,47.380614,523,34,0.147311
0,97,492,0.492492,0.166942,47.207519,507,27,0.303578
0,98,483,0.483483,0.118316,46.645187,516,27,0.215153
