iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,252,0.509091,0.000000,49.000000,243,11,0.000000
0,1,252,0.509091,-0.000000,49.000000,243,13,0.000000
0,2,52,0.105051,-0.000000,0.000000,443,20,0.000000
0,3,52,0.105051,-0.000000,0.000000,443,21,0.000000
0,4,53,0.107071,-0.000000,1.000000,442,18,0.000000
0,5,54,0.109091,0.000000,2.000000,441,20,0.000000
0,6,55,0.111111,0.000000,3.000000,440,20,0.000000
0,7,56,0.113131,0.000000,4.000000,439,18,0.000000
0,8,57,0.115152,0.000000,5.000000,438,21,0.000000
0,9,58,0.117172,0.000000,6.000000,437,19,0.000000
0,10,101,0.204040,0.000000,40.000000,394,15,0.000000
0,11,101,0.204040,0.000000,40.000000,394,19,0.000000
0,12,102,0.206061,-0.000000,40.000000,393,15,0.000000
0,13,102,0.206061,0.000000,40.000000,393,15,0.000000
0,14,101,0.204040,0.000000,40.000000,394,18,0.000000
0,15,101,0.204040,0.000000,40.000000,394,17,0.000000
0,16,252,0.509091,1.000000,64.000000,243,8,1.000000
0,17,215,0.434343,1.000000,64.000000,280,10,0.450000
0,18,216,0.436364,1.000000,64.000000,279,9,0.450000
0,19,217,0.438384,1.000000,64.000000,278,9,0.450000
0,20,218,0.440404,1.000000,64.000000,277,10,0.450000
0,21,219,0.442424,1.000000,64.000000,276,6,0.450000
0,22,220,0.444444,1.000000,64.000000,275,9,0.450000
0,23,221,0.446465,1.000000,64.000000,274,6,0.450000
0,24,222,0.448485,1.000000,64.000000,273,7,0.450000
0,25,223,0.450505,1.000000,64.000000,272,11,0.450000
0,26,224,0.452525,1.000000,64.000000,271,8,0.450000
0,27,224,0.452525,1.000000,64.000000,271,8,0.450000
0,28,224,0.452525,1.000000,64.000000,271,4,0.450000
0,29,224,0.452525,1.000000,64.000000,271,9,0.450000
0,30,224,0.452525,1.000000,64.000000,271,6,0.450000
0,31,224,0.452525,1.000000,64.000000,271,7,0.450000
0,32,133,0.268687,0.000000,42.000000,362,20,0.000000
0,33,0,0.000000,0.000000,0.000000,495,751,0.000000
0,34,0,0.000000,0.000000,0.000000,495,751,0.000000
0,35,0,0.000000,0.000000,0.000000,495,751,0.000000
0,36,0,0.000000,0.000000,0.000000,495,751,0.000000
0,37,130,0.262626,1.000000,64.000000,365,17,0.450000
0,38,0,0.000000,0.000000,0.000000,495,751,0.000000
0,39,0,0.000000,0.000000,0.000000,495,751,0.000000
0,40,0,0.000000,0.000000,0.000000,495,751,0.000000
0,41,0,0.000000,0.000000,0.000000,495,751,0.000000
0,42,101,0.204040,-0.000000,42.000000,394,21,0.000000
0,43,89,0.179798,1.000000,64.000000,406,16,0.450000
0,44,103,0.208081,-0.000000,42.000000,392,21,0.000000
0,45,108,0.218182,1.000000,64.000000,387,17,0.450000
0,46,109,0.220202,-0.000000,42.000000,386,21,0.000000
0,47,0,0.000000,0.000000,0.000000,495,751,0.000000
0,48,0,0.000000,0.000000,0.000000,495,751,0.000000
0,49,117,0.236364,1.000000,64.000000,378,12,0.450000
0,50,0,0.000000,0.000000,0.000000,495,751,0.000000
0,51,0,0.000000,0.000000,0.000000,495,751,0.000000
0,52,0,0.000000,0.000000,0.000000,495,751,0.000000
0,53,0,0.000000,0.000000,0.000000,495,751,0.000000
0,54,188,0.379798,1.000000,64.000000,307,9,0.450000
0,55,0,0.000000,0.000000,0.000000,495,751,0.000000
0,56,0,0.000000,0.000000,0.000000,495,751,0.000000
0,57,0,0.000000,0.000000,0.000000,495,751,0.000000
0,58,119,0.240404,-0.000000,44.000000,376,21,0.000000
0,59,0,0.000000,0.000000,0.000000,495,751,0.000000
0,60,0,0.000000,0.000000,0.000000,495,751,0.000000
0,61,105,0.212121,-0.000000,42.000000,390,21,0.000000
0,62,109,0.220202,1.000000,64.000000,386,19,0.450000
0,63,28,0.056566,-0.000000,1.000000,467,21,0.000000
0,64,0,0.000000,0.000000,0.000000,495,751,0.000000
0,65,105,0.212121,0.000000,42.000000,390,21,0.000000
0,66,118,0.238384,-0.000000,58.000000,377,21,0.000000
0,67,0,0.000000,0.000000,0.000000,495,751,0.000000
0,68,0,0.000000,0.000000,0.000000,495,751,0.000000
0,69,0,0.000000,0.000000,0.000000,495,751,0.000000
0,70,0,0.000000,0.000000,0.000000,495,751,0.000000
0,71,0,0.000000,0.000000,0.000000,495,751,0.000000
0,72,0,0.000000,0.000000,0.000000,495,751,0.000000
0,73,188,0.379798,1.000000,64.000000,307,15,0.450000
0,74,0,0.000000,0.000000,0.000000,495,751,0.000000
0,75,47,0.094949,0.000000,33.000000,448,21,0.000000
0,76,89,0.179798,1.000000,64.000000,406,15,0.450000
0,77,67,0.135354,0.000000,53.000000,428,21,0.000000
0,78,60,0.121212,0.000000,38.000000,435,21,0.000000
0,79,60,0.121212,0.000000,38.000000,435,20,0.000000
0,80,55,0.111111,0.000000,38.000000,440,128,0.000000
0,81,60,0.121212,-0.000000,42.000000,435,55,0.000000
0,82,60,0.121212,0.000000,42.000000,435,55,0.000000
0,83,51,0.103030,0.000000,42.000000,444,244,0.000000
0,84,52,0.105051,0.000000,44.000000,443,235,0.000000
0,85,43,0.086869,0.000000,32.000000,452,298,0.000000
0,86,63,0.127273,-0.000000,53.000000,432,38,0.000000
0,87,67,0.135354,1.000000,64.000000,428,16,0.450000
0,88,63,0.127273,0.000000,56.000000,432,54,0.000000
0,89,229,0.462626,1.000000,64.000000,266,9,0.450000
0,90,228,0.460606,1.000000,64.000000,267,9,0.450000
0,91,227,0.458586,1.000000,64.000000,268,7,0.450000
0,92,226,0.456566,1.000000,64.000000,269,10,0.450000
0,93,225,0.454545,1.000000,64.000000,270,8,0.450000
0,94,224,0.452525,1.000000,64.000000,271,5,0.450000
0,95,223,0.450505,1.000000,64.000000,272,6,0.450000
0,96,223,0.450505,1.000000,64.000000,272,8,0.450000
0,97,67,0.135354,0.000000,15.000000,428,21,0.000000
0,98,66,0.133333,0.000000,14.000000,429,19,0.000000
0,99,65,0.131313,0.000000,13.000000,430,16,0.000000
0,100,64,0.129293,0.000000,12.000000,431,17,0.000000
0,101,63,0.127273,0.000000,11.000000,432,20,0.000000
0,102,62,0.125253,0.000000,10.000000,433,19,0.000000
0,103,61,0.123232,0.000000,9.000000,434,21,0.000000
0,104,60,0.121212,0.000000,8.000000,435,21,0.000000
0,105,59,0.119192,0.000000,7.000000,436,21,0.000000
0,106,223,0.450505,1.000000,64.000000,272,11,0.450000
0,107,223,0.450505,1.000000,64.000000,272,8,0.450000
0,108,0,0.000000,0.000000,0.000000,495,751,0.000000
0,109,223,0.450505,1.000000,64.000000,272,5,0.450000
0,110,0,0.000000,0.000000,0.000000,495,751,0.000000
0,111,0,0.000000,0.000000,0.000000,495,751,0.000000
0,112,223,0.450505,1.000000,64.000000,272,8,0.450000
0,113,223,0.450505,1.000000,64.000000,272,9,0.450000
0,114,0,0.000000,0.000000,0.000000,495,751,0.000000
0,115,223,0.450505,1.000000,64.000000,272,8,0.450000
