iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,346,0.816038,-0.000000,14.000000,78,15,0.000000
0,1,346,0.816038,-0.000000,14.000000,78,13,0.000000
0,2,52,0.122642,-0.000000,0.000000,372,13,0.000000
0,3,52,0.122642,-0.000000,0.000000,372,19,0.000000
0,4,54,0.127358,-0.000000,0.000000,370,18,0.000000
0,5,56,0.132075,-0.000000,0.000000,368,17,0.000000
0,6,58,0.136792,0.000000,0.000000,366,17,0.000000
0,7,60,0.141509,-0.000000,0.000000,364,18,0.000000
0,8,62,0.146226,-0.000000,-0.000000,362,16,0.000000
0,9,64,0.150943,-0.000000,-0.000000,360,19,0.000000
0,10,70,0.165094,-0.000000,6.000000,354,15,0.000000
0,11,72,0.169811,-0.000000,6.000000,352,17,0.000000
0,12,73,0.172170,-0.000000,6.000000,351,18,0.000000
0,13,75,0.176887,-0.000000,6.000000,349,17,0.000000
0,14,62,0.146226,0.000000,6.000000,362,14,0.000000
0,15,76,0.179245,0.000000,6.000000,348,16,0.000000
0,16,346,0.816038,1.000000,29.000000,78,13,1.000000
0,17,309,0.728774,1.000000,29.000000,115,15,0.450000
0,18,310,0.731132,1.000000,29.000000,114,17,0.450000
0,19,311,0.733491,1.000000,29.000000,113,16,0.450000
0,20,312,0.735849,1.000000,29.000000,112,18,0.450000
0,21,313,0.738208,1.000000,29.000000,111,13,0.450000
0,22,314,0.740566,1.000000,29.000000,110,15,0.450000
0,23,315,0.742925,1.000000,29.000000,109,15,0.450000
0,24,316,0.745283,1.000000,29.000000,108,15,0.450000
0,25,317,0.747642,1.000000,29.000000,107,11,0.450000
0,26,318,0.750000,1.000000,29.000000,106,12,0.450000
0,27,318,0.750000,1.000000,29.000000,106,14,0.450000
0,28,318,0.750000,1.000000,29.000000,106,15,0.450000
0,29,318,0.750000,1.000000,29.000000,106,13,0.450000
0,30,318,0.750000,1.000000,29.000000,106,14,0.450000
0,31,318,0.750000,1.000000,29.000000,106,15,0.450000
0,32,157,0.370283,-0.000000,18.000000,267,21,0.000000
0,33,0,0.000000,0.000000,0.000000,424,525,0.000000
0,34,0,0.000000,0.000000,0.000000,424,525,0.000000
0,35,0,0.000000,0.000000,0.000000,424,525,0.000000
0,36,0,0.000000,0.000000,0.000000,424,525,0.000000
0,37,149,0.351415,1.000000,29.000000,275,21,0.450000
0,38,0,0.000000,0.000000,0.000000,424,525,0.000000
0,39,0,0.000000,0.000000,0.000000,424,525,0.000000
0,40,0,0.000000,0.000000,0.000000,424,525,0.000000
0,41,0,0.000000,0.000000,0.000000,424,525,0.000000
0,42,86,0.202830,0.000000,18.000000,338,20,0.000000
0,43,71,0.167453,1.000000,29.000000,353,21,0.450000
0,44,108,0.254717,-0.000000,18.000000,316,21,0.000000
0,45,0,0.000000,0.000000,0.000000,424,525,0.000000
0,46,0,0.000000,0.000000,0.000000,424,525,0.000000
0,47,0,0.000000,0.000000,0.000000,424,525,0.000000
0,48,0,0.000000,0.000000,0.000000,424,525,0.000000
0,49,28,0.066038,0.000000,1.000000,396,21,0.000000
0,50,0,0.000000,0.000000,0.000000,424,525,0.000000
0,51,128,0.301887,0.000000,23.000000,296,21,0.000000
0,52,0,0.000000,0.000000,0.000000,424,525,0.000000
0,53,0,0.000000,0.000000,0.000000,424,525,0.000000
0,54,0,0.000000,0.000000,0.000000,424,525,0.000000
0,55,32,0.075472,0.000000,18.000000,392,21,0.000000
0,56,72,0.169811,1.000000,29.000000,352,21,0.450000
0,57,37,0.087264,0.000000,20.000000,387,21,0.000000
0,58,43,0.101415,0.000000,18.000000,381,21,0.000000
0,59,43,0.101415,0.000000,18.000000,381,21,0.000000
0,60,32,0.075472,0.000000,18.000000,392,21,0.000000
0,61,31,0.073113,-0.000000,18.000000,393,28,0.000000
0,62,31,0.073113,0.000000,18.000000,393,28,0.000000
0,63,26,0.061321,0.000000,18.000000,398,132,0.000000
0,64,28,0.066038,0.000000,19.000000,396,21,0.000000
0,65,28,0.066038,0.000000,18.000000,396,89,0.000000
0,66,30,0.070755,-0.000000,20.000000,394,48,0.000000
0,67,32,0.075472,1.000000,29.000000,392,21,0.450000
0,68,29,0.068396,0.000000,22.000000,395,69,0.000000
0,69,29,0.068396,0.000000,16.000000,395,203,0.000000
0,70,28,0.066038,0.000000,16.000000,396,214,0.000000
0,71,27,0.063679,0.000000,16.000000,397,222,0.000000
0,72,26,0.061321,0.000000,16.000000,398,231,0.000000
0,73,25,0.058962,0.000000,16.000000,399,243,0.000000
0,74,24,0.056604,0.000000,16.000000,400,251,0.000000
0,75,23,0.054245,0.000000,16.000000,401,262,0.000000
0,76,22,0.051887,0.000000,16.000000,402,268,0.000000
0,77,67,0.158019,0.000000,15.000000,357,19,0.000000
0,78,66,0.155660,-0.000000,14.000000,358,21,0.000000
0,79,65,0.153302,0.000000,13.000000,359,18,0.000000
0,80,64,0.150943,0.000000,12.000000,360,16,0.000000
0,81,63,0.148585,-0.000000,11.000000,361,21,0.000000
0,82,62,0.146226,-0.000000,10.000000,362,15,0.000000
0,83,61,0.143868,-0.000000,9.000000,363,20,0.000000
0,84,60,0.141509,0.000000,8.000000,364,19,0.000000
0,85,59,0.139151,-0.000000,7.000000,365,18,0.000000
0,86,21,0.049528,0.000000,16.000000,403,274,0.000000
0,87,21,0.049528,0.000000,16.000000,403,274,0.000000
0,88,295,0.695755,1.000000,29.000000,129,16,0.450000
0,89,0,0.000000,0.000000,0.000000,424,525,0.000000
0,90,21,0.049528,0.000000,17.000000,403,249,0.000000
0,91,24,0.056604,-0.000000,18.000000,400,21,0.000000
0,92,21,0.049528,0.000000,17.000000,403,236,0.000000
0,93,21,0.049528,0.000000,17.000000,403,236,0.000000
0,94,272,0.641509,1.000000,29.000000,152,20,0.450000
0,95,21,0.049528,0.000000,18.000000,403,237,0.000000
0,96,24,0.056604,0.000000,18.000000,400,21,0.000000
0,97,26,0.061321,0.000000,18.000000,398,21,0.000000
0,98,23,0.054245,0.000000,18.000000,401,195,0.000000
0,99,47,0.110849,0.000000,18.000000,377,21,0.000000
0,100,25,0.058962,0.000000,18.000000,399,158,0.000000
0,101,29,0.068396,-0.000000,18.000000,395,21,0.000000
0,102,29,0.068396,0.000000,18.000000,395,21,0.000000
0,103,44,0.103774,0.000000,18.000000,380,21,0.000000
0,104,25,0.058962,0.000000,18.000000,399,153,0.000000
0,105,0,0.000000,0.000000,0.000000,424,525,0.000000
0,106,0,0.000000,0.000000,0.000000,424,525,0.000000
0,107,32,0.075472,0.000000,18.000000,392,21,0.000000
0,108,29,0.068396,0.000000,18.000000,395,21,0.000000
0,109,27,0.063679,0.000000,18.000000,397,111,0.000000
0,110,40,0.094340,-0.000000,18.000000,384,21,0.000000
0,111,28,0.066038,0.000000,18.000000,396,90,0.000000
0,112,38,0.089623,0.000000,18.000000,386,21,0.000000
0,113,28,0.066038,0.000000,18.000000,396,90,0.000000
0,114,27,0.063679,0.000000,18.000000,397,111,0.000000
0,115,27,0.063679,0.000000,18.000000,397,111,0.000000
0,116,27,0.063679,0.000000,18.000000,397,111,0.000000
0,117,0,0.000000,0.000000,0.000000,424,525,0.000000
0,118,0,0.000000,0.000000,0.000000,424,525,0.000000
0,119,27,0.063679,0.000000,18.000000,397,111,0.000000
0,120,30,0.070755,0.000000,18.000000,394,48,0.000000
0,121,0,0.000000,0.000000,0.000000,424,525,0.000000
0,122,32,0.075472,-0.000000,18.000000,392,21,0.000000
0,123,32,0.075472,-0.000000,18.000000,392,21,0.000000
0,124,31,0.073113,0.000000,18.000000,393,27,0.000000
0,125,26,0.061321,0.000000,1.000000,398,96,0.000000
0,126,0,0.000000,0.000000,0.000000,424,525,0.000000
0,127,31,0.073113,0.000000,18.000000,393,21,0.000000
0,128,22,0.051887,0.000000,18.000000,402,216,0.000000
0,129,23,0.054245,-0.000000,18.000000,401,21,0.000000
0,130,22,0.051887,0.000000,18.000000,402,216,0.000000
0,131,22,0.051887,0.000000,18.000000,402,216,0.000000
0,132,22,0.051887,0.000000,18.000000,402,21,0.000000
0,133,21,0.049528,0.000000,18.000000,403,237,0.000000
0,134,21,0.049528,0.000000,18.000000,403,237,0.000000
0,135,22,0.051887,0.000000,18.000000,402,216,0.000000
0,136,22,0.051887,0.000000,18.000000,402,21,0.000000
0,137,22,0.051887,0.000000,18.000000,402,216,0.000000
0,138,102,0.240566,0.000000,18.000000,322,21,0.000000
0,139,0,0.000000,0.000000,0.000000,424,525,0.000000
0,140,23,0.054245,0.000000,18.000000,401,195,0.000000
0,141,23,0.054245,0.000000,18.000000,401,195,0.000000
0,142,24,0.056604,0.000000,18.000000,400,174,0.000000
0,143,24,0.056604,0.000000,18.000000,400,21,0.000000
0,144,23,0.054245,0.000000,18.000000,401,195,0.000000
0,145,23,0.054245,0.000000,18.000000,401,195,0.000000
0,146,24,0.056604,0.000000,18.000000,400,174,0.000000
0,147,24,0.056604,0.000000,18.000000,400,21,0.000000
0,148,23,0.054245,0.000000,18.000000,401,195,0.000000
0,149,23,0.054245,0.000000,18.000000,401,195,0.000000
0,150,0,0.000000,0.000000,0.000000,424,525,0.000000
0,151,23,0.054245,0.000000,18.000000,401,195,0.000000
0,152,24,0.056604,0.000000,18.000000,400,174,0.000000
0,153,24,0.056604,0.000000,18.000000,400,21,0.000000
0,154,23,0.054245,0.000000,18.000000,401,195,0.000000
0,155,22,0.051887,0.000000,18.000000,402,216,0.000000
0,156,23,0.054245,0.000000,18.000000,401,195,0.000000
0,157,0,0.000000,0.000000,0.000000,424,525,0.000000
0,158,24,0.056604,0.000000,18.000000,400,175,0.000000
0,159,24,0.056604,0.000000,18.000000,400,175,0.000000
0,160,56,0.132075,0.000000,18.000000,368,21,0.000000
0,161,27,0.063679,0.000000,18.000000,397,112,0.000000
0,162,28,0.066038,0.000000,18.000000,396,21,0.000000
0,163,57,0.134434,0.000000,18.000000,367,21,0.000000
0,164,27,0.063679,0.000000,18.000000,397,112,0.000000
0,165,0,0.000000,0.000000,0.000000,424,525,0.000000
0,166,0,0.000000,0.000000,0.000000,424,525,0.000000
0,167,26,0.061321,0.000000,18.000000,398,133,0.000000
0,168,0,0.000000,0.000000,0.000000,424,525,0.000000
0,169,24,0.056604,0.000000,18.000000,400,175,0.000000
