iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,16,0.028571,0.000000,2.000000,544,34,0.000000
0,1,10,0.017857,0.000000,1.000000,550,34,0.000000
0,2,1,0.001786,0.000000,0.000000,559,402,0.000000
0,3,2,0.003571,0.000000,0.000000,558,368,0.000000
0,4,5,0.008929,0.000000,1.000000,555,34,0.000000
0,5,3,0.005357,0.000000,0.000000,557,337,0.000000
0,6,1,0.001786,0.000000,0.000000,559,402,0.000000
0,7,2,0.003571,0.000000,-0.000000,558,368,0.000000
0,8,1,0.001786,0.000000,0.000000,559,402,0.000000
0,9,5,0.008929,0.000000,1.000000,555,278,0.000000
0,10,8,0.014286,0.000000,-0.000000,552,34,0.000000
0,11,8,0.014286,0.000000,-0.000000,552,36,0.000000
0,12,4,0.007143,0.000000,1.000000,556,310,0.000000
0,13,1,0.001786,0.000000,0.000000,559,402,0.000000
0,14,9,0.016071,0.000000,0.000000,551,34,0.000000
0,15,1,0.001786,0.000000,0.000000,559,402,0.000000
0,16,15,0.026786,0.000000,1.000000,545,34,0.000000
0,17,1,0.001786,0.000000,0.000000,559,402,0.000000
0,18,7,0.012500,0.000000,0.000000,553,34,0.000000
0,19,1,0.001786,0.000000,0.000000,559,405,0.000000
0,20,1,0.001786,0.000000,0.000000,559,402,0.000000
0,21,1,0.001786,0.000000,0.000000,559,402,0.000000
0,22,1,0.001786,0.000000,0.000000,559,402,0.000000
0,23,2,0.003571,0.000000,0.000000,558,368,0.000000
0,24,11,0.019643,0.000000,1.000000,549,34,0.000000
0,25,2,0.003571,0.000000,0.000000,558,373,0.000000
0,26,2,0.003571,0.000000,0.000000,558,373,0.000000
0,27,2,0.003571,0.000000,2.000000,558,378,0.000000
0,28,1,0.001786,0.000000,0.000000,559,402,0.000000
0,29,5,0.008929,0.000000,0.000000,555,288,0.000000
0,30,2,0.003571,0.000000,-0.000000,558,368,0.000000
0,31,9,0.016071,0.000000,0.000000,551,131,0.000000
0,32,2,0.003571,0.000000,0.000000,558,368,0.000000
0,33,8,0.014286,0.000000,0.000000,552,166,0.000000
0,34,38,0.067857,0.000000,1.000000,522,34,0.000000
0,35,1,0.001786,0.000000,1.000000,559,406,0.000000
0,36,1,0.001786,0.000000,0.000000,559,402,0.000000
0,37,4,0.007143,0.000000,-0.000000,556,34,0.000000
0,38,2,0.003571,0.000000,0.000000,558,368,0.000000
0,39,7,0.012500,0.000000,1.000000,553,53,0.000000
0,40,1,0.001786,0.000000,0.000000,559,402,0.000000
0,41,5,0.008929,0.000000,1.000000,555,274,0.000000
0,42,1,0.001786,0.000000,0.000000,559,404,0.000000
0,43,23,0.041071,0.000000,3.000000,537,34,0.000000
0,44,1,0.001786,0.000000,0.000000,559,402,0.000000
0,45,12,0.021429,0.000000,1.000000,548,34,0.000000
0,46,1,0.001786,0.000000,0.000000,559,402,0.000000
0,47,2,0.003571,0.000000,0.000000,558,368,0.000000
0,48,18,0.032143,0.000000,-0.000000,542,34,0.000000
0,49,9,0.016071,0.000000,1.000000,551,34,0.000000
0,50,2,0.003571,0.000000,2.000000,558,379,0.000000
0,51,1,0.001786,0.000000,1.000000,559,406,0.000000
0,52,8,0.014286,-0.000000,0.000000,552,164,0.000000
0,53,2,0.003571,0.000000,0.000000,558,369,0.000000
0,54,3,0.005357,0.000000,1.000000,557,342,0.000000
0,55,1,0.001786,0.000000,0.000000,559,407,0.000000
