iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,502,0.581692,0.000000,38.000000,361,10,0.000000
0,1,502,0.581692,-0.000000,38.000000,361,11,0.000000
0,2,481,0.557358,0.000000,38.000000,382,12,0.000000
0,3,223,0.258401,-0.000000,-0.000000,640,22,0.000000
0,4,224,0.259560,-0.000000,1.000000,639,20,0.000000
0,5,225,0.260718,0.000000,2.000000,638,18,0.000000
0,6,226,0.261877,-0.000000,3.000000,637,20,0.000000
0,7,227,0.263036,-0.000000,4.000000,636,20,0.000000
0,8,228,0.264195,0.000000,5.000000,635,18,0.000000
0,9,229,0.265353,0.000000,6.000000,634,20,0.000000
0,10,254,0.294322,0.000000,25.000000,609,19,0.000000
0,11,255,0.295481,0.000000,25.000000,608,18,0.000000
0,12,254,0.294322,-0.000000,25.000000,609,17,0.000000
0,13,253,0.293163,0.000000,25.000000,610,17,0.000000
0,14,250,0.289687,-0.000000,25.000000,613,16,0.000000
0,15,250,0.289687,-0.000000,25.000000,613,17,0.000000
0,16,502,0.581692,1.000000,53.000000,361,9,1.000000
0,17,294,0.340672,1.000000,53.000000,569,14,0.450000
0,18,295,0.341831,1.000000,53.000000,568,11,0.450000
0,19,296,0.342990,1.000000,53.000000,567,10,0.450000
0,20,297,0.344148,1.000000,53.000000,566,11,0.450000
0,21,298,0.345307,1.000000,53.000000,565,12,0.450000
0,22,299,0.346466,1.000000,53.000000,564,10,0.450000
0,23,300,0.347625,1.000000,53.000000,563,11,0.450000
0,24,301,0.348783,1.000000,53.000000,562,11,0.450000
0,25,302,0.349942,1.000000,53.000000,561,12,0.450000
0,26,307,0.355736,1.000000,53.000000,556,10,0.450000
0,27,307,0.355736,1.000000,53.000000,556,12,0.450000
0,28,307,0.355736,1.000000,53.000000,556,7,0.450000
0,29,307,0.355736,1.000000,53.000000,556,12,0.450000
0,30,307,0.355736,1.000000,53.000000,556,11,0.450000
0,31,307,0.355736,1.000000,53.000000,556,9,0.450000
0,32,47,0.054461,0.000000,33.000000,816,21,0.000000
0,33,45,0.052144,0.000000,33.000000,818,221,0.000000
0,34,0,0.000000,0.000000,0.000000,863,817,0.000000
0,35,32,0.037080,0.000000,25.000000,831,429,0.000000
0,36,42,0.048667,0.000000,36.000000,821,21,0.000000
0,37,49,0.056779,0.000000,34.000000,814,21,0.000000
0,38,42,0.048667,0.000000,1.000000,821,21,0.000000
0,39,271,0.314021,1.000000,53.000000,592,15,0.450000
0,40,205,0.237543,1.000000,53.000000,658,18,0.450000
0,41,82,0.095017,0.000000,38.000000,781,21,0.000000
0,42,119,0.137891,1.000000,53.000000,744,21,0.450000
0,43,62,0.071842,0.000000,38.000000,801,21,0.000000
0,44,50,0.057937,0.000000,38.000000,813,21,0.000000
0,45,66,0.076477,1.000000,53.000000,797,20,0.450000
0,46,35,0.040556,0.000000,25.000000,828,21,0.000000
0,47,33,0.038239,0.000000,27.000000,830,422,0.000000
0,48,34,0.039397,0.000000,28.000000,829,21,0.000000
0,49,64,0.074160,-0.000000,34.000000,799,21,0.000000
0,50,59,0.068366,0.000000,36.000000,804,21,0.000000
0,51,48,0.055620,0.000000,33.000000,815,21,0.000000
0,52,48,0.055620,-0.000000,33.000000,815,21,0.000000
0,53,276,0.319815,1.000000,53.000000,587,14,0.450000
0,54,161,0.186559,1.000000,53.000000,702,19,0.450000
0,55,164,0.190035,1.000000,53.000000,699,21,0.450000
0,56,64,0.074160,0.000000,36.000000,799,21,0.000000
0,57,64,0.074160,0.000000,36.000000,799,21,0.000000
0,58,54,0.062572,0.000000,36.000000,809,51,0.000000
0,59,59,0.068366,0.000000,36.000000,804,21,0.000000
0,60,51,0.059096,0.000000,36.000000,812,114,0.000000
0,61,45,0.052144,0.000000,38.000000,818,243,0.000000
0,62,66,0.076477,1.000000,53.000000,797,20,0.450000
0,63,58,0.067207,1.000000,53.000000,805,20,0.450000
0,64,125,0.144844,1.000000,53.000000,738,21,0.450000
0,65,48,0.055620,0.000000,38.000000,815,181,0.000000
0,66,49,0.056779,0.000000,38.000000,814,21,0.000000
0,67,62,0.071842,0.000000,35.000000,801,21,0.000000
0,68,62,0.071842,0.000000,35.000000,801,21,0.000000
0,69,53,0.061414,0.000000,35.000000,810,73,0.000000
0,70,64,0.074160,0.000000,34.000000,799,21,0.000000
0,71,55,0.063731,-0.000000,34.000000,808,32,0.000000
0,72,309,0.358053,1.000000,53.000000,554,12,0.450000
0,73,308,0.356895,1.000000,53.000000,555,10,0.450000
0,74,307,0.355736,1.000000,53.000000,556,15,0.450000
0,75,306,0.354577,1.000000,53.000000,557,14,0.450000
0,76,305,0.353418,1.000000,53.000000,558,11,0.450000
0,77,304,0.352260,1.000000,53.000000,559,14,0.450000
0,78,303,0.351101,1.000000,53.000000,560,11,0.450000
0,79,303,0.351101,1.000000,53.000000,560,13,0.450000
0,80,238,0.275782,-0.000000,15.000000,625,19,0.000000
0,81,237,0.274623,-0.000000,14.000000,626,18,0.000000
0,82,236,0.273465,0.000000,13.000000,627,20,0.000000
0,83,235,0.272306,0.000000,12.000000,628,19,0.000000
0,84,234,0.271147,-0.000000,11.000000,629,21,0.000000
0,85,233,0.269988,-0.000000,10.000000,630,21,0.000000
0,86,232,0.268830,0.000000,9.000000,631,19,0.000000
0,87,231,0.267671,-0.000000,8.000000,632,18,0.000000
0,88,230,0.266512,0.000000,7.000000,633,21,0.000000
0,89,290,0.336037,1.000000,53.000000,573,12,0.450000
0,90,121,0.140209,0.000000,7.000000,742,21,0.000000
0,91,0,0.000000,0.000000,0.000000,863,817,0.000000
0,92,0,0.000000,0.000000,0.000000,863,817,0.000000
0,93,0,0.000000,0.000000,0.000000,863,817,0.000000
0,94,283,0.327926,1.000000,53.000000,580,11,0.450000
0,95,30,0.034762,0.000000,26.000000,833,501,0.000000
0,96,0,0.000000,0.000000,0.000000,863,817,0.000000
0,97,49,0.056779,0.000000,33.000000,814,21,0.000000
0,98,30,0.034762,0.000000,26.000000,833,501,0.000000
0,99,31,0.035921,0.000000,27.000000,832,490,0.000000
0,100,0,0.000000,0.000000,0.000000,863,817,0.000000
0,101,301,0.348783,1.000000,53.000000,562,11,0.450000
0,102,32,0.037080,0.000000,28.000000,831,469,0.000000
0,103,0,0.000000,0.000000,0.000000,863,817,0.000000
0,104,158,0.183082,1.000000,53.000000,705,21,0.450000
0,105,32,0.037080,0.000000,28.000000,831,469,0.000000
0,106,0,0.000000,0.000000,0.000000,863,817,0.000000
0,107,291,0.337196,1.000000,53.000000,572,13,0.450000
0,108,277,0.320973,1.000000,53.000000,586,13,0.450000
0,109,0,0.000000,0.000000,0.000000,863,817,0.000000
0,110,0,0.000000,0.000000,0.000000,863,817,0.000000
0,111,230,0.266512,0.000000,7.000000,633,19,0.000000
