iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,542,0.874194,1.000000,30.000000,78,13,1.000000
0,1,542,0.874194,1.000000,30.000000,78,13,0.450000
0,2,512,0.825806,1.000000,30.000000,108,12,0.450000
0,3,227,0.366129,1.000000,30.000000,393,18,0.450000
0,4,229,0.369355,1.000000,30.000000,391,20,0.450000
0,5,231,0.372581,1.000000,30.000000,389,19,0.450000
0,6,233,0.375806,1.000000,30.000000,387,17,0.450000
0,7,235,0.379032,1.000000,30.000000,385,18,0.450000
0,8,237,0.382258,1.000000,30.000000,383,16,0.450000
0,9,239,0.385484,1.000000,30.000000,381,17,0.450000
0,10,237,0.382258,1.000000,30.000000,383,19,0.450000
0,11,242,0.390323,1.000000,30.000000,378,17,0.450000
0,12,241,0.388710,1.000000,30.000000,379,19,0.450000
0,13,235,0.379032,1.000000,30.000000,385,17,0.450000
0,14,232,0.374194,1.000000,30.000000,388,16,0.450000
0,15,246,0.396774,1.000000,30.000000,374,17,0.450000
0,16,542,0.874194,-0.000000,15.000000,78,13,0.000000
0,17,330,0.532258,-0.000000,0.000000,290,18,0.000000
0,18,332,0.535484,-0.000000,0.000000,288,17,0.000000
0,19,334,0.538710,-0.000000,0.000000,286,17,0.000000
0,20,336,0.541935,-0.000000,0.000000,284,16,0.000000
0,21,338,0.545161,0.000000,0.000000,282,15,0.000000
0,22,339,0.546774,-0.000000,1.000000,281,16,0.000000
0,23,340,0.548387,-0.000000,2.000000,280,18,0.000000
0,24,341,0.550000,-0.000000,3.000000,279,15,0.000000
0,25,342,0.551613,0.000000,4.000000,278,17,0.000000
0,26,339,0.546774,-0.000000,7.000000,281,14,0.000000
0,27,339,0.546774,-0.000000,7.000000,281,18,0.000000
0,28,339,0.546774,-0.000000,7.000000,281,17,0.000000
0,29,339,0.546774,-0.000000,7.000000,281,17,0.000000
0,30,339,0.546774,-0.000000,7.000000,281,16,0.000000
0,31,339,0.546774,-0.000000,7.000000,281,15,0.000000
0,32,33,0.053226,0.000000,3.000000,587,21,0.000000
0,33,31,0.050000,0.000000,3.000000,589,47,0.000000
0,34,23,0.037097,0.000000,2.000000,597,189,0.000000
0,35,25,0.040323,0.000000,3.000000,595,21,0.000000
0,36,35,0.056452,0.000000,3.000000,585,21,0.000000
0,37,38,0.061290,0.000000,25.000000,582,21,0.000000
0,38,68,0.109677,-0.000000,3.000000,552,21,0.000000
0,39,46,0.074194,-0.000000,3.000000,574,21,0.000000
0,40,34,0.054839,0.000000,3.000000,586,21,0.000000
0,41,26,0.041935,0.000000,2.000000,594,21,0.000000
0,42,22,0.035484,0.000000,2.000000,598,210,0.000000
0,43,22,0.035484,0.000000,2.000000,598,21,0.000000
0,44,43,0.069355,-0.000000,3.000000,577,21,0.000000
0,45,33,0.053226,-0.000000,3.000000,587,21,0.000000
0,46,33,0.053226,0.000000,3.000000,587,21,0.000000
0,47,292,0.470968,-0.000000,9.000000,328,19,0.000000
0,48,48,0.077419,0.000000,3.000000,572,21,0.000000
0,49,48,0.077419,-0.000000,3.000000,572,21,0.000000
0,50,31,0.050000,0.000000,3.000000,589,47,0.000000
0,51,43,0.069355,-0.000000,3.000000,577,21,0.000000
0,52,34,0.054839,0.000000,3.000000,586,21,0.000000
0,53,27,0.043548,-0.000000,3.000000,593,21,0.000000
0,54,34,0.054839,0.000000,3.000000,586,21,0.000000
0,55,128,0.206452,0.000000,9.000000,492,21,0.000000
0,56,31,0.050000,0.000000,3.000000,589,47,0.000000
0,57,33,0.053226,-0.000000,3.000000,587,21,0.000000
0,58,45,0.072581,0.000000,3.000000,575,21,0.000000
0,59,45,0.072581,0.000000,3.000000,575,21,0.000000
0,60,31,0.050000,-0.000000,3.000000,589,47,0.000000
0,61,32,0.051613,0.000000,3.000000,588,21,0.000000
0,62,26,0.041935,0.000000,10.000000,594,232,0.000000
0,63,25,0.040323,0.000000,9.000000,595,243,0.000000
0,64,24,0.038710,0.000000,8.000000,596,253,0.000000
0,65,23,0.037097,0.000000,7.000000,597,261,0.000000
0,66,22,0.035484,0.000000,6.000000,598,269,0.000000
0,67,21,0.033871,0.000000,5.000000,599,280,0.000000
0,68,20,0.032258,0.000000,4.000000,600,287,0.000000
0,69,19,0.030645,0.000000,3.000000,601,294,0.000000
0,70,25,0.040323,0.000000,16.000000,595,223,0.000000
0,71,24,0.038710,0.000000,16.000000,596,232,0.000000
0,72,23,0.037097,0.000000,16.000000,597,240,0.000000
0,73,22,0.035484,0.000000,16.000000,598,247,0.000000
0,74,234,0.377419,1.000000,30.000000,386,13,0.450000
0,75,233,0.375806,1.000000,30.000000,387,18,0.450000
0,76,232,0.374194,1.000000,30.000000,388,16,0.450000
0,77,231,0.372581,1.000000,30.000000,389,16,0.450000
0,78,230,0.370968,1.000000,30.000000,390,15,0.450000
0,79,117,0.188710,1.000000,30.000000,503,20,0.450000
0,80,302,0.487097,-0.000000,9.000000,318,20,0.000000
0,81,21,0.033871,0.000000,3.000000,599,253,0.000000
0,82,21,0.033871,0.000000,3.000000,599,21,0.000000
0,83,20,0.032258,0.000000,3.000000,600,274,0.000000
0,84,20,0.032258,0.000000,3.000000,600,274,0.000000
0,85,21,0.033871,0.000000,3.000000,599,253,0.000000
0,86,21,0.033871,0.000000,3.000000,599,21,0.000000
0,87,20,0.032258,0.000000,3.000000,600,274,0.000000
0,88,20,0.032258,0.000000,3.000000,600,274,0.000000
0,89,293,0.472581,-0.000000,9.000000,327,20,0.000000
0,90,0,0.000000,0.000000,0.000000,620,553,0.000000
0,91,226,0.364516,1.000000,30.000000,394,17,0.450000
0,92,41,0.066129,1.000000,30.000000,579,21,0.450000
0,93,27,0.043548,0.000000,24.000000,593,107,0.000000
0,94,27,0.043548,0.000000,24.000000,593,21,0.000000
0,95,39,0.062903,1.000000,30.000000,581,21,0.450000
0,96,23,0.037097,0.000000,3.000000,597,21,0.000000
0,97,22,0.035484,0.000000,3.000000,598,233,0.000000
0,98,0,0.000000,0.000000,0.000000,620,553,0.000000
0,99,33,0.053226,0.000000,3.000000,587,21,0.000000
0,100,0,0.000000,0.000000,0.000000,620,553,0.000000
0,101,0,0.000000,0.000000,0.000000,620,553,0.000000
0,102,0,0.000000,0.000000,0.000000,620,553,0.000000
0,103,33,0.053226,0.000000,3.000000,587,21,0.000000
0,104,33,0.053226,0.000000,3.000000,587,21,0.000000
0,105,33,0.053226,-0.000000,3.000000,587,21,0.000000
0,106,32,0.051613,0.000000,3.000000,588,21,0.000000
0,107,38,0.061290,1.000000,30.000000,582,21,0.450000
0,108,28,0.045161,0.000000,26.000000,592,86,0.000000
0,109,28,0.045161,0.000000,26.000000,592,21,0.000000
0,110,36,0.058065,1.000000,30.000000,584,21,0.450000
0,111,30,0.048387,0.000000,3.000000,590,67,0.000000
0,112,0,0.000000,0.000000,0.000000,620,553,0.000000
0,113,0,0.000000,0.000000,0.000000,620,553,0.000000
0,114,0,0.000000,0.000000,0.000000,620,553,0.000000
0,115,29,0.046774,0.000000,3.000000,591,88,0.000000
0,116,0,0.000000,0.000000,0.000000,620,553,0.000000
0,117,0,0.000000,0.000000,0.000000,620,553,0.000000
0,118,36,0.058065,1.000000,30.000000,584,21,0.450000
0,119,29,0.046774,0.000000,28.000000,591,65,0.000000
0,120,29,0.046774,0.000000,28.000000,591,65,0.000000
0,121,29,0.046774,0.000000,28.000000,591,65,0.000000
0,122,31,0.050000,1.000000,30.000000,589,23,0.450000
0,123,32,0.051613,1.000000,30.000000,588,21,0.450000
0,124,31,0.050000,1.000000,30.000000,589,21,0.450000
0,125,0,0.000000,0.000000,0.000000,620,553,0.000000
0,126,31,0.050000,-0.000000,3.000000,589,20,0.000000
0,127,30,0.048387,0.000000,29.000000,590,44,0.000000
0,128,29,0.046774,0.000000,28.000000,591,65,0.000000
0,129,0,0.000000,0.000000,0.000000,620,553,0.000000
0,130,25,0.040323,0.000000,23.000000,595,149,0.000000
0,131,27,0.043548,0.000000,23.000000,593,21,0.000000
0,132,26,0.041935,0.000000,23.000000,594,128,0.000000
0,133,26,0.041935,0.000000,23.000000,594,128,0.000000
0,134,25,0.040323,0.000000,23.000000,595,149,0.000000
0,135,26,0.041935,0.000000,23.000000,594,128,0.000000
0,136,22,0.035484,0.000000,3.000000,598,235,0.000000
0,137,26,0.041935,0.000000,23.000000,594,21,0.000000
0,138,26,0.041935,0.000000,23.000000,594,128,0.000000
0,139,111,0.179032,0.000000,23.000000,509,21,0.000000
0,140,132,0.212903,0.000000,23.000000,488,21,0.000000
0,141,26,0.041935,0.000000,23.000000,594,128,0.000000
0,142,27,0.043548,0.000000,23.000000,593,107,0.000000
0,143,27,0.043548,0.000000,23.000000,593,21,0.000000
0,144,26,0.041935,0.000000,23.000000,594,128,0.000000
0,145,27,0.043548,0.000000,23.000000,593,107,0.000000
0,146,27,0.043548,0.000000,23.000000,593,21,0.000000
0,147,27,0.043548,0.000000,23.000000,593,107,0.000000
0,148,22,0.035484,0.000000,3.000000,598,235,0.000000
0,149,27,0.043548,0.000000,23.000000,593,21,0.000000
0,150,26,0.041935,0.000000,23.000000,594,128,0.000000
0,151,277,0.446774,-0.000000,9.000000,343,20,0.000000
0,152,27,0.043548,0.000000,23.000000,593,107,0.000000
0,153,27,0.043548,0.000000,23.000000,593,21,0.000000
0,154,26,0.041935,0.000000,23.000000,594,128,0.000000
0,155,27,0.043548,0.000000,23.000000,593,107,0.000000
0,156,27,0.043548,0.000000,23.000000,593,21,0.000000
0,157,26,0.041935,0.000000,23.000000,594,128,0.000000
0,158,27,0.043548,0.000000,23.000000,593,107,0.000000
0,159,27,0.043548,0.000000,23.000000,593,21,0.000000
0,160,26,0.041935,0.000000,23.000000,594,128,0.000000
0,161,27,0.043548,0.000000,23.000000,593,107,0.000000
0,162,27,0.043548,0.000000,23.000000,593,21,0.000000
0,163,26,0.041935,0.000000,23.000000,594,128,0.000000
0,164,23,0.037097,0.000000,3.000000,597,215,0.000000
0,165,26,0.041935,0.000000,23.000000,594,128,0.000000
0,166,27,0.043548,0.000000,23.000000,593,107,0.000000
0,167,27,0.043548,0.000000,23.000000,593,21,0.000000
0,168,28,0.045161,0.000000,23.000000,592,21,0.000000
0,169,27,0.043548,0.000000,23.000000,593,107,0.000000
0,170,27,0.043548,0.000000,23.000000,593,107,0.000000
