iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,1,0.012658,0.000000,0.000000,78,380,0.000000
0,1,3,0.037975,0.000000,0.000000,76,285,0.000000
0,2,15,0.189873,-0.000000,0.000000,64,49,0.000000
0,3,10,0.126582,0.000000,8.000000,69,53,0.000000
0,4,8,0.101266,-0.000000,0.000000,71,53,0.000000
0,5,9,0.113924,0.000000,1.000000,70,51,0.000000
0,6,12,0.151899,1.000000,9.000000,67,42,1.000000
0,7,2,0.025316,0.000000,1.000000,77,53,0.000000
0,8,15,0.189873,1.000000,9.000000,64,42,0.450000
0,9,6,0.075949,0.000000,0.000000,73,127,0.000000
0,10,2,0.025316,0.000000,1.000000,77,339,0.000000
0,11,1,0.012658,0.000000,0.000000,78,380,0.000000
0,12,1,0.012658,0.000000,0.000000,78,380,0.000000
0,13,10,0.126582,0.000000,0.000000,69,53,0.000000
0,14,19,0.240506,1.000000,9.000000,60,47,0.450000
0,15,7,0.088608,0.000000,1.000000,72,105,0.000000
0,16,6,0.075949,-0.000000,0.000000,73,52,0.000000
0,17,3,0.037975,0.000000,0.000000,76,280,0.000000
0,18,12,0.151899,1.000000,9.000000,67,39,0.450000
0,19,6,0.075949,0.000000,0.000000,73,53,0.000000
0,20,0,0.000000,0.000000,0.000000,79,433,0.000000
0,21,6,0.075949,0.000000,0.000000,73,53,0.000000
0,22,2,0.025316,0.000000,1.000000,77,333,0.000000
0,23,1,0.012658,0.000000,0.000000,78,380,0.000000
0,24,7,0.088608,-0.000000,0.000000,72,77,0.000000
0,25,4,0.050633,0.000000,1.000000,75,227,0.000000
0,26,7,0.088608,0.000000,0.000000,72,52,0.000000
0,27,17,0.215190,-0.000000,2.000000,62,50,0.000000
0,28,7,0.088608,-0.000000,1.000000,72,53,0.000000
0,29,3,0.037975,0.000000,0.000000,76,288,0.000000
0,30,2,0.025316,0.000000,0.000000,77,341,0.000000
0,31,1,0.012658,0.000000,0.000000,78,380,0.000000
0,32,9,0.113924,-0.000000,1.000000,70,50,0.000000
0,33,13,0.164557,1.000000,9.000000,66,36,0.450000
0,34,10,0.126582,-0.000000,1.000000,69,61,0.000000
0,35,1,0.012658,0.000000,0.000000,78,380,0.000000
0,36,36,0.455696,0.000000,4.000000,43,42,0.000000
0,37,11,0.139241,1.000000,9.000000,68,49,0.450000
0,38,6,0.075949,0.000000,0.000000,73,53,0.000000
0,39,7,0.088608,-0.000000,0.000000,72,50,0.000000
0,40,1,0.012658,0.000000,0.000000,78,380,0.000000
0,41,2,0.025316,0.000000,1.000000,77,53,0.000000
0,42,4,0.050633,0.000000,0.000000,75,53,0.000000
0,43,11,0.139241,0.000000,0.000000,68,48,0.000000
0,44,2,0.025316,0.000000,0.000000,77,345,0.000000
0,45,4,0.050633,0.000000,0.000000,75,53,0.000000
0,46,7,0.088608,0.000000,6.000000,72,137,0.000000
0,47,11,0.139241,-0.000000,3.000000,68,53,0.000000
0,48,0,0.000000,0.000000,0.000000,79,433,0.000000
0,49,9,0.113924,-0.000000,8.000000,70,58,0.000000
0,50,1,0.012658,0.000000,0.000000,78,381,0.000000
0,51,1,0.012658,0.000000,1.000000,78,384,0.000000
0,52,1,0.012658,0.000000,0.000000,78,391,0.000000
0,53,2,0.025316,0.000000,0.000000,77,331,0.000000
0,54,10,0.126582,-0.000000,1.000000,69,53,0.000000
0,55,1,0.012658,0.000000,0.000000,78,380,0.000000
0,56,16,0.202532,-0.000000,2.000000,63,52,0.000000
0,57,10,0.126582,-0.000000,1.000000,69,52,0.000000
0,58,11,0.139241,0.000000,1.000000,68,53,0.000000
0,59,2,0.025316,0.000000,0.000000,77,342,0.000000
0,60,1,0.012658,0.000000,0.000000,78,391,0.000000
0,61,1,0.012658,0.000000,0.000000,78,391,0.000000
0,62,7,0.088608,0.000000,0.000000,72,53,0.000000
0,63,3,0.037975,0.000000,0.000000,76,288,0.000000
0,64,1,0.012658,0.000000,0.000000,78,380,0.000000
0,65,13,0.164557,1.000000,9.000000,66,43,0.450000
0,66,1,0.012658,0.000000,0.000000,78,391,0.000000
0,67,11,0.139241,1.000000,9.000000,68,40,0.450000
0,68,7,0.088608,-0.000000,0.000000,72,50,0.000000
0,69,1,0.012658,0.000000,0.000000,78,391,0.000000
0,70,0,0.000000,0.000000,0.000000,79,433,0.000000
0,71,22,0.278481,1.000000,9.000000,57,41,0.450000
0,72,7,0.088608,0.000000,0.000000,72,52,0.000000
0,73,2,0.025316,0.000000,0.000000,77,340,0.000000
0,74,3,0.037975,0.000000,0.000000,76,53,0.000000
0,75,3,0.037975,0.000000,1.000000,76,79,0.000000
0,76,7,0.088608,0.000000,1.000000,72,53,0.000000
0,77,2,0.025316,0.000000,0.000000,77,338,0.000000
0,78,11,0.139241,1.000000,9.000000,68,39,0.450000
0,79,1,0.012658,0.000000,0.000000,78,380,0.000000
