cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,17.000000,448,-1.932557,0.037778,0.003306,0.103998,0.484853
1,16.920031,449,-1.559451,0.037600,0.003363,0.136760,0.292875
2,16.823115,450,-1.462604,0.037385,0.003317,0.108563,0.265675
3,16.767304,451,-1.344023,0.037261,0.003618,0.121018,0.331607
4,16.713303,452,-1.533816,0.037141,0.003418,0.080380,0.432447
5,16.679658,453,-1.216230,0.037066,0.002912,0.098336,0.448529
6,16.647908,454,-1.196148,0.036995,0.003140,0.095879,0.354691
7,16.619557,455,-1.199234,0.036932,0.003245,0.127555,0.680753
8,16.596424,456,-1.270443,0.036881,0.003261,0.087957,0.303707
9,16.582269,457,-1.054091,0.036849,0.003344,0.083771,0.415201
10,16.572464,458,-1.161049,0.036828,0.003199,0.043378,0.673786
11,16.558979,459,-1.287702,0.036798,0.003660,0.078647,0.297562
12,16.538048,460,-1.281145,0.036751,0.002989,0.115488,0.647526
13,16.517920,461,-1.552472,0.036706,0.002779,0.097039,0.293912
14,16.506225,462,-1.425451,0.036680,0.003217,0.088512,0.307966
15,16.490800,463,-1.173843,0.036646,0.003012,0.096279,0.699459
16,16.472315,464,-1.285122,0.036605,0.002970,0.101754,0.490110
17,16.451351,465,-1.112014,0.036559,0.002907,0.103607,0.511881
18,16.434202,466,-1.379923,0.036520,0.002803,0.076424,0.326436
19,16.415371,467,-1.265407,0.036479,0.002980,0.134749,0.442819
20,16.398932,468,-1.257925,0.036442,0.002862,0.098612,0.757595
21,16.384713,469,-1.190312,0.036410,0.002787,0.121545,0.703483
22,16.371329,470,-1.169290,0.036381,0.002648,0.124548,0.533998
23,16.359675,471,-1.337404,0.036355,0.002808,0.099668,0.528146
24,16.343487,472,-1.153872,0.036319,0.002876,0.095683,0.681599
25,16.332398,473,-1.211605,0.036294,0.002937,0.088934,0.333194
26,16.317833,474,-1.152179,0.036262,0.003035,0.132277,0.811125
27,16.307391,475,-1.177032,0.036239,0.003005,0.077421,0.632949
28,16.293568,476,-1.296373,0.036208,0.003012,0.089708,0.749679
29,16.280218,477,-1.179966,0.036178,0.002723,0.118194,0.319246
30,16.271121,478,-1.199140,0.036158,0.002753,0.090140,0.325309
31,16.259108,479,-1.055799,0.036131,0.002717,0.088367,0.785392
32,16.246814,480,-1.241177,0.036104,0.002716,0.118876,0.557647
33,16.235947,481,-1.264443,0.036080,0.002655,0.100645,0.523975
34,16.223491,482,-1.133783,0.036052,0.003057,0.108989,0.465106
35,16.213798,483,-1.162121,0.036031,0.002870,0.074525,0.714351
36,16.202032,484,-1.213490,0.036005,0.003076,0.077312,0.369485
37,16.194527,485,-1.205687,0.035988,0.002830,0.055856,0.318296
38,16.181518,486,-1.135723,0.035959,0.002846,0.062278,0.299878
39,16.172002,487,-1.106502,0.035938,0.002649,0.074217,0.342200
40,16.162630,488,-1.165125,0.035917,0.002863,0.063630,0.337817
41,16.153555,489,-1.207784,0.035897,0.002813,0.060234,0.253485
42,16.147125,490,-0.977627,0.035882,0.002885,0.061472,0.452373
43,16.140568,491,-1.129893,0.035868,0.002966,0.053266,0.333987
44,16.131604,492,-1.194046,0.035848,0.002904,0.054624,0.380810
45,16.122179,493,-0.893858,0.035827,0.002841,0.075995,0.470414
46,16.116308,494,-1.056666,0.035814,0.002703,0.067449,0.217415
47,16.110039,495,-1.085172,0.035800,0.002756,0.080898,0.176064
48,16.102168,496,-1.014406,0.035783,0.002866,0.074875,0.245314
49,16.095753,497,-0.977905,0.035768,0.002826,0.056155,0.285614
50,16.091124,498,-0.988995,0.035758,0.003102,0.045677,0.339559
51,16.086169,499,-0.980307,0.035747,0.002784,0.042295,0.396472
52,16.078604,500,-0.963501,0.035730,0.002805,0.058678,0.296500
53,16.073443,501,-0.960041,0.035719,0.002797,0.051896,0.247572
54,16.067598,502,-0.980825,0.035706,0.002698,0.051717,0.179731
55,16.062905,503,-0.925555,0.035695,0.002648,0.067665,0.384291
56,16.059175,504,-0.901916,0.035687,0.002710,0.078461,0.325385
57,16.054054,505,-0.938474,0.035676,0.002479,0.063563,0.202119
58,16.050261,506,-0.849236,0.035667,0.002389,0.070704,0.209724
59,16.043356,507,-0.909188,0.035652,0.002472,0.068944,0.243624
60,16.038572,508,-0.956321,0.035641,0.002437,0.093629,0.316285
61,16.034035,509,-0.929750,0.035631,0.002473,0.078345,0.377982
62,16.031000,510,-0.916652,0.035624,0.002367,0.100135,0.376306
63,16.025427,511,-0.941580,0.035612,0.002327,0.091713,0.344284
64,16.019952,512,-0.940526,0.035600,0.002658,0.088343,0.410990
65,16.016490,513,-0.847228,0.035592,0.002668,0.073355,0.403676
66,16.012866,514,-0.914532,0.035584,0.002501,0.077719,0.485758
67,16.009766,515,-0.960155,0.035577,0.002506,0.075331,0.208961
68,16.008104,516,-0.879079,0.035574,0.002552,0.079738,0.419413
69,16.004873,517,-0.894811,0.035566,0.002534,0.078585,0.343330
70,16.000222,518,-0.920148,0.035556,0.002677,0.078873,0.211364
71,15.995539,519,-0.914532,0.035546,0.002777,0.081347,0.500485
72,15.992334,520,-0.836234,0.035539,0.002486,0.088944,0.184695
73,15.989251,521,-0.843047,0.035532,0.002457,0.091859,0.491228
74,15.985500,522,-0.833464,0.035523,0.002449,0.083486,0.212691
75,15.983210,523,-0.920755,0.035518,0.002161,0.077585,0.298876
76,15.980437,524,-0.906033,0.035512,0.002368,0.084421,0.341237
77,15.977467,525,-0.863106,0.035505,0.002422,0.079652,0.199507
78,15.975606,526,-0.922832,0.035501,0.002179,0.064935,0.283716
79,15.973180,527,-0.812707,0.035496,0.002101,0.096443,0.346178
80,15.971254,528,-0.897556,0.035492,0.002054,0.075376,0.172669
81,15.969659,529,-0.800855,0.035488,0.002108,0.075963,0.333713
82,15.968225,530,-0.809781,0.035485,0.002173,0.065300,0.369544
83,15.966360,531,-0.845447,0.035481,0.002411,0.066313,0.341558
84,15.964133,532,-0.893041,0.035476,0.002102,0.082521,0.458139
85,15.962543,533,-0.861653,0.035472,0.002169,0.080292,0.314155
86,15.960172,534,-0.768458,0.035467,0.002242,0.093637,0.440561
87,15.958611,535,-0.845908,0.035464,0.002237,0.076400,0.473619
88,15.956783,536,-0.847794,0.035460,0.002097,0.099713,0.437026
89,15.955089,537,-0.861561,0.035456,0.002071,0.086814,0.407127
90,15.952785,538,-0.850729,0.035451,0.002185,0.089461,0.340782
91,15.951239,539,-0.816391,0.035447,0.002234,0.074874,0.346680
92,15.948099,540,-0.970389,0.035440,0.002427,0.081627,0.267805
93,15.946267,541,-0.812163,0.035436,0.002168,0.069625,0.483858
94,15.943772,542,-0.853705,0.035431,0.002203,0.078257,0.559230
95,15.941969,543,-0.829498,0.035427,0.002205,0.086950,0.383490
96,15.939510,544,-0.874241,0.035421,0.002055,0.079855,0.383092
97,15.935064,545,-1.006061,0.035411,0.001915,0.090567,0.569706
98,15.932716,546,-0.878101,0.035406,0.001697,0.095034,0.454266
99,15.930862,547,-1.004536,0.035402,0.001879,0.101309,0.275763
100,15.928285,548,-0.859994,0.035396,0.002147,0.132268,0.201181
101,15.924366,549,-0.835356,0.035387,0.002052,0.102195,0.380498
102,15.919783,550,-0.958920,0.035377,0.002265,0.100333,0.444794
103,15.916021,551,-0.835620,0.035369,0.002299,0.100680,0.537759
104,15.912957,552,-0.776763,0.035362,0.002308,0.086175,0.326939
105,15.910039,553,-0.776338,0.035356,0.002252,0.070274,0.463894
106,15.907910,554,-0.880302,0.035351,0.002341,0.090380,0.309250
107,15.905218,555,-0.777825,0.035345,0.002292,0.070449,0.313062
108,15.903416,556,-0.900920,0.035341,0.002038,0.078854,0.397928
109,15.901192,557,-0.861298,0.035336,0.001987,0.073105,0.304184
110,15.898783,558,-0.898505,0.035331,0.002033,0.097059,0.180123
111,15.894293,559,-0.812550,0.035321,0.001980,0.091447,0.377244
112,15.891460,560,-0.856301,0.035314,0.001991,0.060171,0.508521
113,15.888400,561,-0.754128,0.035308,0.001898,0.079578,0.497847
114,15.886047,562,-0.740132,0.035302,0.001987,0.090238,0.522585
115,15.883949,563,-0.846459,0.035298,0.001967,0.072457,0.369843
116,15.881075,564,-0.796893,0.035291,0.002029,0.086568,0.334768
117,15.879484,565,-0.773102,0.035288,0.002102,0.075422,0.420748
118,15.877843,566,-0.823393,0.035284,0.002035,0.077342,0.345314
119,15.875435,567,-0.745315,0.035279,0.001929,0.092306,0.307370
120,15.873221,568,-0.756222,0.035274,0.002044,0.083389,0.419217
121,15.870092,569,-0.799665,0.035267,0.001969,0.102696,0.345338
122,15.867641,570,-0.783194,0.035261,0.002155,0.081877,0.277759
123,15.865412,571,-0.821836,0.035256,0.002498,0.111832,0.367034
124,15.863850,572,-0.779332,0.035253,0.002471,0.087444,0.330527
125,15.861806,573,-0.699857,0.035248,0.002037,0.092311,0.374725
126,15.860815,574,-0.676700,0.035246,0.002215,0.064117,0.373408
127,15.858901,575,-0.799047,0.035242,0.002195,0.080002,0.209250
128,15.857433,576,-0.689382,0.035239,0.002380,0.139547,0.457621
129,15.856315,577,-0.625176,0.035236,0.002242,0.076294,0.437850
130,15.855222,578,-0.779388,0.035234,0.002266,0.060805,0.288972
131,15.854195,579,-0.760264,0.035232,0.002289,0.094830,0.452620
132,15.853443,580,-0.747553,0.035230,0.002317,0.086751,0.318057
133,15.851718,581,-0.728707,0.035226,0.002117,0.095019,0.370959
134,15.850565,582,-0.730023,0.035223,0.002149,0.079228,0.481897
135,15.848520,583,-0.854174,0.035219,0.001854,0.094135,0.346383
136,15.846662,584,-0.883754,0.035215,0.001960,0.099428,0.215505
137,15.844688,585,-0.807699,0.035210,0.002002,0.101149,0.182595
138,15.842854,586,-0.786094,0.035206,0.002095,0.082155,0.185837
139,15.840910,587,-0.784907,0.035202,0.001883,0.088511,0.480894
140,15.838621,588,-0.794101,0.035197,0.001736,0.097464,0.468504
141,15.837149,589,-0.667684,0.035194,0.001829,0.104029,0.418041
142,15.833739,590,-0.752056,0.035186,0.001650,0.098880,0.351884
143,15.831344,591,-0.798360,0.035181,0.001620,0.101467,0.421262
144,15.829049,592,-0.747272,0.035176,0.001780,0.104459,0.384509
145,15.827228,593,-0.751739,0.035172,0.001927,0.075656,0.240159
146,15.824182,594,-0.768720,0.035165,0.001787,0.107202,0.395542
147,15.822057,595,-0.784575,0.035160,0.001714,0.084067,0.359594
148,15.820181,596,-0.682417,0.035156,0.001753,0.098450,0.442196
149,15.818448,597,-0.757133,0.035152,0.001854,0.106461,0.447362
