iteration,vertex_id,degree,normalized_degree,dual,weighted_neighbor_dual,complement_degree,stable_set_occurrences,score_contribution
0,0,44,0.097996,0.106386,2.083933,405,21,0.696565
0,1,31,0.069042,0.021155,1.830726,418,25,0.029144
0,2,33,0.073497,0.000000,1.706603,416,26,0.000000
0,3,50,0.111359,0.080993,3.311181,399,21,0.111582
0,4,45,0.100223,0.067123,3.196002,404,21,0.092472
0,5,45,0.100223,0.131313,2.695782,404,35,0.180906
0,6,57,0.126949,0.067135,3.318742,392,21,0.092490
0,7,26,0.057906,0.008656,1.470235,423,41,0.011925
0,8,47,0.104677,0.091784,3.107776,402,21,0.126448
0,9,28,0.062361,0.000000,1.134345,421,87,0.000000
0,10,14,0.031180,0.000000,0.267931,435,32,0.000000
0,11,67,0.149220,0.077580,3.517142,382,21,0.106879
0,12,29,0.064588,0.138330,1.150646,420,21,0.740573
0,13,9,0.020045,0.018898,0.455956,440,28,0.576036
0,14,45,0.100223,0.080160,2.004363,404,21,0.110434
0,15,16,0.035635,0.000000,0.262491,433,41,0.000000
0,16,45,0.100223,0.108347,3.242004,404,23,0.149266
0,17,36,0.080178,0.075642,2.205413,413,21,0.104210
0,18,35,0.077951,0.000000,2.096251,414,21,0.000000
0,19,23,0.051225,0.000000,1.044086,426,106,0.000000
0,20,7,0.015590,0.000000,0.170659,442,327,0.000000
0,21,30,0.066815,0.000000,1.133959,419,21,0.000000
0,22,11,0.024499,0.000000,0.381924,438,45,0.000000
0,23,47,0.104677,0.140915,2.863574,402,21,0.744135
0,24,32,0.071269,0.000000,1.295503,417,45,0.000000
0,25,29,0.064588,0.326639,2.365757,420,22,1.000000
0,26,42,0.093541,0.040684,1.850477,407,21,0.056049
0,27,29,0.064588,0.000000,1.163189,420,22,0.000000
0,28,22,0.048998,0.000000,0.822273,427,32,0.000000
0,29,48,0.106904,0.089277,2.926589,401,21,0.122994
0,30,64,0.142539,0.000000,3.726923,385,21,0.000000
0,31,13,0.028953,0.000000,1.170415,436,223,0.000000
0,32,49,0.109131,0.088333,1.757789,400,21,0.121694
0,33,3,0.006682,0.000000,0.147913,446,388,0.000000
0,34,64,0.142539,0.205359,3.624788,385,21,0.282916
0,35,24,0.053452,0.000000,1.430752,425,25,0.000000
0,36,7,0.015590,0.000000,0.398760,442,319,0.000000
0,37,58,0.129176,0.000000,2.967228,391,21,0.000000
0,38,23,0.051225,0.000000,0.477415,426,55,0.000000
0,39,20,0.044543,0.000000,0.630780,429,149,0.000000
0,40,36,0.080178,0.032133,2.498231,413,27,0.044268
0,41,74,0.164811,0.123961,4.632842,375,21,0.170777
0,42,39,0.086860,0.182767,3.516328,410,21,0.251792
0,43,7,0.015590,0.000000,0.174725,442,322,0.000000
0,44,35,0.077951,0.000000,1.285277,414,21,0.000000
0,45,42,0.093541,0.158113,2.345206,407,31,0.767827
0,46,44,0.097996,0.094743,2.486252,405,21,0.130525
0,47,22,0.048998,0.000000,1.418912,427,35,0.000000
0,48,98,0.218263,0.142570,6.311112,351,20,0.196414
0,49,40,0.089087,0.078860,1.937744,409,22,0.108643
0,50,19,0.042316,0.000000,0.989351,430,175,0.000000
0,51,32,0.071269,0.000000,1.291038,417,42,0.000000
0,52,54,0.120267,0.040450,2.543252,395,21,0.055727
0,53,14,0.031180,0.000000,0.579023,435,213,0.000000
0,54,29,0.064588,0.000000,1.564724,420,21,0.000000
0,55,26,0.057906,0.000000,2.295065,423,22,0.000000
0,56,31,0.069042,0.000000,1.101775,418,27,0.000000
0,57,41,0.091314,0.195795,3.273183,408,21,0.269740
0,58,45,0.100223,0.025752,2.199790,404,21,0.035477
0,59,62,0.138085,0.116580,3.896023,387,21,0.160608
0,60,18,0.040089,0.000000,0.579160,431,60,0.000000
0,61,14,0.031180,0.000000,0.392557,435,255,0.000000
0,62,25,0.055679,0.000000,0.791591,424,51,0.000000
0,63,10,0.022272,0.000000,0.257294,439,288,0.000000
0,64,39,0.086860,0.088496,2.942780,410,21,0.121918
0,65,59,0.131403,0.124007,2.883112,390,21,0.170841
0,66,35,0.077951,0.000000,1.428061,414,21,0.000000
0,67,31,0.069042,0.000000,1.336241,418,24,0.000000
0,68,49,0.109131,0.054385,1.423119,400,21,0.624924
0,69,32,0.071269,0.000000,2.099702,417,32,0.000000
0,70,45,0.100223,0.053731,1.362534,404,21,0.624024
0,71,38,0.084633,0.121324,2.341870,411,21,0.167144
0,72,75,0.167038,0.000000,4.049018,374,21,0.000000
0,73,15,0.033408,0.000000,0.819131,434,198,0.000000
0,74,32,0.071269,0.000000,1.000769,417,27,0.000000
0,75,44,0.097996,0.144646,2.908482,405,21,0.199275
0,76,52,0.115813,0.025029,2.240611,397,21,0.034482
0,77,27,0.060134,0.000000,0.950314,422,110,0.000000
0,78,8,0.017817,0.000000,0.186010,441,307,0.000000
0,79,66,0.146993,0.099176,4.896300,383,21,0.136631
0,80,21,0.046771,0.000000,0.625879,428,56,0.000000
0,81,42,0.093541,0.000000,2.167819,407,22,0.000000
0,82,62,0.138085,0.000000,2.292846,387,21,0.000000
0,83,31,0.069042,0.056528,1.661595,418,25,0.077877
0,84,27,0.060134,0.000000,0.873020,422,30,0.000000
0,85,42,0.093541,0.000000,2.482591,407,43,0.000000
0,86,6,0.013363,0.000000,0.035086,443,354,0.000000
0,87,42,0.093541,0.087637,1.369663,407,21,0.670735
0,88,48,0.106904,0.057926,3.391031,401,21,0.079803
0,89,22,0.048998,0.000000,0.837472,427,113,0.000000
0,90,32,0.071269,0.064503,1.782888,417,21,0.088864
0,91,29,0.064588,0.000000,0.892669,420,23,0.000000
0,92,25,0.055679,0.000000,0.673264,424,38,0.000000
0,93,35,0.077951,0.134511,3.516290,414,26,0.185312
0,94,25,0.055679,0.084824,1.805022,424,40,0.116859
0,95,50,0.111359,0.048762,1.955774,399,21,0.067178
0,96,37,0.082405,0.000000,2.168449,412,21,0.000000
0,97,83,0.184855,0.251376,5.806408,366,21,0.346312
0,98,27,0.060134,0.000000,0.830023,422,21,0.000000
0,99,33,0.073497,0.035906,2.581033,416,32,0.049467
0,100,24,0.053452,0.000000,1.257601,425,22,0.000000
0,101,39,0.086860,0.041310,2.020042,410,24,0.056912
0,102,22,0.048998,0.000000,0.649470,427,26,0.000000
0,103,24,0.053452,0.000000,1.151911,425,25,0.000000
0,104,58,0.129176,0.107576,3.481580,391,21,0.148204
0,105,53,0.118040,0.067261,2.912935,396,21,0.092663
0,106,20,0.044543,0.000000,0.870792,429,129,0.000000
0,107,34,0.075724,0.047474,1.769041,415,22,0.065404
0,108,17,0.037862,0.000000,0.480935,432,38,0.000000
0,109,22,0.048998,0.000000,1.062256,427,30,0.000000
0,110,44,0.097996,0.035139,1.926980,405,21,0.048410
0,111,59,0.131403,0.079910,3.741149,390,22,0.110090
0,112,24,0.053452,0.000000,0.852743,425,22,0.000000
0,113,41,0.091314,0.000000,2.107438,408,22,0.000000
0,114,30,0.066815,0.001022,1.004567,419,21,0.001408
0,115,24,0.053452,0.000000,1.307266,425,64,0.000000
0,116,26,0.057906,0.000000,1.860827,423,28,0.000000
0,117,55,0.122494,0.151690,2.897467,394,21,0.208979
0,118,29,0.064588,0.000000,1.596766,420,21,0.000000
0,119,15,0.033408,0.064345,0.545238,434,21,0.638646
0,120,32,0.071269,0.064196,1.243583,417,21,0.088441
0,121,15,0.033408,0.000000,0.747176,434,190,0.000000
0,122,30,0.066815,0.000000,1.076488,419,23,0.000000
0,123,2,0.004454,0.000000,0.157041,447,409,0.000000
0,124,27,0.060134,0.000000,1.070289,422,21,0.000000
0,125,26,0.057906,0.029871,1.037288,423,106,0.041152
0,126,9,0.020045,0.000000,0.576682,440,47,0.000000
0,127,4,0.008909,0.000000,0.013768,445,373,0.000000
0,128,44,0.097996,0.000000,1.970296,405,23,0.000000
0,129,17,0.037862,0.000000,1.060256,432,143,0.000000
0,130,29,0.064588,0.051486,1.175818,420,26,0.620931
0,131,5,0.011136,0.000000,0.435740,444,346,0.000000
0,132,22,0.048998,0.000000,0.983217,427,39,0.000000
0,133,53,0.118040,0.000000,2.391085,396,21,0.000000
0,134,21,0.046771,0.000000,1.285390,428,176,0.000000
0,135,53,0.118040,0.139731,2.479586,396,21,0.192502
0,136,64,0.142539,0.110905,4.290102,385,21,0.152790
0,137,17,0.037862,0.000000,0.971650,432,144,0.000000
0,138,55,0.122494,0.062267,2.479363,394,21,0.085783
0,139,50,0.111359,0.000000,2.600245,399,21,0.000000
0,140,22,0.048998,0.000000,0.662343,427,60,0.000000
0,141,20,0.044543,0.000000,0.690793,429,61,0.000000
0,142,6,0.013363,0.038236,0.068567,443,22,0.602677
0,143,24,0.053452,0.000000,0.796387,425,25,0.000000
0,144,28,0.062361,0.000000,2.077382,421,44,0.000000
0,145,21,0.046771,0.011297,0.669628,428,24,0.015564
0,146,7,0.015590,0.000000,0.215050,442,317,0.000000
0,147,31,0.069042,0.031020,1.100383,418,21,0.042736
0,148,20,0.044543,0.000000,1.331164,429,57,0.000000
0,149,25,0.055679,0.000000,1.054958,424,22,0.000000
0,150,54,0.120267,0.097752,3.047430,395,21,0.134670
0,151,21,0.046771,0.000000,1.088166,428,26,0.000000
0,152,55,0.122494,0.143618,2.822956,394,21,0.197858
0,153,39,0.086860,0.007640,1.837888,410,29,0.010525
0,154,40,0.089087,0.000000,2.286030,409,45,0.000000
0,155,78,0.173719,0.160053,5.244274,371,21,0.220500
0,156,39,0.086860,0.000000,1.242423,410,21,0.000000
0,157,50,0.111359,0.124242,2.177166,399,21,0.721165
0,158,32,0.071269,0.027215,1.639546,417,21,0.587493
0,159,35,0.077951,0.000000,1.967471,414,21,0.000000
0,160,42,0.093541,0.115309,2.225193,407,27,0.708857
0,161,45,0.100223,0.000000,2.198181,404,24,0.000000
0,162,31,0.069042,0.000000,1.460993,418,89,0.000000
0,163,50,0.111359,0.170983,2.812833,399,21,0.235558
0,164,37,0.082405,0.000000,1.240283,412,21,0.000000
0,165,62,0.138085,0.078751,3.798501,387,21,0.108493
0,166,34,0.075724,0.050162,1.792347,415,21,0.069107
0,167,36,0.080178,0.027417,2.935104,413,21,0.037771
0,168,39,0.086860,0.038635,1.893613,410,24,0.053226
0,169,34,0.075724,0.000000,1.539764,415,23,0.000000
0,170,15,0.033408,0.000000,0.336376,434,208,0.000000
0,171,54,0.120267,0.028444,2.668587,395,21,0.039186
0,172,31,0.069042,0.000000,1.398937,418,25,0.000000
0,173,3,0.006682,0.000000,0.000000,446,37,0.000000
0,174,51,0.113586,0.022160,2.603778,398,21,0.030530
0,175,24,0.053452,0.000000,0.625785,425,23,0.000000
0,176,20,0.044543,0.000000,0.759075,429,180,0.000000
0,177,45,0.100223,0.000000,1.475104,404,21,0.000000
0,178,29,0.064588,0.000000,0.774219,420,31,0.000000
0,179,58,0.129176,0.157041,2.950337,391,21,0.216350
0,180,17,0.037862,0.000000,0.689260,432,137,0.000000
0,181,40,0.089087,0.000308,1.596255,409,21,0.000424
0,182,5,0.011136,0.000000,0.252461,444,361,0.000000
0,183,23,0.051225,0.000000,1.439045,426,42,0.000000
0,184,12,0.026726,0.000000,0.406048,437,53,0.000000
0,185,63,0.140312,0.094131,2.937282,386,21,0.129681
0,186,21,0.046771,0.000000,1.348834,428,128,0.000000
0,187,35,0.077951,0.056240,1.256333,414,21,0.077479
0,188,22,0.048998,0.000000,0.836860,427,32,0.000000
0,189,32,0.071269,0.000000,1.318398,417,21,0.000000
0,190,77,0.171492,0.010202,3.600573,372,21,0.014056
0,191,45,0.100223,0.000000,1.915577,404,21,0.000000
0,192,22,0.048998,0.000000,0.986458,427,28,0.000000
0,193,33,0.073497,0.000000,1.481001,416,27,0.000000
0,194,29,0.064588,0.000000,1.374857,420,31,0.000000
0,195,20,0.044543,0.000000,0.834035,429,82,0.000000
0,196,49,0.109131,0.111730,2.052728,400,21,0.153927
0,197,45,0.100223,0.067665,2.057342,404,21,0.093219
0,198,29,0.064588,0.000000,1.316156,420,39,0.000000
0,199,28,0.062361,0.000000,1.579442,421,21,0.000000
0,200,10,0.022272,0.000000,0.277490,439,58,0.000000
0,201,34,0.075724,0.000000,2.429244,415,22,0.000000
0,202,37,0.082405,0.040203,1.770634,412,21,0.055386
0,203,41,0.091314,0.056246,2.398781,408,23,0.627488
0,204,62,0.138085,0.071124,3.973751,387,21,0.097986
0,205,34,0.075724,0.006271,1.886800,415,27,0.008639
0,206,30,0.066815,0.000000,1.067281,419,44,0.000000
0,207,66,0.146993,0.121969,3.338724,383,21,0.168033
0,208,38,0.084633,0.139892,1.435226,411,21,0.192725
0,209,26,0.057906,0.000000,1.267070,423,33,0.000000
0,210,22,0.048998,0.000000,0.568357,427,26,0.000000
0,211,51,0.113586,0.000000,2.431287,398,21,0.000000
0,212,51,0.113586,0.122205,2.041752,398,21,0.168358
0,213,18,0.040089,0.000000,1.530959,431,46,0.000000
0,214,51,0.113586,0.000000,2.237704,398,21,0.000000
0,215,13,0.028953,0.000000,0.022160,436,45,0.000000
0,216,31,0.069042,0.000000,1.686834,418,31,0.000000
0,217,44,0.097996,0.081901,2.004558,405,21,0.662832
0,218,99,0.220490,0.217718,5.261718,350,21,0.299943
0,219,38,0.084633,0.074959,2.955527,411,21,0.103268
0,220,52,0.115813,0.086202,2.907877,397,21,0.118758
0,221,35,0.077951,0.034754,1.334694,414,21,0.047879
0,222,38,0.084633,0.000000,1.559099,411,21,0.000000
0,223,63,0.140312,0.130062,3.527713,386,21,0.179183
0,224,16,0.035635,0.000000,0.326057,433,193,0.000000
0,225,49,0.109131,0.038060,2.376657,400,21,0.052434
0,226,53,0.118040,0.106789,2.889495,396,24,0.147120
0,227,32,0.071269,0.057643,3.234804,417,58,0.079413
0,228,34,0.075724,0.057383,1.161128,415,23,0.079055
