cg_iteration,rmp_value,number_of_columns,last_reduced_cost,dual_mean,dual_variance,rmp_time,pricing_time
0,15.981734,450,-2.045067,0.035515,0.003894,0.065883,0.193392
1,15.899501,451,-1.787308,0.035332,0.003970,0.048113,0.171656
2,15.854383,452,-1.301201,0.035232,0.004907,0.052277,0.167339
3,15.821152,453,-1.184891,0.035158,0.005663,0.044519,0.161164
4,15.796721,454,-1.114440,0.035104,0.006183,0.038858,0.157064
5,15.775677,455,-0.869900,0.035057,0.005794,0.042268,0.163295
6,15.756414,456,-0.784719,0.035014,0.005954,0.044574,0.209676
7,15.741854,457,-0.775134,0.034982,0.006306,0.037218,0.352765
8,15.735001,458,-0.749810,0.034967,0.006212,0.036945,0.176385
9,15.724834,459,-0.714541,0.034944,0.006572,0.036900,0.259557
10,15.716451,460,-0.746825,0.034925,0.005202,0.046742,0.378190
11,15.709516,461,-0.598046,0.034910,0.006703,0.046424,0.313388
12,15.703580,462,-0.595375,0.034897,0.005798,0.041594,0.307321
13,15.700128,463,-0.745250,0.034889,0.006529,0.035978,0.160244
14,15.695999,464,-0.687767,0.034880,0.006211,0.042416,0.180885
15,15.691271,465,-0.697321,0.034869,0.005246,0.038462,0.295246
16,15.687468,466,-0.691465,0.034861,0.005091,0.036752,0.267485
17,15.681270,467,-0.797353,0.034847,0.005544,0.035841,0.168625
18,15.672819,468,-0.668021,0.034828,0.005248,0.048125,0.393759
19,15.668534,469,-0.685822,0.034819,0.006037,0.039640,0.350336
20,15.663713,470,-0.726275,0.034808,0.005578,0.038721,0.201831
21,15.659734,471,-0.657356,0.034799,0.005222,0.041902,0.443603
22,15.655607,472,-0.706334,0.034790,0.005453,0.040041,0.173667
23,15.650618,473,-0.757995,0.034779,0.004872,0.041708,0.272602
24,15.645571,474,-0.755204,0.034768,0.005097,0.045640,0.368867
25,15.643085,475,-0.692052,0.034762,0.004904,0.047625,0.305575
26,15.640630,476,-0.746312,0.034757,0.004871,0.033085,0.305928
27,15.637222,477,-0.655363,0.034749,0.004881,0.045306,0.419094
28,15.634639,478,-0.720766,0.034744,0.004506,0.036888,0.348562
29,15.630946,479,-0.694698,0.034735,0.004633,0.051289,0.331477
30,15.627356,480,-0.711867,0.034727,0.004792,0.044262,0.165723
31,15.623905,481,-0.667826,0.034720,0.005076,0.047626,0.285399
32,15.620883,482,-0.734715,0.034713,0.006019,0.047602,0.213336
33,15.617759,483,-0.757966,0.034706,0.005027,0.044544,0.316625
